,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,407,0.6763838050968789
1,backbone.res2.0.conv2,1,DET vs FullGradCam,407,0.7384851564432506
2,backbone.res2.0.conv3,1,DET vs FullGradCam,407,0.6601767635735801
3,backbone.res2.1.conv1,1,DET vs FullGradCam,407,0.749034614230835
4,backbone.res2.1.conv2,1,DET vs FullGradCam,407,0.7502353939528486
5,backbone.res2.1.conv3,1,DET vs FullGradCam,407,0.7771251232334471
6,backbone.res2.2.conv1,1,DET vs FullGradCam,407,0.7029135318744207
7,backbone.res2.2.conv2,1,DET vs FullGradCam,407,0.7621256864147427
8,backbone.res2.2.conv3,1,DET vs FullGradCam,407,0.6297109309235135
9,backbone.res3.0.conv1,1,DET vs FullGradCam,407,0.6755556249242578
10,backbone.res3.0.conv2,1,DET vs FullGradCam,407,0.6590799686777369
11,backbone.res3.0.conv3,1,DET vs FullGradCam,407,0.6592433394146964
12,backbone.res3.1.conv1,1,DET vs FullGradCam,407,0.5520845001805871
13,backbone.res3.1.conv2,1,DET vs FullGradCam,407,0.6599092530434132
14,backbone.res3.1.conv3,1,DET vs FullGradCam,407,0.813891757282999
15,backbone.res3.2.conv1,1,DET vs FullGradCam,407,0.6846029099568484
16,backbone.res3.2.conv2,1,DET vs FullGradCam,407,0.6379479148749645
17,backbone.res3.2.conv3,1,DET vs FullGradCam,407,0.6540121175416462
18,backbone.res3.3.conv1,1,DET vs FullGradCam,407,0.7261280718647535
19,backbone.res3.3.conv2,1,DET vs FullGradCam,407,0.6446517370027393
20,backbone.res3.3.conv3,1,DET vs FullGradCam,407,0.5120336126526434
21,backbone.res4.0.conv1,1,DET vs FullGradCam,407,0.6335337488745764
22,backbone.res4.0.conv2,1,DET vs FullGradCam,407,0.6199047969918932
23,backbone.res4.0.conv3,1,DET vs FullGradCam,407,0.6052738986250862
24,backbone.res4.1.conv1,1,DET vs FullGradCam,407,0.6618652735892723
25,backbone.res4.1.conv2,1,DET vs FullGradCam,407,0.8154504379558489
26,backbone.res4.1.conv3,2,DET vs FullGradCam,407,0.6696652400569894
27,backbone.res4.2.conv1,2,DET vs FullGradCam,407,0.7286341518290195
28,backbone.res4.2.conv2,2,DET vs FullGradCam,407,0.7218300358677062
29,backbone.res4.2.conv3,2,DET vs FullGradCam,407,0.6819034869764874
30,backbone.res4.3.conv1,2,DET vs FullGradCam,407,0.7191117817398547
31,backbone.res4.3.conv2,2,DET vs FullGradCam,407,0.8147303873996111
32,backbone.res4.3.conv3,2,DET vs FullGradCam,407,0.8707397851934924
33,backbone.res4.4.conv1,2,DET vs FullGradCam,407,0.8775914437330727
34,backbone.res4.4.conv2,2,DET vs FullGradCam,407,0.8845246261206802
35,backbone.res4.4.conv3,2,DET vs FullGradCam,407,0.8833268875202069
36,backbone.res4.5.conv1,2,DET vs FullGradCam,407,0.875064862077388
37,backbone.res4.5.conv2,2,DET vs FullGradCam,407,0.8665120586518924
38,backbone.res4.5.conv3,2,DET vs FullGradCam,407,0.8757954799326525
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1223,0.80858332492743
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1223,0.8886664339835545
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1223,0.957817405074361
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1223,0.8133487997850687
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1223,0.9470659163546833
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1223,0.9566339413882265
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1223,0.8996369529416827
46,backbone.res2.2.conv2,1,DET vs FullGradCam,1223,0.7796925871324439
47,backbone.res2.2.conv3,1,DET vs FullGradCam,1223,0.8901234489830192
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1223,0.9268376625779052
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1223,0.7754598762747116
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1223,0.7566081895329342
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1223,0.767005561909912
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1223,0.6453945567032391
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1223,0.7245909003385153
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1223,0.7717168141731111
55,backbone.res3.2.conv2,1,DET vs FullGradCam,1223,0.8287858601618124
56,backbone.res3.2.conv3,1,DET vs FullGradCam,1223,0.7085553874218685
57,backbone.res3.3.conv1,1,DET vs FullGradCam,1223,0.7107156775868169
58,backbone.res3.3.conv2,1,DET vs FullGradCam,1223,0.7103304652674847
59,backbone.res3.3.conv3,1,DET vs FullGradCam,1223,0.5675897633890228
60,backbone.res4.0.conv1,1,DET vs FullGradCam,1223,0.8610304110368936
61,backbone.res4.0.conv2,1,DET vs FullGradCam,1223,0.8581478513237617
62,backbone.res4.0.conv3,1,DET vs FullGradCam,1223,0.6180492887525374
63,backbone.res4.1.conv1,1,DET vs FullGradCam,1223,0.7700821491042759
64,backbone.res4.1.conv2,1,DET vs FullGradCam,1223,0.8254890935765191
65,backbone.res4.1.conv3,2,DET vs FullGradCam,1223,0.5951897022141517
66,backbone.res4.2.conv1,2,DET vs FullGradCam,1223,0.723920295279428
67,backbone.res4.2.conv2,2,DET vs FullGradCam,1223,0.5791471850697015
68,backbone.res4.2.conv3,2,DET vs FullGradCam,1223,0.7284164658308192
69,backbone.res4.3.conv1,2,DET vs FullGradCam,1223,0.7374141078580841
70,backbone.res4.3.conv2,2,DET vs FullGradCam,1223,0.7156690491254862
71,backbone.res4.3.conv3,2,DET vs FullGradCam,1223,0.8825918147657319
72,backbone.res4.4.conv1,2,DET vs FullGradCam,1223,0.8798255734791147
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1223,0.6986050486308059
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1223,0.5695475139227111
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1223,0.6375649653932279
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1223,0.6811742174893507
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1223,0.8497526881317561
78,backbone.res2.0.conv1,1,DET vs FullGradCam,401,0.660199364939408
79,backbone.res2.0.conv2,1,DET vs FullGradCam,401,0.7329840293599108
80,backbone.res2.0.conv3,1,DET vs FullGradCam,401,0.6005747352522475
81,backbone.res2.1.conv1,1,DET vs FullGradCam,401,0.550986717836997
82,backbone.res2.1.conv2,1,DET vs FullGradCam,401,0.5348962891446757
83,backbone.res2.1.conv3,1,DET vs FullGradCam,401,0.7911133039105314
84,backbone.res2.2.conv1,1,DET vs FullGradCam,401,0.7816311512324889
85,backbone.res2.2.conv2,1,DET vs FullGradCam,401,0.532894503572838
86,backbone.res2.2.conv3,1,DET vs FullGradCam,401,0.7002937676836158
87,backbone.res3.0.conv1,1,DET vs FullGradCam,401,0.7789823900013734
88,backbone.res3.0.conv2,1,DET vs FullGradCam,401,0.5348092457712179
89,backbone.res3.0.conv3,1,DET vs FullGradCam,401,0.5888899535435167
90,backbone.res3.1.conv1,1,DET vs FullGradCam,401,0.5562393027760567
91,backbone.res3.1.conv2,1,DET vs FullGradCam,401,0.6224711581093073
92,backbone.res3.1.conv3,1,DET vs FullGradCam,401,0.607814610439778
93,backbone.res3.2.conv1,1,DET vs FullGradCam,401,0.6529165927699411
94,backbone.res3.2.conv2,1,DET vs FullGradCam,401,0.6140162502101297
95,backbone.res3.2.conv3,1,DET vs FullGradCam,401,0.5198605057988773
96,backbone.res3.3.conv1,1,DET vs FullGradCam,401,0.707307125177772
97,backbone.res3.3.conv2,1,DET vs FullGradCam,401,0.45294720715114456
98,backbone.res3.3.conv3,1,DET vs FullGradCam,401,0.49363560950425794
99,backbone.res4.0.conv1,1,DET vs FullGradCam,401,0.6332838298544956
100,backbone.res4.0.conv2,1,DET vs FullGradCam,401,0.6900727970228843
101,backbone.res4.0.conv3,1,DET vs FullGradCam,401,0.5444551982378072
102,backbone.res4.1.conv1,1,DET vs FullGradCam,401,0.6822495618910783
103,backbone.res4.1.conv2,1,DET vs FullGradCam,401,0.5255928673768202
104,backbone.res4.1.conv3,2,DET vs FullGradCam,401,0.5511476752009712
105,backbone.res4.2.conv1,2,DET vs FullGradCam,401,0.6618858871501081
106,backbone.res4.2.conv2,2,DET vs FullGradCam,401,0.38449811582681814
107,backbone.res4.2.conv3,2,DET vs FullGradCam,401,0.6712741066050347
108,backbone.res4.3.conv1,2,DET vs FullGradCam,401,0.7588328515407452
109,backbone.res4.3.conv2,2,DET vs FullGradCam,401,0.44689636373944036
110,backbone.res4.3.conv3,2,DET vs FullGradCam,401,0.4769934835467147
111,backbone.res4.4.conv1,2,DET vs FullGradCam,401,0.743784388294979
112,backbone.res4.4.conv2,2,DET vs FullGradCam,401,0.7535123940069622
113,backbone.res4.4.conv3,2,DET vs FullGradCam,401,0.7316772049050849
114,backbone.res4.5.conv1,2,DET vs FullGradCam,401,0.7631380425902047
115,backbone.res4.5.conv2,2,DET vs FullGradCam,401,0.7626179902454193
116,backbone.res4.5.conv3,2,DET vs FullGradCam,401,0.6531992922091886
117,backbone.res2.0.conv1,1,DET vs FullGradCam,930,0.891929544385399
118,backbone.res2.0.conv2,1,DET vs FullGradCam,930,0.9337015013132669
119,backbone.res2.0.conv3,1,DET vs FullGradCam,930,0.919812836333459
120,backbone.res2.1.conv1,1,DET vs FullGradCam,930,0.9460100108463354
121,backbone.res2.1.conv2,1,DET vs FullGradCam,930,0.9301412503968841
122,backbone.res2.1.conv3,1,DET vs FullGradCam,930,0.9647781158624312
123,backbone.res2.2.conv1,1,DET vs FullGradCam,930,0.9590241102189505
124,backbone.res2.2.conv2,1,DET vs FullGradCam,930,0.8129099852213041
125,backbone.res2.2.conv3,1,DET vs FullGradCam,930,0.8219061373541857
126,backbone.res3.0.conv1,1,DET vs FullGradCam,930,0.7565994028828096
127,backbone.res3.0.conv2,1,DET vs FullGradCam,930,0.7601233957743083
128,backbone.res3.0.conv3,1,DET vs FullGradCam,930,0.7805265342407763
129,backbone.res3.1.conv1,1,DET vs FullGradCam,930,0.7821242810876397
130,backbone.res3.1.conv2,1,DET vs FullGradCam,930,0.7522155280749593
131,backbone.res3.1.conv3,1,DET vs FullGradCam,930,0.7915168671529378
132,backbone.res3.2.conv1,1,DET vs FullGradCam,930,0.7158848378401748
133,backbone.res3.2.conv2,1,DET vs FullGradCam,930,0.8274905612669825
134,backbone.res3.2.conv3,1,DET vs FullGradCam,930,0.8502345908652925
135,backbone.res3.3.conv1,1,DET vs FullGradCam,930,0.8049084335955216
136,backbone.res3.3.conv2,1,DET vs FullGradCam,930,0.8540025401073276
137,backbone.res3.3.conv3,1,DET vs FullGradCam,930,0.9589019741717543
138,backbone.res4.0.conv1,1,DET vs FullGradCam,930,0.913393750752919
139,backbone.res4.0.conv2,1,DET vs FullGradCam,930,0.9363820787223172
140,backbone.res4.0.conv3,1,DET vs FullGradCam,930,0.9398722423723721
141,backbone.res4.1.conv1,1,DET vs FullGradCam,930,0.9409115395560387
142,backbone.res4.1.conv2,1,DET vs FullGradCam,930,0.9550732760840049
143,backbone.res4.1.conv3,2,DET vs FullGradCam,930,0.985819912073465
144,backbone.res4.2.conv1,2,DET vs FullGradCam,930,0.9794945786107959
145,backbone.res4.2.conv2,2,DET vs FullGradCam,930,0.9812054408476711
146,backbone.res4.2.conv3,2,DET vs FullGradCam,930,0.9703447832337027
147,backbone.res4.3.conv1,2,DET vs FullGradCam,930,0.9808729742169131
148,backbone.res4.3.conv2,2,DET vs FullGradCam,930,0.98303285584838
149,backbone.res4.3.conv3,2,DET vs FullGradCam,930,0.9859147982399871
150,backbone.res4.4.conv1,2,DET vs FullGradCam,930,0.9762624032727891
151,backbone.res4.4.conv2,2,DET vs FullGradCam,930,0.9631282276797914
152,backbone.res4.4.conv3,2,DET vs FullGradCam,930,0.9785545721388619
153,backbone.res4.5.conv1,2,DET vs FullGradCam,930,0.9776044253931568
154,backbone.res4.5.conv2,2,DET vs FullGradCam,930,0.963529863619561
155,backbone.res4.5.conv3,2,DET vs FullGradCam,930,0.981682556876989
156,backbone.res2.0.conv1,1,DET vs FullGradCam,1114,0.8222497140869571
157,backbone.res2.0.conv2,1,DET vs FullGradCam,1114,0.8261894014760346
158,backbone.res2.0.conv3,1,DET vs FullGradCam,1114,0.8871725873382867
159,backbone.res2.1.conv1,1,DET vs FullGradCam,1114,0.8755062833467996
160,backbone.res2.1.conv2,1,DET vs FullGradCam,1114,0.8184310100115
161,backbone.res2.1.conv3,1,DET vs FullGradCam,1114,0.8968268878741033
162,backbone.res2.2.conv1,1,DET vs FullGradCam,1114,0.8220602713433701
163,backbone.res2.2.conv2,1,DET vs FullGradCam,1114,0.9075393473358845
164,backbone.res2.2.conv3,1,DET vs FullGradCam,1114,0.8683795909082225
165,backbone.res3.0.conv1,1,DET vs FullGradCam,1114,0.8172409560920293
166,backbone.res3.0.conv2,1,DET vs FullGradCam,1114,0.7498786416282331
167,backbone.res3.0.conv3,1,DET vs FullGradCam,1114,0.8687499760241567
168,backbone.res3.1.conv1,1,DET vs FullGradCam,1114,0.9093440458554337
169,backbone.res3.1.conv2,1,DET vs FullGradCam,1114,0.8398267152230726
170,backbone.res3.1.conv3,1,DET vs FullGradCam,1114,0.8949710630555784
171,backbone.res3.2.conv1,1,DET vs FullGradCam,1114,0.7502003258619938
172,backbone.res3.2.conv2,1,DET vs FullGradCam,1114,0.7802210467125791
173,backbone.res3.2.conv3,1,DET vs FullGradCam,1114,0.8304189590929029
174,backbone.res3.3.conv1,1,DET vs FullGradCam,1114,0.7630496850929059
