,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,407,0.6998007853669438
1,backbone.res2.0.conv2,1,DET vs FullGradCam,407,0.7565183089964346
2,backbone.res2.0.conv3,1,DET vs FullGradCam,407,0.6844925529081621
3,backbone.res2.1.conv1,1,DET vs FullGradCam,407,0.7662714795751308
4,backbone.res2.1.conv2,1,DET vs FullGradCam,407,0.7673743440144994
5,backbone.res2.1.conv3,1,DET vs FullGradCam,407,0.7920416959410085
6,backbone.res2.2.conv1,1,DET vs FullGradCam,407,0.7235674227296242
7,backbone.res2.2.conv2,1,DET vs FullGradCam,407,0.7782985633359697
8,backbone.res2.2.conv3,1,DET vs FullGradCam,407,0.6391716933867204
9,backbone.res3.0.conv1,1,DET vs FullGradCam,407,0.6853255337832194
10,backbone.res3.0.conv2,1,DET vs FullGradCam,407,0.6673435037204679
11,backbone.res3.0.conv3,1,DET vs FullGradCam,407,0.6833385808257784
12,backbone.res3.1.conv1,1,DET vs FullGradCam,407,0.5635742869563618
13,backbone.res3.1.conv2,1,DET vs FullGradCam,407,0.6839034838542425
14,backbone.res3.1.conv3,1,DET vs FullGradCam,407,0.8255197762706966
15,backbone.res3.2.conv1,1,DET vs FullGradCam,407,0.6917108199943565
16,backbone.res3.2.conv2,1,DET vs FullGradCam,407,0.6458357069514176
17,backbone.res3.2.conv3,1,DET vs FullGradCam,407,0.6639446214557334
18,backbone.res3.3.conv1,1,DET vs FullGradCam,407,0.7341782801145232
19,backbone.res3.3.conv2,1,DET vs FullGradCam,407,0.6554621801672258
20,backbone.res3.3.conv3,1,DET vs FullGradCam,407,0.5271813200132716
21,backbone.res4.0.conv1,1,DET vs FullGradCam,407,0.6460047728046486
22,backbone.res4.0.conv2,1,DET vs FullGradCam,407,0.6323786114817389
23,backbone.res4.0.conv3,1,DET vs FullGradCam,407,0.6196033476626935
24,backbone.res4.1.conv1,1,DET vs FullGradCam,407,0.6710775100232231
25,backbone.res4.1.conv2,1,DET vs FullGradCam,407,0.819868215280063
26,backbone.res4.1.conv3,2,DET vs FullGradCam,407,0.6796708543596061
27,backbone.res4.2.conv1,2,DET vs FullGradCam,407,0.7350475099147161
28,backbone.res4.2.conv2,2,DET vs FullGradCam,407,0.7318194243864777
29,backbone.res4.2.conv3,2,DET vs FullGradCam,407,0.6931092286064174
30,backbone.res4.3.conv1,2,DET vs FullGradCam,407,0.7293667674106157
31,backbone.res4.3.conv2,2,DET vs FullGradCam,407,0.8213809342256566
32,backbone.res4.3.conv3,2,DET vs FullGradCam,407,0.8738328988957437
33,backbone.res4.4.conv1,2,DET vs FullGradCam,407,0.8811476676168468
34,backbone.res4.4.conv2,2,DET vs FullGradCam,407,0.8867221871680193
35,backbone.res4.4.conv3,2,DET vs FullGradCam,407,0.8858176772770382
36,backbone.res4.5.conv1,2,DET vs FullGradCam,407,0.8777448770562903
37,backbone.res4.5.conv2,2,DET vs FullGradCam,407,0.8706063160749207
38,backbone.res4.5.conv3,2,DET vs FullGradCam,407,0.8794199514915784
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1223,0.815714068369661
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1223,0.8927663777418549
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1223,0.9580922226812949
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1223,0.8201225695521184
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1223,0.9480007389232165
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1223,0.9570604508123919
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1223,0.9032852008009877
46,backbone.res2.2.conv2,1,DET vs FullGradCam,1223,0.7811583872524573
47,backbone.res2.2.conv3,1,DET vs FullGradCam,1223,0.8941818938501414
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1223,0.926957416653898
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1223,0.7770234764003645
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1223,0.7588331113627902
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1223,0.768160107428068
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1223,0.6489022964215474
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1223,0.727141366120796
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1223,0.7744633983656295
