,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,407,0.22758628954285745
1,backbone.res2.0.conv2,1,DET vs FullGradCam,407,0.1956949388791673
2,backbone.res2.0.conv3,1,DET vs FullGradCam,407,0.24087461937430918
3,backbone.res2.1.conv1,1,DET vs FullGradCam,407,0.1952039292157874
4,backbone.res2.1.conv2,1,DET vs FullGradCam,407,0.1947278726811302
5,backbone.res2.1.conv3,1,DET vs FullGradCam,407,0.17927947472291714
6,backbone.res2.2.conv1,1,DET vs FullGradCam,407,0.22140375525681058
7,backbone.res2.2.conv2,1,DET vs FullGradCam,407,0.18627157128597727
8,backbone.res2.2.conv3,1,DET vs FullGradCam,407,0.19784109176208858
9,backbone.res3.0.conv1,1,DET vs FullGradCam,407,0.19617053624866998
10,backbone.res3.0.conv2,1,DET vs FullGradCam,407,0.19489010250463185
11,backbone.res3.0.conv3,1,DET vs FullGradCam,407,0.24371212502152684
12,backbone.res3.1.conv1,1,DET vs FullGradCam,407,0.21808728769901295
13,backbone.res3.1.conv2,1,DET vs FullGradCam,407,0.24320773964554426
14,backbone.res3.1.conv3,1,DET vs FullGradCam,407,0.15785164488290193
15,backbone.res3.2.conv1,1,DET vs FullGradCam,407,0.20088144888066853
16,backbone.res3.2.conv2,1,DET vs FullGradCam,407,0.21418324962331006
17,backbone.res3.2.conv3,1,DET vs FullGradCam,407,0.19348240742103304
18,backbone.res3.3.conv1,1,DET vs FullGradCam,407,0.16804168880676026
19,backbone.res3.3.conv2,2,DET vs FullGradCam,407,0.19820682514882992
20,backbone.res3.3.conv3,2,DET vs FullGradCam,407,0.24017837892007038
21,backbone.res4.0.conv1,2,DET vs FullGradCam,407,0.19813304775471452
22,backbone.res4.0.conv2,2,DET vs FullGradCam,407,0.21447636813121485
23,backbone.res4.0.conv3,2,DET vs FullGradCam,407,0.20409016328631202
24,backbone.res4.1.conv1,2,DET vs FullGradCam,407,0.19929595740810363
25,backbone.res4.1.conv2,2,DET vs FullGradCam,407,0.16121692979342525
26,backbone.res4.1.conv3,2,DET vs FullGradCam,407,0.191166616670488
27,backbone.res4.2.conv1,2,DET vs FullGradCam,407,0.18813602898016818
28,backbone.res4.2.conv2,2,DET vs FullGradCam,407,0.17846768319374626
29,backbone.res4.2.conv3,2,DET vs FullGradCam,407,0.17713337164725335
30,backbone.res4.3.conv1,2,DET vs FullGradCam,407,0.18084734675403832
31,backbone.res4.3.conv2,2,DET vs FullGradCam,407,0.15994019037119273
32,backbone.res4.3.conv3,2,DET vs FullGradCam,407,0.1402370141955753
33,backbone.res4.4.conv1,2,DET vs FullGradCam,407,0.13635124205797855
34,backbone.res4.4.conv2,2,DET vs FullGradCam,407,0.13422780527255396
35,backbone.res4.4.conv3,2,DET vs FullGradCam,407,0.1312645048576614
36,backbone.res4.5.conv1,2,DET vs FullGradCam,407,0.1364336789278871
37,backbone.res4.5.conv2,2,DET vs FullGradCam,407,0.1377605408611243
38,backbone.res4.5.conv3,2,DET vs FullGradCam,407,0.13384926523278123
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1223,0.15307592510981233
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1223,0.12184666339099459
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1223,0.1015940773759718
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1223,0.14685414115654993
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1223,0.09991030423878193
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1223,0.096999344307461
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1223,0.1087239660247765
46,backbone.res2.2.conv2,1,DET vs FullGradCam,1223,0.15540363444519908
47,backbone.res2.2.conv3,1,DET vs FullGradCam,1223,0.11509951938630648
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1223,0.11613121136902381
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1223,0.16757369657945362
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1223,0.15332316171260132
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1223,0.16410426325375524
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1223,0.18376790975655452
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1223,0.15987504412331932
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1223,0.15428621097252362
55,backbone.res3.2.conv2,1,DET vs FullGradCam,1223,0.1511856063812892
56,backbone.res3.2.conv3,1,DET vs FullGradCam,1223,0.17438877890933782
57,backbone.res3.3.conv1,1,DET vs FullGradCam,1223,0.1901058477965049
58,backbone.res3.3.conv2,2,DET vs FullGradCam,1223,0.19640643512655348
59,backbone.res3.3.conv3,2,DET vs FullGradCam,1223,0.25198185591985317
60,backbone.res4.0.conv1,2,DET vs FullGradCam,1223,0.13078525350896608
61,backbone.res4.0.conv2,2,DET vs FullGradCam,1223,0.13388947937981951
62,backbone.res4.0.conv3,2,DET vs FullGradCam,1223,0.22517209166591332
63,backbone.res4.1.conv1,2,DET vs FullGradCam,1223,0.19071766107191163
64,backbone.res4.1.conv2,2,DET vs FullGradCam,1223,0.15800357021788275
65,backbone.res4.1.conv3,2,DET vs FullGradCam,1223,0.2539888216023069
66,backbone.res4.2.conv1,2,DET vs FullGradCam,1223,0.19380936340161758
67,backbone.res4.2.conv2,2,DET vs FullGradCam,1223,0.2738098738763945
68,backbone.res4.2.conv3,2,DET vs FullGradCam,1223,0.19759603215828822
69,backbone.res4.3.conv1,2,DET vs FullGradCam,1223,0.1903574708306278
70,backbone.res4.3.conv2,2,DET vs FullGradCam,1223,0.1865416708126469
71,backbone.res4.3.conv3,2,DET vs FullGradCam,1223,0.16286908921386564
72,backbone.res4.4.conv1,2,DET vs FullGradCam,1223,0.1545751091899189
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1223,0.2637335968962405
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1223,0.3362334397016725
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1223,0.30138101713266263
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1223,0.30216270448106386
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1223,0.203327114886425
78,backbone.res2.0.conv1,1,DET vs FullGradCam,401,0.16712165066247459
79,backbone.res2.0.conv2,1,DET vs FullGradCam,401,0.16564951708674017
80,backbone.res2.0.conv3,1,DET vs FullGradCam,401,0.19919135467050955
81,backbone.res2.1.conv1,1,DET vs FullGradCam,401,0.2270372788153999
82,backbone.res2.1.conv2,1,DET vs FullGradCam,401,0.23687130235805323
83,backbone.res2.1.conv3,1,DET vs FullGradCam,401,0.14138677125439741
84,backbone.res2.2.conv1,1,DET vs FullGradCam,401,0.14238815131551
85,backbone.res2.2.conv2,1,DET vs FullGradCam,401,0.23674607357289174
86,backbone.res2.2.conv3,1,DET vs FullGradCam,401,0.1802099708573809
87,backbone.res3.0.conv1,1,DET vs FullGradCam,401,0.15059154846342315
88,backbone.res3.0.conv2,1,DET vs FullGradCam,401,0.23656338171257227
89,backbone.res3.0.conv3,1,DET vs FullGradCam,401,0.2057644929982847
90,backbone.res3.1.conv1,1,DET vs FullGradCam,401,0.22518433423636042
