,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,163.91890953820018
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,152.72945441677928
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,162.25100630318076
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,178.25838501092124
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,158.73232656330083
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,175.35723043986388
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,160.69933465384548
7,backbone.res2.2.conv2,1,DET vs FullGradCam,54,158.51198902813377
8,backbone.res2.2.conv3,3,DET vs FullGradCam,54,183.4927294132723
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,189.1066540974723
10,backbone.res3.0.conv2,3,DET vs FullGradCam,54,181.6330690993313
11,backbone.res3.0.conv3,3,DET vs FullGradCam,54,187.53800518917967
12,backbone.res3.1.conv1,3,DET vs FullGradCam,54,202.56482145610542
13,backbone.res3.1.conv2,3,DET vs FullGradCam,54,181.66507936131674
14,backbone.res3.1.conv3,3,DET vs FullGradCam,54,174.6100859691815
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,163.8368910908527
16,backbone.res3.2.conv2,3,DET vs FullGradCam,54,148.1577408118575
17,backbone.res3.2.conv3,3,DET vs FullGradCam,54,172.8814596564397
18,backbone.res3.3.conv1,3,DET vs FullGradCam,54,166.9906216532852
19,backbone.res3.3.conv2,3,DET vs FullGradCam,54,177.58134129441683
20,backbone.res3.3.conv3,3,DET vs FullGradCam,54,159.11096041356933
21,backbone.res4.0.conv1,2,DET vs FullGradCam,54,163.96613245681988
22,backbone.res4.0.conv2,2,DET vs FullGradCam,54,184.0802474255858
23,backbone.res4.0.conv3,2,DET vs FullGradCam,54,132.78513148297293
24,backbone.res4.1.conv1,2,DET vs FullGradCam,54,140.4969139410417
25,backbone.res4.1.conv2,2,DET vs FullGradCam,54,151.22827611814236
26,backbone.res4.1.conv3,2,DET vs FullGradCam,54,175.60281747754385
27,backbone.res4.2.conv1,2,DET vs FullGradCam,54,134.33821021611624
28,backbone.res4.2.conv2,2,DET vs FullGradCam,54,204.46501241423488
29,backbone.res4.2.conv3,2,DET vs FullGradCam,54,168.25511745086138
30,backbone.res4.3.conv1,2,DET vs FullGradCam,54,176.9054304501226
31,backbone.res4.3.conv2,3,DET vs FullGradCam,54,148.01327295232778
32,backbone.res4.3.conv3,2,DET vs FullGradCam,54,134.52200581234933
33,backbone.res4.4.conv1,2,DET vs FullGradCam,54,131.65555729703496
34,backbone.res4.4.conv2,2,DET vs FullGradCam,54,155.66827930774167
35,backbone.res4.4.conv3,2,DET vs FullGradCam,54,132.65434584947823
36,backbone.res4.5.conv1,2,DET vs FullGradCam,54,170.5881614206578
37,backbone.res4.5.conv2,2,DET vs FullGradCam,54,133.18983038506116
38,backbone.res4.5.conv3,2,DET vs FullGradCam,54,122.04153203530598
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1319,80.11052634632814
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1319,79.99672711190519
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1319,81.99917917272953
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1319,81.23841927687222
