,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,0.24436418713361985
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,0.2579319532691916
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,0.1738209609228687
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,0.2906722057171728
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,0.2433705341704151
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,0.1445860503757838
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,0.31841621874630865
7,backbone.res2.2.conv2,2,DET vs FullGradCam,54,0.2184655072035594
8,backbone.res2.2.conv3,2,DET vs FullGradCam,54,0.12402455454613301
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,0.2582105141301584
10,backbone.res3.0.conv2,1,DET vs FullGradCam,54,0.3338076400851449
11,backbone.res3.0.conv3,1,DET vs FullGradCam,54,0.25995735072607795
12,backbone.res3.1.conv1,1,DET vs FullGradCam,54,0.21083735279104465
13,backbone.res3.1.conv2,1,DET vs FullGradCam,54,0.294085366000327
14,backbone.res3.1.conv3,1,DET vs FullGradCam,54,0.3252911626653707
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,0.3183959860057697
16,backbone.res3.2.conv2,1,DET vs FullGradCam,54,0.3280403326382824
17,backbone.res3.2.conv3,1,DET vs FullGradCam,54,0.29233570580743107
18,backbone.res3.3.conv1,1,DET vs FullGradCam,54,0.3214330758308737
19,backbone.res3.3.conv2,2,DET vs FullGradCam,54,0.1834677083156393
20,backbone.res3.3.conv3,2,DET vs FullGradCam,54,0.2329578107944385
21,backbone.res4.0.conv1,1,DET vs FullGradCam,54,0.32198941198693753
22,backbone.res4.0.conv2,1,DET vs FullGradCam,54,0.29170464650815064
23,backbone.res4.0.conv3,1,DET vs FullGradCam,54,0.2783291077816411
24,backbone.res4.1.conv1,1,DET vs FullGradCam,54,0.28391349735767296
25,backbone.res4.1.conv2,1,DET vs FullGradCam,54,0.27501737228315604
26,backbone.res4.1.conv3,1,DET vs FullGradCam,54,0.2755198171311595
27,backbone.res4.2.conv1,1,DET vs FullGradCam,54,0.25501564523492076
28,backbone.res4.2.conv2,1,DET vs FullGradCam,54,0.15475670034397837
29,backbone.res4.2.conv3,1,DET vs FullGradCam,54,0.28289334041921255
30,backbone.res4.3.conv1,1,DET vs FullGradCam,54,0.23338242389522637
31,backbone.res4.3.conv2,1,DET vs FullGradCam,54,0.22059107909181186
32,backbone.res4.3.conv3,1,DET vs FullGradCam,54,0.2751221921626158
33,backbone.res4.4.conv1,1,DET vs FullGradCam,54,0.27655917388890444
34,backbone.res4.4.conv2,1,DET vs FullGradCam,54,0.18869669583297682
35,backbone.res4.4.conv3,1,DET vs FullGradCam,54,0.23935579153554812
36,backbone.res4.5.conv1,1,DET vs FullGradCam,54,0.17290822513417148
37,backbone.res4.5.conv2,1,DET vs FullGradCam,54,0.17613116911314977
38,backbone.res4.5.conv3,1,DET vs FullGradCam,54,0.20303387194609146
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1319,0.5405305485834224
