,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,0.4382205802320962
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,0.4253698713828758
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,0.4678032683434966
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,0.4251537608490116
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,0.44098211246167013
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,0.4830801882132944
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,0.41827579618059885
7,backbone.res2.2.conv2,2,DET vs FullGradCam,54,0.4980686505396837
8,backbone.res2.2.conv3,2,DET vs FullGradCam,54,0.5324889454382813
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,0.43381111034700115
10,backbone.res3.0.conv2,1,DET vs FullGradCam,54,0.4214946818226373
11,backbone.res3.0.conv3,1,DET vs FullGradCam,54,0.4352325178540804
12,backbone.res3.1.conv1,1,DET vs FullGradCam,54,0.45183390681825913
13,backbone.res3.1.conv2,1,DET vs FullGradCam,54,0.42258394022972545
14,backbone.res3.1.conv3,1,DET vs FullGradCam,54,0.42189695993783394
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,0.42092665046499905
16,backbone.res3.2.conv2,1,DET vs FullGradCam,54,0.41244775588957244
17,backbone.res3.2.conv3,1,DET vs FullGradCam,54,0.43673295383449035
18,backbone.res3.3.conv1,1,DET vs FullGradCam,54,0.42857490564549827
19,backbone.res3.3.conv2,2,DET vs FullGradCam,54,0.5175944812131699
20,backbone.res3.3.conv3,2,DET vs FullGradCam,54,0.5032568013412616
21,backbone.res4.0.conv1,1,DET vs FullGradCam,54,0.4259967534253234
22,backbone.res4.0.conv2,1,DET vs FullGradCam,54,0.4487585371426992
23,backbone.res4.0.conv3,1,DET vs FullGradCam,54,0.4606510172169601
24,backbone.res4.1.conv1,1,DET vs FullGradCam,54,0.4573890129753613
25,backbone.res4.1.conv2,1,DET vs FullGradCam,54,0.4625734526319589
26,backbone.res4.1.conv3,1,DET vs FullGradCam,54,0.44996478604521184
27,backbone.res4.2.conv1,1,DET vs FullGradCam,54,0.4598618627801714
28,backbone.res4.2.conv2,1,DET vs FullGradCam,54,0.5343151040581153
29,backbone.res4.2.conv3,1,DET vs FullGradCam,54,0.47528793748880555
30,backbone.res4.3.conv1,1,DET vs FullGradCam,54,0.5008411503817629
31,backbone.res4.3.conv2,1,DET vs FullGradCam,54,0.5198286514592998
32,backbone.res4.3.conv3,1,DET vs FullGradCam,54,0.49498640488984214
33,backbone.res4.4.conv1,1,DET vs FullGradCam,54,0.49122661486532593
34,backbone.res4.4.conv2,2,DET vs FullGradCam,54,0.5694583114585522
35,backbone.res4.4.conv3,2,DET vs FullGradCam,54,0.5446254610445376
36,backbone.res4.5.conv1,2,DET vs FullGradCam,54,0.5626164611054517
37,backbone.res4.5.conv2,2,DET vs FullGradCam,54,0.5957283566470013
38,backbone.res4.5.conv3,2,DET vs FullGradCam,54,0.5910857305558604
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1319,0.3036019851853588
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1319,0.3002596048143594
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1319,0.3058233692753982
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1319,0.30573543378544626
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1319,0.3098857697424029
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1319,0.35213812156679725
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1319,0.327487251554704
46,backbone.res2.2.conv2,2,DET vs FullGradCam,1319,0.4529558781021376
47,backbone.res2.2.conv3,2,DET vs FullGradCam,1319,0.4564222380118164
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1319,0.31882832694595853
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1319,0.3599139179727899
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1319,0.30753314319867114
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1319,0.3426527287058164
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1319,0.3353056281360456
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1319,0.3282798443497059
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1319,0.3334943520566561
55,backbone.res3.2.conv2,1,DET vs FullGradCam,1319,0.36084564444643813
56,backbone.res3.2.conv3,1,DET vs FullGradCam,1319,0.33491246971041294
57,backbone.res3.3.conv1,1,DET vs FullGradCam,1319,0.3321696670674881
58,backbone.res3.3.conv2,2,DET vs FullGradCam,1319,0.43316099768182553
59,backbone.res3.3.conv3,2,DET vs FullGradCam,1319,0.44902169360965455
60,backbone.res4.0.conv1,1,DET vs FullGradCam,1319,0.28139666870569335
61,backbone.res4.0.conv2,1,DET vs FullGradCam,1319,0.2961628644487107
62,backbone.res4.0.conv3,1,DET vs FullGradCam,1319,0.27321135085877807
63,backbone.res4.1.conv1,1,DET vs FullGradCam,1319,0.3983314286344225
64,backbone.res4.1.conv2,1,DET vs FullGradCam,1319,0.3389395523878687
65,backbone.res4.1.conv3,1,DET vs FullGradCam,1319,0.30463366152985827
66,backbone.res4.2.conv1,1,DET vs FullGradCam,1319,0.32378896041285193
67,backbone.res4.2.conv2,1,DET vs FullGradCam,1319,0.28063736309728243
68,backbone.res4.2.conv3,1,DET vs FullGradCam,1319,0.3304612165337239
69,backbone.res4.3.conv1,1,DET vs FullGradCam,1319,0.33214120167641686
70,backbone.res4.3.conv2,1,DET vs FullGradCam,1319,0.38694319075415895
71,backbone.res4.3.conv3,1,DET vs FullGradCam,1319,0.3809977296961487
72,backbone.res4.4.conv1,1,DET vs FullGradCam,1319,0.3682496311422154
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1319,0.4146330057345093
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1319,0.4265857800897982
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1319,0.4229021483173434
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1319,0.46168325924936443
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1319,0.45647697082036276
78,backbone.res2.0.conv1,1,DET vs FullGradCam,68,0.30100004599572056
79,backbone.res2.0.conv2,1,DET vs FullGradCam,68,0.3095921456548746
80,backbone.res2.0.conv3,1,DET vs FullGradCam,68,0.36359164655175985
81,backbone.res2.1.conv1,1,DET vs FullGradCam,68,0.3603839500125538
82,backbone.res2.1.conv2,1,DET vs FullGradCam,68,0.3533218872528773
83,backbone.res2.1.conv3,1,DET vs FullGradCam,68,0.3965383381247054
84,backbone.res2.2.conv1,1,DET vs FullGradCam,68,0.334385558392364
85,backbone.res2.2.conv2,2,DET vs FullGradCam,68,0.4634760082108483
86,backbone.res2.2.conv3,2,DET vs FullGradCam,68,0.47450831893624335
87,backbone.res3.0.conv1,1,DET vs FullGradCam,68,0.37138483009373247
88,backbone.res3.0.conv2,1,DET vs FullGradCam,68,0.40625329768003754
89,backbone.res3.0.conv3,1,DET vs FullGradCam,68,0.3857302240238773
90,backbone.res3.1.conv1,1,DET vs FullGradCam,68,0.3533147433231105
91,backbone.res3.1.conv2,1,DET vs FullGradCam,68,0.3682228418937256
92,backbone.res3.1.conv3,1,DET vs FullGradCam,68,0.3847457722866874
93,backbone.res3.2.conv1,1,DET vs FullGradCam,68,0.39780735890493707
94,backbone.res3.2.conv2,1,DET vs FullGradCam,68,0.36607048807496423
95,backbone.res3.2.conv3,1,DET vs FullGradCam,68,0.3765866922525383
96,backbone.res3.3.conv1,1,DET vs FullGradCam,68,0.3904032305509748
97,backbone.res3.3.conv2,2,DET vs FullGradCam,68,0.4604660123621246
98,backbone.res3.3.conv3,2,DET vs FullGradCam,68,0.47144051974900175
99,backbone.res4.0.conv1,1,DET vs FullGradCam,68,0.34229695452379716
100,backbone.res4.0.conv2,1,DET vs FullGradCam,68,0.32553103282875334
101,backbone.res4.0.conv3,1,DET vs FullGradCam,68,0.329114885842807
102,backbone.res4.1.conv1,1,DET vs FullGradCam,68,0.33486151429117206
103,backbone.res4.1.conv2,1,DET vs FullGradCam,68,0.31927755256619844
104,backbone.res4.1.conv3,1,DET vs FullGradCam,68,0.3265325260476207
105,backbone.res4.2.conv1,1,DET vs FullGradCam,68,0.3306222106940119
106,backbone.res4.2.conv2,1,DET vs FullGradCam,68,0.3228558307980236
107,backbone.res4.2.conv3,1,DET vs FullGradCam,68,0.35766349379698537
108,backbone.res4.3.conv1,1,DET vs FullGradCam,68,0.37628886066867695
109,backbone.res4.3.conv2,1,DET vs FullGradCam,68,0.4346557979953227
110,backbone.res4.3.conv3,1,DET vs FullGradCam,68,0.3739549729991561
111,backbone.res4.4.conv1,1,DET vs FullGradCam,68,0.3778429523168756
112,backbone.res4.4.conv2,2,DET vs FullGradCam,68,0.45241588731223087
113,backbone.res4.4.conv3,2,DET vs FullGradCam,68,0.43530525814702087
114,backbone.res4.5.conv1,2,DET vs FullGradCam,68,0.41874329951762823
115,backbone.res4.5.conv2,2,DET vs FullGradCam,68,0.5066138523101229
116,backbone.res4.5.conv3,2,DET vs FullGradCam,68,0.49045046897934197
117,backbone.res2.0.conv1,1,DET vs FullGradCam,629,0.2991680137331684
118,backbone.res2.0.conv2,1,DET vs FullGradCam,629,0.2658202128652058
119,backbone.res2.0.conv3,1,DET vs FullGradCam,629,0.2809314146723607
120,backbone.res2.1.conv1,1,DET vs FullGradCam,629,0.2786226085480923
121,backbone.res2.1.conv2,1,DET vs FullGradCam,629,0.2744185195475693
122,backbone.res2.1.conv3,1,DET vs FullGradCam,629,0.30478982176538105
123,backbone.res2.2.conv1,1,DET vs FullGradCam,629,0.2835616204247956
124,backbone.res2.2.conv2,2,DET vs FullGradCam,629,0.38787357477763224
125,backbone.res2.2.conv3,2,DET vs FullGradCam,629,0.39236025529673235
126,backbone.res3.0.conv1,1,DET vs FullGradCam,629,0.27272370180690564
127,backbone.res3.0.conv2,1,DET vs FullGradCam,629,0.2838375178054118
128,backbone.res3.0.conv3,1,DET vs FullGradCam,629,0.2877635124187695
129,backbone.res3.1.conv1,1,DET vs FullGradCam,629,0.2747295331759014
