,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,178.4700776209337
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,178.76248711935892
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,243.44773493416778
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,166.08680872988486
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,180.78663344326986
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,256.41765066588715
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,166.2249530955087
7,backbone.res2.2.conv2,1,DET vs FullGradCam,54,179.47598779877885
8,backbone.res2.2.conv3,1,DET vs FullGradCam,54,241.24404412331916
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,188.14832769421042
10,backbone.res3.0.conv2,1,DET vs FullGradCam,54,163.92158558775662
11,backbone.res3.0.conv3,1,DET vs FullGradCam,54,184.02061187439318
12,backbone.res3.1.conv1,1,DET vs FullGradCam,54,211.45523206543
13,backbone.res3.1.conv2,1,DET vs FullGradCam,54,180.90661324476375
14,backbone.res3.1.conv3,1,DET vs FullGradCam,54,159.7885535003063
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,156.54427496236013
16,backbone.res3.2.conv2,1,DET vs FullGradCam,54,155.08428082354237
17,backbone.res3.2.conv3,1,DET vs FullGradCam,54,158.5970364654475
18,backbone.res3.3.conv1,1,DET vs FullGradCam,54,158.21987403688271
19,backbone.res3.3.conv2,1,DET vs FullGradCam,54,178.81893951030133
20,backbone.res3.3.conv3,1,DET vs FullGradCam,54,154.03756715387107
21,backbone.res4.0.conv1,1,DET vs FullGradCam,54,165.77602214767285
22,backbone.res4.0.conv2,1,DET vs FullGradCam,54,190.25267346757852
23,backbone.res4.0.conv3,1,DET vs FullGradCam,54,138.4831522394576
24,backbone.res4.1.conv1,1,DET vs FullGradCam,54,184.0873205271163
25,backbone.res4.1.conv2,1,DET vs FullGradCam,54,156.62222763330135
26,backbone.res4.1.conv3,2,DET vs FullGradCam,54,173.6507697571233
27,backbone.res4.2.conv1,1,DET vs FullGradCam,54,149.05457935694022
28,backbone.res4.2.conv2,2,DET vs FullGradCam,54,217.68572587768318
29,backbone.res4.2.conv3,2,DET vs FullGradCam,54,165.84985378464617
30,backbone.res4.3.conv1,2,DET vs FullGradCam,54,162.07132390633234
31,backbone.res4.3.conv2,2,DET vs FullGradCam,54,152.53357118778763
32,backbone.res4.3.conv3,2,DET vs FullGradCam,54,140.14410353439453
33,backbone.res4.4.conv1,2,DET vs FullGradCam,54,136.95007668335552
34,backbone.res4.4.conv2,2,DET vs FullGradCam,54,180.8107885094588
35,backbone.res4.4.conv3,2,DET vs FullGradCam,54,149.14640439349108
36,backbone.res4.5.conv1,2,DET vs FullGradCam,54,169.99011113281915
37,backbone.res4.5.conv2,2,DET vs FullGradCam,54,153.0993440954724
38,backbone.res4.5.conv3,2,DET vs FullGradCam,54,129.90501425826534
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1319,83.62615645912376
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1319,83.19291023286095
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1319,85.30026709615048
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1319,86.53745036520547
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1319,87.01441664516335
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1319,86.19443503946525
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1319,91.3294454584749
46,backbone.res2.2.conv2,1,DET vs FullGradCam,1319,91.36498929805109
47,backbone.res2.2.conv3,1,DET vs FullGradCam,1319,87.18232585221713
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1319,85.7345090112137
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1319,90.89225081779635
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1319,86.71326966054085
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1319,88.53933048729687
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1319,88.10727934243653
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1319,87.75374898074574
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1319,88.1136049756914
55,backbone.res3.2.conv2,1,DET vs FullGradCam,1319,92.9202063227659
56,backbone.res3.2.conv3,1,DET vs FullGradCam,1319,87.66351095046528
57,backbone.res3.3.conv1,1,DET vs FullGradCam,1319,88.14166858078009
58,backbone.res3.3.conv2,1,DET vs FullGradCam,1319,88.94811807818566
59,backbone.res3.3.conv3,1,DET vs FullGradCam,1319,91.4540617296145
60,backbone.res4.0.conv1,1,DET vs FullGradCam,1319,86.11788138118955
61,backbone.res4.0.conv2,1,DET vs FullGradCam,1319,89.16116665755825
62,backbone.res4.0.conv3,1,DET vs FullGradCam,1319,92.60755475924194
63,backbone.res4.1.conv1,1,DET vs FullGradCam,1319,94.37672690012364
64,backbone.res4.1.conv2,1,DET vs FullGradCam,1319,91.2284417926136
65,backbone.res4.1.conv3,2,DET vs FullGradCam,1319,96.6471786227403
66,backbone.res4.2.conv1,1,DET vs FullGradCam,1319,95.83523677656385
67,backbone.res4.2.conv2,2,DET vs FullGradCam,1319,95.85995597486956
68,backbone.res4.2.conv3,2,DET vs FullGradCam,1319,100.10361158617167
69,backbone.res4.3.conv1,2,DET vs FullGradCam,1319,98.72968722422098
70,backbone.res4.3.conv2,2,DET vs FullGradCam,1319,102.31206979815488
71,backbone.res4.3.conv3,2,DET vs FullGradCam,1319,104.87827575911214
72,backbone.res4.4.conv1,2,DET vs FullGradCam,1319,102.32409596620707
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1319,104.19581645291936
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1319,107.22894946345559
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1319,108.02972695637668
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1319,110.58474771339475
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1319,108.82327846720851
78,backbone.res2.0.conv1,1,DET vs FullGradCam,68,66.5562576856295
79,backbone.res2.0.conv2,1,DET vs FullGradCam,68,73.72499149613125
80,backbone.res2.0.conv3,1,DET vs FullGradCam,68,88.74154446680708
81,backbone.res2.1.conv1,1,DET vs FullGradCam,68,79.99321765787113
82,backbone.res2.1.conv2,1,DET vs FullGradCam,68,88.87765501040082
83,backbone.res2.1.conv3,1,DET vs FullGradCam,68,89.75792503048598
84,backbone.res2.2.conv1,1,DET vs FullGradCam,68,66.89897642731138
85,backbone.res2.2.conv2,1,DET vs FullGradCam,68,82.34211255811745
86,backbone.res2.2.conv3,1,DET vs FullGradCam,68,92.07751146663071
87,backbone.res3.0.conv1,1,DET vs FullGradCam,68,89.76023542420693
88,backbone.res3.0.conv2,1,DET vs FullGradCam,68,106.6022956142888
89,backbone.res3.0.conv3,1,DET vs FullGradCam,68,92.73801045741715
90,backbone.res3.1.conv1,1,DET vs FullGradCam,68,77.00392863658601
91,backbone.res3.1.conv2,1,DET vs FullGradCam,68,85.02095147067567
92,backbone.res3.1.conv3,1,DET vs FullGradCam,68,94.45232215084397
93,backbone.res3.2.conv1,1,DET vs FullGradCam,68,101.36856048535724
94,backbone.res3.2.conv2,1,DET vs FullGradCam,68,80.45550585649767
95,backbone.res3.2.conv3,1,DET vs FullGradCam,68,89.32316204477564
96,backbone.res3.3.conv1,1,DET vs FullGradCam,68,92.12697306090794
97,backbone.res3.3.conv2,1,DET vs FullGradCam,68,78.7164042616813
