,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,2,DET vs FullGradCam,407,0.7844019895531724
1,backbone.res2.0.conv2,2,DET vs FullGradCam,407,0.7766822896367014
2,backbone.res2.0.conv3,2,DET vs FullGradCam,407,0.9410301825174675
3,backbone.res2.1.conv1,2,DET vs FullGradCam,407,0.9499451766579917
4,backbone.res2.1.conv2,2,DET vs FullGradCam,407,0.8728690343754418
5,backbone.res2.1.conv3,2,DET vs FullGradCam,407,0.8393006904674724
6,backbone.res2.2.conv1,2,DET vs FullGradCam,407,0.8547526006605426
7,backbone.res2.2.conv2,2,DET vs FullGradCam,407,0.7719548947604927
8,backbone.res2.2.conv3,2,DET vs FullGradCam,407,0.9363488019794085
9,backbone.res3.0.conv1,2,DET vs FullGradCam,407,0.9441697501755351
10,backbone.res3.0.conv2,2,DET vs FullGradCam,407,0.819754857060202
11,backbone.res3.0.conv3,2,DET vs FullGradCam,407,0.8438161193953947
12,backbone.res3.1.conv1,2,DET vs FullGradCam,407,0.7952757602308701
13,backbone.res3.1.conv2,2,DET vs FullGradCam,407,0.9331398430406351
14,backbone.res3.1.conv3,2,DET vs FullGradCam,407,0.8423052750062202
15,backbone.res3.2.conv1,2,DET vs FullGradCam,407,0.79406529514527
16,backbone.res3.2.conv2,2,DET vs FullGradCam,407,0.8212397370485531
17,backbone.res3.2.conv3,2,DET vs FullGradCam,407,0.814115279218091
18,backbone.res3.3.conv1,2,DET vs FullGradCam,407,0.784432894830825
19,backbone.res3.3.conv2,2,DET vs FullGradCam,407,0.8376494429456246
20,backbone.res3.3.conv3,2,DET vs FullGradCam,407,0.7062063744704753
21,backbone.res4.0.conv1,2,DET vs FullGradCam,407,0.7146343721522831
22,backbone.res4.0.conv2,2,DET vs FullGradCam,407,0.8951393488396432
23,backbone.res4.0.conv3,2,DET vs FullGradCam,407,0.9147363156981406
24,backbone.res4.1.conv1,2,DET vs FullGradCam,407,0.8964414452677414
25,backbone.res4.1.conv2,2,DET vs FullGradCam,407,0.8697846119037022
26,backbone.res4.1.conv3,2,DET vs FullGradCam,407,0.9412430923079849
27,backbone.res4.2.conv1,1,DET vs FullGradCam,407,0.7993832029082751
28,backbone.res4.2.conv2,1,DET vs FullGradCam,407,0.851912560571737
29,backbone.res4.2.conv3,2,DET vs FullGradCam,407,0.945728122061804
30,backbone.res4.3.conv1,2,DET vs FullGradCam,407,0.9184486835009116
31,backbone.res4.3.conv2,1,DET vs FullGradCam,407,0.8065012930728982
32,backbone.res4.3.conv3,1,DET vs FullGradCam,407,0.8244332216305832
33,backbone.res4.4.conv1,1,DET vs FullGradCam,407,0.8143623079446027
34,backbone.res4.4.conv2,1,DET vs FullGradCam,407,0.782493191923557
35,backbone.res4.4.conv3,1,DET vs FullGradCam,407,0.8999752294079707
36,backbone.res4.5.conv1,1,DET vs FullGradCam,407,0.8083416236053449
37,backbone.res4.5.conv2,1,DET vs FullGradCam,407,0.7036393953133558
38,backbone.res4.5.conv3,1,DET vs FullGradCam,407,0.8946324912298014
39,roi_heads.pooler.level,1,DET vs FullGradCam,407,0.9265952465470889
40,roi_heads.res5.0.conv1,1,DET vs FullGradCam,407,0.9091459579558334
41,roi_heads.res5.0.conv2,1,DET vs FullGradCam,407,0.926347010980734
42,roi_heads.res5.0.conv3,1,DET vs FullGradCam,407,0.9062371315508617
43,roi_heads.res5.1.conv1,1,DET vs FullGradCam,407,0.9257042828839044
44,roi_heads.res5.1.conv2,1,DET vs FullGradCam,407,0.843730983369369
45,roi_heads.res5.1.conv3,1,DET vs FullGradCam,407,0.8694607943758024
46,roi_heads.res5.2.conv1,1,DET vs FullGradCam,407,0.8400373545067533
47,roi_heads.res5.2.conv2,1,DET vs FullGradCam,407,0.9092495681837103
48,roi_heads.res5.2.conv3,1,DET vs FullGradCam,407,0.9387967233345859
49,backbone.res2.0.conv1,2,DET vs FullGradCam,1223,0.8577331709172215
50,backbone.res2.0.conv2,2,DET vs FullGradCam,1223,0.8519737647507997
51,backbone.res2.0.conv3,2,DET vs FullGradCam,1223,0.8170638437909207
52,backbone.res2.1.conv1,2,DET vs FullGradCam,1223,0.8132083581227809
53,backbone.res2.1.conv2,2,DET vs FullGradCam,1223,0.7896897801494506
54,backbone.res2.1.conv3,2,DET vs FullGradCam,1223,0.9019577455181863
55,backbone.res2.2.conv1,2,DET vs FullGradCam,1223,0.8356206394649563
56,backbone.res2.2.conv2,2,DET vs FullGradCam,1223,0.8717182785765238
57,backbone.res2.2.conv3,2,DET vs FullGradCam,1223,0.7780421476997379
58,backbone.res3.0.conv1,2,DET vs FullGradCam,1223,0.8062285265622878
59,backbone.res3.0.conv2,2,DET vs FullGradCam,1223,0.7832092186550429
60,backbone.res3.0.conv3,2,DET vs FullGradCam,1223,0.8061919647855517
61,backbone.res3.1.conv1,2,DET vs FullGradCam,1223,0.9255868701502287
62,backbone.res3.1.conv2,2,DET vs FullGradCam,1223,0.9216270034011783
63,backbone.res3.1.conv3,2,DET vs FullGradCam,1223,0.7482777485888543
64,backbone.res3.2.conv1,2,DET vs FullGradCam,1223,0.7756419376174526
65,backbone.res3.2.conv2,2,DET vs FullGradCam,1223,0.5873402280227151
66,backbone.res3.2.conv3,2,DET vs FullGradCam,1223,0.7658398963776939
67,backbone.res3.3.conv1,2,DET vs FullGradCam,1223,0.7520572393284324
68,backbone.res3.3.conv2,2,DET vs FullGradCam,1223,0.8307647484349052
69,backbone.res3.3.conv3,2,DET vs FullGradCam,1223,0.6760797405245946
70,backbone.res4.0.conv1,2,DET vs FullGradCam,1223,0.6451451358898125
71,backbone.res4.0.conv2,2,DET vs FullGradCam,1223,0.6243533010350015
72,backbone.res4.0.conv3,2,DET vs FullGradCam,1223,0.6649840712544824
73,backbone.res4.1.conv1,2,DET vs FullGradCam,1223,0.684642206912432
74,backbone.res4.1.conv2,2,DET vs FullGradCam,1223,0.7033718303469427
75,backbone.res4.1.conv3,2,DET vs FullGradCam,1223,0.7858538776648328
76,backbone.res4.2.conv1,1,DET vs FullGradCam,1223,0.6188513012515752
77,backbone.res4.2.conv2,1,DET vs FullGradCam,1223,0.6849378739685744
78,backbone.res4.2.conv3,2,DET vs FullGradCam,1223,0.6700443428408002
79,backbone.res4.3.conv1,2,DET vs FullGradCam,1223,0.7723338214623287
80,backbone.res4.3.conv2,1,DET vs FullGradCam,1223,0.556339352859667
81,backbone.res4.3.conv3,1,DET vs FullGradCam,1223,0.5032016127724551
82,backbone.res4.4.conv1,1,DET vs FullGradCam,1223,0.570645470323263
83,backbone.res4.4.conv2,1,DET vs FullGradCam,1223,0.6565993287709748
84,backbone.res4.4.conv3,1,DET vs FullGradCam,1223,0.6544137725150959
85,backbone.res4.5.conv1,1,DET vs FullGradCam,1223,0.6651238754288821
86,backbone.res4.5.conv2,1,DET vs FullGradCam,1223,0.7462848120634757
87,backbone.res4.5.conv3,1,DET vs FullGradCam,1223,0.8461466110215972
88,roi_heads.pooler.level,1,DET vs FullGradCam,1223,0.6458089672358913
89,roi_heads.res5.0.conv1,1,DET vs FullGradCam,1223,0.7251590015360361
90,roi_heads.res5.0.conv2,1,DET vs FullGradCam,1223,0.8105742791279623
91,roi_heads.res5.0.conv3,1,DET vs FullGradCam,1223,0.7232226789988146
92,roi_heads.res5.1.conv1,1,DET vs FullGradCam,1223,0.5296671758750631
93,roi_heads.res5.1.conv2,1,DET vs FullGradCam,1223,0.59250501131525
94,roi_heads.res5.1.conv3,1,DET vs FullGradCam,1223,0.8118952863514963
95,roi_heads.res5.2.conv1,1,DET vs FullGradCam,1223,0.8176344847354535
96,roi_heads.res5.2.conv2,1,DET vs FullGradCam,1223,0.7171376926339625
97,roi_heads.res5.2.conv3,1,DET vs FullGradCam,1223,0.7883509451921069
98,backbone.res2.0.conv1,2,DET vs FullGradCam,401,0.5625752109838275
99,backbone.res2.0.conv2,2,DET vs FullGradCam,401,0.7352134030396976
100,backbone.res2.0.conv3,2,DET vs FullGradCam,401,0.6148998914540177
101,backbone.res2.1.conv1,2,DET vs FullGradCam,401,0.5986031346041488
102,backbone.res2.1.conv2,2,DET vs FullGradCam,401,0.7231678922726268
103,backbone.res2.1.conv3,2,DET vs FullGradCam,401,0.6867997322101725
104,backbone.res2.2.conv1,2,DET vs FullGradCam,401,0.649273041085686
105,backbone.res2.2.conv2,2,DET vs FullGradCam,401,0.6384844000497705
106,backbone.res2.2.conv3,2,DET vs FullGradCam,401,0.6579425205717581
107,backbone.res3.0.conv1,2,DET vs FullGradCam,401,0.6335491758811133
108,backbone.res3.0.conv2,2,DET vs FullGradCam,401,0.6280290481905125
109,backbone.res3.0.conv3,2,DET vs FullGradCam,401,0.6552728631319609
110,backbone.res3.1.conv1,2,DET vs FullGradCam,401,0.5833609275210362
111,backbone.res3.1.conv2,2,DET vs FullGradCam,401,0.6467690417981418
112,backbone.res3.1.conv3,2,DET vs FullGradCam,401,0.6225657929537032
113,backbone.res3.2.conv1,2,DET vs FullGradCam,401,0.7876315855289503
114,backbone.res3.2.conv2,2,DET vs FullGradCam,401,0.6672881686876162
115,backbone.res3.2.conv3,2,DET vs FullGradCam,401,0.6043352845437486
116,backbone.res3.3.conv1,2,DET vs FullGradCam,401,0.6710957036310305
117,backbone.res3.3.conv2,2,DET vs FullGradCam,401,0.6888194701631815
118,backbone.res3.3.conv3,2,DET vs FullGradCam,401,0.541384665106422
119,backbone.res4.0.conv1,2,DET vs FullGradCam,401,0.4707260878635373
120,backbone.res4.0.conv2,2,DET vs FullGradCam,401,0.5230807039119846
121,backbone.res4.0.conv3,2,DET vs FullGradCam,401,0.5685023569013057
122,backbone.res4.1.conv1,2,DET vs FullGradCam,401,0.5767612976247986
123,backbone.res4.1.conv2,2,DET vs FullGradCam,401,0.6252265418406533
124,backbone.res4.1.conv3,2,DET vs FullGradCam,401,0.6560240365448141
125,backbone.res4.2.conv1,1,DET vs FullGradCam,401,0.4484378951913171
126,backbone.res4.2.conv2,1,DET vs FullGradCam,401,0.49440002393052684
127,backbone.res4.2.conv3,2,DET vs FullGradCam,401,0.5506303172022666
128,backbone.res4.3.conv1,2,DET vs FullGradCam,401,0.5236756304408624
129,backbone.res4.3.conv2,1,DET vs FullGradCam,401,0.5264512474839861
130,backbone.res4.3.conv3,1,DET vs FullGradCam,401,0.4730514124077997
131,backbone.res4.4.conv1,1,DET vs FullGradCam,401,0.47113465568094637
132,backbone.res4.4.conv2,1,DET vs FullGradCam,401,0.5908304205979246
133,backbone.res4.4.conv3,1,DET vs FullGradCam,401,0.5870968187059494
134,backbone.res4.5.conv1,1,DET vs FullGradCam,401,0.6011770185974842
135,backbone.res4.5.conv2,1,DET vs FullGradCam,401,0.5469777253103819
136,backbone.res4.5.conv3,1,DET vs FullGradCam,401,0.641278023971307
137,roi_heads.pooler.level,1,DET vs FullGradCam,401,0.617574593305993
138,roi_heads.res5.0.conv1,1,DET vs FullGradCam,401,0.6472802565979032
139,roi_heads.res5.0.conv2,1,DET vs FullGradCam,401,0.640383864531481
140,roi_heads.res5.0.conv3,1,DET vs FullGradCam,401,0.6792273290712743
141,roi_heads.res5.1.conv1,1,DET vs FullGradCam,401,0.5809822283104842
142,roi_heads.res5.1.conv2,1,DET vs FullGradCam,401,0.672633111005083
143,roi_heads.res5.1.conv3,1,DET vs FullGradCam,401,0.710621369815651
144,roi_heads.res5.2.conv1,1,DET vs FullGradCam,401,0.6042295152162461
145,roi_heads.res5.2.conv2,1,DET vs FullGradCam,401,0.6992232288418189
146,roi_heads.res5.2.conv3,1,DET vs FullGradCam,401,0.6806042815515857
147,backbone.res2.0.conv1,2,DET vs FullGradCam,930,0.9146036266947154
148,backbone.res2.0.conv2,2,DET vs FullGradCam,930,0.9580528207400054
149,backbone.res2.0.conv3,2,DET vs FullGradCam,930,0.9451446408563038
150,backbone.res2.1.conv1,2,DET vs FullGradCam,930,0.9533475239369719
151,backbone.res2.1.conv2,2,DET vs FullGradCam,930,0.9526674020114022
152,backbone.res2.1.conv3,2,DET vs FullGradCam,930,0.9050643094159795
153,backbone.res2.2.conv1,2,DET vs FullGradCam,930,0.9571894865464584
154,backbone.res2.2.conv2,2,DET vs FullGradCam,930,0.9725153077843464
155,backbone.res2.2.conv3,2,DET vs FullGradCam,930,0.8515864863252979
156,backbone.res3.0.conv1,2,DET vs FullGradCam,930,0.8821607370580355
