,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,407,0.7988017821159993
1,backbone.res2.0.conv2,1,DET vs FullGradCam,407,0.7915515094059651
2,backbone.res2.0.conv3,1,DET vs FullGradCam,407,0.9427583091679116
3,backbone.res2.1.conv1,1,DET vs FullGradCam,407,0.9509588742960938
4,backbone.res2.1.conv2,1,DET vs FullGradCam,407,0.8809153393044168
5,backbone.res2.1.conv3,1,DET vs FullGradCam,407,0.8497127585735517
6,backbone.res2.2.conv1,1,DET vs FullGradCam,407,0.8574250242838578
7,backbone.res2.2.conv2,1,DET vs FullGradCam,407,0.7756345261574722
8,backbone.res2.2.conv3,1,DET vs FullGradCam,407,0.9394401947315076
9,backbone.res3.0.conv1,1,DET vs FullGradCam,407,0.9464941197159096
10,backbone.res3.0.conv2,1,DET vs FullGradCam,407,0.822287731981346
11,backbone.res3.0.conv3,1,DET vs FullGradCam,407,0.8455887384047388
12,backbone.res3.1.conv1,1,DET vs FullGradCam,407,0.7999140965506124
13,backbone.res3.1.conv2,1,DET vs FullGradCam,407,0.9342723395818884
14,backbone.res3.1.conv3,1,DET vs FullGradCam,407,0.8439985585704477
15,backbone.res3.2.conv1,1,DET vs FullGradCam,407,0.797361995912571
16,backbone.res3.2.conv2,1,DET vs FullGradCam,407,0.8224129946534133
17,backbone.res3.2.conv3,1,DET vs FullGradCam,407,0.8165890116627867
18,backbone.res3.3.conv1,1,DET vs FullGradCam,407,0.7886830181928843
19,backbone.res3.3.conv2,1,DET vs FullGradCam,407,0.8397223717609791
20,backbone.res3.3.conv3,1,DET vs FullGradCam,407,0.709865873968456
21,backbone.res4.0.conv1,1,DET vs FullGradCam,407,0.7182989881627262
22,backbone.res4.0.conv2,1,DET vs FullGradCam,407,0.8965170277982719
23,backbone.res4.0.conv3,1,DET vs FullGradCam,407,0.9189014419627257
24,backbone.res4.1.conv1,1,DET vs FullGradCam,407,0.9021265846451545
25,backbone.res4.1.conv2,1,DET vs FullGradCam,407,0.8715567746497056
26,backbone.res4.1.conv3,1,DET vs FullGradCam,407,0.9438124157384353
27,backbone.res4.2.conv1,2,DET vs FullGradCam,407,0.8022669751475926
28,backbone.res4.2.conv2,2,DET vs FullGradCam,407,0.8525204967263258
29,backbone.res4.2.conv3,1,DET vs FullGradCam,407,0.9478345962997513
30,backbone.res4.3.conv1,1,DET vs FullGradCam,407,0.9224790052536136
31,backbone.res4.3.conv2,2,DET vs FullGradCam,407,0.8070821256568628
32,backbone.res4.3.conv3,2,DET vs FullGradCam,407,0.8236111901100025
33,backbone.res4.4.conv1,2,DET vs FullGradCam,407,0.8137809185027012
34,backbone.res4.4.conv2,2,DET vs FullGradCam,407,0.7820991997286856
35,backbone.res4.4.conv3,2,DET vs FullGradCam,407,0.8995850722405734
36,backbone.res4.5.conv1,2,DET vs FullGradCam,407,0.8084469168149604
37,backbone.res4.5.conv2,2,DET vs FullGradCam,407,0.7068550736769418
38,backbone.res4.5.conv3,2,DET vs FullGradCam,407,0.8951624009317237
39,roi_heads.pooler.level,2,DET vs FullGradCam,407,0.9282472265629544
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,407,0.9102229067452899
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,407,0.9264483862518811
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,407,0.9054820837479203
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,407,0.9253872745400646
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,407,0.8436589866266548
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,407,0.8690677103270968
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,407,0.85031157090314
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,407,0.9119111333879613
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,407,0.9396838807434822
49,backbone.res2.0.conv1,1,DET vs FullGradCam,1223,0.8630506855732893
50,backbone.res2.0.conv2,1,DET vs FullGradCam,1223,0.8551924331872962
51,backbone.res2.0.conv3,1,DET vs FullGradCam,1223,0.8188352001450742
52,backbone.res2.1.conv1,1,DET vs FullGradCam,1223,0.8198887382970347
53,backbone.res2.1.conv2,1,DET vs FullGradCam,1223,0.7970860804323259
54,backbone.res2.1.conv3,1,DET vs FullGradCam,1223,0.9055068303913896
55,backbone.res2.2.conv1,1,DET vs FullGradCam,1223,0.8416645759774148
56,backbone.res2.2.conv2,1,DET vs FullGradCam,1223,0.8765154506644122
57,backbone.res2.2.conv3,1,DET vs FullGradCam,1223,0.7793153402922774
58,backbone.res3.0.conv1,1,DET vs FullGradCam,1223,0.8079828265591802
59,backbone.res3.0.conv2,1,DET vs FullGradCam,1223,0.7842268715171822
60,backbone.res3.0.conv3,1,DET vs FullGradCam,1223,0.8074130916181916
61,backbone.res3.1.conv1,1,DET vs FullGradCam,1223,0.9279423171883714
62,backbone.res3.1.conv2,1,DET vs FullGradCam,1223,0.9232383732055971
63,backbone.res3.1.conv3,1,DET vs FullGradCam,1223,0.7505076163334844
64,backbone.res3.2.conv1,1,DET vs FullGradCam,1223,0.7839269093893507
65,backbone.res3.2.conv2,1,DET vs FullGradCam,1223,0.5920070932853412
66,backbone.res3.2.conv3,1,DET vs FullGradCam,1223,0.768112100252422
67,backbone.res3.3.conv1,1,DET vs FullGradCam,1223,0.7544979180364118
68,backbone.res3.3.conv2,1,DET vs FullGradCam,1223,0.8321904738301442
69,backbone.res3.3.conv3,1,DET vs FullGradCam,1223,0.6783000768481164
