,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,152.8623454126785
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,134.8989744798169
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,153.3402455278317
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,139.08375910990705
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,148.1602849400748
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,152.62563741092652
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,147.07539371434794
7,backbone.res2.2.conv2,1,DET vs FullGradCam,54,142.06788524622525
8,backbone.res2.2.conv3,1,DET vs FullGradCam,54,158.58532938472297
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,136.52861701010505
10,backbone.res3.0.conv2,1,DET vs FullGradCam,54,154.07042464930532
11,backbone.res3.0.conv3,1,DET vs FullGradCam,54,139.60284633929973
12,backbone.res3.1.conv1,1,DET vs FullGradCam,54,140.64589159543146
13,backbone.res3.1.conv2,1,DET vs FullGradCam,54,137.30805778935954
14,backbone.res3.1.conv3,1,DET vs FullGradCam,54,168.17251804103898
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,163.34707431847897
16,backbone.res3.2.conv2,1,DET vs FullGradCam,54,129.98369121635534
17,backbone.res3.2.conv3,1,DET vs FullGradCam,54,106.2785112289627
18,backbone.res3.3.conv1,1,DET vs FullGradCam,54,145.86925909232673
19,backbone.res3.3.conv2,1,DET vs FullGradCam,54,126.16536572135459
20,backbone.res3.3.conv3,1,DET vs FullGradCam,54,105.1793364554814
21,backbone.res4.0.conv1,1,DET vs FullGradCam,54,103.7887026857565
22,backbone.res4.0.conv2,1,DET vs FullGradCam,54,139.63133564316092
23,backbone.res4.0.conv3,1,DET vs FullGradCam,54,147.5970937915951
24,backbone.res4.1.conv1,1,DET vs FullGradCam,54,131.95535482111094
25,backbone.res4.1.conv2,1,DET vs FullGradCam,54,103.6456809425745
26,backbone.res4.1.conv3,2,DET vs FullGradCam,54,102.73025828992701
27,backbone.res4.2.conv1,1,DET vs FullGradCam,54,173.62418000214456
28,backbone.res4.2.conv2,3,DET vs FullGradCam,54,162.03405935198623
29,backbone.res4.2.conv3,3,DET vs FullGradCam,54,159.9853901223664
30,backbone.res4.3.conv1,3,DET vs FullGradCam,54,106.1075963539038
31,backbone.res4.3.conv2,3,DET vs FullGradCam,54,161.7306922375668
32,backbone.res4.3.conv3,3,DET vs FullGradCam,54,147.92821418924837
33,backbone.res4.4.conv1,3,DET vs FullGradCam,54,159.04792581856583
34,backbone.res4.4.conv2,3,DET vs FullGradCam,54,166.5988061798235
35,backbone.res4.4.conv3,2,DET vs FullGradCam,54,145.01772140505813
36,backbone.res4.5.conv1,2,DET vs FullGradCam,54,183.9061607809265
37,backbone.res4.5.conv2,2,DET vs FullGradCam,54,159.8834387396712
38,backbone.res4.5.conv3,2,DET vs FullGradCam,54,127.34598487762653
39,roi_heads.pooler.level,2,DET vs FullGradCam,54,139.6004365307254
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,54,146.59388945651745
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,54,133.99201953573834
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,54,128.98918265376733
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,54,112.48031444613362
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,54,131.93421348817733
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,54,151.14980701748755
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,54,141.585180018991
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,54,106.79419595880876
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,54,103.77274908100819
49,backbone.res2.0.conv1,1,DET vs FullGradCam,1319,78.37678445475285
50,backbone.res2.0.conv2,1,DET vs FullGradCam,1319,81.59370956816126
51,backbone.res2.0.conv3,1,DET vs FullGradCam,1319,87.34567633780756
52,backbone.res2.1.conv1,1,DET vs FullGradCam,1319,87.92594843046876
53,backbone.res2.1.conv2,1,DET vs FullGradCam,1319,89.38351096628969
54,backbone.res2.1.conv3,1,DET vs FullGradCam,1319,82.79583734883758
55,backbone.res2.2.conv1,1,DET vs FullGradCam,1319,93.85694829668722
56,backbone.res2.2.conv2,1,DET vs FullGradCam,1319,92.9545937528454
57,backbone.res2.2.conv3,1,DET vs FullGradCam,1319,83.23783474846736
58,backbone.res3.0.conv1,1,DET vs FullGradCam,1319,87.23308981345082
59,backbone.res3.0.conv2,1,DET vs FullGradCam,1319,90.37213325191172
60,backbone.res3.0.conv3,1,DET vs FullGradCam,1319,91.84716410647928
61,backbone.res3.1.conv1,1,DET vs FullGradCam,1319,89.13703859405683
62,backbone.res3.1.conv2,1,DET vs FullGradCam,1319,99.05231626843457
63,backbone.res3.1.conv3,1,DET vs FullGradCam,1319,94.84527444804766
64,backbone.res3.2.conv1,1,DET vs FullGradCam,1319,91.99922665025255
65,backbone.res3.2.conv2,1,DET vs FullGradCam,1319,98.37245982794207
