,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,0.3567571420457166
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,0.3309665021153702
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,0.3597432113688538
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,0.3218634124081411
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,0.34667146424712625
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,0.38863001606532455
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,0.3162917608799184
7,backbone.res2.2.conv2,2,DET vs FullGradCam,54,0.4266538408256704
8,backbone.res2.2.conv3,2,DET vs FullGradCam,54,0.4731382614851197
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,0.35078828045173877
10,backbone.res3.0.conv2,1,DET vs FullGradCam,54,0.3146688483408264
11,backbone.res3.0.conv3,1,DET vs FullGradCam,54,0.34084179723082947
12,backbone.res3.1.conv1,1,DET vs FullGradCam,54,0.3618399125112131
13,backbone.res3.1.conv2,1,DET vs FullGradCam,54,0.3474329637647602
14,backbone.res3.1.conv3,1,DET vs FullGradCam,54,0.3329989040304047
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,0.3417148551241767
16,backbone.res3.2.conv2,1,DET vs FullGradCam,54,0.32429412270579494
17,backbone.res3.2.conv3,1,DET vs FullGradCam,54,0.3514151153686303
18,backbone.res3.3.conv1,1,DET vs FullGradCam,54,0.3394317075274209
19,backbone.res3.3.conv2,2,DET vs FullGradCam,54,0.4405265932709265
20,backbone.res3.3.conv3,2,DET vs FullGradCam,54,0.43108257296878005
21,backbone.res4.0.conv1,1,DET vs FullGradCam,54,0.35448319861051997
22,backbone.res4.0.conv2,1,DET vs FullGradCam,54,0.35118138687024675
23,backbone.res4.0.conv3,1,DET vs FullGradCam,54,0.35198671565639744
24,backbone.res4.1.conv1,1,DET vs FullGradCam,54,0.3065359189800687
25,backbone.res4.1.conv2,1,DET vs FullGradCam,54,0.30050190447710373
26,backbone.res4.1.conv3,1,DET vs FullGradCam,54,0.35668849711806144
27,backbone.res4.2.conv1,1,DET vs FullGradCam,54,0.36333090387990163
28,backbone.res4.2.conv2,1,DET vs FullGradCam,54,0.3608390285408578
29,backbone.res4.2.conv3,1,DET vs FullGradCam,54,0.32021372944335214
30,backbone.res4.3.conv1,1,DET vs FullGradCam,54,0.35714681436169654
31,backbone.res4.3.conv2,1,DET vs FullGradCam,54,0.3444339012676598
32,backbone.res4.3.conv3,1,DET vs FullGradCam,54,0.33870183229680373
33,backbone.res4.4.conv1,1,DET vs FullGradCam,54,0.32057044928529294
34,backbone.res4.4.conv2,1,DET vs FullGradCam,54,0.3572077462156924
35,backbone.res4.4.conv3,1,DET vs FullGradCam,54,0.37206260910934813
36,backbone.res4.5.conv1,1,DET vs FullGradCam,54,0.3762277236476154
37,backbone.res4.5.conv2,2,DET vs FullGradCam,54,0.4389541068843908
38,backbone.res4.5.conv3,2,DET vs FullGradCam,54,0.3879997784868833
39,roi_heads.pooler.level,2,DET vs FullGradCam,54,0.430737981597957
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,54,0.3686047694929597
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,54,0.40720562056199067
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,54,0.376537895240493
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,54,0.37968253111270633
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,54,0.3177416383809733
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,54,0.3496013282718108
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,54,0.368895402865467
