,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,54,164.78920557570376
1,backbone.res2.0.conv2,1,DET vs FullGradCam,54,158.51858875161952
2,backbone.res2.0.conv3,1,DET vs FullGradCam,54,194.21014200170566
3,backbone.res2.1.conv1,1,DET vs FullGradCam,54,170.75853423145838
4,backbone.res2.1.conv2,1,DET vs FullGradCam,54,196.95693322393993
5,backbone.res2.1.conv3,1,DET vs FullGradCam,54,214.80882551656902
6,backbone.res2.2.conv1,1,DET vs FullGradCam,54,169.99987676558612
7,backbone.res2.2.conv2,1,DET vs FullGradCam,54,169.46614841232451
8,backbone.res2.2.conv3,1,DET vs FullGradCam,54,204.01938282394167
9,backbone.res3.0.conv1,1,DET vs FullGradCam,54,186.24172220456552
10,backbone.res3.0.conv2,1,DET vs FullGradCam,54,141.84356634190132
11,backbone.res3.0.conv3,1,DET vs FullGradCam,54,174.13501381770521
12,backbone.res3.1.conv1,1,DET vs FullGradCam,54,198.78131991727264
13,backbone.res3.1.conv2,1,DET vs FullGradCam,54,184.65104823221063
14,backbone.res3.1.conv3,1,DET vs FullGradCam,54,167.6979354038083
15,backbone.res3.2.conv1,1,DET vs FullGradCam,54,187.28235710628124
16,backbone.res3.2.conv2,1,DET vs FullGradCam,54,163.92709796008592
17,backbone.res3.2.conv3,1,DET vs FullGradCam,54,159.3888982992391
18,backbone.res3.3.conv1,1,DET vs FullGradCam,54,158.8290391332494
19,backbone.res3.3.conv2,1,DET vs FullGradCam,54,155.27257488053743
20,backbone.res3.3.conv3,1,DET vs FullGradCam,54,161.59992705723425
21,backbone.res4.0.conv1,1,DET vs FullGradCam,54,176.46293499718047
22,backbone.res4.0.conv2,1,DET vs FullGradCam,54,173.13084612115475
23,backbone.res4.0.conv3,1,DET vs FullGradCam,54,178.20173411054026
24,backbone.res4.1.conv1,1,DET vs FullGradCam,54,171.19317242863352
25,backbone.res4.1.conv2,1,DET vs FullGradCam,54,154.96611002830315
26,backbone.res4.1.conv3,1,DET vs FullGradCam,54,180.71637766242776
27,backbone.res4.2.conv1,1,DET vs FullGradCam,54,196.6817401482689
28,backbone.res4.2.conv2,1,DET vs FullGradCam,54,195.0397381786811
29,backbone.res4.2.conv3,1,DET vs FullGradCam,54,156.61666925853677
30,backbone.res4.3.conv1,1,DET vs FullGradCam,54,192.21256908595177
31,backbone.res4.3.conv2,1,DET vs FullGradCam,54,162.9962451406122
32,backbone.res4.3.conv3,1,DET vs FullGradCam,54,181.81380771246575
33,backbone.res4.4.conv1,1,DET vs FullGradCam,54,165.43328520497397
34,backbone.res4.4.conv2,1,DET vs FullGradCam,54,187.50475771459483
