,Layer,handbag_383842,sandwich_465430,bed_491757,bird_100489,bottle_460929,toothbrush_160666,refrigerator_536947,remote_476810,cow_545958,truck_295420,dining table_480122,car_227511,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,bench_350607,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,potted plant_473219,vase_376478,baseball glove_515982,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,spoon_88040,giraffe_287545,scissors_340930,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,snowboard_393469,chair_81061,sandwich_417608,snowboard_425906,kite_24027,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,backbone.res2.0.conv1,119.57576151551382,28.364848930028906,112.86154625074155,43.251203176823076,77.67702368138771,35.49138200407043,38.69947329287173,27.12185415561769,135.1915888664575,31.57186284554278,114.59248437169703,36.59496457233487,52.95589233239835,37.53527211111429,75.85269906387427,49.981168926185,50.913374281757896,51.3598996089015,161.11592651629473,30.630108370416142,24.026829010302016,216.86477629310275,56.4041528647079,80.43116484870177,52.63859074853976,26.089370329773583,99.86983774566326,45.60986155052536,94.8691395093019,126.75404189974621,188.69016354277358,31.431860210059128,68.79764257947983,57.01761527934782,82.53088677967318,150.16121398467087,34.503998366048066,15.393811636938212,117.23888419209123,126.40319120264459,27.8213144009104,78.06481390566165,133.42921337334673,111.96145365437354,60.25376232845667,123.44943098897303,76.39955779214951,62.61906430396531,63.85608600579532,55.00813013827537,31.53599023909309,148.98995420652378,84.98966043308161,120.14100983074522,59.177221041016,23.578971378774714,93.86134351566068,88.95333707231572,18.817426354215158,16.175692899899033,75.56776752371294,99.38554973534471,185.89782689378055,32.11832773618895,93.0485201913396,164.96285231655756,192.0904378864576,41.359999595879486,92.3126535762643,44.39468900137524,111.9759146709865,135.8571845937623,58.174616541498054,95.36215676522175,60.38950175471523,66.65970262211442,72.83995756120417,83.5531686713231,80.22029349105983,100.3522225806253,165.90099722380893,108.01515396978131,279.01661815809143,68.11141620079671,83.17234516476732,183.54818833226477,97.85403821296342,46.78652875790301,56.5824991513085,78.03036190147478,86.11376931076444,85.1376577796899,89.43179302595823,58.024763298793275,109.38053423705395,59.22501594916559,66.11384287114146,88.60139619864323,53.34304312018238,101.9488063920673,76.22389593690994,96.63256286777062,60.04320962483578,58.65466714480928,64.47246247318691,64.79450111175649,28.87251178143114,46.94144213176655,177.31978038581212,61.53731055159992,126.33011935657919,63.432416250752894,108.84434689508038,84.55189128351643,62.07874993215337,69.71077771417995,167.55966094710845,38.79901786999527,112.96952644651348,28.528972216779174,93.06475505991796,331.04870738536556,108.09475034355174,31.537518613001634,62.29875319624561,255.45254269531978,97.4386441391243,48.75416883410993,26.448818079561526,99.5345725696721,92.7265194792715,62.477887944223426,142.70089430706676,275.279493172747,66.40532319218102,25.506267557225407,41.2544085572563,49.59175744620843,70.63930665935669,117.20565229393598,37.293195637278245,57.35280174306786,69.21322370099158,31.44724135556328,2,DET vs FullGradCam
1,backbone.res2.0.conv2,120.1361187589442,28.0331754930073,112.49285747426828,48.3995290682998,76.04257709863013,36.168879194096306,79.33488830917278,24.854546413856262,139.2868072006858,35.293021946699696,70.8099644336848,36.2750758393246,46.966027253178126,36.13909697618924,75.10933133439993,50.32873464880835,49.26939862547187,62.35018096953071,158.2500376325967,32.50107746242022,12.987349344527356,196.7893681203169,41.94086958815915,73.55598175806418,44.995903577021416,25.15531304121097,26.728295168090703,51.6294137501945,87.9009988003034,120.01902439020634,187.3364464099127,30.441281817277343,68.07611312776902,21.51304812432039,91.8683660458002,147.16357162906883,31.8973815065114,61.47206914656303,118.20058399218834,128.49728294386722,24.990728792355668,78.48344678343818,134.87788053644465,111.53337669003697,62.08831108221175,123.70680517935479,74.04199190582048,64.83999624059801,66.85359234212763,58.831557091713066,52.43525654061909,142.36346521048853,85.87885482030279,104.61448406415091,62.02286683747233,17.749245272934893,104.13816970577233,88.79653690036427,18.727794823710894,16.828243219803703,73.88784923665953,93.41422079149201,177.43016121380487,32.4756636722865,96.11086129079865,164.24673232502283,196.5421766020625,54.12924779285478,73.38277523923726,45.20741450749079,98.3808574773963,131.67990343921974,71.76672317055231,98.97303194595146,62.14559159454696,69.04406874514126,68.29325693967026,48.04797119588205,77.89272415308432,102.09050550393303,140.1453337176061,105.17001582562649,269.70820036680095,60.318185747403035,87.186129241424,185.0195457441323,95.62605796934645,42.168589624070655,64.77492113957041,89.47086952098388,80.20839336915549,84.92645947523886,84.14724433114517,61.50039221454633,109.48773020964651,59.52031145600016,50.16276174789337,67.55234912262037,54.61638130986357,83.12666802669268,84.73680245043013,15.147105862650356,60.78914088634306,100.30407679053144,64.32311300243006,83.56991662700544,23.2152277244895,47.98248632915717,168.75427672923442,68.61564442865422,125.96644585043396,15.822904138726555,72.73058228581269,126.19370695044591,36.20778771253083,39.997984749937984,169.91205188853905,52.034350110987006,115.2068067568631,75.48868767471578,92.87117846912483,335.75375447924716,114.21575900584966,10.132521833215925,73.47836549591395,256.94499200941846,98.09293131350776,48.37415031664865,24.63741709224297,98.75001606221554,70.94832452104711,59.162240449692895,138.86768908658436,275.0476287513594,68.26216313274449,54.53477791381765,37.05655414698775,50.6405923823358,36.35760013015052,118.7745803821037,36.275133413397405,77.27850203832634,63.02326044809079,32.21269510818806,2,DET vs FullGradCam
2,backbone.res2.0.conv3,114.54772769695332,26.66914274819092,109.62142865143701,45.07705201227215,73.12006527394291,33.21489992978777,88.88692303644886,19.96365698343717,136.27338903367712,26.921310815820874,83.58582021628521,47.47313168711892,55.83587414909805,49.68195801638824,63.76262040080236,51.30377323607149,51.199913217061344,37.503244538754444,160.29916591338574,26.96205686004521,100.8690398215688,177.93295080121067,63.21164371158996,70.47503557853834,44.69338152560903,24.406408967093093,27.787831034005283,40.4149253872519,53.30681780752059,128.20106158243942,171.27377245842527,30.834530378280437,70.04038226033181,103.23033823720108,37.914379717158766,150.61471120125572,27.30571035776074,84.22035305892791,116.63748380837647,129.27334768152792,31.376291619807102,72.4403265198189,131.65250975357523,110.73737515458086,48.49489569565624,106.27820064962069,71.84981447108018,58.79770952187171,71.35909806766112,55.50362387269787,32.42632214080725,149.10647898050104,70.96454139099298,99.28268379643754,50.01931558580438,90.19539900305236,99.56874797808561,86.00728034121701,18.599960561970164,18.782289212343954,77.7883039885171,88.66077559642629,119.34060843571501,21.348253112024885,89.17532858406352,157.5716514519732,188.227939673667,39.956541335161006,89.67169335882667,43.29558686932032,121.42746721783743,128.24344150973099,75.01513951330341,89.54512143900637,61.01787764378837,73.14130799974723,68.28158638614866,56.93724094484921,81.97372076959732,118.67512296815462,165.74989485356133,106.41629389989717,269.90839408616455,86.94574359409323,70.29368406232754,187.1607770075847,97.43831934041296,39.38617782250732,79.96635287303708,54.908054670648596,87.83365031283896,85.7593241454684,40.79127112190747,60.1368470522506,107.20555460323567,60.27493031019662,51.15681919439934,80.11157544633542,57.645320977894514,86.87311942642594,49.15581405905408,85.14246738564138,63.84957819372783,59.695441750596515,87.18993587482635,59.66475333324492,24.26169123586841,57.570837753898815,175.3021957428724,67.98085075144715,125.38095522899042,10.713301271608572,74.15678221093725,90.42857117500647,86.84819466435644,42.74756938464539,161.35385866025217,47.66569704819928,112.8060398060763,34.64015897906499,99.74637855067834,334.577019114952,112.49350388841191,6.088485101082876,87.79586757342236,254.84748881955647,115.93513434562882,47.84106924256531,29.164019650708173,99.28083443573328,74.43001038689405,69.31747636661329,136.21572125205992,272.38349351701083,76.69468111130156,39.00340788239159,39.10276408128734,50.67926935799828,31.337543082500705,115.53574438962815,34.11959647875478,74.49713111951299,63.471869000420085,28.473559680517283,1,DET vs FullGradCam
3,backbone.res2.1.conv1,100.1607778038256,27.250426177780984,108.1662395891095,42.00883032783731,74.3199249723449,35.66660250576695,82.98773387984501,15.740377285317551,137.0574257948295,22.132828230660234,77.26678827624224,40.264691919513346,28.373307080032532,62.58023212079949,71.99884736265669,52.52880678163471,51.719156673967724,34.08394786194452,162.8126670352743,25.664368401466103,70.1146782315134,192.49683636556165,59.28304058728655,66.10372895158613,42.995887000567436,23.601376061042256,96.60116887561071,40.373777251333394,53.202521698620984,129.879956978481,168.99765708498074,29.831513310699094,70.75438553050094,22.053532259194682,55.534589313616,153.32928821051425,27.15400146359751,18.090256894976253,115.34881488465774,135.66218188807696,27.19884122829917,73.95103205236745,131.98116635061993,108.36531371024175,43.89313686654988,114.07364407624807,70.07797276202675,58.759237215812476,76.53223781196743,54.77696156467119,48.11778362333292,145.57331795874973,74.38445653055868,96.58181422289084,46.67348462399589,28.47018766375757,178.88369303021156,86.93404339315329,17.44897435485153,18.493986276952985,74.83428672494529,82.82630173296474,180.38289100412987,28.807046014543324,88.38952745140787,156.75791247383793,187.0930549298527,34.24206192076737,89.54918983402082,45.836435291057356,98.59020717588139,91.58319592451288,74.01890658757593,94.61367022835651,47.724242810933674,61.03004543383138,46.97922343720836,54.103790547906875,82.087670801732,110.73805966507493,104.74096883438973,110.98673326690695,269.113357403324,84.09095599500344,73.26911797092976,189.52545937194697,98.14965175960775,39.35248265459565,64.36393727296964,92.64385566113646,57.15497583829655,87.39887263746931,40.449646185335496,42.88176146190481,107.04250274999674,63.33340702204226,79.49237944275968,79.36726595025993,59.06909433359251,114.07214169427233,55.05324708551178,106.88883349956222,60.004352495545405,62.64458130435801,74.66705331492977,55.9743841219842,23.01296570510756,40.73067922026341,172.64690507103077,67.97873488592786,125.67730599177588,10.972856206836594,70.41034890606284,89.91049268321724,25.581091828441263,39.98837093800889,165.3006186123268,34.96630522321283,112.79914643902998,30.810246919540205,93.54448488836378,336.1479635929419,80.79521222125692,6.188910589052649,74.4132748458997,256.984794910172,95.61942296271965,45.117274217345354,30.52955033756126,100.73916297596818,73.40859739091076,68.04030104945045,139.0509296008988,269.7228707923028,84.44150661863259,32.16800010751085,39.51606691963426,48.72086098640939,65.1753570522006,113.62548258100608,32.53979765216545,49.831004865236565,71.21191350291072,32.51379248709354,2,DET vs FullGradCam
4,backbone.res2.1.conv2,100.31817855133616,26.979209118090406,108.5921199922676,41.674281918429664,77.48869635261457,30.74509059931991,22.461409092387733,22.379328609744107,129.9251340914226,25.699503970183734,68.36512287900605,44.3229716121994,97.54940536315576,34.62078350232228,65.46334431093044,50.199821836370134,54.26115979851111,52.0389034862157,161.243644125949,27.486295379717966,15.92383132758397,206.56924336418479,58.926509252209584,70.09736186177464,43.04319762217057,23.7077082932326,16.16356433450443,39.10841859146853,53.238419525161866,128.42126744188428,168.84132845064568,30.860175231924735,71.93669832279153,30.521671001557557,53.45501944974147,151.67326069842943,24.7290883937715,16.16231521279158,115.85451838061205,137.2596835209243,30.991670941749884,73.10587625755517,130.70115102020017,109.56667468390233,45.35250766891198,110.54233211956182,69.56378611383153,63.45551378915096,75.111449374519,52.499470147330456,29.988165083027898,149.30265364851772,88.56887081718075,98.0137996292974,48.56486917656686,30.732221600667316,91.72439283000475,85.36182190221211,17.57365910091356,19.143923536914357,80.09677056344256,89.32173832369448,105.59951798748925,16.957293617671198,91.5998513634861,160.8343217103211,180.29690673384601,51.42404968525381,51.3351913550983,44.9578681933879,57.282451936464255,63.35090100022587,68.54303273334169,95.99460755625185,61.7382269810042,68.11035223203538,90.0397220211387,72.79486120131017,81.18566500105773,121.85180676706885,164.2926467849086,102.4819475643176,262.2592514684849,92.70011474873868,85.40675027062017,190.3331404079243,96.94926493909585,39.64035664607272,60.73570623271755,74.73994982873143,36.4656601184836,85.89977655219491,72.46099135379359,60.34071816285396,108.50433150824645,61.48047806983608,47.83396900448706,61.149191267822765,53.26008295323937,120.80375271172267,38.47482441829213,59.072021501132014,57.80045680404678,95.33233662131157,68.08788535606061,59.717514433076325,28.639593163616304,55.96158114521017,174.91836430591536,66.24727272569268,119.59644925323317,13.32561714427634,70.38371581926341,103.67211261068829,29.299639860895574,32.16981713326649,164.35897229302333,36.941804035382745,113.23727334210332,33.38865179385948,101.25842374867793,343.9001204229321,92.25816323606843,6.598166648690489,90.28275941142911,257.140557551423,98.55015669661395,45.8458375496893,25.275215820612594,101.74974069130579,81.52816341675916,56.93890676009399,138.7264329193661,273.0885124208542,70.96096306623444,29.441495241976337,39.49037025999738,50.23512155198903,64.27186084186664,116.68521064360961,59.779559819098125,51.00639950138604,66.06296096042543,83.47010860640042,2,DET vs FullGradCam
5,backbone.res2.1.conv3,110.98939941310319,28.62529533659061,108.35200773683565,40.674356845144416,73.08121894526579,32.07133294400664,67.76554771426343,22.711756591045948,127.07366570999645,26.33176852458185,108.74956878936726,58.24926777721415,83.23319529648671,35.87847817993402,74.11311179541488,50.39942249413671,39.90303341835384,65.89942115928531,159.27911586833363,25.784160212508407,17.94835721974165,225.02471929057802,58.91242164476713,72.835014014504,44.61132746077347,22.35808456307888,107.61989253538574,37.441102721079076,50.089655542090654,128.3354714507777,167.30199757964996,31.551104718015743,70.44920515521424,32.24582985486402,39.71897577042372,150.6140696074014,23.083261071259788,15.368299834816419,116.90555078405026,129.48906674749543,29.204532815862734,66.12493871010793,130.78138530721262,110.20681800393066,47.81405006148756,123.89204395752604,71.83944107366258,63.502403673526516,76.63217018240478,56.21592857673086,25.155637566848373,148.5663012257865,65.83324622792709,94.29315068293783,48.46289029970407,37.60920349289236,175.16410329029202,85.93011633573653,18.151924874468992,19.261738584196127,52.23185425341989,86.57767971747205,182.17581194124776,34.80697966175077,91.65565811928451,157.12685425859877,186.97443874996307,53.4353638629303,89.24773069513242,43.50638879500139,84.30911669019142,127.55448265544567,75.4372165298307,96.17272459073132,58.51241212362871,59.67477410730294,67.56447357433575,54.606826154613394,82.91208239541236,143.81904936211146,167.02202776069947,105.0086689263952,268.52792294088295,62.18660476207464,82.90565573485776,189.74241185678312,100.3526543021167,41.13583113074894,52.91919756474234,43.79120774396974,36.32512313447545,87.0625723506358,65.50802253229921,56.5654089405558,108.5546201901604,63.044452237721444,48.95288840729148,55.83589909431452,64.73501317327943,107.02318301734229,67.94760364271261,14.980400492948402,65.14724324482242,63.45220916272648,64.8107797829224,85.5574756131895,29.247989324231074,44.22134923698203,177.72928974334624,53.19285149327767,122.95056993677575,41.99884338738872,75.69346336724621,121.67761490368224,24.76186186211803,31.633436206188982,168.00409574986844,43.9254148903984,114.25486448720903,34.065063551107016,103.83891499519345,334.5842118839099,108.64295052173202,7.323528218760053,91.128882418356,255.65635253661384,83.3373638618796,45.4470071667331,53.622679412224585,99.10838896233142,81.9746514255666,65.68440171548286,138.5132075090193,272.80452873059494,84.30180884021652,30.561172254976732,40.217794400618516,51.17972051982075,61.07550458804407,115.73204765157922,34.08004721719544,47.07272603928095,64.36344776210682,30.864249422341533,2,DET vs FullGradCam
6,backbone.res2.2.conv1,111.78529274717106,29.299309018125307,80.54161067001544,43.03669350281598,75.55183514969664,31.914219890403537,26.98254981395077,21.396714797819318,128.42649784784015,24.154190868971536,69.77653898783541,51.9727238767545,97.71449326870408,29.865131376960925,70.29583551703243,52.15182172589029,55.09016113008922,36.191752790408124,159.94468224681665,25.59071936084932,104.48167736562844,201.36603858621504,57.65919814473192,69.36112004202376,53.75742854521353,24.2836999499617,14.646640729093965,36.014010217695386,50.86309168638329,131.29352417569748,168.81183872973546,32.957266368623166,71.5818391066326,30.43196114642894,36.74213466570431,156.280143737169,27.652228694162602,31.74632769094908,115.75783912300909,136.99754856320948,33.5985497539986,52.9166385878281,132.62309250367224,108.20646405192215,45.29668258694912,106.46894539525921,69.03572675236063,62.49479562194624,75.0504241547936,69.01106947131862,36.829964295776264,142.39371039001736,89.8264427829958,92.84129018775826,44.6777443927545,20.718245482474074,176.9807083755666,87.82174883432839,16.58430350858226,19.1748774376281,77.3386291342693,82.53014438104896,125.5520350863622,21.75571248304985,65.77912672735215,159.1596184575137,186.54018913635707,36.64032572277605,88.11930928428654,46.80887662055733,96.3911369079577,120.72813614581801,71.71718210189606,94.8335018573722,61.70031441992922,62.43558592905469,102.33901439291131,56.377333788421964,81.86129663161772,107.90191495965095,164.98972610144824,100.67619948895033,256.79356066674893,93.26766028393502,75.05159747532045,193.4411405938585,95.15042318106765,39.85551758152108,67.90169548856501,89.9028803916403,53.11267684106521,84.83878905989162,39.07578212237292,57.99253872128999,104.30220041274865,65.452770406802,45.288200351725486,78.68727777375364,52.52161766996393,112.14018177937618,52.51419558524195,68.60073063324813,55.451005576942215,62.82262493041677,89.42158806546337,55.43612896534033,22.9037265579377,41.3874475807561,170.12210944315916,63.55353868656331,125.42876812415574,21.48005683631569,84.41094518544084,92.79018306728263,79.4035332856179,51.889136607884176,167.71654936874057,60.79677350429199,114.56153452098378,36.43321718126226,89.69270645418592,335.25988433944497,47.57608126203374,6.159297818695191,69.62896433448101,254.99664447966677,103.64888499008026,44.211587618882504,57.24075858353576,102.4634729152769,74.70025846408672,67.33599765317065,137.97689331499907,271.1398785171855,83.08314968401847,27.79985956249721,39.03352699869305,50.48868588577578,51.48512073983729,117.57897493174343,33.32105934001807,45.062516447921794,69.00383194276341,34.194923571132705,1,DET vs FullGradCam
7,backbone.res2.2.conv2,119.7457668804492,28.31872087828864,103.04138200295355,43.36035713562797,77.69836459161388,31.93583147023853,25.75124647127474,21.192298572114133,133.78162849740787,25.60617690911377,67.8502476297394,32.94638268636197,29.684003621226267,30.8646393794664,74.47635635079493,53.47134207937597,57.18471097633724,63.83421991313931,161.16037251822877,26.114841459743122,100.61730449896442,181.2340799772759,38.40606980911884,74.40919984439944,42.60419230678408,23.770641150677005,16.463051839035185,39.350893859795626,55.39746361104699,129.51390114532347,168.25751299022824,32.95160338977549,73.27596471041753,30.274060438802014,79.40271496122661,161.50121301808127,28.941664631170465,75.26115770003699,116.26266670404846,133.84071675317517,27.667132640320073,32.864129633281195,131.79334566896188,111.54758040706704,44.14189645491616,127.66223196690076,69.1657682654886,58.43361389464812,77.34527657367741,71.64868515151215,49.99185491280795,140.51556378705902,74.39331697010226,96.19642034253322,46.05073572489793,20.239747617967247,176.97149415354633,84.56871486519113,15.980118899094055,22.43908382115811,86.72650441245982,83.2770651881336,159.5200326539428,16.638317852209845,63.81627483096747,162.8070078202204,166.40637980758308,34.73828012657743,89.34903584207953,50.08112321227849,72.22752150766414,125.75207628658895,68.08571764339236,95.02620845340385,59.42896128587054,62.40942208858621,86.22468040608334,55.98959313395159,85.89945308331184,120.45153563883136,160.73824092134993,97.02681900754443,270.89127574541413,55.240057962865855,87.29926366383215,193.65176529780035,91.42222641046095,43.37585303440622,53.654272213341216,62.070500298415766,46.43357511118053,88.52371294508836,27.48699867797081,69.59039622774695,108.22007465028747,61.29444149780181,52.77797837409726,64.44198127796125,51.65788241456626,114.19883859095948,45.88124530439165,77.67704131152243,52.52706093127546,63.7798488379232,100.87969672492689,88.45412069240695,23.32010251136013,44.60153491375559,173.66004533205745,54.62966620858244,132.02449605397072,57.47980056849566,89.8119641559058,94.59151418282943,92.7233098502696,32.09647430945975,168.70011191336224,43.476736122079615,116.60196845716679,35.42525655878009,103.79119107346219,341.0811808097309,47.14433311906936,7.5715075563196965,75.61526261811713,254.13654599724356,101.20013637614318,44.48114446670411,41.576286828391225,102.68952754201807,75.1157950274895,67.42457081703124,137.5445343740181,278.06020201289203,83.06783185822533,28.32301735465748,38.29109504248795,46.785163423112394,69.09798163160443,118.75105244183558,36.335067269260044,46.27153187307432,72.77699637948012,43.00490111776057,1,DET vs FullGradCam
8,backbone.res2.2.conv3,110.86650165517614,26.308866868748993,107.59082223567026,40.67836177531265,74.61822971680631,33.07216951688255,23.717291901318426,19.80905196216986,128.87319765230492,32.60547061953163,89.05265777199975,34.18282814249041,32.286326161059186,42.89262892018232,73.81377066127087,51.4317419302827,49.88763088080677,39.84611631495292,159.93139428545123,27.780956676255034,102.38688033360366,227.56298702744292,54.28236052719639,67.62027067212526,55.249903790743446,22.5666749525979,23.835705424167074,38.90420527545206,50.496076822442355,117.89756623761866,165.09820750165397,31.460772204496557,71.10958579586003,33.86380985342447,92.07070207008958,150.3294786871194,20.652528153031184,16.9233803088862,118.93695809985937,122.7218089955431,27.383917819958583,65.58262453576012,130.3830721797674,113.4128590531291,50.184726436796375,129.07690928333417,76.58541129171265,64.71338817094788,79.94252889780088,57.223278837586264,41.78049165655135,152.36337680365097,69.02949289666003,93.7565673161725,55.92154044461661,58.192241392482636,177.0224296193067,89.90482320758781,19.781634804046394,22.018685968484018,78.35205503906155,85.49762665614357,173.21904887060822,16.89956408928715,86.92215346182763,150.31396827058043,190.23437228729713,39.73130957899279,81.89705763641275,42.74886509101519,53.11699741947359,127.81522316907567,74.81837374267445,91.99945107268698,57.21260454467442,61.79855007247831,81.70424716268434,85.42912625137592,84.14887548502185,112.43217022990967,166.90028067877108,105.6478953999677,270.28412353614897,97.50213070766875,72.19013810851865,187.29355563321263,96.29960805865535,41.77101313369316,82.46809089017086,52.965004298430344,87.19615389993757,87.54293186047913,79.90567155829994,57.96878060473441,111.95063242305136,64.67513657063178,48.05497107827004,49.54301192039725,60.30322150165187,68.44974832522828,41.39301781939024,104.14719347716049,71.68939288755388,73.56857876794224,69.72856258804848,67.17766859031154,23.334229918107596,46.36367300818708,177.76506410977314,62.602101221050006,134.3185796011274,12.627762544736072,122.17296636335712,90.40798791629476,28.045967664673498,46.69938307243305,163.1545369037755,47.7593381116795,114.77158612011837,35.31437422686544,103.9560193722247,340.5068223596919,79.47325637399402,6.821144921935003,91.72563280443615,259.1350669165895,104.7135148176795,49.113839218201356,50.629526666449486,100.24696402850586,70.06156841246897,65.0754962693365,140.73631408228454,275.321243062645,84.5793409059777,31.357245572803446,39.21480855132055,48.361030532820614,71.04204028411468,115.68008324625023,31.3579864504663,50.79012384082798,66.44009241297742,27.964700520472846,1,DET vs FullGradCam
9,backbone.res3.0.conv1,113.18167708717675,23.845392312279213,109.0291752553286,43.54856143795434,80.05979577778284,32.396539541483754,24.179153891425425,21.70154907823603,129.66228083580003,25.399965538045148,71.09076089402514,34.86580135254732,97.62064605985823,67.64822926255714,74.53926165678064,52.007729577100434,53.35825824003358,57.112702292878105,165.8273257192305,26.714675914078548,86.40470401654476,220.87130937752582,58.49330566539604,60.78372870344165,46.9884536129492,23.341183779929338,26.187038126897498,42.494509952071425,51.5835699151005,127.18717399963498,164.75885759485493,31.32982693105339,71.9200516676696,31.70453440296679,47.67360786071036,158.20185705886416,22.816679573606212,109.3783097937181,112.45859434190538,126.24975482195414,25.64488096920472,68.4509251216854,129.77670003281912,116.31473135828158,42.91699393717099,109.0426438232947,77.6599030730849,59.23992872150572,80.61371986802071,67.38464655537074,52.51310880893472,147.53133513796195,75.75680577806273,86.4267721639598,50.89117306269474,26.363532199623837,177.36841126080407,92.28229360783315,83.7265541696825,19.396804852007314,76.3566641660219,83.68607444189621,172.8279366556019,16.57658041997856,87.31133342401684,156.94128897408513,184.55198126110034,39.311993933785814,69.31783389720798,47.91383215045021,55.89849608394145,127.07986902696068,78.7729430104047,91.05742692618978,66.05306568264437,76.62893252079502,72.95366699583663,65.52034602383284,83.67300626270482,139.32286954011772,163.08146145883845,101.14071953945133,265.8220759011371,51.50142650131898,78.04903646186716,189.20772125666502,98.59740481870855,42.00780706398299,61.76866843489151,77.09974263955806,55.982907189728465,88.34986864269189,43.97328386588356,43.70104282437592,110.90078439436618,62.426995560740195,57.04666646196766,81.21886597285541,54.85286958120282,68.91789857815067,62.43449182991411,56.9257958232684,77.81240562801878,63.30097398029838,68.75558140246608,73.32334552369062,28.13340618767528,41.65686648666328,169.33586856185178,66.35467602994503,135.80277120670326,10.197322581215767,120.02996988333292,93.78797430268929,48.908399112761415,43.150722171509116,168.32596959714203,40.080706684762646,113.0092727557253,35.30980943087944,115.36514877983913,346.7000099052873,91.08098585110649,8.613874898982619,66.0759651989612,261.3157391214462,101.17703664935236,46.26380332253797,24.481935281343358,103.94786384124706,92.59963258430514,56.43780059597883,127.75437032149911,270.83910253437205,71.8181054229434,30.763133335311693,38.90599979553022,54.37506959024338,60.44310794944123,117.44808083342153,32.26943607492608,56.768391265843704,67.67184048241037,106.4751143794972,1,DET vs FullGradCam
