,Layer,handbag_383842,sandwich_465430,bed_491757,bird_100489,bottle_460929,toothbrush_160666,refrigerator_536947,remote_476810,cow_545958,truck_295420,dining table_480122,car_227511,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,bench_350607,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,potted plant_473219,vase_376478,baseball glove_515982,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,spoon_88040,giraffe_287545,scissors_340930,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,snowboard_393469,chair_81061,sandwich_417608,snowboard_425906,kite_24027,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,backbone.res2.0.conv1,121.19908540923286,37.22745911916721,114.06612320846773,51.44404983944766,77.13207219225649,61.085792617962746,29.996165140279253,28.190545690520267,145.1233989923607,26.51685107814899,128.83900843895182,59.013464957825505,38.16776298807365,39.94026141572213,80.45185983103298,68.76318613302367,57.448370341313506,52.25957909007681,160.61748751725605,34.73906533361122,24.697231586499186,239.0752735283521,63.62326777327495,83.37815170457421,66.10385519966727,33.425527311001694,21.654189276137622,47.88011513833575,57.496978162460266,133.50456354507634,191.05820151979177,36.77980871326912,70.39586553185137,30.198968879397157,48.983707065049,151.081713233402,30.35943002876776,21.965163299907736,119.23654506803145,133.72652611585045,25.85143480754617,72.56152794025618,136.12867480955993,113.11612705107532,63.02701286147183,138.4074779332098,82.26272773426786,69.36302533488953,66.5360761009479,76.06213503397635,51.58221341436193,153.09188760464144,87.2950364766983,122.71438332476578,60.591899726605575,20.5301946319663,185.79239023218656,101.66519027717445,23.19715108695351,22.04875919176906,79.15477420400896,111.0543030937229,197.01948308675463,27.758389813950846,101.32906290831363,163.41084691892544,195.95644804369738,57.81056451279463,100.23997642567966,46.30294201233057,65.86478241984989,138.24253179034048,85.73919974947293,94.81773932945674,62.586905155733625,78.72350638267606,96.63434347863546,64.75466377809951,81.38484595356083,144.64859059336513,167.1566696714291,121.0675377379313,241.3348183793569,72.7170614577092,87.9997324782679,184.5735913024272,100.27939805462066,44.93644956914724,72.92015947087992,40.968739868695195,54.9847999841095,89.22655952837019,45.57584179103837,74.9520186818327,111.59724410997279,60.46311132873774,91.41378771690813,93.52994779489705,71.85079390271699,95.4260543562402,92.06902660946251,19.558155484091976,84.44477214755108,73.08961314884087,74.80063196675769,96.16788329708871,31.51474126224429,61.70000928872169,178.96934268180198,74.68230971015424,133.9513419221709,22.752922910679015,124.89438569965654,89.13957902797958,94.66295964157362,44.58400101218508,171.18887984077662,60.00474795343034,113.89286609523276,45.71901456259783,108.65062823623056,333.6667388356699,122.6837119266154,13.90533309724691,75.38881942072044,257.14933633777474,85.70203117380932,57.64043455479265,50.91537944834887,98.63483815341544,101.6401692006767,71.90661374908447,150.38208989716946,275.69996634662317,86.44315513446244,44.939023647896974,46.822951956274096,53.10460392673355,26.154961693647433,119.32976810691046,40.34370449988421,69.57679813917713,75.2954909719927,33.40868842113433,1,DET vs FullGradCam
1,backbone.res2.0.conv2,131.42640084836785,32.101656418079926,116.83395104727879,52.080830424240276,82.41541865728986,61.2332469396306,22.839946614140217,29.411934210606187,149.2601749129754,30.316185684985097,128.96033468250343,57.03539707977091,40.89410090853141,36.84492432551231,76.15591721185085,66.76052924989575,51.15843127376153,53.87870290083117,163.6486647294806,41.58978278455368,21.62664458335966,237.90787928401875,69.15170194253923,90.19047902364164,65.04327890414214,28.197148543367405,22.642815887555262,56.909375987168886,57.72297126131099,129.10296339576644,192.1667891311613,30.245506468970348,70.06192442067572,30.08696478778895,50.61886284902954,150.10431233245038,32.44029148533815,23.330111404232063,120.48060203174114,133.59035710902293,29.0703334960658,104.25296588357028,142.18555097550308,112.73412411256203,66.03604937292917,138.50469525944527,80.19174543192767,68.42166855690405,66.56135644841213,75.24485030831738,42.16082156048385,149.81465992523738,87.45495794689666,106.3701336830982,63.20325328466062,20.160664816782216,185.59594141200162,104.47296184385603,20.966293248916223,23.374555808241848,85.72854656789104,106.1430761207202,198.30794637030374,21.22169394843679,104.58313287258795,170.72336884666163,199.57647878138926,54.72833706905382,98.72296820760766,45.891512786019526,52.63030987948124,132.6342219594977,82.82012527284411,98.38320434625184,61.281968971274416,75.82751467138473,74.88376706475492,61.29303359072343,78.77985006494912,144.74899364035025,168.5816528198353,125.07414496746493,234.64599808388962,76.37499043618757,88.45930120898595,185.9334716689386,101.05067330256807,45.253895758821706,69.55339056238964,41.306418716669725,56.47782894732286,87.998683101649,45.982444686050115,79.1221799317311,107.28883022127917,62.66544463231657,93.2874998848669,95.27711640493953,70.38449389133324,89.2780689576011,94.61110795011663,17.183321456207977,66.16847529230992,68.61625507243136,71.71497417873042,91.17928693313851,32.628282629550526,63.07923690372719,174.17008962525586,75.56728343602961,135.36949778305637,24.339845820442,121.65086349299342,88.09997480364996,93.53733648650443,42.28435398417121,169.81905672435548,57.97460914215864,117.31512200693348,49.90433897484661,113.04814232824367,342.43242841059777,120.51153200746135,18.675003689630344,77.39836697718718,260.40284615938276,88.52982359120446,58.16730694203611,43.47066930331957,99.7563560245341,95.30005635901446,73.05626335518676,148.9027795807241,276.62731031527755,88.50826852905145,41.99842848790561,40.542888785543695,57.090590321816876,25.82927928025795,122.80330258153049,41.53330751028903,78.40556529675307,71.01634680415734,35.73073561205016,1,DET vs FullGradCam
2,backbone.res2.0.conv3,119.1360133434869,28.909912180057063,109.34855362060705,48.255169742330835,78.07157250017552,55.07672758685872,24.19839250513991,25.599039491546495,148.22733040121457,23.558810307045185,130.38643997239421,71.82238968577188,34.73799070237343,38.93510492041379,76.53979016605675,71.28440829376379,56.61967470332304,53.764625536264795,162.97956044309885,30.95438995276044,20.748212327433976,236.56703272376683,59.71193195420793,85.98572310491704,63.848401076702345,29.576988019321504,22.659516969967935,45.321117324661785,55.49640443555772,132.63308620912346,184.11822854977086,36.01180646994679,71.40818701541988,33.37649275618841,44.21625609610878,161.88271824075758,28.19261519106025,20.83043159141617,117.68534998258403,133.67046777854353,28.938477083956805,74.9410498155264,135.0296037000975,111.15094276590752,51.69415658717108,116.43146710984107,76.57749148767203,64.953006962815,70.97917536652092,77.6970944162705,51.322280291930824,151.64227875353282,87.40296699343617,101.83802863755982,50.711453976302266,19.34499463262816,184.11876730225694,103.76633242663921,21.889346965362456,23.366045450158808,79.8385441064236,99.42769255685522,193.62496184293332,23.782513396619336,95.0591502687178,160.5854243257634,189.08293987462608,56.879466467932914,95.98370285192719,43.8264162413202,58.77731088822247,132.3784689838994,82.89296099990023,97.47066633592634,66.18984923343427,82.30631954362337,105.68728996054982,58.59709946993289,81.78510316936476,145.69274041910919,165.05305987693654,107.55186472045938,232.7082928968232,67.44905919534769,88.65584127772601,189.3122388639388,102.6329079042444,47.79442465475442,73.04604681655637,39.27874077374585,59.10284975397107,87.3766665571211,43.68480311802726,79.76391363612098,109.20112899431133,62.669821437804465,92.3095098291505,113.03176115556056,70.84715326518543,84.35477435281237,87.18705467287307,18.774182308197513,62.56298422187345,70.96351342425677,76.08022268993847,89.5465974997197,31.817918045046063,55.91265710388997,176.92958822466196,73.41050425316305,133.61460296770267,22.744581509279886,124.03164389502925,95.29491952364016,89.1241075722682,45.97630291496636,170.8189964945629,59.01071561409631,116.66939566947693,39.921313193644984,141.20884267300823,340.18734999374703,121.29560262060521,12.975768505155425,76.34572303571574,261.47820067549566,87.41125553588911,58.128070576083644,46.68896012186712,98.73277103951082,80.00903032883946,76.54853584633722,140.94378848465885,274.62780581432,89.10046632899667,47.001547049412,43.560880675321286,56.327358874714974,32.742990018101366,116.01193891618078,45.263022306254456,65.07091050649953,77.3093090874478,33.375256339088835,1,DET vs FullGradCam
3,backbone.res2.1.conv1,115.06360957649652,31.514289175451523,108.35349701996671,48.79012473917163,77.96994393525478,55.214922704356795,25.478631791598062,25.130646471370476,147.03456093597742,28.864222443508282,127.2471744475536,61.05535895373739,31.317066026087133,35.78677258271752,74.85901529675365,72.15246000284412,57.20180917028664,55.96616863053063,163.55432799210877,31.034593336552035,19.075252989159022,234.16235607434507,60.22590370970583,90.36204060763055,61.399822354471695,27.652113965924016,21.33335866566239,42.26758291691049,55.505004348052125,135.75476459881423,173.9759486616498,46.35804962284165,72.77214510053315,29.48557546651408,42.094061685205375,154.7166191328845,27.326401106987262,21.63171661792579,119.02639435711882,141.01099933173973,36.428054379739095,79.03751187670215,130.6712553326794,109.04755019842429,45.41294705518324,120.20428173818131,79.4117944421028,63.79151802462417,78.78587743262977,81.45179668477199,54.571272008720356,150.4298132544539,87.81170051576744,99.7663063694573,49.59625378136674,24.12647097578336,187.52800655864849,102.82284395530714,20.91327399543652,23.129455534249935,80.0555495863178,99.77513921596852,190.46955446999502,25.490757957978815,94.58954093662061,158.9323264986149,188.13604419913617,53.528065382851246,95.29297002560313,47.26465897893567,59.28165961391207,129.63406984073893,78.03395636093528,97.75147765328364,61.91633817526358,81.7101605383292,93.38725204336674,55.99831295374472,82.52370025583973,145.58365900020638,167.46512087858486,115.6427752583662,232.15849048496978,67.81649822079612,91.82122481837047,190.98950811694368,101.03270769136961,42.261529695353815,70.22904569587857,42.136300389535315,56.88175823607472,90.99298076347245,45.22720628257741,78.11098595351845,109.92262418041742,66.00524248675939,94.18706948694205,128.88515456973582,71.57465793268551,82.42508135985884,86.26472383188784,18.443349638735597,70.96783976242324,69.04982919357228,77.65940022409684,87.44145993542776,30.55105639883792,53.214420379658,175.99336442333657,73.31168689243984,135.17747260123355,22.334794131372952,122.55958388964146,92.80216810230779,87.51117880109533,44.610111132038895,172.83516868527067,43.08210375856608,113.84791895491095,43.551623491265104,125.04925441922099,341.9413746505469,124.16056840789987,11.646962475419103,78.91537848475255,258.05446827623115,90.8559376298715,57.020620690191805,46.17669154874635,102.40904916587597,80.53605917529774,75.4046499830725,140.8955265949164,273.2525649584238,89.32206942876684,47.674313208979214,42.36432445534284,56.44893970658692,33.039525471509066,117.03194392496073,46.177808359815174,63.809891597050786,77.2559722682949,34.09111097938324,1,DET vs FullGradCam
4,backbone.res2.1.conv2,117.89604082231135,30.36030105164824,110.11920800989378,48.942590734104854,81.30370740504368,54.89798389355304,24.224367820911656,25.515479722469887,146.23883235256181,28.74288454531839,129.44265247416376,64.03610996142264,33.40609001262434,40.81899576214961,77.68943592437886,70.86297523515168,55.29691573014237,54.31066468070463,160.95687292340193,30.1581572507747,23.48445784056859,242.039618254704,61.63490243170984,87.18102966646242,62.99793843344662,29.434549310733402,20.219044061480613,43.96518845666506,56.443092566289444,127.78799645957056,177.8726689108069,45.83132206991192,72.5547173460202,30.96339153161215,43.06829541016627,161.17208513793258,28.981077428238915,22.39038089426051,119.11559800824365,140.16491456073004,28.43869193179414,96.55126041513829,141.25669042740913,110.85333060743278,48.69006916048173,113.62618787732727,79.0691300786857,67.44476850110156,72.97538578918379,82.61841771811115,61.96789639118447,156.04537479016398,86.86401083073687,100.79126661303852,47.93753326130511,21.13149130223937,181.7753782148812,104.77604551365542,22.1160835744842,23.537552491344464,81.36346878199988,100.58212814698072,191.35211479133181,30.277578777665706,100.85824951834877,163.95157261058745,190.57538885672938,54.390479212968415,92.71820446093051,46.289947410693046,57.32471877450727,130.56045243256392,83.12066465847337,99.97360699665485,70.84637462617304,81.98395253200741,84.1357776921449,57.942645146356234,82.38014612442699,143.69300734984867,168.1720690370574,158.68281283942605,232.54791118541442,61.90930299083532,87.92599248328226,195.27874587219668,102.17443851891952,45.16715761222588,71.02096186783385,43.81720301947524,58.075406378740865,86.46473277401734,43.12077882376069,75.41443400746576,107.95099452410105,64.65136595682628,93.07561976061294,95.34643359367357,72.22498059392268,84.91265844187681,89.61148571592491,19.737308764660717,67.87103487748175,67.98932522162833,80.00717310662608,93.57640430734604,30.80668649830986,57.39736985800196,176.55298521200913,73.85926965160473,134.46255381024437,22.269487550781708,122.02155398966237,90.68944285412476,85.22076450217733,44.72523608711042,166.59727784422202,49.30504819410085,116.100287339489,44.81670247020447,131.4991222685585,351.01056056897056,121.29399688757047,12.623855513971012,81.56214228607266,265.752520978985,85.26480136336376,55.319481856970526,45.26800424603309,103.89247054167754,87.61699157541025,72.06682917301296,143.04720546739551,273.90756693930155,88.47800913584018,47.67040225729765,42.19610846871719,56.46104545164411,32.86587813647657,117.51621166501272,41.69266584639767,63.577554554841456,75.21146458759823,35.53423924048609,1,DET vs FullGradCam
5,backbone.res2.1.conv3,121.82001960703309,28.977378073107843,111.02431531527522,47.88346232008982,79.5438328136442,53.24140842561718,29.058050513686762,26.842735161232852,142.9733222874192,23.926868105100137,130.14766746686192,76.69825474130886,34.55861772334484,39.4942073515291,76.96313467006829,70.77061699274066,52.90864463452499,53.913331465762326,161.87851545117434,32.14863243135662,21.226617357646365,243.08447299902133,59.94434772338115,86.62731972372171,63.239566304795446,28.05932697908223,24.492475819056992,53.553794663519255,55.16810127660793,129.82286238586525,189.51678763049938,40.355405709931716,71.85184886262353,36.36813816251082,45.12298990170154,174.31119957916798,23.856983813521666,21.58972696347653,118.25419081720884,130.03223528206016,33.45134175295682,82.77636625245081,135.3154192917347,112.58845920635153,51.85638194638226,116.01445256509362,72.34289314654734,68.25850838406427,68.37668682853224,79.3749760337027,48.897159667703846,153.7139205633075,86.4884054956084,98.93111193951248,47.97500475519598,19.220891117853277,185.04525203416017,104.97149649378682,21.40317522823095,23.922721714832406,81.18774591638106,96.89050127540187,193.13515135371543,23.4230521295893,99.02063576204038,160.19829251696615,190.59297126842688,57.88816891767625,92.10961575341429,43.98620796833589,56.04149182735042,130.5954990606316,83.93792420624729,102.56556725319376,66.09635609474428,82.690388933181,98.20834505152797,56.14308413773759,81.80660548852364,149.18970423090406,164.64548780581123,129.0137207480292,235.22363105799906,65.55293435486456,85.90523269401223,196.1778010474859,105.84375916860826,45.24210306637653,73.99177337818196,41.18340365388656,64.48781505216279,82.57209841822211,43.072502143741396,82.86388895741686,111.92891524431835,67.29474687760327,94.6647109718078,102.38885182075344,70.20565961498286,82.77412035265792,83.89632746165782,18.76971081978097,61.256282362257906,69.63386505945667,80.7619079927447,92.30960238905972,33.69397520243233,55.442987110768485,178.90555643066102,70.39235507283011,135.22115122703553,22.497982183852937,125.10142968499586,96.20588446330933,88.77121718144127,48.78758028246243,169.8146964562386,63.71791817190105,123.62446954156707,42.09854129818358,133.5520878033885,347.82249130101223,119.36772799241777,14.82630270639955,77.00406847559957,270.46271240346675,86.44140324316757,56.94897020174203,47.60939592861989,103.23076606338824,85.50228629151411,76.59838555028995,141.17602885967176,277.43137537747293,90.8749165451596,45.80097643201297,45.924322403809086,59.29566973369884,35.455821661047594,118.12190430892572,40.16535336580035,65.17713992204199,78.62823577937883,36.3525480686711,1,DET vs FullGradCam
6,backbone.res2.2.conv1,116.23139504857086,34.93609504126235,108.9917904708763,47.755643083321445,80.08268085429829,52.79775617570918,32.414050203882766,25.5530117203012,145.69751348332395,27.536536092812543,128.47225150435187,67.1483511423906,30.853537655917073,32.46743352591801,76.9092785294387,72.08778262854236,59.663527911729815,56.58541232970555,163.04187887123072,27.948216395417376,21.537689051892954,237.8638075475596,60.73988953296619,94.63430353105738,62.4482897546269,29.504497942549598,21.40242063076893,41.800235907663506,54.442532032842706,132.6776769909551,170.4026871773188,35.10228861420589,73.58752403305154,31.376311643715308,42.49523877163851,155.0507424712921,27.577150550204944,21.842985671281102,117.34988498878054,143.90122679603544,38.00113913952076,82.36547368469937,143.14990819572597,109.96193103607827,46.1478498382882,116.19043037723247,74.68025586184005,64.45008070347498,75.99337911523456,82.44897031590236,59.97982990456986,149.65903613821405,88.24324648791963,95.44757574497706,45.59818774010011,29.944378719588002,187.82609698819232,102.65271102884438,20.730578530556983,23.257842196326322,77.62511915633802,95.78857691967369,190.41485949157524,20.261585433745044,94.41487217300758,159.9134610441623,189.80894954835378,53.17506590759519,92.8103394050337,49.004496194657655,58.52926050163427,127.80884363465177,79.14373110092492,100.85337816723415,68.71794490586595,82.56452401130724,107.54717546156806,59.31110113475306,83.41721325071845,148.69459129615083,165.66710615735298,139.85356527200304,231.72530174092833,66.55058906224207,89.22781306747572,194.52565958077196,98.84163499886841,43.96422943938454,70.99630955862511,42.022851981451645,60.39020400432068,89.84236774858053,42.91579085649103,78.5776965415899,102.83475286597039,69.89626797655819,96.20961675297124,136.10881342930819,71.32705315535262,81.63099174242478,89.55693851505157,15.471432375139857,64.33911819317788,69.69209592787297,77.03131570573953,95.64713529595383,32.112883431609916,55.34357081174689,173.3789730491281,70.27668527967936,133.87076880151923,22.13103822184486,122.00858572634831,96.7409708304307,86.14303310017381,46.610207656311594,170.06291862962402,46.75292402359699,115.79591534876285,39.70787518958632,127.21937504517018,336.08311794619317,117.11691543985079,12.626741288209766,79.37827945896231,257.18123129621154,83.66293343092278,55.6978823623995,48.61156745339671,103.83105166544416,79.86669306762343,73.3002681887562,138.7567561739558,273.3213991275416,91.24917268136117,48.65859307202855,41.65983495085836,52.909201398123585,32.85087441603174,120.64778349065375,50.11378322210279,58.97013948999636,74.81239954143625,36.43633824462853,1,DET vs FullGradCam
7,backbone.res2.2.conv2,139.58544396456998,30.953370791166193,111.55937944230381,52.52780822007287,85.93931873318101,55.493613407318094,31.337155198500223,24.550728808281747,144.3275521967347,44.7275589586366,128.66019898384098,64.89472109725429,33.61895476817353,37.57071573351,77.9228285031925,73.06758811373987,56.91298145277695,58.55124300380807,169.0126892725426,32.67862038773527,23.582715693038068,243.30609020312437,60.793836269831786,88.77741961353107,56.79679387172129,33.337108683817945,25.545902602595806,49.5616853827032,62.94542669679038,130.28744715950728,206.46349905316055,32.72866168426015,75.22243950451337,31.5112372423323,49.210032651158556,200.5979774887299,30.89770510972249,24.808148308484252,114.45192611562527,144.71776585620802,40.29404763776108,83.22530310634492,143.44587024958628,120.88879754041568,54.25648284703642,147.2683651851184,74.60606938177715,66.48041665240135,70.1931965113425,97.336791098254,55.43867416678799,147.2946188593957,84.09627918988798,102.87705109314999,59.17861350668532,25.192459222498904,185.06826196263273,103.5831810023188,26.971338580134116,28.029688415869302,92.48597713692979,97.08787554422084,193.49766999750344,29.192451803480125,98.30267233376934,163.4217095499147,186.85468643550524,57.19352442825738,92.62742510585099,55.79541436468557,62.7381037005695,133.37506570099467,82.3200081788233,105.8519582534305,63.35560056300764,85.51305049488643,86.62194318955746,63.537061328461256,88.58897524661771,149.30663872694612,158.95987367951173,93.2824977309796,239.6594582325617,68.90955862854867,96.2761869610253,200.05138504893088,103.6406541391419,52.41518084725456,72.22873711027037,44.77829499367964,65.23454777818095,76.44005616175427,39.33835487364148,82.41504338532519,110.28779992688692,66.35940657575705,97.3812276182298,108.78188385831373,74.7396623835919,78.71981625898675,93.04974594736939,21.05257972433447,54.31398864990217,71.76535880892303,77.82995247846736,100.04850019639343,36.856687989161486,60.030470523512136,178.57045827532943,72.47703526558378,137.05647845725298,24.679736671312543,123.82737079587652,93.09373515203231,89.5144080449646,47.65178832996264,171.85395291303774,50.40015115781352,128.10692049129057,36.40679884199833,130.04268703567664,355.6842610028164,118.66829065122052,14.381480126287482,82.27365925730106,276.8090920601716,77.3385071924198,52.13849535998011,47.669632482280285,115.68666336057166,79.68241522260804,77.86228909419965,134.25667955495095,276.0270248722932,92.65780812096011,49.96701953615947,46.95216898790026,58.98981206946651,39.0055828634884,125.30815044375814,56.311145148872534,60.8839608125249,75.0777575052218,42.87394491946279,1,DET vs FullGradCam
8,backbone.res2.2.conv3,130.40797728201738,31.668730004879833,113.02844571149627,49.69917191178483,82.14257555231964,56.77505818959463,27.71139631851606,29.069662954120012,143.90242244654056,26.94689948971323,131.23502940645972,80.54682818998788,40.790826885223005,48.12083344851114,78.88680644928456,72.51695961419854,51.813764947533215,55.418855068513075,166.64194781610598,35.1896448846682,23.14463028595469,247.83650608573515,63.28425304817845,83.29548099277675,62.2428671293356,29.77225321120779,30.982811239208687,55.477300426536814,58.2405504040699,127.58983580468677,201.5866213566968,50.761367841243285,75.52600016124208,42.13410743606205,49.6451387976084,185.11636927220894,21.527523972746458,25.06411769019943,117.8282986272508,126.91510262632362,34.316463638683885,92.2386815127557,134.39672445335958,126.2590495356275,61.11168137662449,130.41448279323896,74.99521326993857,71.33450342938664,65.2807612358253,85.54938242199378,58.32308655572852,155.7754107808055,86.340146954237,101.89163765844515,62.92223982814946,25.040986185822074,185.3278051211886,108.42320944910111,24.852833228087597,27.014288525578465,84.65822524624454,99.43650182623834,197.00493416154634,27.66337874712834,98.71648171126016,160.53033838558878,193.6221343896747,65.53825062077007,92.07461392178834,43.53261934497424,56.87920304157767,131.56692137449824,89.31238957445952,104.77095725296563,69.09767243049839,83.69903858567568,101.54667186558115,54.76100134831015,86.41920867969549,149.8279683539846,163.42216398674566,106.06959553034707,248.3936574451687,68.8415149262004,88.95744616519582,198.49359397693001,111.18815368472703,49.430463976930284,75.15970893908565,42.223550734652825,67.84674532200182,81.3840848985385,46.25129758951546,84.79791167072568,117.9447458940065,71.04470129164234,96.82446074039416,103.67616818852522,69.32954196680453,82.11087538547838,83.46750561709591,23.536727839418873,54.151777248385685,70.33534305867241,86.88919451775801,93.12103852365159,36.52394696085228,57.91218760528618,182.87589352049915,73.75833276811461,138.67758695991094,25.49347491873155,132.96964669152885,96.34092832028867,88.71658291134675,53.151443347214794,171.78851366510406,62.42915285660442,130.6262431127376,48.4552818283866,126.0992127185198,354.352326403248,120.6653876079809,17.292576290938293,76.8864188893995,284.63256833753184,87.2927934709343,57.2469609265024,43.897101785638625,115.91355126325124,90.3266680506928,78.84735047662808,144.8011470376686,282.82011310572744,90.19943443221615,46.38625469657339,48.30165445453852,59.145936722758584,38.079938816505546,117.6703324272739,43.77008914712158,72.40927465862913,82.33453408280789,38.22344404555821,1,DET vs FullGradCam
9,backbone.res3.0.conv1,120.25850354152612,30.114190710068755,112.92426865990117,46.44983736436123,87.89779660689099,53.61002955446053,26.813944754095967,26.591492746900492,145.86787471831914,23.116226874036887,129.01406516728315,64.9582168517612,31.615901295833968,41.85350790360478,77.36486098749403,71.2849430100883,59.426076446838195,52.598103363241506,167.8227872071707,31.460172798997895,24.61758498264406,239.80162759033706,63.32603236913319,82.57790771567193,61.00259409004059,27.964890601778386,21.534802841276708,48.01430132184492,54.92142665527623,128.3559959595866,169.3760640674837,38.959816324708484,74.75275617196203,32.3906410592289,49.49341164209726,162.87068346372976,25.355608273552903,26.600794416727897,115.31734565247378,132.9857588636222,31.86388818188172,95.1008451973872,137.43348842793046,118.39922379593398,46.02010021988233,118.66542421264077,82.83010752685196,69.33513768080726,81.31101934090884,80.64907088746585,53.44856086133849,155.22526879605888,83.70476457316596,91.22598221242706,50.39991482366746,28.763967728994665,187.07228246012676,109.02111015577952,22.46165391988862,24.949705308736537,78.282416976101,101.34399551290167,192.3095973254093,23.334917286784915,98.12575537016673,158.52647641073554,190.2539293378278,59.93304231114227,95.92328824226203,47.134522577283605,58.190497536563434,131.17870597654502,87.49768893742254,94.30873696320701,69.15659993632407,77.06590413460519,84.7111931702678,55.97111966664092,83.17367215753225,148.46150053873,167.58901628137295,111.09378507100783,232.93303612690391,63.49219797575235,92.80146044441672,193.38739214545456,104.99443266986107,41.501589741986095,71.41919586693558,44.6237663458344,58.8624495578467,90.06745574096703,42.764971292358695,73.91358441296097,112.75897641658901,66.61497333437096,97.60915411990071,107.69731960406371,71.09815572564646,75.61159910602066,84.53402985040083,20.78781205039208,98.34867805415553,68.15493508573903,84.34256305841477,91.5462864844892,32.05939089822742,55.82265808958657,171.7394344655651,74.67107183114774,138.28041777422987,20.768268054757208,126.33693489999615,98.15112000700401,89.40056011099465,49.725419167125125,169.58562991249644,51.4071884060283,113.94206689635969,40.40185107357731,151.705759334257,347.1992564990906,122.97614529285369,13.971457910977616,81.33500459174644,264.8063869518953,95.47047701632368,58.288832123651375,40.80993212897154,103.59052949864152,83.08551181566757,67.72899919885398,144.81031218119725,277.07971483968157,86.76067827334721,49.27559646516109,43.25976748800538,56.58171663338345,35.13676290510732,122.42614782331636,43.51023139053731,68.11553130485997,76.81125451384852,35.498281854723174,1,DET vs FullGradCam
