,Layer,handbag_383842,sandwich_465430,bed_491757,bird_100489,bottle_460929,toothbrush_160666,refrigerator_536947,remote_476810,bear_521231,cow_545958,truck_295420,dining table_480122,car_227511,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,bench_350607,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,potted plant_473219,vase_376478,baseball glove_515982,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,spoon_88040,giraffe_287545,scissors_340930,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,snowboard_425906,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,backbone.res2.0.conv1,114.95680766417985,64.72920244128522,74.1591086734292,24.51347416053987,48.50919539345786,53.571444060375626,30.77032818414362,40.28201628709713,79.58954772707935,71.51626695101042,72.53904050035791,132.92931853392633,56.86246713178843,67.0686791786309,47.9616200781167,68.54382730487691,69.46572797865507,41.16117762257355,31.07592251167632,115.10491768513165,55.92170385795394,91.01510857776299,221.71250999266474,73.804024455444,66.85912970745053,63.41685072974945,99.37781837213447,83.05278185127048,55.016960678615504,76.74362503107164,116.80337301455216,171.48396410504927,14.416400758938536,64.77527425455743,21.174498542566205,71.96289672570958,76.00046026196065,136.11526690793855,70.71934356486506,40.08481580473858,125.32940017853835,97.09339272566547,26.537249457335417,30.202343453283465,109.23673866044187,132.90054701414095,36.87709899829903,92.41268057054822,50.6654736697306,54.25131989472355,85.78472488302874,47.92318394278814,30.881376135392784,57.62047832713647,65.46832572207646,111.25693049251775,54.796724608704956,24.943957333526484,123.71661942338672,91.32291657490089,53.47798311113127,31.495777471030447,60.67749303376391,88.53548633820779,186.55415855421165,22.44876020667413,94.52431382227614,120.07247975970304,84.96408031521962,178.53327038767753,34.390666970011125,69.48543806122683,80.31511602227259,138.88273878093509,65.16587764846466,84.47900653806764,101.60301964888029,53.11933880475932,58.840962653924066,81.69851045583967,68.87809933283432,76.47035231980072,141.20886805601643,62.83013088887186,89.83173244552286,284.1210598131246,102.11813559139443,62.344162336029065,74.94813319349032,36.056331462220584,48.41164312727569,76.9554522706236,30.493599637649563,80.88365949262207,98.77908408896201,85.55208270832162,82.06723241617595,60.090982112291265,88.77469655145289,72.08403324538827,109.50175166633281,94.80970723158718,29.779890379716974,118.20521020710454,70.38917715957038,57.646748239212656,47.70802433348415,29.894443570975966,49.22139877232078,61.979150104526504,40.32260789331218,84.45916343431401,172.17455347842287,64.06255192294086,113.58782569798966,85.76189757781617,80.21100301208486,99.59132978396937,51.626839465875534,88.55263748138722,86.60236304158158,21.221313163205256,101.33717971128922,42.82247015831292,77.1539543905177,336.575591642616,52.402075572956434,69.95035176423764,76.09637412196993,248.10239332999865,100.3645158601551,70.58252018864894,56.53920199509506,87.96551568459127,73.40814509024514,49.28872635423373,65.68003663757821,46.12956436466343,256.8640151272509,90.97765599306132,56.81019900026401,62.55492662015409,35.00120076881424,54.29281157885254,69.88735376046039,97.31078786611961,50.1964068912585,64.35147250262399,43.186039065735315,40.68703309852668,1,DET vs FullGradCam
1,backbone.res2.0.conv2,118.7591715799723,63.28720422440465,72.47471252098396,24.26460292279262,49.82910005945,52.27425928388965,28.836063522632244,52.22812388647016,70.93214501559893,71.73323395495785,80.46019708471886,107.19809855669448,36.391774236902656,69.51253533443276,42.35553538838877,56.72249980479998,71.61168051070351,38.64462912009739,67.63627458410288,102.33080848090563,53.18056794442249,90.31463979323668,220.96651931610097,76.0120775980507,69.92674730462694,55.666969077843326,68.25823883404345,88.34787415346776,46.346288249603774,99.53416467496945,122.27300133513155,176.6292457685697,13.487708897321399,63.63756078891453,19.518860217029754,73.47683190290084,80.53794150667663,134.02595269801185,75.12996378449938,39.476763515067276,112.7815731550138,97.40162235228749,24.037946149850768,30.10308501365094,110.67772920382264,127.49561331831096,36.52817338410078,103.12213273293723,49.00443067322269,56.88965762964065,92.77935666283179,47.285879783375904,31.49802668320244,59.74749282862193,67.60758539039354,90.23740054070399,54.14544897819109,27.42465388292819,79.209087706904,92.03925443299016,53.29065540158106,55.04935236741217,57.93061247384405,86.46355799502406,184.73919780959758,20.707852890514307,96.45581386930343,110.96906434125643,84.59972183874676,178.40357847377234,34.71242209803235,54.84724766712247,101.006144893933,133.17163422171097,57.01386467521578,86.86265093986411,99.54319776314468,56.2435240374654,64.0789250690252,73.88710504923206,64.01098937048795,74.96445668825686,139.94427155767988,63.05925302596722,87.01436942190347,271.19706651292057,105.3575223975666,51.19134321043771,73.35131219220499,39.82346840940511,48.47650604932784,48.921980676203404,28.32432883883255,75.02013000126185,74.28159265260726,89.71544644249462,86.78747555721891,61.23585831806814,88.03504609437195,74.3393917351224,117.43135625717905,113.41504144732008,30.425354975906483,111.93873482367442,68.19726151274725,59.46720755851656,48.14957788723312,31.704013239816355,47.518039599666004,59.258188007475106,40.05345440372315,78.09469557234995,160.31924513016816,66.11482984087428,111.8494518565409,85.54538977399159,81.69357271867207,102.60157330236781,95.1218702663839,85.71742174491858,75.83897232841616,21.601299812007895,99.29468450616659,43.721045451333765,71.95132158563098,326.61248678544246,68.85224719563772,71.25054121578287,72.04557322850313,247.77207285225012,102.88478118020662,66.59643507522784,41.03187706056191,84.13727362115166,70.27930088131926,59.5641637074332,63.69785843759739,46.10620322390466,256.80418299556567,97.0216568128386,63.52133525858225,50.82170644427551,35.53960391577187,35.752733739545064,68.2431152078554,21.597055806420258,48.0571216890754,67.70920795477628,31.10419267908675,58.04769379288255,1,DET vs FullGradCam
2,backbone.res2.0.conv3,100.05594737180729,78.39219493159719,70.01240842173867,15.413653451924798,47.19287313132943,49.03159702525404,36.55033808891889,31.04914266453116,69.80802656955659,78.4735548030091,19.162289539476674,131.4911567895424,69.13874741066596,57.420792324154256,44.00528047122647,63.41591451139561,99.4366770997317,44.14888931919944,31.634205867275497,112.25866101885639,38.79417943085272,91.84072946730743,207.74738478600423,69.54939371131691,77.44180637754476,68.57061804202391,60.560028525349146,84.18182222598821,39.064743336691485,101.13619071069785,116.82757957254563,161.92355126416612,16.620907369687615,63.428387769646704,20.2097870912986,65.95350061531582,94.6276738736571,135.17749584273417,68.230677301208,24.027587258807067,116.984033520145,97.20010941867636,19.734780395636584,54.031107899503716,98.43293584364234,141.17118195691143,29.159266797707886,90.88202905819094,54.92736907423374,52.30089555420329,84.29275999012437,55.490093025106404,28.81028263388674,51.005344534106136,65.34822390584603,95.19717199334195,38.087160537326476,87.4314283215732,77.57205675664096,95.90907411200793,42.945604710149944,35.268254221445986,60.64395538299748,63.906148457180265,190.95848131408928,22.67939566482714,90.55008836315213,130.446924472087,82.14190958146933,180.87869611334486,36.314998410083746,68.7639744784403,93.32964134894776,135.492365470329,87.10271722395026,93.07644507415662,97.06988567021281,65.94080665960263,60.072737207406604,72.8336786687486,59.980960617566126,73.12169728812196,145.43014290188992,65.43190291679048,92.79567678285558,272.6149169025865,90.92868380173968,53.39548079738963,78.0916843765981,81.10376054111505,51.66517152100729,39.926066121997614,28.192275442599158,75.38449295728356,65.29975264345168,86.22606779984457,68.06064794747181,62.233047825190155,89.2341946594695,72.04888902877329,101.81862391775653,89.49904885365461,35.21699665899038,102.65576162527836,58.85160495002927,30.67982882826766,39.929387119586735,39.918517530046934,44.105393838422955,52.84313715101101,40.1236574308568,86.7529989292106,180.33137307913051,66.5268908607256,116.31862189102318,84.8914092079286,81.78388454527145,87.6838747822636,48.87114592761268,60.264227884403425,73.89170540518049,18.220290869224158,96.67682775434689,42.888331165248914,75.16867838115249,338.73539140507506,66.84104756078047,55.805028289938505,67.98114338276966,248.58852182471162,97.65921470144164,66.54877789026494,39.46199540136451,90.61849291181261,78.1711767915435,50.39073827729534,112.24808051227824,45.250316365487684,253.85436906051058,86.6922511343153,42.23630629601392,51.98132249518984,36.545305701590735,82.38381258719515,42.562573293256804,32.26453429115003,44.87824305863113,63.0135892531919,37.248224436255086,34.25456778474788,1,DET vs FullGradCam
3,backbone.res2.1.conv1,99.00989713306734,56.200989688699366,69.59943926119863,16.413868344398722,43.661654869002675,51.61251259649949,36.986767298413255,30.11819976757748,72.52267250820827,80.00137091651015,19.670395849414486,131.87550122133854,63.925937944659246,65.28876334172236,89.15406244313112,65.66083807652817,66.7602035187081,44.11183804507819,30.954199855984463,120.67252427567232,35.117650250526765,93.77802081535,203.3027123574961,69.18122047804732,64.80287205199939,70.3520062029381,100.08817002894749,79.79117988758227,39.93247322114162,79.9063868317668,110.63853912535188,159.8173830245728,17.004778385462735,64.85127194522815,19.75145489862002,64.4200372778117,78.92179387322037,133.48491353174234,58.675527070792974,21.561631920962874,113.65969812808018,96.7081912581572,57.5412893581065,44.241025671120084,98.81186145822207,125.31461806389765,28.81978775265649,85.89744985294857,54.71587340669818,53.92107077589944,93.2674428520981,52.36841246331477,51.60567889004936,50.94791789545122,65.36719579117995,84.3091722190749,36.27598865263584,76.54171883578876,95.319077602052,94.05426698149608,38.9729267302438,32.62760816969965,77.69560089855374,83.82768822023189,125.60287088187982,20.586312059742692,89.67019340453461,125.2649747604699,81.33678220669715,180.39533957513433,36.65190426759882,72.35663613901895,57.32016037569715,130.0615079391785,84.54737760409367,91.54260229194857,102.91165435490477,66.76521454610787,62.24976486912922,79.39024763293057,58.57261397525494,75.91620998728062,146.26021513451724,58.78234221709526,93.48034375254291,269.99230512046154,100.32800501062681,51.53001863348608,98.5267872176008,33.35149605870776,37.94316649629861,41.02665119695247,27.599898477485933,81.42032117808179,67.41409426927605,88.55920563098347,69.87035277807811,58.50362993813677,90.84375911000465,72.77076810706808,102.39222569143423,95.43239664583437,29.797635677708588,98.05470725633327,62.14450494607989,30.54003715588179,40.39051992420203,42.28263335785582,42.801334348454816,52.55003544010936,39.53826376827327,87.2732930640546,184.89612596077046,66.47867489080531,116.5474927237729,87.97525532983028,88.74778601835052,78.77218557521849,67.62845295940076,60.05841390793578,73.2184145423099,18.79941062130586,96.79492583094489,40.82187149772963,75.11826044366529,333.05433437622753,70.18049519123552,51.53024312904364,69.36003749846058,249.00078950318584,104.16357515420603,75.18094808314447,37.14135848544505,92.4740650842749,78.9730656866698,58.429901274583244,114.12312272821896,44.26133202599544,252.08782993397827,87.48736224159299,43.23989396737073,51.49519058694344,37.32961365524876,83.6289421614408,33.82193551206741,29.272159530141842,45.142971510600844,63.054725207043205,36.40504321949427,45.248465800015545,1,DET vs FullGradCam
4,backbone.res2.1.conv2,99.24766354039005,54.64672703860079,68.13047703704555,15.087814467088126,44.34293416647938,50.42128022135033,34.95882721616659,31.30143343930629,83.4979913716852,78.32106592712617,84.04544786784862,132.1995019433498,64.03494442702885,66.36510855815435,44.919615581828644,63.67910607061667,66.1220877477153,47.11980010220259,29.25947869974948,117.21496278042078,39.8697901134911,94.64891136974364,228.93130363780932,67.15874264248421,62.20141204172336,66.782577453476,89.6066975283102,76.94922680319442,37.69808725110525,77.49164249635072,115.59857245088976,111.04836556820567,16.36575637711156,65.7512599311862,19.906670193496186,70.67664915348715,55.82381624841155,136.2734557257245,57.26604731072332,21.323888182855896,115.24149137360695,103.35929123514654,48.320068053775024,30.484622617529155,110.80411069488935,140.18023373596546,30.40751397929821,84.30424991872862,54.85723407802151,56.25701457202034,84.27192221691334,52.06393224048571,27.703766781108236,55.74445221272849,69.51004263673474,84.7062681359626,40.852686141796966,143.84707126807717,99.11345689857575,96.46336104338681,40.35912948797933,38.56845552099536,73.60793016207873,76.9188984231553,162.94478326883578,20.610350240474624,94.76622801986184,131.32627224186797,80.26092274552151,179.66298567458153,35.72969752881748,66.3981785959437,44.99154307425749,128.98480937749179,86.03013860184848,92.35623189982313,103.99920578799616,54.81584525023708,63.43768200938025,76.18925822067922,57.33052572324024,74.72705897000102,147.58381399610136,58.365941537376855,91.02216515304102,269.93435676614723,87.82329660756973,60.45118010464205,97.00515387009659,44.91602027885975,39.25397147035769,72.8404234836448,28.20043588653932,70.98356176547338,65.93046379056707,88.16704770698786,67.82660926011893,59.941584690892356,89.55621258129686,72.67398423351686,97.86862521882325,90.06461346556678,37.06547678208052,101.91044481709945,53.57820887600596,32.25559018156882,39.34990123158194,36.580129069239355,46.71612912809298,56.28891909317736,40.99969028280845,86.56241869457064,182.95910606770389,68.16506961360886,113.59331724949777,85.46247857753212,84.3671403304707,89.13806355101502,45.85820410216646,63.384333073999436,74.12815197928393,21.023167144078773,94.86794421717289,41.32965054257652,83.60892564003251,336.44067975998723,69.63456096659377,55.44686973913976,72.55617599421612,248.99067720444384,93.71517148325883,67.68459182984422,35.78440849249202,93.1366435214363,84.752723896015,48.02822230170585,88.89075287619119,44.77005873358323,253.49404900297748,87.62160644740814,41.363245037210035,50.45469233766062,35.940578635115486,43.97536129324669,38.75213796876423,27.90093587511785,61.569469313031775,60.94092964818973,43.35230371781502,46.958897773272625,1,DET vs FullGradCam
5,backbone.res2.1.conv3,97.12498376052943,54.11350631371488,70.27882945479011,14.638359662984199,46.42996260149765,50.692413244087284,41.22803546478893,29.418789165440643,86.68246035062437,79.97013639248358,18.634644293901196,126.09851729159531,50.36679551979083,58.69154012122901,43.40999696444947,59.84951908061541,99.69244272358776,50.93377336100771,33.37844487905646,112.82977484073655,32.665226331280465,93.6482933030938,174.99652302114444,67.20346921953684,78.02584653843587,71.92593906575806,72.13999746868828,82.76419657062624,37.85827074986435,85.68708160529691,116.30245205540089,121.1909433432311,18.781013257578273,64.95558368116194,21.594780540118094,77.40547422832094,87.83445813106037,138.46284287669124,53.02615228545593,23.66413545945771,111.85086312767817,92.64758524546777,50.76246653424761,44.35631021727673,107.24509546835363,140.67193386651405,30.278568752997387,96.96204878402594,55.57957086093616,54.08779729926435,88.59646922875436,53.22141236120074,27.32532892200827,47.990947283177604,67.59443890918462,81.8013857860302,36.695335337952585,69.13631905174796,96.55802589782026,98.99556189105462,41.07296376393791,37.206259798243345,56.69782278086224,83.60640517712787,166.84316080880672,26.272031022848786,99.48511208880201,126.74578157824105,89.7903210356356,179.23982338853668,36.030074484991786,73.56611770564312,39.21246682197084,127.47370477915513,87.24798738222563,94.77423185348083,102.36922057930462,64.6713769030129,80.08828114942085,71.7372279748545,58.26172674605877,72.25593755064756,144.31466307303168,83.1743303415553,100.26232877988889,262.8252780967558,98.45634201961809,61.8788711011464,79.18187426164064,92.87519882267569,49.70564549913698,55.1407565432481,28.216677981755886,77.50602997507838,64.02687444481452,75.54980551240016,73.26909312639044,80.98486144210375,93.32647469784939,75.35069489905267,93.93072557054336,89.47256366260328,32.853362130787744,101.42528655009049,52.66687191328168,31.235765604213004,38.481124776302835,43.83499776578991,42.48385337029288,48.97007438404438,38.488864657043564,84.61123996998796,187.1318254581596,69.06560995659679,117.21103131625148,88.40971871427004,81.49513340416136,75.13015149467878,47.93547215823029,58.015839910007685,72.87150362212199,18.495345354684023,95.28550353146565,40.56313661453988,72.60185019002402,341.85569277894,66.30597734600785,53.18311870192508,71.81067437756175,247.80675181365984,82.62861334022782,63.574802884433204,33.85768791195951,92.06262199945715,74.51608409883133,59.756792827412326,116.53232540775019,43.82450041008653,253.78978885973999,84.66266210558231,39.197696231662825,50.336313644149,35.590195388924386,64.29681479229438,28.862556608189916,43.467960236199474,41.72721372834575,62.75187236808759,49.88062180001876,38.74180827748406,1,DET vs FullGradCam
6,backbone.res2.2.conv1,98.54668454274515,76.62090865475048,68.76859474523258,15.281983467913516,43.24816754880668,53.573121901145726,47.94913165476649,29.18654407619641,73.91698694452336,80.18544896889857,20.52847172840156,126.70200508779573,68.10051700193296,70.30295685221883,39.65603299861949,58.221866707065686,93.01077032060864,43.67874067420861,31.309843296319308,116.21050951687853,32.476510457001574,94.28512381365778,174.6156265470262,63.67876885939021,68.61779525943663,70.64369189142127,90.9770946429039,78.19459871461203,39.83786450952559,82.69135650458689,110.02422156337559,157.80915687365547,17.08897423476946,65.15391662649031,20.669495803488267,65.00764560333454,55.808386931175875,127.6559870424113,48.09048973553426,21.74267934245225,112.80565995813345,100.20096810547366,56.20852640044724,30.30858924522929,98.56727720245759,136.16751859094762,29.483088426925356,79.99631623493241,55.0080578952432,56.77395947866037,94.01625833163521,51.43820066524147,36.34235315259901,54.45240296104909,64.85611068359621,76.58677776220262,35.42898878651618,149.84175512509785,99.19753664966774,96.72492314666951,37.894199198425625,34.18270139816535,58.403952451749745,81.77779918837365,169.12891522424883,19.996679300045404,95.63777184390011,128.56939045570905,92.1956319774736,179.78898815180324,39.56351065691747,70.53238951150547,79.55655920963757,126.26187973264791,86.35374985919596,69.263834649347,109.51534681912258,55.13781660217132,65.03791056102332,82.80731585993306,55.412178156227114,76.46406638706716,148.66231421374937,55.12995137295283,95.16909415903773,267.4179619555935,85.704005961423,51.10860287508682,86.12384810575631,96.56627462177593,37.97552421602287,63.35735112272235,28.14010337955775,81.00112400016826,64.66177010668241,81.88104966135198,68.90079834088415,59.80963017969912,92.27866191561975,74.40643470400923,93.5523348342809,105.7058541019956,33.36196806415689,93.76601389750569,65.36419381224401,92.52905811959607,38.45085043505077,47.04527054682886,43.21610424535354,48.95739136221209,41.35526872744478,86.78745561276492,112.45203597968725,67.26977065714439,114.19962600171063,85.11964516896938,84.05499471906897,78.19386276790544,42.60333586539592,67.10442368307865,82.0362856071417,25.8237840270681,95.50650330467616,54.36264455448109,76.40630053552249,336.84953936532554,73.55244072975204,50.9611374379532,71.56585504921918,247.958333462474,111.18794829462914,62.881924205040136,39.11484026924681,96.6943957981088,84.36277991931709,54.6946449804455,115.67332600049558,41.82780078730704,254.00292306179827,84.54141183125239,40.60755906800533,50.83674988014327,36.56349223580525,96.55037009637766,30.355178708145527,26.858394597626955,41.78752919508383,62.19121239189144,50.65386170365423,44.31938602218126,1,DET vs FullGradCam
7,backbone.res2.2.conv2,116.27248585457417,53.64570888166692,68.29974520944455,16.85087356716855,40.83278443078818,58.83364139926569,38.47272438841509,29.760905946090432,99.47031134574469,75.89816847932073,17.081971848417624,109.34348324696384,64.17955530361988,72.86733537847851,48.066238290209895,57.70000276822863,98.5730637809292,44.440221026991594,31.37724762424301,110.01980166369047,35.62447655557543,100.67680242967919,231.5312231091131,61.336095665606486,60.90796190632862,70.17673436411769,86.89173504252383,76.42970051564448,42.474632668430814,87.40527730142233,110.95582325069265,151.9210203285757,87.63025455986981,70.07848747525694,22.457073471304295,69.78438674838775,80.78607391989394,125.48545096060879,49.379336705243844,23.503180624870573,106.10908644885947,103.05878723617049,19.58972881852089,42.26509614951443,103.19051838369862,141.8093273363421,30.30529803124357,83.66690899939721,54.122385174263954,58.70175979067804,91.69348162384271,50.015312972786795,31.879131433412212,59.57819274853037,65.11445967491441,76.55981325796645,35.82539713898502,36.73539236309228,98.6362689077975,97.65931590214552,33.90897424234106,45.14644282511736,57.84685695157066,74.68735327390812,165.58145051949163,20.414806442469562,94.28455950763994,78.24332511197541,95.09436610606905,175.90981749317763,38.8191870631914,66.67618999810958,45.644334805171596,129.1445630995251,88.80699148766135,78.87495397248182,104.15807921552641,74.08626666614796,64.2919973769913,73.56789396617147,55.01344452613803,81.55085347031492,121.9645000129562,56.65592358003245,94.74854364881219,273.327063132025,87.68981020266634,54.34431399783121,85.74054772413845,32.623393758759676,37.529921768876505,32.796187917587055,26.64002681524778,82.69686368641197,62.46481682034243,78.2562130493133,56.38066968759961,64.33408558597958,89.042197693003,71.1944097868421,89.14024150551967,107.33035678556037,35.06122758068732,99.08918499583191,61.921571664588434,33.56842983268344,39.456823946734396,58.691715844792796,42.730803959941994,51.64820168773627,40.727986389191734,86.06488235703843,135.7796630641358,67.80633443252312,112.35746543210256,85.61824320644719,81.8039640608493,82.31338742591399,40.451589856167075,66.62031407977858,73.67952271686758,58.765211653662526,97.53516730247017,52.93722301025339,86.71350008514983,336.0345238321727,72.17724182625145,55.38077478330433,67.6101007745086,249.51515707149616,95.93159497207544,61.279268854837646,38.08929893738228,102.65950078634376,82.51863304238896,55.68176560634279,109.94549161518843,40.80388044964535,252.80019956022022,84.55486258268706,61.434196236271006,54.62593192661558,37.5522303971651,66.44024274559845,66.82136303854621,29.37053995650297,57.31675324728316,63.85455138087184,48.817056076119876,66.22970474504245,1,DET vs FullGradCam
8,backbone.res2.2.conv3,97.44726441411484,61.08044857545723,73.35717846085505,14.207829508882488,46.54646836787252,50.362468340283044,39.158955547236765,96.85725175382314,91.71257544301874,80.37845384563454,16.662219331907647,107.47837857189523,33.73210617412471,58.85279796476311,44.6282499054659,63.07882677237697,94.37776149250661,53.931294718842636,33.930372067755904,110.8063930584922,33.32462162955508,96.19948135594235,225.82806415479968,64.44155830317638,63.73786491943465,68.90468311080613,78.81398503359145,86.00957385363566,36.307026194344296,91.41739585590065,118.09286291556641,159.54761042859496,21.464572291692626,66.02167876932754,22.293415223252204,77.29070672607304,56.146980957495146,146.94875092753566,79.76484426435377,22.490739304564904,113.18310227003644,96.16998526908942,26.902585072359877,47.73891186572645,108.93017440706043,140.3046703861674,32.66750645110175,100.4674591074303,54.80101686530023,53.0776588379877,90.45157642161445,56.608993024075914,33.081774483660695,48.49456488771646,70.32907924664259,92.73629905546059,117.8557480945999,51.60929945177804,93.67986050253302,102.15520649042821,45.399316619111026,34.73856374654668,83.23579552028973,85.58046206757024,163.4718457547694,22.69311837620873,97.08966906076475,122.77698766936297,87.3820846451467,180.89379014582482,35.935391253571325,60.842681081778125,35.46288545814521,130.40087966462227,87.04853494284704,98.05612876686627,103.97098619799783,63.14138267296478,79.6669183047747,74.85033658648634,57.864999495117786,72.02831949063753,126.55347000341509,64.0787898420566,99.6766921797682,260.1522238170192,92.68167849403824,63.958585745776006,79.51808449244979,89.55456533712525,48.66041381209714,70.22573123520658,28.849942729762212,79.1199807483903,67.17712444127869,79.949270346416,75.47789242324541,70.864143703257,97.79196611866637,77.51551236588494,93.94434455048474,78.40817719921161,33.610382341906835,99.89830437397805,47.882524168530054,33.42124797965883,40.74964519525827,48.918877385403746,41.86405469436244,49.28283824999855,41.221633982874096,83.5927331295698,187.04631643167198,66.99674575888957,119.7893768809883,83.2969022153388,78.47777530090455,70.7446579685756,62.64027195557222,60.51892876596533,104.23719304933358,16.80537767662799,95.36673975914367,41.84995947974417,70.17068252756712,338.8591650936601,65.5262022825736,50.436414106578376,66.82026520811927,250.30610900720325,78.34122292121745,65.01339160933887,35.145951915932166,90.03826945198301,71.42917143283776,54.68523202086503,117.25367525097067,44.83526682827765,255.6355536959707,85.66695361398885,42.33422667316715,52.16474131081407,44.07351236081951,70.89826643197682,51.70320580104007,45.370872082079735,45.03547080249396,65.5898570746244,50.903402860880696,31.182549965781654,1,DET vs FullGradCam
9,backbone.res3.0.conv1,99.3314472370007,54.54483379543281,71.86211335043463,17.138748533825833,38.98328860741366,51.363514113009764,33.47717188523409,28.45928105408707,54.40976019228462,70.76061716287997,19.22340267317087,127.19300412159318,69.37692126807343,54.533607940571684,48.43100243324069,70.0003784873955,68.00127731299102,43.813740985498235,32.21272423777546,112.23104175198893,39.911390083503285,96.75313519682938,192.13887637978962,65.86421688795778,74.44593317725322,69.76688128066672,66.60609842983263,90.58014700151807,41.167659683057934,92.4915299842325,109.86197425364,152.80791782392717,24.137900766615225,63.68173244398281,21.20602443842833,73.0196795598306,69.47398971340958,141.57442264719512,69.85848294453118,96.88019194697182,113.7169842173929,96.95647664754958,42.817828150211525,30.213416091038017,113.51438308560554,146.04346065341633,33.98295811561192,80.44755912771163,54.404063574227585,50.58934082208576,97.53283875925264,52.76505181032343,27.603463973238604,70.15334417072847,70.61063370808819,101.7405299415521,39.69012677778987,41.65673324746533,89.95226182282735,103.63470871143682,39.94237081503742,33.896631200620874,80.24391794198266,84.99582686056533,190.82396612786772,19.710393508220825,96.58076398286522,95.71992066117005,85.29377874689487,184.61977143095345,36.44503550632963,74.9557801088624,40.836966476961436,130.54356454145298,74.57851255435146,96.93739388819453,112.42947900012297,53.943699062345125,65.17542467981265,73.84460214502488,61.280574555457235,74.1043591611166,146.52367783049428,62.92817428596887,100.81041321486134,264.5164390860218,99.58079223381107,52.37374083107695,82.13371824782097,83.39717647309092,37.33190799419244,76.34001173093884,29.674702213620698,84.1513523465836,68.34451284839466,79.08273287709699,64.97914531772261,79.22200779219656,93.94219527245768,75.89640002074852,95.26424519317894,110.13694721890678,29.334263494112697,94.81174629464586,56.897359565413446,35.05474375534936,43.9330102140844,34.21412323281049,43.71413273817398,51.90725031407857,39.2833164925828,83.47507471044821,181.04525243822053,65.31738919645369,113.26452635763906,86.69844735854869,81.12304767527877,95.28206108746403,68.42332504243495,72.68182722812699,76.28051924584727,17.966219324555865,98.2456314574633,38.981756395348825,71.28073817419278,333.81233163850067,65.06089396496267,49.63381334828488,66.53265008680692,253.9818774576955,101.77895212693412,62.90689502609294,43.541388054448504,97.34803619530676,72.19994181167309,54.03106653601936,116.3218969289089,43.29479864977518,252.17578286430333,91.13903805413432,47.91557937347586,54.16380726122017,36.164006634707604,78.7244861235726,32.29744033963195,39.88934608663839,56.66231705877873,62.59485083509996,43.64092936806911,26.85214520253572,1,DET vs FullGradCam
