,Layer,handbag_383842,sandwich_465430,bed_491757,bird_100489,bottle_460929,toothbrush_160666,refrigerator_536947,remote_476810,bear_521231,cow_545958,truck_295420,dining table_480122,car_227511,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,bench_350607,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,potted plant_473219,vase_376478,baseball glove_515982,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,spoon_88040,giraffe_287545,scissors_340930,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,snowboard_425906,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,backbone.res2.0.conv1,115.64855276934307,61.47317519383262,79.52126341727921,22.410997427243892,56.14142531146934,56.35017288248951,31.963628348305924,40.73974257872334,37.25941631068241,71.18474725293417,31.711107768933118,139.85569525975103,73.86697556071951,65.841427953446,45.26358801903057,76.83004025580058,70.46484473057701,46.09301799396789,35.58700344417494,146.32807608738054,55.98838014528343,88.55074659325851,226.6975788865177,80.41873430386843,70.57005871917667,75.29251047993286,59.893913079669595,84.74254772319445,50.75442781963668,64.03493777851224,126.01985448324966,180.42128468149485,17.765719292831566,67.49192672671067,23.15119330220262,66.42091205390123,64.35597205295326,142.40255993189467,62.77256463330271,42.5084305055995,133.6295912977912,106.99083447493558,21.88054187632032,50.09657608985644,114.77601029635164,143.2033397794664,39.76090216625796,94.28237739400359,51.44533399879612,58.56417878971555,84.6708288677398,54.28136493085525,54.50418314536151,61.952286351546746,69.57786882543263,112.71759856048693,54.4000419192386,27.56531179681611,142.14749197231185,96.04278817107712,53.57778273559691,32.32970302894737,84.86542997479114,92.96022792291669,202.39923197865846,31.131540755840604,96.92310511623418,140.2589304757654,98.01843763389412,178.0705911739222,42.11502666731495,74.16960405973381,52.309133697917744,141.7792129352061,87.22916194592104,89.06238830789894,102.47402490111489,68.24376171440312,74.35481141521898,84.08499933585631,72.83056615917965,77.54362022497538,143.57919956399246,66.13194611186329,113.04277428074002,279.09212081976773,101.54123898492553,63.604790390942775,160.80614987269504,92.84551377227267,46.47933670912699,50.95938973702111,33.265159664105525,89.61791823002031,75.16206904734588,56.57579983930458,56.76241803643907,78.82504801680491,90.70174788699576,74.77357933926949,132.47874757529536,86.00055921360993,31.53481645630711,122.43011931752886,66.46525039206551,49.74668304360081,51.07233503208425,33.4151347244382,50.49609132776862,63.79301968032331,45.21494942270591,79.40973671521394,188.4129198285006,70.95910565579973,116.25524262683976,105.41402553704182,97.55513644822155,77.51807597571064,55.68643727050045,69.36287387603782,134.33306555100967,23.836496149699897,102.27957928109626,46.70792845538753,85.90340816899567,338.4893654654311,73.17823273951103,63.411380074162274,80.38341732222948,250.08813456004486,92.80022037000545,72.86178882441354,36.056161508724344,88.38904748830726,81.49708828459704,59.13059924589756,122.77267546580927,48.84352573741826,258.6229599750541,92.42806883168059,58.499204426199746,65.62544236486526,35.85847080222203,32.74619330050404,30.896913211697985,26.485963385522425,58.44116380021829,67.64541491706132,41.28111925342386,41.30976734455034,1,DET vs FullGradCam
1,backbone.res2.0.conv2,122.48889630891355,56.72825210248905,76.85255389340477,21.873036808240848,61.42201580121544,53.28938603890852,30.1558368528192,40.88638466438131,36.30757471709995,73.83304616429402,28.603143737423103,123.73653067579548,71.45854669170035,72.55586080357426,43.27221769105453,59.847144189335886,70.85703466836618,43.93435817626307,36.97277344290176,113.10029041690021,53.813004584746665,87.15442938122831,231.7113054356505,79.49386370534012,76.44967320224703,67.86885422300098,60.80826553305013,84.63035072120013,50.440046667216414,61.181188974707595,121.20065332777132,183.2976718820048,15.58129186912204,65.2453514432091,21.88092273818598,71.51507586552154,64.02944887496513,134.75686873485043,68.47877408431721,39.88019293110101,122.1766933872483,104.72998829128143,25.469963253111537,55.35602209412684,111.43842592239511,148.0872454281436,37.71964765182666,101.02311993428056,49.661741635446205,57.94870066086814,91.82983826057483,53.300321919183546,57.01498214018782,67.19421609168748,72.33967061183978,96.87199792030306,56.08044501029712,28.747502429754327,121.63075538918007,93.79600450462792,55.478758702972065,32.465597499139164,79.9854316911977,93.48720956981876,202.67145227250654,28.73601071404614,99.15377615588389,146.20301824212288,96.83535525489972,178.49181320245958,36.96913336705362,76.25372755606844,52.98776355131967,135.8289805029808,74.19575011536533,90.08963110588168,112.02271440438533,70.4142507222129,76.25734955489511,68.32209365663391,64.41392620643389,75.71569605104244,146.61244873763638,68.33916744360745,109.05523298174882,270.454793511546,104.72324036276564,64.38714590658411,159.4033373464826,92.41867669591306,50.33217248502832,48.25101349480866,30.181845212752854,82.62620509908649,75.27976677482579,58.13396599895771,59.81748007210555,73.62137142243179,89.9882788862266,78.84274642914411,129.32841492003382,129.8414166553855,33.87357071238516,112.33842000738659,77.3713891845606,48.61833201937647,47.147603253004476,33.79383986434856,48.5986836662932,63.343712152646475,47.186248836709794,75.18739125561414,175.63169974311134,67.29160290871496,113.02400057107499,100.76427711175316,95.19214349054153,70.42744976641333,50.36690342833168,68.1961910321387,125.92155153144189,21.938769163332,100.002054061465,44.440079830777016,76.71856007632854,337.68308491244,74.17648927370212,62.61838132591783,79.1699427579449,250.76372325695888,94.7696946283215,65.57904839970985,40.733714161708356,85.06467227341392,90.73523094076995,60.39398348519116,114.27432013857748,48.028009492232044,257.8008398027131,101.90310399103672,65.29493123480549,53.01941403123751,39.58314760101925,31.176774617331347,31.181275972844375,25.497308236616057,52.95524303869183,76.38200202382404,30.985328962240416,38.19700597430805,1,DET vs FullGradCam
2,backbone.res2.0.conv3,113.37083067420767,53.844557517996265,74.3739552569428,17.35599399382847,55.7436297112001,50.00164581290849,38.09422001022875,34.77412284197032,44.235444259260326,78.60926384561309,21.21771292929092,138.61729484874962,106.04461392197636,61.50396283008649,42.52151661176889,67.60707661709127,79.62515341880851,48.485884353111004,34.92907965203282,126.31676220950685,34.45761056801285,87.20015707922481,227.87190172238934,73.63707051329965,68.28104929385515,75.8077422345703,42.21140080182879,84.51976410784111,46.51794131016443,66.7728907820047,119.32549376136535,178.81364275154084,21.94335817786526,64.10425475231592,22.84721862674188,66.66837928878209,57.313833925480964,144.5974943062914,51.43884775281724,24.550686047697035,120.71924774827762,105.75139450027791,19.681239930338613,61.86860359899532,108.17226331719914,141.7461743131356,33.00122618844113,102.63487499122702,58.22873898918739,54.27697631663901,78.48356596337143,57.73677482229144,45.39663514061019,55.93953785246671,69.094634925061,94.95859869273971,41.69910080263989,27.681739648261384,113.48041489199781,97.85512421760913,42.642714921119456,34.60048708998204,88.78367855809745,87.44832708959711,196.2755629989755,30.956328814338125,97.33520264722736,134.8850392180642,93.57613323405133,180.94095095994854,41.195002931136024,70.24318353256132,44.402384265270676,136.63444622662033,91.57248113040423,92.58304668537798,103.38367564096369,67.03665595848611,76.54896316837169,67.22514761874169,61.96460039519497,72.76406804773336,150.8166818759627,69.78609783236931,107.95174623113567,269.8507176413852,88.56823587864943,64.78130317617686,165.91365490414526,94.52569490697181,44.31012754315185,36.30808709651169,30.422312749368167,78.61913417150379,65.58490655028098,47.202105642620936,61.315723362366725,82.2940459734518,91.27065230207181,76.20618062480801,102.94723884827505,108.92469081954579,29.177568533229987,104.42927569239453,61.15407806329727,32.78134164756936,38.60290022856282,35.89340939724161,47.006039184883775,58.4030225261423,42.5168166093584,79.2277019612955,188.7069853834342,72.18796658654645,120.00496827114469,90.6161372885835,92.0931707344455,79.15173014055293,50.70518454576815,56.08329455816425,119.67257358558322,19.925827347674254,100.77959582349163,45.06409351383935,79.44608845506049,342.45000860504877,71.52893652688081,51.53737176815296,73.0518340231504,252.76293102061544,89.84744040584661,63.324005139346745,34.69189709573784,89.96746403445475,80.19880077587399,61.359688125586956,119.1480355869962,49.22494970794767,254.9742741452119,88.84641282968875,45.74255680850753,54.69717980175386,40.478415502690964,40.96102207061772,30.786552956698802,32.29228756919747,49.32477012793393,65.04005311809118,37.552895201953035,39.26863096572056,1,DET vs FullGradCam
3,backbone.res2.1.conv1,112.86087367685991,59.19648445431159,72.41916210987878,18.887042635224965,52.71375632333236,50.0699487143454,36.464680642705545,32.802344177325224,41.9236103156295,80.61806211743382,20.68654372633494,141.1463090961699,92.88204927306735,63.97752739722721,42.94664500997049,69.05174716184132,77.99990625788345,51.52678241388269,35.56879416059792,122.66767300739585,33.74363520044808,87.56227462069555,225.21030987725678,71.05703163433171,66.126137757567,78.33393375078941,42.93436126663946,80.63301143269658,42.31649864443894,65.10070209402886,110.35565417493044,163.1551991367836,20.48358610431122,65.74492234635862,22.30823818907351,63.28515349444719,54.66435224976211,137.61253297800562,52.36532647093426,20.877119653941374,121.68091351618749,108.40898233431088,21.930477460487296,44.98008039601194,109.14317157295389,140.6403300589064,32.49380105398947,84.08866832266679,59.349050164480744,56.83490552678629,92.43189835280302,57.27955282504179,57.98249622786537,54.67652836616478,69.87293018321733,89.44583116628077,37.337437266845185,30.329824665941352,108.77979619801484,95.68531253601977,41.27346861001604,32.36459837519609,86.37730097439821,87.22294839171072,194.93562134202753,27.070684297518177,95.7023713651721,132.03283459342413,94.40047425422662,181.9840232072203,39.27985423634453,73.24582451405286,46.17070471210236,133.45706226449062,90.43495493978679,91.25359608027355,105.34454056335649,68.66317080271149,79.20621528677356,100.608133742318,60.56989441287142,76.26624464050212,153.5006722299084,63.082203134280476,108.66094881636808,265.8196653491457,84.49017599205358,64.73919563472376,170.8723089830937,95.33032541809393,39.336341272392715,35.45609010170536,30.639476630727657,75.86270415838602,71.3871169908916,48.677082996801985,62.47278335779585,79.81428552440451,92.76681898937551,76.49389589453386,102.31084568932076,135.20117853966485,30.141524468709395,98.25471989259285,64.3295486034392,31.208719387790033,41.56281326662838,35.1840413418987,45.240116192586015,56.413909065570365,42.98510313981339,74.79925787826522,187.11056470048976,71.6960475725561,120.22375306650709,92.00875247462687,93.69118468763205,79.21220981735993,51.71497278545531,51.732686829496195,116.59532245159164,22.60895786546046,97.49845722666996,40.30709598712551,78.60097705795454,342.59938981566427,72.19076258115143,49.325000709354455,71.54635624712958,249.89292242971268,95.28000034398366,64.91075736125832,38.61599177600073,91.62022586855875,98.43432988210525,58.34499795841424,119.22882331265058,45.356612725885036,252.94974382362096,90.08326298124027,43.820085333029546,54.00147446901671,40.56580349377053,40.798955630496415,30.781999388822967,34.48681078535893,49.1433149954112,65.22057900785747,35.48391748958858,38.35818664212796,1,DET vs FullGradCam
4,backbone.res2.1.conv2,113.05948789145822,58.65946637370854,70.46289798200796,16.31521788046212,51.71447165165034,51.834358917880635,38.61288452666377,35.083287199685586,43.51160568424159,78.93424776206632,22.655439522994413,134.26478219589316,79.62921632686393,68.06602252824251,44.46493451931665,70.63561329622632,79.30428389007994,49.64639638527005,32.65508245365868,121.96691216087955,39.79362877628088,93.49241110040803,232.98922731673258,74.08849759347724,64.45948327421183,75.88828225056889,41.09243886682684,77.43960394657103,41.4076246701696,64.32917097144625,116.58200883495184,171.92448268637415,18.597670661924294,66.15887410982725,21.681822966461063,68.46401791876397,56.552103822334416,144.3080669991428,50.96793243713827,23.53937924031598,122.66720152613489,105.47206104176969,21.871551157698118,60.53151832434497,110.41057589908816,140.61448846427106,32.88240551436621,85.13583047974049,56.1887792682475,58.30264454786673,80.78612722884654,54.62770190732614,55.231869786378894,60.16526757569147,68.68525009568295,85.60613973790373,43.798172536620356,26.973878122793067,110.91656274999178,98.02006338212094,43.01972347670522,38.65419326065752,87.5118400456733,84.96429278920729,196.2388268872154,32.555401289870424,96.45428594985796,136.11886844226973,93.98523758448428,179.00087687277681,37.65450447304565,75.36986831226835,46.70878208443493,128.48311926653716,90.44295720971745,96.49142717653969,102.94207686912935,69.4733899554586,79.6058354741934,71.95131871985461,59.20876839692915,76.28119260791317,150.2611803179832,66.03378987789957,113.43675344773447,272.7910099000312,84.10504557790276,65.34512529549852,168.46694983125138,98.69341155311457,42.59861252723605,37.59851643888806,31.030887203964582,80.00548199860967,65.52111912670387,49.08915878118354,55.6330176785159,79.26902933289233,92.8700193167674,76.22637729957087,97.8261128577023,104.62397634404168,31.66788659269622,103.78631543590316,64.13082507019146,32.80509541433244,39.44921551984711,38.44773445254048,49.600106524099104,60.202696558413805,46.07906969010381,74.8410472203407,189.80360305691346,75.16704711638873,115.8445404179013,95.15332924905336,91.98560845709054,77.92628101326207,48.25652407922217,51.91576797935297,120.79341653497325,23.31121301115944,97.76331702340117,43.93301299194468,76.25327690081184,348.1044623162942,72.70929113923893,47.280501424598675,73.47397163571641,255.71165766706517,85.8975767541306,63.739399164436364,38.684109847698586,93.20611008471454,114.03110892581262,59.41877096350845,117.27925314179029,44.45053827706863,256.4424089966917,91.35657053989223,44.04124390891623,51.9405290373238,40.834887114899125,39.904230851689576,30.357158112509325,33.73333265653039,49.325026799469256,64.3197851647194,47.51906693336571,35.29749391479882,1,DET vs FullGradCam
5,backbone.res2.1.conv3,113.97513322660814,56.67847703824584,75.09943402656609,16.298537683800014,56.64618767958116,51.57394492368314,45.25227901065628,34.84011666836476,49.08394360432848,81.90568503709763,20.87687950957821,135.20361898192016,93.58860210636848,61.97811499729294,42.42073957261591,67.17396254552389,78.04539400991763,48.202380859399696,36.86810825183545,117.74896948409469,33.46336058672766,92.2510757446561,236.07006508320512,73.82106586871134,65.22114354636517,76.82918771081033,39.59553189267632,84.72564251375928,37.399075308294236,68.90780743938545,120.33957489138464,188.99881666853693,23.925436981048456,66.56984879482656,24.925842225105505,75.05931522266971,57.957414446489544,157.96333649588513,49.74151261736859,21.819251259928976,115.38260581325969,101.8160683395238,22.233613289035045,61.889995972317344,109.52511772271072,138.77522333686034,37.04599070828034,110.62704264827964,59.85826815387773,54.54831482065808,75.24389276214382,56.94646451813461,47.765287825057776,54.99494803500691,69.4854778954494,88.86328858670217,43.4152982291728,27.010092607538446,109.22160367415296,102.86434275364104,41.67817167895748,35.66927339252612,91.016250772922,86.41091135703716,196.83298344901567,32.827172974645215,102.4092473701918,134.44737043161388,93.72854159897508,183.8531252172909,41.520244088015815,73.93935391683922,42.93329591270517,130.82584913677988,89.3734920717003,94.9834011282629,100.19321723099792,66.52258885979015,79.75071516411528,69.20267231829664,60.14305987601169,71.6231794913256,152.11058775900597,73.830873866048,112.94422467579221,276.4088535770692,88.79788611097914,66.64871316704213,165.50943081154256,96.6695794781586,44.49226971757069,36.496983870333146,30.78899624318847,79.88771571663092,64.22199814017435,44.654724048316766,62.020547662421905,85.23342740106341,97.21341782538863,79.05604256744348,96.68291868789466,98.45587879997422,31.94591453523199,101.03866547593108,59.35613414607163,33.788380894840614,40.03288957904715,39.02802519001271,47.868116956267,57.294602351108665,43.12043338195657,79.63880076452996,191.0701828961658,73.77433078930233,120.68263657539025,92.15354853587975,91.80384893433077,74.94931077515827,51.613093943909185,51.54038561963671,117.12146552132143,20.827068024977823,106.10131141635492,43.64439835734094,77.01474691751554,347.7271980620233,71.39749493643436,51.033522047336845,76.45603505671485,261.6705670759461,77.41117266664114,64.21937514985865,33.497182688387035,95.24521307561629,80.77344388255992,64.89905147660426,120.49172684327348,45.88589251263649,252.06052194498,86.99870357249871,46.79209339493655,53.98224060871368,45.23448152029664,46.1153459147724,33.29014629420857,36.14478644108827,48.98161014285412,66.77344444209743,44.42948160991621,37.62342333591515,1,DET vs FullGradCam
6,backbone.res2.2.conv1,112.86286085893957,54.10519256552628,73.5584363335409,17.436036000752893,53.60334724248932,51.30418236807306,50.643816053318155,31.90073606092335,46.00653421576584,80.49207879577227,32.97883963650589,132.5776666573319,65.27144192635723,72.12791737181232,40.31938783576638,63.34221084264184,82.90820643628078,50.06322002243285,32.72859476682697,118.75820460980663,30.88610198357695,91.22870524295183,231.7985640672952,68.21288999361232,65.3061132733821,84.16706758806606,41.44180700595926,77.84374560944946,41.51807424088711,65.78047704214484,109.25764919244796,156.45175601276873,21.53522896056841,67.32014608115749,23.427477561371205,69.09891273227589,56.09868699374574,127.75305125689692,44.44039285762656,21.809475715698156,119.94967090084343,106.5222564217917,24.01848351505859,44.43535049474096,110.03331750420965,141.09812416923444,29.453403455667313,82.4616802967528,58.5964603467804,59.16317089342372,95.83658294346206,54.882123372338356,57.996830853427795,57.54614440619068,68.72938745287011,81.07865845844917,35.728062159934034,29.767916607736865,102.0830858894746,96.65424925023235,40.167776024231486,34.97287250011353,80.06599841598862,85.93365364812018,194.02077975990554,26.659111739099846,97.84972435963485,135.14225089630878,96.4953687007388,182.49711835050522,40.200238530138165,73.24352414999512,49.56690715770161,129.0112944612646,89.81225624944497,93.32641154502878,107.33389041280776,76.84496421700777,81.34374860931283,102.04538758452779,55.722853243336424,78.48861553088811,155.04745762983566,57.59523945458401,121.50447263884733,267.5743471647823,86.13042316763847,62.53306762968606,172.5543557817881,102.02994755136939,39.99731027107566,34.39230131221521,30.58033616960403,84.51601293211772,69.34476856427281,48.87151764525122,60.08593725080208,79.50303768599068,92.41768573843933,77.21965874953473,97.40197319776098,129.0300785825361,32.94563983968087,96.13562178193385,66.30889442656037,28.0957641918668,38.748876719990676,41.098956106275836,47.16996598414893,51.79685587323303,44.146786138762735,79.45848800214534,183.96556373245102,74.96763373914382,116.6306153305629,92.74427226608557,93.66510256083626,78.55916652372937,48.373114959928884,46.250232070095336,119.6136047231281,23.160423166443223,95.14859131487822,40.422264097532164,76.99937684075405,338.65949005019775,75.20742802857569,52.93820625395909,74.51753499303058,248.0067719242018,80.01188630665068,63.6031392088515,37.32688178584912,98.68716889570604,85.38400839214357,60.92545655344455,118.54237532327886,41.690492426881924,255.15230617575273,84.55227523806073,40.7388346625801,50.967487334185215,49.80279608214662,40.924053436925625,30.62283524256255,29.7608300765594,49.35925893958591,65.80499088864869,33.46195064862198,39.82760056205409,1,DET vs FullGradCam
7,backbone.res2.2.conv2,131.327873112939,53.22134415638516,67.23735124299102,22.823186330301503,49.068918752454046,53.28466227214285,44.90811510390882,30.783123083519598,54.09323104224691,79.9851977257445,26.23064553066502,126.5064150695658,76.58460791475406,73.50056605061172,38.7863317984295,69.35547335940169,87.83464714451293,52.992024293894374,40.10930281742452,114.7907690062112,31.093154075831563,101.5052881797993,251.23091126318494,70.4225881630459,62.422697845725324,92.35782539336695,40.125584667125224,80.37252283411156,49.72654933775165,66.2229075423171,111.45391226200178,206.39152178834433,22.581000168865366,69.82455748914143,28.86069943029576,70.7243585315845,66.66848973906141,158.46475301663014,47.4997650249657,29.724614499689814,118.88673094610422,110.78027287264263,25.582774102917003,56.22476294368283,106.50721386046092,143.7790099518134,51.43201247532106,93.71750290017702,58.323613946133,64.5120814965077,86.61364843167068,60.03843561808617,56.4978956669116,65.72651549310592,73.10440999667065,82.80051511701011,55.69583589390217,47.39404814507828,112.98662975555379,100.51008989845701,36.14908776512752,36.25224805078768,89.3515952847341,85.63278489222841,192.065008274053,24.884645978571296,105.6446632250366,134.8041940007087,93.44261834847991,184.2858663702014,41.557250127958255,75.05434833238067,46.59300816892902,131.54951823947738,93.44150053894356,93.3655057908661,107.74639728371812,80.25568681030293,93.77361351762156,91.68245837703823,54.83009360006437,84.1976576082736,156.9505687168226,70.10478556462085,97.15601266733604,332.46648362767473,87.42421955105439,61.30776984064475,171.85803122626265,93.56508258174364,40.61743231746106,38.15676044910802,30.812116700266255,91.17243077507904,63.97582497722051,50.004804863311776,57.77947285398161,81.24355225804116,89.737486878936,75.40714655540299,92.74637244751544,114.93341730939005,33.968505041823754,102.15187165978175,77.27504524091748,32.083290465717916,39.89578542874375,38.899013337660584,50.72052538180924,56.912711168400975,44.968404747204026,71.91931477217119,176.591097595254,76.82085170586195,116.60034649141471,94.07755521659226,93.68538689342518,86.66453622384108,59.029635709447035,45.94791392847403,117.92329067467716,31.656659928677918,115.64755756635653,41.437543494399385,82.73990916713123,343.49982329544866,76.24661912831301,55.17709939754779,73.05210576622474,283.802016860084,77.4844521370142,69.16279840192944,37.97042965995447,117.90718144394557,94.63613565996789,57.84934335482277,110.5264126978305,41.67419473097131,261.3248637516932,88.78686951221997,47.16405489736583,59.340880962839904,44.13999694926246,41.88580743513977,39.05463655835095,38.44193604538273,48.16118279384665,71.82901002766329,43.296960177219205,35.77635873753391,1,DET vs FullGradCam
8,backbone.res2.2.conv3,121.95860642783491,58.54128565566361,79.70466264800399,17.149863899992386,59.77144115873263,52.20848916898191,42.29395520982142,38.08376315677012,53.385023267442335,85.35728970525872,19.521715413285953,134.9286198657019,95.5888515857974,62.30396956579024,45.60407180603654,74.47979762569,78.36194116311307,51.841135324273246,41.90642912418479,112.34566328620069,36.60911785944805,97.6464597952405,243.66710348513143,74.0622926668245,63.34342419499672,77.18150280014221,40.76729101308772,94.24943323727734,38.33838031962603,68.08024700530481,123.76402582285328,224.61247593290668,29.20363118212923,73.58771673072322,28.804314370766836,76.33838616586465,57.51212598485595,184.48332391659332,54.45239800272476,26.231631186664572,115.49155811899749,101.30197130747979,28.702386488356048,63.888852372282514,112.95011995216126,142.92044243857185,49.85808525401464,118.23869174821539,61.857788539494344,54.345218621458514,75.2471116521308,61.111006146399305,50.05485488381057,58.92467243626777,72.81910607796635,100.2926575323865,53.19496528844773,36.16793045899456,115.29315226490144,109.45141123778143,48.29537018336408,35.33226077645836,87.39602805803536,89.10491493946733,201.8426917289787,31.06335453139964,111.60382302897594,134.8050734322868,90.45389867744048,186.272960185155,46.21882603474134,83.32584689975549,41.750103110129345,135.2232712194848,92.48815329002207,97.8709171144223,103.91567218300318,63.00626194982598,83.3205139173707,84.61278908354791,60.58650703794062,73.94376979747787,152.69735672978865,78.78127834994356,98.2276583975817,304.01620477937706,92.87640372457678,72.76586924814642,164.36356293298968,95.28822785286329,48.90859173432872,39.32534061902288,33.868519141937085,86.311571248723,68.57085511669911,46.339974215095644,70.64272687912258,90.6961511535375,107.31224146200304,82.88292827040517,98.3358084560956,104.85270647400804,32.86117092322223,104.50821130858196,57.2638508229965,39.82579039675723,45.684038144538476,38.805539536373544,49.96114847393895,61.18746587928095,45.70125365753798,80.9648310989933,194.3941754569874,74.98245817720297,124.70488416590058,92.73411175492369,96.19727532573742,73.17828212953854,60.545786526459366,56.58954899775211,116.19309242952554,22.34400430273659,115.85777238792099,48.8025251422551,74.76063858652907,346.80924768013574,69.36690199830058,49.00522052973902,74.55459843492235,288.95779086292845,76.695538297131,66.21613456647898,35.44460093669124,112.14939134777333,85.82362493386535,70.7931364419048,121.01101986222302,50.91744985028312,254.06625756968668,91.62715744382953,45.673052424368734,59.14869168189189,45.827058896791925,52.75686143273284,37.40471264396031,41.76822806999823,50.981606297971126,69.66706934057693,62.34962498472419,39.86616167704675,1,DET vs FullGradCam
9,backbone.res3.0.conv1,114.12202114474294,57.18833093035489,73.98904858651767,17.95170425127754,49.82866455475188,54.380659282139334,34.87715320447873,33.15542889458672,52.81858833554234,79.99932083934893,22.475809091574327,135.26888664746548,91.65871667577633,53.54409594547428,47.53635065087578,74.3414435239508,82.52275256619136,51.57557446739832,36.44424300173917,118.02037511244995,44.32635723432192,97.29121958105176,231.72514892214627,69.25470527078474,69.35788771047947,73.58364565787684,44.76862787108068,91.1767679506716,43.80744752700572,64.60126282735679,113.83115675403633,159.3651449074113,24.46020677794006,66.6747703970608,22.719028009369552,69.065112735589,56.408453091862256,147.72298979935408,53.6409178373062,22.80054886771642,118.07410476904005,104.22607455890213,26.981335598559383,55.8096183859431,115.41330982222763,150.10717901644574,35.009872781736505,83.01645386844592,58.36348738506122,54.29518989054161,96.14361065698131,57.620667042317855,61.74080058074305,61.7518008060931,70.90868481499797,93.37845982008636,40.5711686472308,24.513102088419938,104.98401438425779,104.65418173105704,40.742436927952866,33.88228288620312,82.75286987047926,88.808962483322,198.56532941767622,28.67374996359992,102.8028639029198,134.02247533879878,86.30492180137784,186.31627549266017,38.96575105964605,77.35693236406553,43.31242886284008,134.01113227651194,83.24589894206088,101.6303675755542,113.18502598538676,70.7230527749908,79.51606609503825,92.52801279312793,62.441676933984006,74.44052772576258,149.6196215717141,70.50979512501169,109.03522298922789,267.86902863841686,80.71502145561166,65.65084002687708,176.54583699544008,92.21121256222301,45.622240598769594,37.58129341968251,34.01697590831314,80.21671460214272,69.51145477907522,45.87185369606506,65.05322337978129,83.84380823178934,96.98238507007082,80.84529604556919,96.6586459387443,106.13135302065953,32.02244815710527,96.99537386367349,73.06112501330472,37.09953729882139,47.2758431986615,37.33990696124702,46.53908070804224,60.1842966548982,46.61345841518958,69.73916487318485,183.86474000114418,70.30403696937651,116.08976287573091,92.64021073990776,94.92818064704497,82.9084142333643,53.68907081489215,55.36808232828829,117.88977590421345,27.608778428863147,98.79399326058268,41.84966194921125,74.53910397953838,334.60630693927476,72.60982451347445,47.9988886641567,72.19425985693461,257.04968026361433,97.99015311720908,63.97228812535657,45.523883683779154,96.66131357744423,83.8975503309602,64.31572271058486,121.37270153169129,45.11065556318603,257.2203120393225,89.43527643307391,56.54021424196159,56.23688577356296,39.66936127383676,45.42347255471944,30.514260511504716,40.00438081921216,52.35893597556351,64.74657819992261,39.704475945657805,30.871355544723556,1,DET vs FullGradCam
