,Layer,Cluster,Task,Image,Similarity
0,model_1_act,2,DET vs FullGradCam,sandwich_465430,0.15952599894041836
1,model_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.1707349769935531
2,model_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.07481959007203019
3,model_2_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.0958639645072397
4,model_2_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.09598412932775112
5,model_2_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.09511888647853692
6,model_3_act,2,DET vs FullGradCam,sandwich_465430,0.04195521635336669
7,model_4_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.12967421085524952
8,model_4_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.09286323197816886
9,model_4_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.12488565622911255
10,model_4_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.06358541285722351
11,model_4_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.08471734799259685
12,model_4_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.035161461931468414
13,model_4_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.02102987570257925
14,model_5_act,2,DET vs FullGradCam,sandwich_465430,0.008048525023529832
15,model_6_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.05898988349951166
16,model_6_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.029833520567803355
17,model_6_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,-0.019386777426200066
18,model_6_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.12444546945341049
19,model_6_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.1428615502104678
20,model_6_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.11820495840919246
21,model_6_m_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.10611105854576747
22,model_6_m_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.125506014023843
23,model_6_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.18469746939738868
24,model_7_act,2,DET vs FullGradCam,sandwich_465430,0.0393575401131668
25,model_8_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.012205774140713582
26,model_8_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.14487664145852058
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.046432545248980696
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.02657951838952717
29,model_8_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.06913522857354622
30,model_9_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.0761126203093876
31,model_9_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.18919529870710952
32,model_10_act,1,DET vs FullGradCam,sandwich_465430,0.23313472342836156
33,model_13_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.20739693191148195
34,model_13_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.15228510189174346
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.13931015198717084
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.30519968471405384
37,model_13_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.19727354739449882
38,model_14_act,1,DET vs FullGradCam,sandwich_465430,0.20309820940183998
39,model_17_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.22715662414724477
40,model_17_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.3109726596512439
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.2450509599415194
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.20699821010827502
43,model_17_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.26605804531515037
44,model_1_act,2,DET vs FullGradCam,bed_491757,0.13733577189996202
