,Layer,Cluster,Task,Image,Similarity
0,model_1_act,2,DET vs FullGradCam,sandwich_465430,0.36480793384966387
1,model_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.3685625440150837
2,model_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.42001521918851287
3,model_2_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.38675255200592196
4,model_2_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4029318128558277
5,model_2_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.41445827505767546
6,model_3_act,2,DET vs FullGradCam,sandwich_465430,0.43145922700740036
7,model_4_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.38881678498183764
8,model_4_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4117251965701567
9,model_4_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.3877764424067644
10,model_4_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4081521957470654
11,model_4_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.3992333871739962
12,model_4_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4416910203905465
13,model_4_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.4386260758356184
14,model_5_act,2,DET vs FullGradCam,sandwich_465430,0.42255070320566784
15,model_6_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.41147823799073285
16,model_6_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4193222766486245
17,model_6_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4299075774164995
18,model_6_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.3767128052976862
19,model_6_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.3713578432687352
20,model_6_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.38933712466968007
21,model_6_m_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.40244669369569674
22,model_6_m_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.3910740982628888
23,model_6_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.3668331147108351
24,model_7_act,2,DET vs FullGradCam,sandwich_465430,0.43612784166865165
25,model_8_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4297915039914078
26,model_8_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.3425807344754992
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4390426749727415
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.42827864441529706
29,model_8_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.3999787570683455
30,model_9_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.39478556040140395
31,model_9_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.36311653393930493
32,model_10_act,1,DET vs FullGradCam,sandwich_465430,0.3721633434583816
33,model_13_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.36486822150766657
34,model_13_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.4130421393418749
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.4101380973016491
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.3559554617452191
37,model_13_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.3919237341311792
38,model_14_act,1,DET vs FullGradCam,sandwich_465430,0.38628907435106913
39,model_17_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.3664296854849227
40,model_17_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.3468589359182561
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.3523685413769702
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.3905172827000734
43,model_17_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.36783104375696
44,model_1_act,2,DET vs FullGradCam,bed_491757,0.36566018831149655
45,model_2_cv1_act,2,DET vs FullGradCam,bed_491757,0.3741852535050334
46,model_2_cv2_act,2,DET vs FullGradCam,bed_491757,0.3803418449031216
47,model_2_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.3707525633928767
48,model_2_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.4258590654674845
49,model_2_cv3_act,2,DET vs FullGradCam,bed_491757,0.3650563553938241
50,model_3_act,2,DET vs FullGradCam,bed_491757,0.38353591129439474
51,model_4_cv1_act,2,DET vs FullGradCam,bed_491757,0.38640102623187284
52,model_4_cv2_act,2,DET vs FullGradCam,bed_491757,0.34897520930625475
53,model_4_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.3755891099316951
54,model_4_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.41851686321389736
55,model_4_m_1_cv1_act,2,DET vs FullGradCam,bed_491757,0.39303951243950397
56,model_4_m_1_cv2_act,2,DET vs FullGradCam,bed_491757,0.39724379140923405
57,model_4_cv3_act,2,DET vs FullGradCam,bed_491757,0.3665357326821205
58,model_5_act,2,DET vs FullGradCam,bed_491757,0.2970395020969402
59,model_6_cv1_act,2,DET vs FullGradCam,bed_491757,0.2767727259557011
60,model_6_cv2_act,2,DET vs FullGradCam,bed_491757,0.2930232220451736
61,model_6_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.3593696466439497
62,model_6_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.2970735570236109
63,model_6_m_1_cv1_act,2,DET vs FullGradCam,bed_491757,0.350985963173495
64,model_6_m_1_cv2_act,2,DET vs FullGradCam,bed_491757,0.3549099910622539
65,model_6_m_2_cv1_act,2,DET vs FullGradCam,bed_491757,0.3546421273973647
66,model_6_m_2_cv2_act,2,DET vs FullGradCam,bed_491757,0.359001572804446
67,model_6_cv3_act,2,DET vs FullGradCam,bed_491757,0.20266905269337085
68,model_7_act,2,DET vs FullGradCam,bed_491757,0.27189692078353
69,model_8_cv1_act,2,DET vs FullGradCam,bed_491757,0.410000758823574
70,model_8_cv2_act,2,DET vs FullGradCam,bed_491757,0.27165800627564873
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.2897538676550381
72,model_8_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.32319321305411247
73,model_8_cv3_act,2,DET vs FullGradCam,bed_491757,0.35410588555992134
74,model_9_cv1_act,2,DET vs FullGradCam,bed_491757,0.36590084446617316
75,model_9_cv2_act,1,DET vs FullGradCam,bed_491757,0.17456398190961567
76,model_10_act,1,DET vs FullGradCam,bed_491757,0.15905024875140913
77,model_13_cv1_act,1,DET vs FullGradCam,bed_491757,0.28263764859070745
78,model_13_cv2_act,1,DET vs FullGradCam,bed_491757,0.306985123038381
79,model_13_m_0_cv1_act,1,DET vs FullGradCam,bed_491757,0.3003463084738964
80,model_13_m_0_cv2_act,1,DET vs FullGradCam,bed_491757,0.35749309733212614
81,model_13_cv3_act,1,DET vs FullGradCam,bed_491757,0.3184350253547908
82,model_14_act,1,DET vs FullGradCam,bed_491757,0.33220912427338856
83,model_17_cv1_act,1,DET vs FullGradCam,bed_491757,0.27237274661507915
84,model_17_cv2_act,1,DET vs FullGradCam,bed_491757,0.3789079420001886
85,model_17_m_0_cv1_act,1,DET vs FullGradCam,bed_491757,0.3180675426003625
86,model_17_m_0_cv2_act,1,DET vs FullGradCam,bed_491757,0.3165712232377497
87,model_17_cv3_act,1,DET vs FullGradCam,bed_491757,0.33221955378839796
88,model_1_act,2,DET vs FullGradCam,bird_100489,0.3371248408625518
89,model_2_cv1_act,2,DET vs FullGradCam,bird_100489,0.3452616121139405
90,model_2_cv2_act,2,DET vs FullGradCam,bird_100489,0.3958219884402606
91,model_2_m_0_cv1_act,2,DET vs FullGradCam,bird_100489,0.33851089959183317
92,model_2_m_0_cv2_act,2,DET vs FullGradCam,bird_100489,0.36394673136372246
93,model_2_cv3_act,2,DET vs FullGradCam,bird_100489,0.3634293340233058
94,model_3_act,2,DET vs FullGradCam,bird_100489,0.31003891905202013
95,model_4_cv1_act,2,DET vs FullGradCam,bird_100489,0.34477637301481007
96,model_4_cv2_act,2,DET vs FullGradCam,bird_100489,0.3821044324524913
97,model_4_m_0_cv1_act,2,DET vs FullGradCam,bird_100489,0.3291281685012897
98,model_4_m_0_cv2_act,2,DET vs FullGradCam,bird_100489,0.3931092133109208
99,model_4_m_1_cv1_act,2,DET vs FullGradCam,bird_100489,0.35909627494085733
100,model_4_m_1_cv2_act,2,DET vs FullGradCam,bird_100489,0.38360852727114975
101,model_4_cv3_act,2,DET vs FullGradCam,bird_100489,0.37381760848563045
102,model_5_act,2,DET vs FullGradCam,bird_100489,0.3190019218191999
103,model_6_cv1_act,2,DET vs FullGradCam,bird_100489,0.3969501777619493
104,model_6_cv2_act,2,DET vs FullGradCam,bird_100489,0.3085905980718818
105,model_6_m_0_cv1_act,2,DET vs FullGradCam,bird_100489,0.2776523364241256
106,model_6_m_0_cv2_act,2,DET vs FullGradCam,bird_100489,0.38243533283247994
107,model_6_m_1_cv1_act,2,DET vs FullGradCam,bird_100489,0.27877344060888876
108,model_6_m_1_cv2_act,2,DET vs FullGradCam,bird_100489,0.3450236262044518
109,model_6_m_2_cv1_act,2,DET vs FullGradCam,bird_100489,0.38613142547200313
110,model_6_m_2_cv2_act,2,DET vs FullGradCam,bird_100489,0.3761393250118797
111,model_6_cv3_act,2,DET vs FullGradCam,bird_100489,0.36007516616303226
112,model_7_act,2,DET vs FullGradCam,bird_100489,0.40069031542698663
113,model_8_cv1_act,2,DET vs FullGradCam,bird_100489,0.5072747603884965
114,model_8_cv2_act,2,DET vs FullGradCam,bird_100489,0.3583307990803247
115,model_8_m_0_cv1_act,2,DET vs FullGradCam,bird_100489,0.4492378268005381
116,model_8_m_0_cv2_act,2,DET vs FullGradCam,bird_100489,0.3917411754387067
117,model_8_cv3_act,2,DET vs FullGradCam,bird_100489,0.3610568734334304
118,model_9_cv1_act,2,DET vs FullGradCam,bird_100489,0.35259628413566324
119,model_9_cv2_act,1,DET vs FullGradCam,bird_100489,0.396031807041446
120,model_10_act,1,DET vs FullGradCam,bird_100489,0.3693754967229043
121,model_13_cv1_act,1,DET vs FullGradCam,bird_100489,0.29225649781792196
122,model_13_cv2_act,1,DET vs FullGradCam,bird_100489,0.347311838418267
123,model_13_m_0_cv1_act,1,DET vs FullGradCam,bird_100489,0.2638501285743972
