,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,sandwich_465430,69.43147772739653
1,model_2_cv1_act,1,DET vs FullGradCam,sandwich_465430,63.07895605225095
2,model_2_cv2_act,1,DET vs FullGradCam,sandwich_465430,67.83265205578986
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,67.31688848036822
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,70.17827444381177
5,model_2_cv3_act,1,DET vs FullGradCam,sandwich_465430,74.03641301536977
6,model_3_act,1,DET vs FullGradCam,sandwich_465430,82.61528592114492
7,model_4_cv1_act,1,DET vs FullGradCam,sandwich_465430,66.05231406151404
8,model_4_cv2_act,1,DET vs FullGradCam,sandwich_465430,67.35773580880536
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,65.93292759044263
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,67.01536702316609
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,sandwich_465430,69.3315506431637
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,sandwich_465430,74.63468687032741
13,model_4_cv3_act,1,DET vs FullGradCam,sandwich_465430,76.11891932212252
14,model_5_act,1,DET vs FullGradCam,sandwich_465430,77.74191698106269
15,model_6_cv1_act,1,DET vs FullGradCam,sandwich_465430,78.56622657148733
16,model_6_cv2_act,1,DET vs FullGradCam,sandwich_465430,68.44609809614943
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,78.44340178501193
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,65.91810557119285
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,sandwich_465430,65.4445823764294
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,sandwich_465430,71.53340900775018
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,sandwich_465430,71.07844877823345
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,sandwich_465430,67.93413457988774
23,model_6_cv3_act,1,DET vs FullGradCam,sandwich_465430,69.53420342158476
24,model_7_act,1,DET vs FullGradCam,sandwich_465430,88.53203786144218
25,model_8_cv1_act,1,DET vs FullGradCam,sandwich_465430,81.85044692815852
26,model_8_cv2_act,1,DET vs FullGradCam,sandwich_465430,57.009083781607806
27,model_8_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,84.90528498213212
28,model_8_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,84.20481058331156
29,model_8_cv3_act,1,DET vs FullGradCam,sandwich_465430,73.64228967857139
