,Layer,Cluster,Task,Image,Similarity
0,model_1_act,2,DET vs FullGradCam,sandwich_465430,0.4231435536123712
1,model_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.48721948529654463
2,model_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4811261656027596
3,model_2_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4105538315760647
4,model_2_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4457399083357234
5,model_2_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.4921377429838128
6,model_3_act,2,DET vs FullGradCam,sandwich_465430,0.481192001368994
7,model_4_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5134311406854045
8,model_4_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.43241161708119163
9,model_4_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4762400550673049
10,model_4_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.44280052083596727
11,model_4_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.392199694291689
12,model_4_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.2722873577321622
13,model_4_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.4711949169856018
14,model_5_act,2,DET vs FullGradCam,sandwich_465430,0.5055202549924579
15,model_6_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4608217517330245
16,model_6_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.490365692808866
17,model_6_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4870997627052171
18,model_6_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.5046551878862715
19,model_6_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5123769660673793
20,model_6_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4161759813062743
21,model_6_m_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.34761111813908246
22,model_6_m_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.35540458072703357
23,model_6_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.5238358808227439
24,model_7_act,2,DET vs FullGradCam,sandwich_465430,0.46722932985736765
25,model_8_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.49293216712656696
26,model_8_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.35356477598045377
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.47494680164673836
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4896069102770316
29,model_8_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.48491953999950305
30,model_9_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4905701254614113
31,model_9_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.5406631500391479
32,model_10_act,1,DET vs FullGradCam,sandwich_465430,0.567684100003921
33,model_13_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.45099267131036985
34,model_13_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.2982578450813471
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.5029332614890877
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.43812325624672166
37,model_13_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.33259959591780874
38,model_14_act,1,DET vs FullGradCam,sandwich_465430,0.35526068600360217
39,model_17_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.3915775841800616
40,model_17_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.5001253227060222
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.42975760267458174
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.398179571364187
43,model_17_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.43955511808428616
44,model_1_act,2,DET vs FullGradCam,bed_491757,0.26660898365708785
45,model_2_cv1_act,2,DET vs FullGradCam,bed_491757,0.26633259106643525
46,model_2_cv2_act,2,DET vs FullGradCam,bed_491757,0.40232853897063514
47,model_2_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.22427946703052576
48,model_2_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.3457268480718852
49,model_2_cv3_act,2,DET vs FullGradCam,bed_491757,0.4270981012747854
50,model_3_act,2,DET vs FullGradCam,bed_491757,0.3262555897639397
51,model_4_cv1_act,2,DET vs FullGradCam,bed_491757,0.26364225966944566
52,model_4_cv2_act,2,DET vs FullGradCam,bed_491757,0.32615235588655156
53,model_4_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.42062693024236475
54,model_4_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.33418260020647866
55,model_4_m_1_cv1_act,2,DET vs FullGradCam,bed_491757,0.2881757057916692
56,model_4_m_1_cv2_act,2,DET vs FullGradCam,bed_491757,0.2239010868120611
57,model_4_cv3_act,2,DET vs FullGradCam,bed_491757,0.36209456172333765
58,model_5_act,2,DET vs FullGradCam,bed_491757,0.4955394450309081
59,model_6_cv1_act,2,DET vs FullGradCam,bed_491757,0.5327632826860466
60,model_6_cv2_act,2,DET vs FullGradCam,bed_491757,0.44066448846026957
61,model_6_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.23256117122129147
62,model_6_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.5198624542741813
63,model_6_m_1_cv1_act,2,DET vs FullGradCam,bed_491757,0.34476295367666737
64,model_6_m_1_cv2_act,2,DET vs FullGradCam,bed_491757,0.35781480139422905
65,model_6_m_2_cv1_act,2,DET vs FullGradCam,bed_491757,0.4478882633377468
66,model_6_m_2_cv2_act,2,DET vs FullGradCam,bed_491757,0.38462420525671875
67,model_6_cv3_act,2,DET vs FullGradCam,bed_491757,0.6921983751977986
68,model_7_act,2,DET vs FullGradCam,bed_491757,0.43137018050753345
69,model_8_cv1_act,2,DET vs FullGradCam,bed_491757,0.3194426942556592
70,model_8_cv2_act,2,DET vs FullGradCam,bed_491757,0.5035701839423449
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,0.4401530776546053
72,model_8_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,0.31469758583195123
73,model_8_cv3_act,2,DET vs FullGradCam,bed_491757,0.23427851431199273
74,model_9_cv1_act,2,DET vs FullGradCam,bed_491757,0.21773648921209768
75,model_9_cv2_act,1,DET vs FullGradCam,bed_491757,0.6278278245938697
76,model_10_act,1,DET vs FullGradCam,bed_491757,0.6431311486585933
77,model_13_cv1_act,1,DET vs FullGradCam,bed_491757,0.6387608794065689
78,model_13_cv2_act,1,DET vs FullGradCam,bed_491757,0.6429972329816023
79,model_13_m_0_cv1_act,1,DET vs FullGradCam,bed_491757,0.6046224481480448
80,model_13_m_0_cv2_act,1,DET vs FullGradCam,bed_491757,0.5449328004830899
81,model_13_cv3_act,1,DET vs FullGradCam,bed_491757,0.5609162459827588
82,model_14_act,1,DET vs FullGradCam,bed_491757,0.5519448110297955
83,model_17_cv1_act,1,DET vs FullGradCam,bed_491757,0.6901575842120974
84,model_17_cv2_act,1,DET vs FullGradCam,bed_491757,0.4952813051688593
85,model_17_m_0_cv1_act,1,DET vs FullGradCam,bed_491757,0.6735709148449577
86,model_17_m_0_cv2_act,1,DET vs FullGradCam,bed_491757,0.7113079499418397
87,model_17_cv3_act,1,DET vs FullGradCam,bed_491757,0.6177249330930683
88,model_1_act,2,DET vs FullGradCam,bird_100489,0.5179299210316651
89,model_2_cv1_act,2,DET vs FullGradCam,bird_100489,0.5009604280426483
90,model_2_cv2_act,2,DET vs FullGradCam,bird_100489,0.4074017006950657
91,model_2_m_0_cv1_act,2,DET vs FullGradCam,bird_100489,0.5817829679633911
92,model_2_m_0_cv2_act,2,DET vs FullGradCam,bird_100489,0.5400624896034757
93,model_2_cv3_act,2,DET vs FullGradCam,bird_100489,0.5274331102233991
94,model_3_act,2,DET vs FullGradCam,bird_100489,0.5703424583959712
95,model_4_cv1_act,2,DET vs FullGradCam,bird_100489,0.5275756596206307
