,Layer,Cluster,Task,Image,Similarity
0,model_1_act,2,DET vs FullGradCam,sandwich_465430,0.5152273070975516
1,model_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5296368473836071
2,model_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.49128748666495103
3,model_2_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5003010495986684
4,model_2_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.5043555842062207
5,model_2_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.5053523185847373
6,model_3_act,2,DET vs FullGradCam,sandwich_465430,0.46902589014179447
7,model_4_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5161339061564362
8,model_4_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.5032700610692207
9,model_4_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.46972132567916935
10,model_4_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.5017085762001937
11,model_4_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4864571019571706
12,model_4_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4300138178812779
13,model_4_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.4917149528866311
14,model_5_act,2,DET vs FullGradCam,sandwich_465430,0.4847910982604119
15,model_6_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.49182345692121693
16,model_6_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.5082867912576983
17,model_6_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.47827653201185927
18,model_6_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.5032242720338881
19,model_6_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5281765564158094
20,model_6_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.49589954825566535
21,model_6_m_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4681508274375561
22,model_6_m_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4799793263392191
23,model_6_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.4962685189138986
24,model_7_act,2,DET vs FullGradCam,sandwich_465430,0.487167642695439
25,model_8_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.49397626948476875
26,model_8_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.483740667379315
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.4720671447623631
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,0.4792846320708836
29,model_8_cv3_act,2,DET vs FullGradCam,sandwich_465430,0.5059057931725877
30,model_9_cv1_act,2,DET vs FullGradCam,sandwich_465430,0.5056034990978471
31,model_9_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.5253415758733514
32,model_10_act,1,DET vs FullGradCam,sandwich_465430,0.5662031407719076
33,model_13_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.5487071514801376
34,model_13_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.38963538478965287
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.47976060507856566
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.5108019578406493
37,model_13_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.4313533048996389
38,model_14_act,1,DET vs FullGradCam,sandwich_465430,0.44464835299638994
39,model_17_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.4743217003965132
40,model_17_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.5626079161334316
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,0.5087492370256603
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,0.47895170526767433
43,model_17_cv3_act,1,DET vs FullGradCam,sandwich_465430,0.5110859086172719
44,model_1_act,2,DET vs FullGradCam,bed_491757,0.363048639021824
