,Layer,Cluster,Task,Image,Similarity
0,model_1_act,2,DET vs FullGradCam,sandwich_465430,57.37853622035389
1,model_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,61.98544296030627
2,model_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,74.05975159053293
3,model_2_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,60.60390029398261
4,model_2_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,65.28202227613937
5,model_2_cv3_act,2,DET vs FullGradCam,sandwich_465430,69.21049791233183
6,model_3_act,2,DET vs FullGradCam,sandwich_465430,78.80353062226693
7,model_4_cv1_act,2,DET vs FullGradCam,sandwich_465430,67.14756275841414
8,model_4_cv2_act,2,DET vs FullGradCam,sandwich_465430,63.03154836638855
9,model_4_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,78.94345326449317
10,model_4_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,68.09416753787619
11,model_4_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,63.46452677695261
12,model_4_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,69.33191847508975
13,model_4_cv3_act,2,DET vs FullGradCam,sandwich_465430,70.8140808392532
14,model_5_act,2,DET vs FullGradCam,sandwich_465430,74.92334437560189
15,model_6_cv1_act,2,DET vs FullGradCam,sandwich_465430,71.04498434255873
16,model_6_cv2_act,2,DET vs FullGradCam,sandwich_465430,67.39514964893678
17,model_6_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,76.5152905955851
18,model_6_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,71.06764066646868
19,model_6_m_1_cv1_act,2,DET vs FullGradCam,sandwich_465430,63.32713406197594
20,model_6_m_1_cv2_act,2,DET vs FullGradCam,sandwich_465430,64.82792999354362
21,model_6_m_2_cv1_act,2,DET vs FullGradCam,sandwich_465430,64.77672460815948
22,model_6_m_2_cv2_act,2,DET vs FullGradCam,sandwich_465430,60.82956961288695
23,model_6_cv3_act,2,DET vs FullGradCam,sandwich_465430,73.13936186256142
24,model_7_act,2,DET vs FullGradCam,sandwich_465430,73.98398050299528
25,model_8_cv1_act,2,DET vs FullGradCam,sandwich_465430,71.52226614313304
26,model_8_cv2_act,2,DET vs FullGradCam,sandwich_465430,47.846694982506364
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,sandwich_465430,78.59627346738273
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,sandwich_465430,76.89616594419542
29,model_8_cv3_act,2,DET vs FullGradCam,sandwich_465430,68.56096277498912
30,model_9_cv1_act,2,DET vs FullGradCam,sandwich_465430,68.78750798233641
31,model_9_cv2_act,1,DET vs FullGradCam,sandwich_465430,67.34401409361953
32,model_10_act,1,DET vs FullGradCam,sandwich_465430,57.95568672970233
33,model_13_cv1_act,1,DET vs FullGradCam,sandwich_465430,47.27859226304825
34,model_13_cv2_act,1,DET vs FullGradCam,sandwich_465430,41.52223207275489
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,77.01648975486464
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,44.57383033519041
37,model_13_cv3_act,1,DET vs FullGradCam,sandwich_465430,44.3897322988196
38,model_14_act,1,DET vs FullGradCam,sandwich_465430,42.15980579626765
39,model_17_cv1_act,1,DET vs FullGradCam,sandwich_465430,40.21283984774428
40,model_17_cv2_act,1,DET vs FullGradCam,sandwich_465430,33.344640675307566
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,sandwich_465430,35.020520070711044
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,sandwich_465430,40.26309547361759
43,model_17_cv3_act,1,DET vs FullGradCam,sandwich_465430,36.75262568088225
44,model_1_act,2,DET vs FullGradCam,bed_491757,48.72401995356281
45,model_2_cv1_act,2,DET vs FullGradCam,bed_491757,54.24614529599566
46,model_2_cv2_act,2,DET vs FullGradCam,bed_491757,46.471144359079666
47,model_2_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,56.052613711259575
48,model_2_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,55.216601291454886
49,model_2_cv3_act,2,DET vs FullGradCam,bed_491757,50.91488226658463
50,model_3_act,2,DET vs FullGradCam,bed_491757,51.738194708709685
51,model_4_cv1_act,2,DET vs FullGradCam,bed_491757,54.95879841604189
52,model_4_cv2_act,2,DET vs FullGradCam,bed_491757,41.76010041162971
53,model_4_m_0_cv1_act,2,DET vs FullGradCam,bed_491757,53.078811948125036
54,model_4_m_0_cv2_act,2,DET vs FullGradCam,bed_491757,56.62529858413385
55,model_4_m_1_cv1_act,2,DET vs FullGradCam,bed_491757,60.71398032100791
56,model_4_m_1_cv2_act,2,DET vs FullGradCam,bed_491757,67.1979114210226
57,model_4_cv3_act,2,DET vs FullGradCam,bed_491757,58.6939570772285
58,model_5_act,2,DET vs FullGradCam,bed_491757,49.340400175080475
59,model_6_cv1_act,2,DET vs FullGradCam,bed_491757,42.7770515296198
