,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,2170,0.8766601957341124
1,model_2_cv1_act,1,DET vs FullGradCam,2170,0.7492633452326316
2,model_2_cv2_act,1,DET vs FullGradCam,2170,0.7258866602213819
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,2170,0.7175308741290719
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,2170,0.7313454143061421
5,model_2_cv3_act,1,DET vs FullGradCam,2170,0.7122340451295817
6,model_3_act,1,DET vs FullGradCam,2170,0.7214294425708259
7,model_4_cv1_act,1,DET vs FullGradCam,2170,0.7017458656947836
8,model_4_cv2_act,1,DET vs FullGradCam,2170,0.7251961313900926
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,2170,0.7223401838794903
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,2170,0.7150559690857599
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,2170,0.7910920878089955
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,2170,0.7127229374335792
13,model_4_cv3_act,1,DET vs FullGradCam,2170,0.7779767545201983
14,model_5_act,1,DET vs FullGradCam,2170,0.632934071609228
15,model_6_cv1_act,1,DET vs FullGradCam,2170,0.6541907043769808
16,model_6_cv2_act,1,DET vs FullGradCam,2170,0.5883200459200976
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,2170,0.6467079821476824
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,2170,0.6578727648159687
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,2170,0.5812447911978436
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,2170,0.6657339835441773
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,2170,0.652236379490335
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,2170,0.6061248377864475
23,model_6_cv3_act,1,DET vs FullGradCam,2170,0.6269198781032097
24,model_7_act,2,DET vs FullGradCam,2170,0.4610780214092644
25,model_8_cv1_act,2,DET vs FullGradCam,2170,0.49524947654562923
26,model_8_cv2_act,2,DET vs FullGradCam,2170,0.652350925180651
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,2170,0.5178460093933152
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,2170,0.6118852458620034
29,model_8_cv3_act,2,DET vs FullGradCam,2170,0.6629417461676282
30,model_9_cv1_act,2,DET vs FullGradCam,2170,0.6492059667598661
31,model_9_cv2_act,1,DET vs FullGradCam,2170,0.8214248433058156
32,model_10_act,1,DET vs FullGradCam,2170,0.7939631836584751
33,model_13_cv1_act,1,DET vs FullGradCam,2170,0.8134127961570986
34,model_13_cv2_act,1,DET vs FullGradCam,2170,0.7834438656867675
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,2170,0.8115399572311612
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,2170,0.8245103548515746
37,model_13_cv3_act,1,DET vs FullGradCam,2170,0.8262546407673881
38,model_14_act,1,DET vs FullGradCam,2170,0.8485730478671097
39,model_17_cv1_act,1,DET vs FullGradCam,2170,0.796080098122403
40,model_17_cv2_act,1,DET vs FullGradCam,2170,0.7962231213820037
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,2170,0.8017975482739738
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,2170,0.7929913053518532
43,model_17_cv3_act,1,DET vs FullGradCam,2170,0.7934298428532126
44,model_1_act,1,DET vs FullGradCam,1389,0.27716877016656627
45,model_2_cv1_act,1,DET vs FullGradCam,1389,0.26341651925949455
46,model_2_cv2_act,1,DET vs FullGradCam,1389,0.27255999378442114
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,1389,0.28826948375073275
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,1389,0.29717975983606915
49,model_2_cv3_act,1,DET vs FullGradCam,1389,0.2610119216580805
50,model_3_act,1,DET vs FullGradCam,1389,0.28792739081961916
51,model_4_cv1_act,1,DET vs FullGradCam,1389,0.2695266823103445
52,model_4_cv2_act,1,DET vs FullGradCam,1389,0.3089109388442631
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,1389,0.24364510570681772
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,1389,0.28067428194966787
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,1389,0.28091058236998717
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,1389,0.28526353873664634
57,model_4_cv3_act,1,DET vs FullGradCam,1389,0.28113808290992603
58,model_5_act,1,DET vs FullGradCam,1389,0.2951484359400521
59,model_6_cv1_act,1,DET vs FullGradCam,1389,0.2554194194469329
60,model_6_cv2_act,1,DET vs FullGradCam,1389,0.30222199409176675
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,1389,0.22946701801099645
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,1389,0.2534070327278891
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,1389,0.2058057809718573
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,1389,0.2446125739385507
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,1389,0.2728982251925718
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,1389,0.264131028986295
67,model_6_cv3_act,1,DET vs FullGradCam,1389,0.3364420797672036
68,model_7_act,2,DET vs FullGradCam,1389,0.24455126764123564
69,model_8_cv1_act,2,DET vs FullGradCam,1389,0.2030610502594661
70,model_8_cv2_act,2,DET vs FullGradCam,1389,0.24335326780319486
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,1389,0.19325844834109482
72,model_8_m_0_cv2_act,2,DET vs FullGradCam,1389,0.15035754710424867
73,model_8_cv3_act,2,DET vs FullGradCam,1389,0.22237059508466697
74,model_9_cv1_act,2,DET vs FullGradCam,1389,0.21528279736505895
