,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,2170,0.14597247588514836
1,model_2_cv1_act,1,DET vs FullGradCam,2170,0.2178134304867336
2,model_2_cv2_act,1,DET vs FullGradCam,2170,0.21793215738374494
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,2170,0.22792040268862532
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,2170,0.21977863731633976
5,model_2_cv3_act,1,DET vs FullGradCam,2170,0.23309608645197039
6,model_3_act,1,DET vs FullGradCam,2170,0.22229712522737655
7,model_4_cv1_act,1,DET vs FullGradCam,2170,0.23571304327366846
8,model_4_cv2_act,1,DET vs FullGradCam,2170,0.2159226406960436
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,2170,0.23117859204389077
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,2170,0.22913831823391598
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,2170,0.19030784505908205
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,2170,0.2299329680511571
13,model_4_cv3_act,1,DET vs FullGradCam,2170,0.17667285605506416
14,model_5_act,1,DET vs FullGradCam,2170,0.25303283366422075
15,model_6_cv1_act,1,DET vs FullGradCam,2170,0.2537242160569152
16,model_6_cv2_act,1,DET vs FullGradCam,2170,0.27138314292950627
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,2170,0.2655026116993541
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,2170,0.25544784671587845
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,2170,0.2539788514930522
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,2170,0.22698230028237373
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,2170,0.2540895591852869
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,2170,0.25605766326285734
23,model_6_cv3_act,1,DET vs FullGradCam,2170,0.25017381427764407
24,model_7_act,2,DET vs FullGradCam,2170,0.31346822597899326
25,model_8_cv1_act,2,DET vs FullGradCam,2170,0.2971865297971745
26,model_8_cv2_act,2,DET vs FullGradCam,2170,0.25077957351486874
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,2170,0.29466696606962717
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,2170,0.2450928261471693
29,model_8_cv3_act,2,DET vs FullGradCam,2170,0.2386907764863296
30,model_9_cv1_act,2,DET vs FullGradCam,2170,0.24787860406085296
31,model_9_cv2_act,2,DET vs FullGradCam,2170,0.19731241554929058
32,model_10_act,2,DET vs FullGradCam,2170,0.1994277156430918
33,model_13_cv1_act,2,DET vs FullGradCam,2170,0.1981684912147827
34,model_13_cv2_act,2,DET vs FullGradCam,2170,0.21230175509231297
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,2170,0.19951126071699798
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,2170,0.18918809153403993
37,model_13_cv3_act,2,DET vs FullGradCam,2170,0.19131870420586797
38,model_14_act,2,DET vs FullGradCam,2170,0.17884490868947273
39,model_17_cv1_act,2,DET vs FullGradCam,2170,0.20342877163665274
40,model_17_cv2_act,2,DET vs FullGradCam,2170,0.20490354918634918
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,2170,0.20170665845831387
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,2170,0.20631188889360016
43,model_17_cv3_act,2,DET vs FullGradCam,2170,0.206217838448466
44,model_1_act,1,DET vs FullGradCam,1389,0.43232121761073466
45,model_2_cv1_act,1,DET vs FullGradCam,1389,0.4383877969346865
46,model_2_cv2_act,1,DET vs FullGradCam,1389,0.4365261598716727
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,1389,0.4166309771412713
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,1389,0.411830178452357
49,model_2_cv3_act,1,DET vs FullGradCam,1389,0.45040404424184693
50,model_3_act,1,DET vs FullGradCam,1389,0.4304124721872178
51,model_4_cv1_act,1,DET vs FullGradCam,1389,0.4400573366506603
52,model_4_cv2_act,1,DET vs FullGradCam,1389,0.4136620781041262
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,1389,0.45507259869272115
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,1389,0.4247996319161245
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,1389,0.4288933819790898
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,1389,0.42177044944802555
57,model_4_cv3_act,1,DET vs FullGradCam,1389,0.4352832935140342
58,model_5_act,1,DET vs FullGradCam,1389,0.4273036087217813
59,model_6_cv1_act,1,DET vs FullGradCam,1389,0.449766390107341
60,model_6_cv2_act,1,DET vs FullGradCam,1389,0.41564735360103294
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,1389,0.4618711592145956
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,1389,0.4499334212287346
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,1389,0.4757120459476846
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,1389,0.45520462458334165
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,1389,0.4377745535837483
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,1389,0.44316048728276314
67,model_6_cv3_act,1,DET vs FullGradCam,1389,0.3951798994367676
68,model_7_act,2,DET vs FullGradCam,1389,0.4236733796069005
69,model_8_cv1_act,2,DET vs FullGradCam,1389,0.4635242580378544
70,model_8_cv2_act,2,DET vs FullGradCam,1389,0.45543282158816123
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,1389,0.47345115010191474
72,model_8_m_0_cv2_act,2,DET vs FullGradCam,1389,0.5101556426794404
73,model_8_cv3_act,2,DET vs FullGradCam,1389,0.47263393267220766
74,model_9_cv1_act,2,DET vs FullGradCam,1389,0.47475159663368155
75,model_9_cv2_act,2,DET vs FullGradCam,1389,0.6044650583401777
76,model_10_act,2,DET vs FullGradCam,1389,0.6056183422769439
77,model_13_cv1_act,2,DET vs FullGradCam,1389,0.525818106110699
78,model_13_cv2_act,2,DET vs FullGradCam,1389,0.5320473046143288
79,model_13_m_0_cv1_act,2,DET vs FullGradCam,1389,0.5268885296578779
80,model_13_m_0_cv2_act,2,DET vs FullGradCam,1389,0.6110715806130297
81,model_13_cv3_act,2,DET vs FullGradCam,1389,0.5308841554624543
82,model_14_act,2,DET vs FullGradCam,1389,0.5297996527767391
83,model_17_cv1_act,2,DET vs FullGradCam,1389,0.5305136667318541
84,model_17_cv2_act,2,DET vs FullGradCam,1389,0.527745742489594
85,model_17_m_0_cv1_act,2,DET vs FullGradCam,1389,0.527681699937878
86,model_17_m_0_cv2_act,2,DET vs FullGradCam,1389,0.5970598642639436
87,model_17_cv3_act,2,DET vs FullGradCam,1389,0.5291183053785791
88,model_1_act,1,DET vs FullGradCam,760,0.2967685125428187
89,model_2_cv1_act,1,DET vs FullGradCam,760,0.2975213440241615
90,model_2_cv2_act,1,DET vs FullGradCam,760,0.2941165746138625
91,model_2_m_0_cv1_act,1,DET vs FullGradCam,760,0.30159406415965123
92,model_2_m_0_cv2_act,1,DET vs FullGradCam,760,0.3009751413148802
93,model_2_cv3_act,1,DET vs FullGradCam,760,0.312759513879892
94,model_3_act,1,DET vs FullGradCam,760,0.32124126562373573
95,model_4_cv1_act,1,DET vs FullGradCam,760,0.3105327126563168
96,model_4_cv2_act,1,DET vs FullGradCam,760,0.3225965304698657
97,model_4_m_0_cv1_act,1,DET vs FullGradCam,760,0.29869023455196775
98,model_4_m_0_cv2_act,1,DET vs FullGradCam,760,0.3542533375932994
99,model_4_m_1_cv1_act,1,DET vs FullGradCam,760,0.2984201992865905
100,model_4_m_1_cv2_act,1,DET vs FullGradCam,760,0.3248666209297711
101,model_4_cv3_act,1,DET vs FullGradCam,760,0.3264071798290911
102,model_5_act,1,DET vs FullGradCam,760,0.3329965835757508
103,model_6_cv1_act,1,DET vs FullGradCam,760,0.3242329074839777
104,model_6_cv2_act,1,DET vs FullGradCam,760,0.3343171368024551
105,model_6_m_0_cv1_act,1,DET vs FullGradCam,760,0.34398072255233514
106,model_6_m_0_cv2_act,1,DET vs FullGradCam,760,0.3400109173677656
107,model_6_m_1_cv1_act,1,DET vs FullGradCam,760,0.32915821147578006
108,model_6_m_1_cv2_act,1,DET vs FullGradCam,760,0.33425308523983727
109,model_6_m_2_cv1_act,1,DET vs FullGradCam,760,0.29353883551126403
110,model_6_m_2_cv2_act,1,DET vs FullGradCam,760,0.24964958462767425
111,model_6_cv3_act,1,DET vs FullGradCam,760,0.29625986832634216
