,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,2170,48.37028449930669
1,model_2_cv1_act,1,DET vs FullGradCam,2170,61.99205551786396
2,model_2_cv2_act,1,DET vs FullGradCam,2170,49.58128447397627
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,2170,58.3017339152497
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,2170,56.23214481096767
5,model_2_cv3_act,1,DET vs FullGradCam,2170,57.81732164374226
6,model_3_act,1,DET vs FullGradCam,2170,52.31295959375873
7,model_4_cv1_act,1,DET vs FullGradCam,2170,59.68826095422608
8,model_4_cv2_act,1,DET vs FullGradCam,2170,46.12377655684114
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,2170,57.126412626521386
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,2170,54.38059897594371
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,2170,58.17859688185683
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,2170,59.94305799675167
13,model_4_cv3_act,1,DET vs FullGradCam,2170,43.80154330209703
14,model_5_act,1,DET vs FullGradCam,2170,56.52900812128548
15,model_6_cv1_act,1,DET vs FullGradCam,2170,60.566844607745324
16,model_6_cv2_act,1,DET vs FullGradCam,2170,57.12961681674555
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,2170,70.60509031429861
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,2170,57.34732703838039
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,2170,61.977030525571095
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,2170,53.75272187765816
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,2170,55.068561830260506
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,2170,54.95716741842615
23,model_6_cv3_act,1,DET vs FullGradCam,2170,50.43335699702435
24,model_7_act,1,DET vs FullGradCam,2170,63.11386133176364
25,model_8_cv1_act,1,DET vs FullGradCam,2170,60.127440436942834
26,model_8_cv2_act,1,DET vs FullGradCam,2170,52.37955299112879
27,model_8_m_0_cv1_act,1,DET vs FullGradCam,2170,64.24837488754324
28,model_8_m_0_cv2_act,1,DET vs FullGradCam,2170,44.380828060270474
29,model_8_cv3_act,1,DET vs FullGradCam,2170,46.64468770247664
30,model_9_cv1_act,1,DET vs FullGradCam,2170,49.9542459920392
31,model_9_cv2_act,2,DET vs FullGradCam,2170,73.64180988324078
32,model_10_act,2,DET vs FullGradCam,2170,75.45476746836206
33,model_13_cv1_act,2,DET vs FullGradCam,2170,88.92958486530586
34,model_13_cv2_act,2,DET vs FullGradCam,2170,78.97426104696359
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,2170,88.42815682075693
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,2170,81.9499129281958
37,model_13_cv3_act,2,DET vs FullGradCam,2170,80.63818530179783
38,model_14_act,2,DET vs FullGradCam,2170,84.85530114650118
39,model_17_cv1_act,2,DET vs FullGradCam,2170,83.76303178649461
40,model_17_cv2_act,2,DET vs FullGradCam,2170,78.38490741698307
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,2170,81.89345368610046
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,2170,79.66452584218789
43,model_17_cv3_act,2,DET vs FullGradCam,2170,79.40716821668155
44,model_1_act,1,DET vs FullGradCam,1389,245.20905936592055
45,model_2_cv1_act,1,DET vs FullGradCam,1389,245.05669420060627
46,model_2_cv2_act,1,DET vs FullGradCam,1389,240.74103207809299
