,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,0.35277588962427864
1,model_2_cv1_act,1,DET vs FullGradCam,68,0.27929344629236236
2,model_2_cv2_act,1,DET vs FullGradCam,68,0.2530640116643664
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,0.24966515003153675
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,0.2845341974163594
5,model_2_cv3_act,1,DET vs FullGradCam,68,0.34501181817751303
6,model_3_act,1,DET vs FullGradCam,68,0.4174631894182325
7,model_4_cv1_act,1,DET vs FullGradCam,68,0.32930190789586533
8,model_4_cv2_act,1,DET vs FullGradCam,68,0.5127985955211295
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,0.4698394360562182
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,0.3210194125138685
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,0.412682368446831
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,0.3277537362133684
13,model_4_cv3_act,1,DET vs FullGradCam,68,0.35500680219967784
14,model_5_act,1,DET vs FullGradCam,68,0.46363000654167763
15,model_6_cv1_act,1,DET vs FullGradCam,68,0.4394038128903654
16,model_6_cv2_act,1,DET vs FullGradCam,68,0.46337096300407826
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,0.4202181871540555
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,0.4855588638695042
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,0.4350352416930594
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,0.3564050177195889
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,0.3811647326438598
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,0.34893105759268495
23,model_6_cv3_act,1,DET vs FullGradCam,68,0.4302649818065617
24,model_7_act,2,DET vs FullGradCam,68,0.5669614133455835
25,model_8_cv1_act,2,DET vs FullGradCam,68,0.3728163641559166
26,model_8_cv2_act,2,DET vs FullGradCam,68,0.7137853613709163
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,68,0.24067983757349087
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,68,0.00578345675260455
29,model_8_cv3_act,2,DET vs FullGradCam,68,0.6102520923523049
30,model_9_cv1_act,2,DET vs FullGradCam,68,0.6114524804855757
31,model_9_cv2_act,1,DET vs FullGradCam,68,0.6258223660293717
32,model_10_act,1,DET vs FullGradCam,68,0.4592735282760903
33,model_13_cv1_act,1,DET vs FullGradCam,68,0.45157873680792543
34,model_13_cv2_act,1,DET vs FullGradCam,68,0.4741011241406167
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,68,0.463685230027445
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,68,0.4706405889301464
37,model_13_cv3_act,1,DET vs FullGradCam,68,0.36987572223502857
38,model_14_act,1,DET vs FullGradCam,68,0.3414623975362442
39,model_17_cv1_act,1,DET vs FullGradCam,68,0.5018026915880924
40,model_17_cv2_act,2,DET vs FullGradCam,68,0.36134233601207244
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,68,0.5252081532346015
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,68,0.24835157856144757
43,model_17_cv3_act,2,DET vs FullGradCam,68,0.3397388189519371
44,model_1_act,1,DET vs FullGradCam,1178,0.48149233466093433
45,model_2_cv1_act,1,DET vs FullGradCam,1178,0.5611670892393931
46,model_2_cv2_act,1,DET vs FullGradCam,1178,0.4934733416437582
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,1178,0.5509795865103411
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,1178,0.5355053711997907
49,model_2_cv3_act,1,DET vs FullGradCam,1178,0.5058584845341747
50,model_3_act,1,DET vs FullGradCam,1178,0.5557099584243168
51,model_4_cv1_act,1,DET vs FullGradCam,1178,0.6023353116309897
52,model_4_cv2_act,1,DET vs FullGradCam,1178,0.525971428345618
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,1178,0.5062158291784818
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,1178,0.576425356258502
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,1178,0.5046415729704725
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,1178,0.580056282824802
57,model_4_cv3_act,1,DET vs FullGradCam,1178,0.5349061818556122
58,model_5_act,1,DET vs FullGradCam,1178,0.6590634606802145
59,model_6_cv1_act,1,DET vs FullGradCam,1178,0.5453407112122888
60,model_6_cv2_act,1,DET vs FullGradCam,1178,0.7004299837717683
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,1178,0.4448642159501889
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,1178,0.685535792232301
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,1178,0.6386692341831685
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,1178,0.5877301178133576
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,1178,0.5541203971542964
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,1178,0.5636468733186295
67,model_6_cv3_act,1,DET vs FullGradCam,1178,0.74738356219776
68,model_7_act,2,DET vs FullGradCam,1178,0.5773234086572937
69,model_8_cv1_act,2,DET vs FullGradCam,1178,0.4365928605733478
70,model_8_cv2_act,2,DET vs FullGradCam,1178,0.5309971370037808
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,1178,0.6060801994253263
72,model_8_m_0_cv2_act,2,DET vs FullGradCam,1178,0.6859039899515885
73,model_8_cv3_act,2,DET vs FullGradCam,1178,0.5130536353021918
74,model_9_cv1_act,2,DET vs FullGradCam,1178,0.45524950962916433
75,model_9_cv2_act,1,DET vs FullGradCam,1178,0.5024925953329993
76,model_10_act,1,DET vs FullGradCam,1178,0.5270290363582506
77,model_13_cv1_act,1,DET vs FullGradCam,1178,0.6758518885915573
78,model_13_cv2_act,1,DET vs FullGradCam,1178,0.6978778922011842
79,model_13_m_0_cv1_act,1,DET vs FullGradCam,1178,0.6816462450942709
80,model_13_m_0_cv2_act,1,DET vs FullGradCam,1178,0.6872620655393443
81,model_13_cv3_act,1,DET vs FullGradCam,1178,0.6766364755914008
82,model_14_act,1,DET vs FullGradCam,1178,0.6569131940004481
83,model_17_cv1_act,1,DET vs FullGradCam,1178,0.5079779390342424
84,model_17_cv2_act,2,DET vs FullGradCam,1178,0.40518738554166894
85,model_17_m_0_cv1_act,1,DET vs FullGradCam,1178,0.6192404089809861
86,model_17_m_0_cv2_act,2,DET vs FullGradCam,1178,0.3888210864929549
87,model_17_cv3_act,2,DET vs FullGradCam,1178,0.4262317161669269
88,model_1_act,1,DET vs FullGradCam,67,0.5668632073085486
89,model_2_cv1_act,1,DET vs FullGradCam,67,0.5355223435228026
90,model_2_cv2_act,1,DET vs FullGradCam,67,0.5425674503795427
91,model_2_m_0_cv1_act,1,DET vs FullGradCam,67,0.5308022120957997
