,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,0.5586277233214002
1,model_2_cv1_act,1,DET vs FullGradCam,68,0.5281421626399732
2,model_2_cv2_act,1,DET vs FullGradCam,68,0.4203428955077347
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,0.3522143209878172
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,0.54261212285114
5,model_2_cv3_act,1,DET vs FullGradCam,68,0.47269722999622615
6,model_3_act,1,DET vs FullGradCam,68,0.4677590977444485
7,model_4_cv1_act,1,DET vs FullGradCam,68,0.335418955958116
8,model_4_cv2_act,1,DET vs FullGradCam,68,0.49612582914317666
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,0.4479288666375879
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,0.3603817675289174
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,0.3737392275033358
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,0.5091541933103295
13,model_4_cv3_act,1,DET vs FullGradCam,68,0.5229688440709831
14,model_5_act,1,DET vs FullGradCam,68,0.5386144235668437
15,model_6_cv1_act,1,DET vs FullGradCam,68,0.533970360276113
16,model_6_cv2_act,1,DET vs FullGradCam,68,0.45936563640919714
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,0.3902790208600333
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,0.3923891157090924
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,0.5710084461627487
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,0.41422989369276053
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,0.4014225015251348
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,0.3529338431462477
23,model_6_cv3_act,1,DET vs FullGradCam,68,0.5419781636148225
24,model_7_act,2,DET vs FullGradCam,68,0.3398224472100965
25,model_8_cv1_act,2,DET vs FullGradCam,68,0.47617545217147245
26,model_8_cv2_act,2,DET vs FullGradCam,68,0.3853438644837837
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,68,0.3955044572738397
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,68,0.27961025984748533
29,model_8_cv3_act,2,DET vs FullGradCam,68,0.33679086831345784
30,model_9_cv1_act,2,DET vs FullGradCam,68,0.3371640170707381
31,model_9_cv2_act,2,DET vs FullGradCam,68,0.6010784966454126
32,model_10_act,2,DET vs FullGradCam,68,0.4595492727818068
33,model_13_cv1_act,1,DET vs FullGradCam,68,0.5423567082055166
34,model_13_cv2_act,1,DET vs FullGradCam,68,0.6493175675031838
35,model_13_m_0_cv1_act,1,DET vs FullGradCam,68,0.3616533776482547
36,model_13_m_0_cv2_act,1,DET vs FullGradCam,68,0.5434766323663293
37,model_13_cv3_act,1,DET vs FullGradCam,68,0.423957146284711
38,model_14_act,1,DET vs FullGradCam,68,0.6131676737375934
