,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,0.5050963728259443
1,model_2_cv1_act,1,DET vs FullGradCam,68,0.4741471611113942
2,model_2_cv2_act,1,DET vs FullGradCam,68,0.4106813531612714
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,0.354886210122117
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,0.4890970754768182
5,model_2_cv3_act,1,DET vs FullGradCam,68,0.4447779900865712
6,model_3_act,1,DET vs FullGradCam,68,0.4438739846086744
7,model_4_cv1_act,1,DET vs FullGradCam,68,0.3421273042242126
8,model_4_cv2_act,1,DET vs FullGradCam,68,0.46235992989824426
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,0.4269403540480188
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,0.3595457807927634
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,0.3702018368625124
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,0.5290901859885574
13,model_4_cv3_act,1,DET vs FullGradCam,68,0.4850357412955705
14,model_5_act,1,DET vs FullGradCam,68,0.5200067653301917
15,model_6_cv1_act,1,DET vs FullGradCam,68,0.5262005055391078
16,model_6_cv2_act,1,DET vs FullGradCam,68,0.42291683609871655
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,0.3984516014880468
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,0.3881644046973394
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,0.5691805948191074
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,0.3992757100095586
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,0.38382048813986225
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,0.34987633391087697
23,model_6_cv3_act,1,DET vs FullGradCam,68,0.5638452487780684
24,model_7_act,2,DET vs FullGradCam,68,0.34657751864963815
25,model_8_cv1_act,2,DET vs FullGradCam,68,0.45173041012726334
26,model_8_cv2_act,2,DET vs FullGradCam,68,0.39376793562517876
