,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,84.48980377022185
1,model_2_cv1_act,1,DET vs FullGradCam,68,86.81698352162883
2,model_2_cv2_act,1,DET vs FullGradCam,68,84.60789452886303
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,97.8526439306408
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,85.1327225606901
5,model_2_cv3_act,1,DET vs FullGradCam,68,80.62801562848071
6,model_3_act,1,DET vs FullGradCam,68,80.43080492840704
7,model_4_cv1_act,1,DET vs FullGradCam,68,101.14937583376329
8,model_4_cv2_act,1,DET vs FullGradCam,68,80.86044496149681
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,82.6013229190397
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,96.91887717131286
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,94.30322968614851
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,100.1707885322612
13,model_4_cv3_act,1,DET vs FullGradCam,68,77.46700307973782
14,model_5_act,1,DET vs FullGradCam,68,80.53864019524525
15,model_6_cv1_act,1,DET vs FullGradCam,68,74.81177396676566
16,model_6_cv2_act,1,DET vs FullGradCam,68,93.61871002216274
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,86.97596407747656
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,89.1844306271043
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,64.92261833562836
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,88.46647281032337
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,93.37780445420717
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,100.31420135573009
23,model_6_cv3_act,1,DET vs FullGradCam,68,91.97721576065175
24,model_7_act,1,DET vs FullGradCam,68,101.99835173219023
25,model_8_cv1_act,1,DET vs FullGradCam,68,86.7601725444006
26,model_8_cv2_act,1,DET vs FullGradCam,68,90.21337451193335
27,model_8_m_0_cv1_act,1,DET vs FullGradCam,68,84.77771655740987
28,model_8_m_0_cv2_act,1,DET vs FullGradCam,68,80.05761184839135
29,model_8_cv3_act,1,DET vs FullGradCam,68,95.98066248170927
30,model_9_cv1_act,1,DET vs FullGradCam,68,96.23314048963135
31,model_9_cv2_act,2,DET vs FullGradCam,68,39.91659110970062
32,model_10_act,2,DET vs FullGradCam,68,60.256215466983875
33,model_13_cv1_act,2,DET vs FullGradCam,68,53.11591090794296
34,model_13_cv2_act,2,DET vs FullGradCam,68,34.49014565446687
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,68,90.20495434550048
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,68,52.04893908280994
37,model_13_cv3_act,2,DET vs FullGradCam,68,73.85469259296679
38,model_14_act,2,DET vs FullGradCam,68,49.11003008249506
39,model_17_cv1_act,2,DET vs FullGradCam,68,65.74130422015719
40,model_17_cv2_act,2,DET vs FullGradCam,68,56.644492837770045
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,68,84.24834332802777
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,68,60.805413501646846
43,model_17_cv3_act,2,DET vs FullGradCam,68,68.82825501542919
44,model_1_act,1,DET vs FullGradCam,1178,24.80217905049402
45,model_2_cv1_act,1,DET vs FullGradCam,1178,35.29444991386242
46,model_2_cv2_act,1,DET vs FullGradCam,1178,20.84410780165312
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,1178,31.961078825307006
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,1178,23.31624012837058
49,model_2_cv3_act,1,DET vs FullGradCam,1178,30.04770639046169
50,model_3_act,1,DET vs FullGradCam,1178,30.6034593497241
51,model_4_cv1_act,1,DET vs FullGradCam,1178,26.275296411760742
52,model_4_cv2_act,1,DET vs FullGradCam,1178,24.68952461930043
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,1178,35.28460155023599
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,1178,38.48123995413601
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,1178,37.834333412199584
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,1178,39.97333310694839
57,model_4_cv3_act,1,DET vs FullGradCam,1178,15.336094024954772
58,model_5_act,1,DET vs FullGradCam,1178,34.95430365174197
59,model_6_cv1_act,1,DET vs FullGradCam,1178,43.05998515286217
60,model_6_cv2_act,1,DET vs FullGradCam,1178,40.049708799936404
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,1178,47.98982006781847
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,1178,38.2693904969788
