,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,0.15952599894041836,0.13733577189996202,0.2994301185418464,0.24371668234691252,0.21699624536074946,0.39548072816350754,0.2472494176334109,0.16118088149146112,0.19237614600784472,0.17595769833573083,0.2548193911972115,0.27793499207284234,0.32200402928143906,0.3426343617827327,0.311023613543215,0.09065797069257285,0.2796765070645815,0.18941602309326122,0.3437141847404916,0.23218806329649855,0.18850927924617758,0.34689393220284515,0.24323100889283003,0.29407085390858745,0.22625034988462125,0.19384706648555736,0.17269849342802163,0.3179710932399517,0.33586600320864934,0.3101674167320819,0.1751356758322921,0.30297722105637653,0.16188353418112927,0.2900969796617878,0.29657518657949256,0.2968997766881293,0.19417659279843333,0.39866543233175006,0.12026522459365337,0.33849412637159904,0.28424930246901164,0.3677406273823455,0.28502863237907766,0.18324745100069934,0.3387589387468608,0.2640532910567076,0.18089604535135986,0.4261201608601493,0.16167203240450823,0.2873743925859003,0.218737405650392,0.29065738541451513,0.4230633932010947,0.2561479656849507,0.2064359905800139,0.19764866678021634,0.2593640210753795,0.22277464022072233,0.3428774423331922,0.4778581375828123,0.12996283579711232,0.4061737811552082,0.23633417751691077,0.3789335669353358,0.2585271807421507,0.27801136793816006,0.23698038023826606,0.2807102158712489,0.2780173998322311,0.27627123767065087,0.17359486240049185,0.18179427463222675,0.31820364693497377,0.26014808432649744,0.41354443342219316,0.2696974699026931,0.163884976376508,0.3751290509898024,0.28575626072147986,0.16045916907393576,0.4208107308031758,0.21070132108388434,0.18335970395259835,0.3456622411222432,0.24844580007232364,0.28506621256861986,0.2415207250576219,0.2832593352672233,0.20059940064022105,0.4816744690126468,0.14456206232646773,0.21877623345095804,0.14848835700178778,0.40513192345170257,0.20109314287701358,0.15065334221141885,0.25882450773943333,0.23935843323070533,0.289511618074696,0.238068261876519,0.3605243305478165,0.2446034812268848,0.2669531734138429,0.18958466562103268,0.2118504762564805,0.18986948671693252,0.17080398124959761,0.09282760768486845,0.2182725963957036,0.20709803215213426,0.2414429285148708,0.2353809561071112,0.2037388224110861,0.3861289926919501,0.3301013999841581,0.3325739653809233,0.28497893093851584,0.3744899248975502,0.18323230089360543,0.3234938848281073,0.1726911602176489,0.3906632768448273,0.246493262758789,0.2886877705678937,0.2810157370431592,0.23771963707104815,0.23688919298361866,0.36869278355330026,0.1439304186721288,0.33342476672637655,0.2357104329767501,0.250827359515609,0.22990166833393594,0.21839027122178326,0.1058244702880925,0.3445695611802414,0.38161635333557115,0.34687663215651343,0.22810779311147444,0.2726954199828428,0.3531959933247066,2,DET vs FullGradCam
1,model_2_cv1_act,0.1707349769935531,0.15998971812239787,0.2679728112364187,0.2358336947105997,0.2669647206164724,0.380918184273418,0.25167538623923297,0.22269969655883462,0.19488793531727075,0.20315409309321425,0.33391568294700713,0.22407907968227278,0.36067980989645837,0.38025371794881996,0.3275673546004493,0.11087981972804481,0.2793959587210901,0.22804529469208176,0.33358627309496836,0.2237930114155017,0.1579732981267055,0.28164171898791857,0.2713362521197828,0.2868964028875211,0.20997753763334104,0.1753651740534801,0.16989281355113808,0.37573332279162347,0.20001803768214407,0.2669709468770594,0.11339504077147515,0.2907384964564142,0.13679942556678212,0.22558937302728388,0.34740029892116503,0.3045053109525578,0.221321125791209,0.4173359919065943,0.1754681443497969,0.3465719924969476,0.21429963166580035,0.2699860468423392,0.29180169301861253,0.1751741705952891,0.3732571145004659,0.26086278861084716,0.13449023780246738,0.4189387593220362,0.12081638831587536,0.20279810247163385,0.27203056400528625,0.2493900795573543,0.4075814167032207,0.2980908879020415,0.20637700431696554,0.14214103309829965,0.31268271386798396,0.21932890858463222,0.37128716594203864,0.40488652679056847,0.14764305830228025,0.36188860629508557,0.2947449782913223,0.3368569919950439,0.17849218792036894,0.22884930542065726,0.24802324593852196,0.2711827097649712,0.23243513931486237,0.2996770886422061,0.15510361415173923,0.20992864487300766,0.28671120684308854,0.22994960733893777,0.4235781831164751,0.2888828894202544,0.17753253687918297,0.37124938693807996,0.2816693980675862,0.1702459276432954,0.4178141514652147,0.269443868026957,0.2681103308784961,0.3442331867290671,0.21636442652005178,0.2742940511641487,0.31997264499278744,0.26237346900092173,0.2355097084431509,0.3970029802260757,0.17656453603240002,0.19809773695804245,0.19468885424822088,0.37191403931054595,0.2230732407979298,0.1813651886239734,0.22133043284776238,0.18094290108489264,0.31781652827315554,0.21333089889466572,0.3471366069720529,0.2233382601266242,0.2340336447342321,0.0744749155185996,0.21283930314529562,0.1631041860415718,0.15973924892135233,0.09442821514497797,0.19091992107173533,0.22765708840377277,0.2233202200703524,0.22521767747405305,0.20489504246105525,0.34169383860789204,0.2917345143599387,0.32520474551419387,0.28429419254676597,0.3920717466170434,0.2071915683022902,0.341227253826847,0.17127428311933657,0.3774062333215733,0.21974178718327508,0.27281700450940527,0.360326557779693,0.28357005975086397,0.2689489371893544,0.3555588598726847,0.12870381314468954,0.29483385274911617,0.2005045751259204,0.24265151933918028,0.24469557857410804,0.26576769231260255,0.16699418423506654,0.3306635059857253,0.34660960159696297,0.31998157761724116,0.23989312194299242,0.20264094389356332,0.315353985602753,2,DET vs FullGradCam
2,model_2_cv2_act,0.07481959007203019,0.15694756643597055,0.1910888943996906,0.2200306872085016,0.32762460845407926,0.409839963272275,0.27432067069376764,0.2600320127396329,0.19571823941349883,0.1773770214977295,0.20431916162198446,0.19834665659219192,0.28217236363652926,0.27375192178651303,0.2981904532971765,0.08172623901619086,0.3163075039776784,0.10274134466662255,0.33843791676684737,0.19365817569576466,0.2147080347478972,0.2961838073448782,0.20946467626763302,0.4089686874128898,0.29666682464991895,0.1781140990501388,0.24779580109268212,0.35526560741521324,0.1931220262779762,0.29737065883105807,0.1455378452666072,0.3462249721734481,0.16611117767653144,0.20677210996876483,0.2847417140417285,0.3010058123581235,0.2214715147145643,0.44659050642229137,0.05709298161561206,0.30603840129925547,0.22167407158265337,0.30937023691328186,0.25281501609007034,0.16688612071919834,0.24573135712565894,0.21928330166500598,0.18113802367260026,0.3211166646651192,0.2626746034372821,0.3442254098571502,0.1511991080644922,0.20310059036776545,0.39588702477704574,0.21580479905219152,0.19175035237147803,0.16245962913830495,0.26057082181539554,0.2546147284862241,0.3621170203353063,0.4275200562564874,0.15344089168787348,0.36185743988035995,0.2677101033455055,0.3974784226200452,0.169035045502447,0.2950301156535585,0.26881646951470906,0.3097708535353083,0.21986096582464013,0.30915050059827376,0.15898606158819867,0.19736355938261269,0.3070476777860488,0.2692655096481962,0.43732138604225873,0.23381374407585184,0.13808260631340444,0.370148831156597,0.18969352965198627,0.16527024527327416,0.36287882858800913,0.30919926968157985,0.20940921262033704,0.2785261116557372,0.26229547828086425,0.2548454105476309,0.21724616247131212,0.2633747698694578,0.19725426042883637,0.35533675165359113,0.18523152602951598,0.13022459331124062,0.20566646843975084,0.287231009396576,0.2484618686790656,0.1111020921151637,0.26421808334035024,0.20062364090053933,0.24003652103730228,0.24859714244523964,0.3726390459643224,0.30254305296186496,0.20388027148204058,0.13436126496135858,0.18137001263535446,0.15385063282452333,0.08110400257988493,0.06175523644546669,0.20163907590478064,0.17873927248136703,0.28254959098368215,0.20801038712927583,0.15564065377352154,0.2766079943132937,0.3750149334608077,0.33157114355552436,0.26719760665029285,0.4028217163434681,0.18395314023338782,0.34072213957813063,0.14409669409768042,0.23551464524649626,0.31920321693369585,0.3722031615446514,0.2675708792035769,0.2621284948792863,0.19274016138014513,0.32382701886875487,0.16128593235187813,0.30156927638831044,0.2949551013875712,0.2857644781063699,0.20554057962402078,0.1783700227627072,0.11713239055673381,0.3460066197626177,0.43157070530371133,0.30347561463273404,0.14565563509891036,0.22061108740059712,0.3821684975882469,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.0958639645072397,0.14762571415124592,0.31435538187017276,0.29039125991149367,0.20931043141455355,0.3653046532624262,0.20157406138166714,0.2010730010144644,0.2504616270146504,0.20949194209226457,0.30144092545395007,0.24734277762435786,0.27282017946692316,0.3929541092046424,0.3158616100223281,0.09539538130060941,0.22312058025575165,0.15217355228988083,0.26991871797292444,0.31083776383902895,0.206559618060622,0.3820306676168626,0.16302172567756068,0.2657424728763461,0.2005857874012242,0.1902048203149393,0.18286481582275482,0.41187648663813886,0.31030285322756734,0.2948250282188911,0.21703591514210197,0.268386145008466,0.19245059008416218,0.16909042726124993,0.3752302967901536,0.27204746985228007,0.24033237208459182,0.37123522091363287,0.1649951769062539,0.33102154729728334,0.264013621638508,0.2744993523488696,0.2813645173374863,0.2007824266714632,0.421160671617991,0.3572816793623673,0.14402191394388536,0.46633770624569204,0.21137725279212874,0.25319293331551906,0.2192408642440216,0.3259400384610422,0.4156408688846748,0.22834915516493443,0.1792225197962104,0.21366051655693438,0.32626288185817753,0.25979763279950435,0.3229355247648741,0.4293844944354657,0.13883514272065456,0.3807949628538187,0.2594228812803277,0.33903116025084307,0.17531175087084702,0.2169752026639798,0.20550006153798428,0.2767343826792704,0.25195044971525826,0.19745681010124502,0.1742864033583282,0.18042255694499712,0.2749053631444047,0.2800450314119963,0.44491088966720066,0.30177332002128643,0.19241189945768813,0.40395484486111555,0.22018229941469933,0.12100216607946992,0.35068112453006006,0.2956998843729046,0.23736396952108374,0.2858735139099148,0.2569545498847648,0.296679748452912,0.32934795034656533,0.2718970365516125,0.1995048163296194,0.48449854042631935,0.157451693137033,0.22935846785192252,0.19731944127702136,0.4155493415212707,0.2692660709930622,0.16772339306273804,0.2696276807156355,0.17593351508948668,0.3093870707910341,0.26660773103653146,0.3521570493576294,0.2264936664617131,0.21893341617896953,0.1770758076344303,0.25497544682698864,0.2639948777008583,0.176970669850941,0.14094793975388337,0.2350100638206588,0.219035831774649,0.19969797382043938,0.34413891574794797,0.2666444307625351,0.41719367219936876,0.3616893602853946,0.33742796847055356,0.29758912030016305,0.38229492961106537,0.1442137816948081,0.2541797104072598,0.13862538762232748,0.48456635497067424,0.2500226233899685,0.2001751160824743,0.24643746788472026,0.2865092070646929,0.25488132727714446,0.404962828592501,0.1604980964249188,0.34358827569481387,0.2213863685110409,0.23699577828066,0.18779880568795523,0.3243437668701478,0.08234058538534995,0.29461307301721296,0.3847989463908777,0.3929606396373785,0.23760421153968306,0.3180919564207478,0.34558823859711374,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.09598412932775112,0.08933652565316767,0.2508584821849096,0.2277987361258686,0.31041324849536556,0.4032791480715099,0.21896508726828096,0.20356175030720736,0.24098852374634216,0.18414174727624313,0.3109717252134892,0.22258892044867284,0.3223329011542862,0.30033964165397936,0.3672319747506064,0.11606154129077471,0.26232613043653585,0.09801214202917663,0.3462969093004261,0.24311799420261926,0.18709346872813998,0.3008584680665261,0.252102642805186,0.2959351855740714,0.2164655189982609,0.15973424847557827,0.19601819168167214,0.4308535827188517,0.2430371257214024,0.340902465161745,0.17410725042080663,0.24889352399534861,0.16639920561086677,0.2917713303205289,0.2635117249334284,0.2368979376022668,0.2870445651053578,0.47187646136824746,0.07105252701208534,0.3570047420556782,0.27043129910332764,0.2960715958127246,0.26746776697973595,0.1453843133213322,0.318575453661066,0.2916780547909331,0.172424987431245,0.40813777495429093,0.16152631235318757,0.16453401241627907,0.23614204353216597,0.2778473957228558,0.39693949661434,0.36006492083967645,0.17003242635621985,0.1882471876666529,0.28119120797557723,0.1650877894842262,0.35520425003614386,0.46720187926151013,0.13340414519896096,0.42448782263660845,0.3383095661356991,0.3362624481996512,0.19699743054225508,0.25712941368703807,0.24537171260289048,0.33139566230082207,0.25389024478550987,0.22946196297826793,0.16251451223710134,0.23141642014006084,0.2263521359012121,0.26647555678921997,0.41585275532358923,0.27069950798563636,0.20735691274401458,0.36475939342293695,0.22379834659288253,0.1991401417928043,0.44106303954224246,0.24460538349743927,0.22018117834193304,0.2988709625818155,0.2565273897221575,0.2679570568408714,0.2897930384160027,0.25041232463054686,0.16549204770112866,0.4135603671804564,0.18707420464064467,0.19187473749506476,0.1622820096438419,0.3854161168318985,0.2164282787860491,0.20066380357702887,0.22716820042506278,0.21344832229461258,0.273456807318971,0.2126056529894585,0.36631002152778963,0.2513784112491731,0.3315170888000298,0.10394121056120213,0.24276073439124923,0.241439580074634,0.19478666543566361,0.08227847373033904,0.18382830114528076,0.22848983000691828,0.2204639512102208,0.2376778601094416,0.2184517427360153,0.37859811732340487,0.34044458880061557,0.2937121834361979,0.2842972127468766,0.4063474824167852,0.17580751626556257,0.27550559114225204,0.11386558574009675,0.3250202775913376,0.1482987391323507,0.30425953224076063,0.37140526445262145,0.30832750663880343,0.29712283143435864,0.33005927841487775,0.13514778583034073,0.3489209126009196,0.2065842759824223,0.30272136655162046,0.12514658417352326,0.2275268714742454,0.1396560825447403,0.2693730211232048,0.39991575678374053,0.35679121527835933,0.2699332808946654,0.17953083586038482,0.3659190940631525,2,DET vs FullGradCam
5,model_2_cv3_act,0.09511888647853692,0.17604658675797918,0.2681489349304473,0.12944333285402249,0.38795174904376734,0.3933262686284668,0.23279956364811843,0.2337734701781609,0.25834368039977756,0.21585222856093514,0.23802509389287968,0.18539777509976504,0.2900686014466334,0.27748212018511886,0.3764723921738938,0.042811432642599526,0.32324161689609415,0.1112388853128115,0.3616828060274054,0.20410951862745827,0.1997139291923768,0.4106419878426371,0.27121479840595525,0.3917006158092755,0.28688424732112267,0.10934886050075536,0.2731472099492151,0.447106440729709,0.0943976597051267,0.3090976550466382,0.176575778660504,0.3238691711698661,0.15242339281532036,0.2623931811287415,0.2777046158946046,0.28147488885111194,0.2355819554457991,0.4158091571201792,0.08053553989548111,0.3708256674894376,0.28517984930469475,0.329428253051036,0.38407401447532824,0.1492607628992181,0.2874584432643981,0.14855167344374548,0.21171754241711965,0.4368333179136885,0.2044320336234912,0.2515042173328002,0.18657425091364616,0.20360301769544575,0.42180341480539923,0.20952199216552414,0.2225795981164228,0.20635866921505655,0.31942491084132474,0.32318818881677563,0.4383356500891882,0.49163484437350385,0.11466009776223,0.37904453592857185,0.34179142567501086,0.33676973417605083,0.159216951939574,0.2409327670125851,0.33490698268975416,0.34866953638009324,0.2173822873537192,0.2508716575443812,0.19420038354963604,0.18292916306088522,0.238048352374914,0.3014137508476021,0.4717515649548729,0.27841552539667097,0.19448226619102357,0.34076545353820503,0.20636530912332737,0.13722283149330278,0.3974538295934766,0.26837927184497373,0.18774603446591384,0.3331771766953993,0.24036412804855226,0.266022079798368,0.3054698727412233,0.21610700132996488,0.263747132410203,0.3970551250109838,0.21430361922013264,0.1167202472238348,0.23309215958665624,0.3024297634712075,0.22111848161231887,0.13343181499311035,0.28258829692180504,0.185727228232763,0.2882030724387864,0.2682059814184078,0.3659901912794724,0.28707195856843576,0.27335056345699726,0.09566742846548544,0.34583821027382067,0.16593108411575044,0.1727172828118371,0.12313187506969257,0.19867248684041375,0.2542489978923601,0.25513102345366134,0.2133592007027765,0.286963504010757,0.3509924992100447,0.36971285625993644,0.31936309101679206,0.3170902716118644,0.42919157835784144,0.14560385995931086,0.37041518793581957,0.15391364245128245,0.21462297493016266,0.3994199947032451,0.3417643459521196,0.3203493546580969,0.38883290178264857,0.2197760891731635,0.242976018309494,0.12659227558190106,0.3419648451631743,0.29824037553226135,0.29406586428570575,0.1591119402184849,0.30044994805762726,0.2560122133353778,0.30859756521679066,0.413742644658769,0.36667062606238016,0.3138505379492141,0.24204869169682994,0.4009690721301517,2,DET vs FullGradCam
6,model_3_act,0.04195521635336669,0.14061507202059784,0.3843493776659055,0.17508204660520565,0.3553067549728566,0.3549085483432596,0.14672505199262464,0.16742079531760767,0.2176631839981451,0.267020692272221,0.23543212679557926,0.18537031713192925,0.354622649425792,0.23661311573367055,0.3148484315495084,0.0286741459907675,0.3844408576860286,0.16603789169847047,0.38022160716872067,0.15490744776108847,0.291139572882054,0.29433711786611144,0.2464840013142426,0.30397696093498466,0.2596685930767608,0.17099574872318277,0.2681803057202776,0.36520683606255666,0.21383313677216173,0.3319372765881722,0.21704063646900765,0.2755772125443852,0.0855001770677138,0.2213556982692186,0.2826919917336655,0.42032367888013417,0.17064597815237312,0.4192092078290958,0.15811954228530647,0.34329813582336394,0.28727277921207817,0.3540417103836544,0.30176123617143347,0.1362981211039489,0.2517270166274981,0.17277448405470336,0.3139595743647423,0.5360581436340051,0.1884409806660221,0.25796595150262774,0.14440662221243591,0.16630381173193676,0.40809315842960897,0.3045316808947013,0.17601020014293214,0.1252143819896434,0.32374874047869995,0.2281550618725111,0.40968294756929746,0.43217859084778304,0.26905630941247816,0.2904129505962697,0.31492806961493747,0.4454188289993535,0.17901233183693116,0.3530185419008027,0.28321654460230666,0.4445478093097198,0.276296230391577,0.22201819258782352,0.23653354084943898,0.29595099158147936,0.2178259004540414,0.40950778935709364,0.40461048431389873,0.25616729611565653,0.12309618625423517,0.3604895654197105,0.28722716382519453,0.19637047354423828,0.6058710822119546,0.27965765515106783,0.18272122838762223,0.3756007369812806,0.2559034940315464,0.3575138101407823,0.21094040276959913,0.31783937894772263,0.21228930860192505,0.4540349030766596,0.2577731281768314,0.22284404883317357,0.3437015585536913,0.14394281704803508,0.18621156182660606,0.10994043379769898,0.27698729575057857,0.131345265566529,0.36136632349592274,0.24609070442345912,0.3412861422689241,0.26811410105706995,0.42658892167758966,0.1053994662228152,0.11189772328542598,0.21645938004353113,0.11272945264505072,0.09762574892501218,0.19386231141443833,0.21060035127542942,0.2930938165296758,0.15346405329501123,0.2660619554849285,0.4658723128961776,0.412844752748265,0.31144396544965347,0.2674341577578944,0.35810973054428064,0.2138920043285124,0.35497373037401353,0.2160271452264683,0.30281998398228593,0.35821418380788084,0.4440499522497422,0.3949824284015854,0.3207768911270931,0.05937039088015027,0.3836015578597544,0.1275754089003059,0.43685231877738895,0.23692185321817472,0.3660127262549051,0.22178702813908407,0.22604510099289646,0.19273640055243982,0.34028714237102287,0.4173582046876995,0.24512381515258191,0.20707423743744044,0.219422501444247,0.44796834543972464,2,DET vs FullGradCam
7,model_4_cv1_act,0.12967421085524952,0.14713694632906082,0.2753552361569166,0.1511972337469557,0.2472674927618859,0.3972465932866904,0.1965322073157867,0.15319114446639523,0.30571068961794956,0.1973124992111708,0.3855637693394978,0.23625350804671436,0.34691671834100957,0.31723272405532094,0.3906216544776143,-0.008237369884973134,0.44655888129370924,0.17096042648729518,0.3757249008705666,0.27959866022155466,0.3200001851322776,0.3643951762918489,0.30963761926159195,0.2956446517384237,0.22533868327725465,0.11977523508149347,0.20269870068470938,0.38654107356680795,0.10340012389730883,0.36818513699386324,0.23792307175426072,0.2605969603784526,0.171478233343691,0.29372889378377837,0.2456675662548162,0.19280288002119636,0.15074591333248635,0.3905305170558079,0.039369239075184574,0.38806564922075365,0.4299407069723002,0.14723079453798546,0.33639453992638,0.08495241329640271,0.41988607561836533,0.09792883612837719,0.17589123662542533,0.43423291785977536,0.17045860159596518,0.27020081086362746,0.1900707562974345,0.2609430690147204,0.43402851308240165,0.32151836604189044,0.1953867499694031,0.11516372047029871,0.2873047803278214,0.20068756479898295,0.3593772772092941,0.48610388895698414,0.2198343021935557,0.41513697832648705,0.2848893074005555,0.3799290006906211,0.24166520801864347,0.15339129263962553,0.21590963036834807,0.376396694643212,0.18991662048982463,0.1651215720169095,0.14681051474923398,0.22752962628919332,0.19684819964093722,0.391849580212006,0.4414696839416086,0.3371553991252099,0.1949285443932598,0.3419831343773873,0.2415655488473474,0.18286176405353494,0.6417077365883004,0.25624048102016994,0.18914183464663717,0.3501393003295904,0.24450412128343416,0.3109911485097123,0.31618687917193244,0.15202659966920926,0.2677008464925877,0.5792056677953588,0.2098688310868821,0.1645439914867184,0.24889406290694216,0.37219975134640393,0.20830248132647936,0.21198610963170206,0.358521337432698,0.15952831737218232,0.28054557654376694,0.225843672918936,0.3924769892178083,0.24741276455372702,0.3539153538793,0.16528444653850988,0.3518846105070562,0.17417202104153126,0.21886305872879672,0.19085500704527547,0.20723266602093482,0.23273132683319833,0.27007386835978914,0.23264293592857294,0.3897577018050254,0.3944292424268272,0.37878559054690975,0.27858093813750523,0.3066075486179289,0.3467367682894804,0.10723666891935592,0.1969712768616134,0.07948049077114683,0.36285922171304436,0.2279370367026533,0.3367775259322326,0.3114883739256164,0.28236822642161413,0.09217586534582589,0.28229310126567525,0.1441442995258758,0.3758542967951013,0.1806007054881245,0.29509884429593136,0.08502291851351551,0.33931427017101207,0.3427824904476936,0.2901314582863529,0.39180181613096887,0.37776510053843865,0.2663848292981898,0.29819115432691073,0.3877239435824402,2,DET vs FullGradCam
8,model_4_cv2_act,0.09286323197816886,0.17145864644270642,0.26631818257102524,0.14805322219281936,0.342421247370317,0.3630544642497164,0.21581821427875292,0.21814811463166653,0.28583022454617285,0.26595941614029467,0.2309728430443404,0.24999263123088658,0.3840980429918397,0.15249839351666952,0.35382596204975414,0.09213375228340366,0.25907376596942916,0.09608307153561048,0.29102081039046784,0.18477065487304772,0.21525100225678356,0.43040562937788646,0.3225983166642031,0.26140644598802176,0.4143847215809584,0.19565177147929363,0.35031921894283374,0.4092911975241497,0.18094620818406737,0.4501835697916852,0.2078399845862546,0.23654629774595723,0.1814039090120065,0.2723533926058685,0.30654861286559554,0.4674984030533439,0.1484596595013442,0.4644859772463293,0.16059051880999062,0.38185412471052,0.242076209184902,0.2953919569709101,0.3708283590246938,0.17679536248486896,0.23200173154394196,0.1126407433981332,0.22493232302939162,0.48387117908153665,0.1538898015891201,0.2069966424309619,0.19964217572926482,0.16892807442912644,0.45461557916736683,0.12145676082020415,0.16491581901213462,0.24630770802235769,0.30474421829367826,0.21413512946754817,0.388923022641791,0.4727982676331869,0.2489354711312056,0.38154789792017874,0.2292163451159199,0.4506182980743777,0.2677588776592268,0.26829610167018614,0.36066013033277156,0.34347852444101235,0.23144849453672045,0.27904594682824047,0.21923327222016215,0.2570969704227874,0.22614016842308904,0.37130974647751736,0.35043577950685295,0.2413328935961984,0.08684573206613468,0.319486510185402,0.3167693115427901,0.27747447140143894,0.480401399647395,0.19611099607260168,0.20307222129581948,0.3334600861965187,0.27849828714602604,0.35082890771102176,0.2746159986978074,0.29182465954859227,0.21048073877984025,0.33673659891648666,0.25884030321332074,0.11266675735179535,0.28115541659310156,0.3040451057818994,0.24167775543405912,0.11357597453252825,0.23378006357745804,0.28436030813401075,0.353809887615526,0.18302006289715395,0.36001543321809365,0.39204212407107697,0.3932855517545952,0.10732862806973366,0.1815299649559296,0.1296460694740912,0.17807409890571016,0.06799648700526947,0.2461126016031834,0.13914533025469936,0.2607305581232134,0.17317195381426936,0.10832093380593048,0.44157322339774446,0.35960356208385313,0.3333804417546644,0.2657479797960838,0.30631907955110205,0.2695798986450611,0.3813997548350192,0.2364104567070612,0.35556374444006356,0.5175766099214087,0.3576814335811667,0.353336832578656,0.4733103415275907,0.33379750942354475,0.45236053605571497,0.15558627896953095,0.3441545005022126,0.2728194267706776,0.37838543695785865,0.21393513005226542,0.1614629148922674,0.10541737962116747,0.35139886812589594,0.45806282505914453,0.2903316481503501,0.06875297928839877,0.14316116018969613,0.3746369834451772,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.12488565622911255,0.16842943641427063,0.3180999012661837,0.1897497297797494,0.29070152059930315,0.42996290160293227,0.16543771100083496,0.3242012358846607,0.25127552952469445,0.23812838678092402,0.37368899542915635,0.29953270991351755,0.37617599831982595,0.32385346554264266,0.3031885847536651,0.03582301701472681,0.33883052215694687,0.1283386778107249,0.32873418746136196,0.1851141524597446,0.3252753300158326,0.26553600348276474,0.2528778867877632,0.38401390514796935,0.2022670639947811,0.10471808531868411,0.1896783363670418,0.23128045439140363,0.17215886168135397,0.3496674789902266,0.18972093166089082,0.281609071767493,0.12241861141489371,0.21093410485888306,0.2613126695136512,0.31154273923746906,0.1834267107495464,0.463699283419515,0.1494307735107377,0.39797373193593727,0.2943925971424875,0.23578992720146605,0.2719456345151132,0.06558176843212063,0.3407507150145838,0.19108075727770119,0.2206589814541098,0.4909698220181435,0.265027757528773,0.19716349997288715,0.19684949837020066,0.2817356152140249,0.4485940338473699,0.4067033570232353,0.19560453319178595,0.09231039239181078,0.33462004598546086,0.32791369140611065,0.40278835272142727,0.44004279054912515,0.23713631480069505,0.4065808822716169,0.27216093189401447,0.2878163201444336,0.13702695825730998,0.40968369834854346,0.341876760824544,0.39461484323590645,0.14197896945764318,0.26179916052577107,0.24441190036251464,0.18234610972955015,0.16992929623557582,0.3500929501672301,0.44593911942669323,0.36775316917047624,0.17825133526064962,0.4212559550048046,0.15132971122550282,0.24237693208087543,0.5230400394466628,0.3301519550873568,0.24615024453456583,0.3925331081123247,0.2621874678610137,0.3660139709462426,0.33195713522538595,0.17430101808360668,0.2762391790949895,0.523970729821276,0.29960759900959416,0.1554603367280927,0.3741786910828621,0.18790072546530687,0.2119094336103379,0.16017959607340806,0.4252108894872753,0.1502488561004877,0.27576944224689764,0.39948453741530615,0.4244311693941082,0.26608394600487806,0.35755955523865124,0.08267605184321979,0.29345345114549076,0.2590371974180807,0.15291735341924637,0.14918483648756256,0.2594571191131998,0.27882721297100466,0.2871442646346878,0.1510663166311332,0.3386500132406015,0.4834766121193362,0.39471565506294326,0.3401498186389215,0.2510255270723016,0.3756082242462692,0.13766466204352926,0.2446693163997216,0.14461200354126064,0.2760036490932894,0.28047497143573524,0.31715618349285346,0.2278856902686197,0.3735811757316284,0.09631026546477423,0.37558997998192867,0.17579455127750246,0.29918890216334415,0.24295614789087702,0.4262270966505955,0.12074647747341226,0.3135162691187466,0.2528545890305055,0.3212454968192306,0.3495170264455556,0.3394068680488899,0.24808590691847304,0.29437303001935133,0.41561471170803116,2,DET vs FullGradCam
