,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,0.2986032660581247,0.21358488690976352,0.3583441825350651,0.3167483065992987,0.27507119262895435,0.4445824916304235,0.32273155423841715,0.21127927744227082,0.2849437269522171,0.23932307348770585,0.3294573708016304,0.34389696757868454,0.36410237141087887,0.39671234703562624,0.3870113222728937,0.18128493160161055,0.31723122870972004,0.23921052820944097,0.41056298497795046,0.3044636960753863,0.28283135975244134,0.4014122986516255,0.32232210482373735,0.4671326243843012,0.28275061214407765,0.2710426067510483,0.21498314046358702,0.391010365166609,0.36757602930074834,0.341121150512105,0.25923354003809496,0.350130567764979,0.22506664196427714,0.3389305555879618,0.34282028912582124,0.3569739281023933,0.2676188564081172,0.4724036522346897,0.41453647337197275,0.39727631933745033,0.3209060760290095,0.3926211123316393,0.343488510895713,0.2597587124099192,0.3821320974483105,0.2978168989166643,0.2634246660683157,0.5506619329446506,0.24562924634425706,0.355152162212745,0.2852931451591472,0.32262741335683875,0.4567973049178584,0.29876500056019156,0.3012586155549472,0.243156227277227,0.2984476764802554,0.2744368060173672,0.43693498027973193,0.5075212838416947,0.1819471961269629,0.5828553777241102,0.3075812704410655,0.42284284933039795,0.3354785361198151,0.31474050343069476,0.32977432664737166,0.35331074998347733,0.33098789951534247,0.3309436694478562,0.24021200239781146,0.2646386029872456,0.38894673659600887,0.33276464579494164,0.47544818537306854,0.349463235011472,0.213006349446016,0.42305382740595326,0.3385838410286173,0.20203518284138253,0.46170995599104986,0.2829099743651358,0.22775374420760983,0.3999498685749536,0.3514563694380018,0.3538571184025792,0.2820177174512724,0.3505803627876135,0.25642912349971153,0.5256663417123796,0.24324546890994544,0.30200813987395947,0.20468192351898448,0.4524250508751368,0.2813390086429737,0.20255285006856635,0.3451734618336825,0.30294136325111903,0.3770841057821649,0.2876090570214784,0.43152793149202495,0.30800352732979625,0.30080226975507246,0.27317323447940123,0.30075162542836265,0.28385498411667265,0.22270842913089556,0.188524939693032,0.27113077633761373,0.2961942258948771,0.3091954711436147,0.28741642323698785,0.2756660607551536,0.42562355505712146,0.3934109657444243,0.4131240696079977,0.3312655962125446,0.4462587691262173,0.28838276837071136,0.35464235649217174,0.247939872341321,0.4177680107576656,0.30147530982219206,0.3414216261106455,0.37738543190960333,0.2772138838430589,0.320990544821548,0.4199204827270749,0.2368228196121942,0.3856094582759768,0.2880011704728675,0.31244795277073334,0.37037962409925906,0.2893064674545432,0.19378586778408413,0.42436263895722837,0.4205424424320901,0.46321421116108213,0.3131479089539216,0.3621420177799021,0.3987784069832953,2,DET vs FullGradCam
1,model_2_cv1_act,0.3143599300250469,0.23805893224972163,0.3358337738331558,0.3117228119222858,0.32661232748069924,0.4326271289918841,0.3261488332911739,0.2780326681835449,0.2840315514197328,0.2681224417963811,0.39889863995214764,0.3019573022061486,0.4009807652691271,0.43305801380715203,0.4100404725710438,0.19877920581200687,0.3182903842869146,0.2755342584553655,0.41082070666426135,0.3084436974160794,0.2592677820105549,0.345201602964478,0.34753982137316,0.4723514636148234,0.26926110086619315,0.26155065318812787,0.21683428253602338,0.4479938989394058,0.24625128287272705,0.3109437370041923,0.20832564321824576,0.3387233648713955,0.20687858220601904,0.2859722088786519,0.3914010611623031,0.36576539897532123,0.29906245826008904,0.4905233354539624,0.46534808460678145,0.4043884931038224,0.2584297873933683,0.3026321957327068,0.3485506834783759,0.2534768454117195,0.4144165418767201,0.29666335895609025,0.22090829389634303,0.543590146739703,0.21454559195189118,0.28069776700768556,0.34021668862348864,0.28707581052701203,0.445458952435539,0.33573664746106197,0.30751761121356913,0.20019626843579896,0.3543857970254352,0.2739850604690515,0.4658685120259766,0.445953872301036,0.2001301479488925,0.5584450661462815,0.3605174582770566,0.38620851622627506,0.26669773302057653,0.2679789889967765,0.33951244191659957,0.34799933918074105,0.2941695783879877,0.35636307635171044,0.21691257846149314,0.29031047370680163,0.3626386962089916,0.3069654663781411,0.485140703502993,0.3682970177477038,0.23101221838487704,0.42312727742487705,0.3324593985412212,0.21088355853234955,0.4599484483701598,0.3383375285933984,0.3120549939689913,0.4011913076103778,0.33100642818551745,0.34605214574115256,0.3619502917079052,0.3362319289718818,0.29149127047998474,0.44536482362968893,0.2796049868048002,0.28664468881232424,0.2556610654624846,0.42577419995170374,0.3058567839027825,0.24624431396675892,0.3163230951784536,0.2561223234093131,0.4011931693597837,0.2675716698426523,0.4257010200713126,0.2906217126982056,0.27121273758235415,0.17421788141436526,0.30142679839130376,0.26152305336531173,0.2132903358803874,0.19353949551205948,0.2551553842986851,0.31555521230026123,0.30675300413119455,0.281288035499252,0.28014742032746043,0.3832228222500992,0.35706160919418817,0.41165650157839445,0.33477861431268235,0.4689052941851835,0.3095024613791142,0.3770461062832809,0.2560370599761796,0.4028481486143972,0.28024601505005053,0.3292310047614225,0.44755621486329017,0.32543453946251605,0.3575720641909412,0.4027294910721911,0.22549309425797054,0.35307370213406697,0.2584450287333767,0.30560941154104326,0.3820433769931309,0.35285803029812013,0.25650145584656275,0.41798055186396893,0.39410266066708033,0.4533012373861385,0.3340669800403818,0.31030824095984927,0.36176618169952635,2,DET vs FullGradCam
2,model_2_cv2_act,0.22473345358301702,0.21853589976784776,0.2594178125643968,0.29681034016640007,0.37801799053383056,0.44708912399599315,0.3418199334801718,0.3043723428542086,0.293251690861481,0.24179834105609044,0.2769459792363459,0.269932763106649,0.32254288701405104,0.3195443054803087,0.376675506970468,0.16841475711489992,0.34646279999638496,0.15579051468758423,0.4077450288941035,0.28388807404093686,0.29893579629602124,0.36073784469757414,0.28925997959701616,0.545698206789282,0.34385972996196024,0.25814874224370116,0.28738351685425645,0.4258483983250669,0.23691931422688706,0.3288047600876405,0.2212675371953871,0.3958598960668035,0.22168088290111534,0.26125313521635796,0.33298554464515917,0.3582665061170697,0.2876817320245358,0.5051239591117923,0.3721652234843266,0.3677580729989289,0.26063845344736136,0.338521075141144,0.31565536362337376,0.2454247321815577,0.2897432662030217,0.2555380818292412,0.2562322923335305,0.4592058081033244,0.32920038653115874,0.40244436200735134,0.22321099394446856,0.2367312037904125,0.4317516776053768,0.2646843518694927,0.27921327957108105,0.2060901946410189,0.3074909874820282,0.29849533520498184,0.43697622582445284,0.46403318237410174,0.19446128565235885,0.5450268767395138,0.3297378690640565,0.4458298668782783,0.25231267610423574,0.3301475005307867,0.3511724847469998,0.3753197405547098,0.28022376394810106,0.3605226508174331,0.2318722238268134,0.2733030868159687,0.37522531074422083,0.34210919674087364,0.49395505530252937,0.31381101275385914,0.18993035308303569,0.41812778287231,0.25120108656069223,0.20078310188327259,0.41075801998569217,0.3635734036652938,0.2586598083998248,0.33310890757740097,0.3682146070437996,0.3214096519579317,0.2587582927363321,0.3383653760975714,0.2544315968364239,0.4048608182948819,0.27641568461128085,0.22572915540179808,0.2560373436310497,0.3422200686344455,0.31914840004472805,0.16405221333979644,0.34110574287758355,0.2689924497227265,0.3301726190650255,0.298057779764665,0.4417966111126789,0.35665320101344633,0.24226396715519385,0.2182641838346565,0.2768970615810237,0.2474133406516283,0.1324727165339716,0.1650617627196526,0.2500091114603075,0.2694098226992773,0.3339928853098501,0.25914796263844064,0.22721652967342476,0.33173481189174703,0.4291878063543608,0.4093891928153056,0.315286961848324,0.4735199889286668,0.28622435768774507,0.37087956436943004,0.21803596545089324,0.2663719558395084,0.3665520015683319,0.4163753759524238,0.3627210383167696,0.30279446521180053,0.29157081566157655,0.36798900173284455,0.24602631548560522,0.35121774328521443,0.3412658059500857,0.336181017349953,0.3482289116411419,0.25437751662981833,0.20146224779322924,0.4243985973435422,0.467799660129811,0.4228598151285877,0.23213951025669113,0.30990343972121986,0.42309183178087245,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.24958742988135102,0.2289663843530051,0.37680946116725844,0.36066319353484,0.2724182829993733,0.4196294938780237,0.286644892689918,0.2615701317196565,0.3430876017782378,0.26934537431732336,0.37273870954239874,0.32152147586440033,0.3198089329502862,0.4505439466811853,0.39227333839959,0.19334938668590151,0.2631025680239663,0.20810745200282987,0.35327122184416226,0.3873655016806085,0.2992739914266812,0.43534130806862126,0.25638250582400546,0.4602623146384314,0.2560531977085757,0.27829056364076205,0.22423062826833223,0.4782717808625555,0.34445222666585573,0.33814570019356865,0.298008288746686,0.32089848824382683,0.24883127993619625,0.23770498593684872,0.42088754873333534,0.33811150924083844,0.30997681089264273,0.4565122199582642,0.45994519812742,0.39288407666440384,0.30523558668778517,0.30607167179880457,0.3398633225585349,0.27590921252431294,0.4586735293963521,0.3851716752116918,0.23148281485588026,0.5792263832398291,0.29074193940372955,0.3257142929125655,0.2939027876110933,0.35636784710126695,0.4516607439435752,0.2752960101390839,0.28184935515646325,0.2661334203482111,0.36984522068479586,0.3096475750398398,0.4231812344501169,0.4648784562113051,0.20795714728207434,0.5772520926191952,0.3298192845017035,0.38600218341179476,0.26811207729637976,0.2575811683919137,0.30398842014800004,0.3589410380916595,0.3112201589234151,0.2653185193042867,0.2549385452636115,0.2650367850374885,0.35055854648171897,0.34378855001607767,0.4975065206765393,0.3805721300502303,0.2502864423383465,0.4578313934897351,0.28155713574733887,0.1665841863855987,0.39487517860710336,0.36045392168654083,0.28832447437158304,0.3535497570962198,0.3634169131407648,0.3653137180411746,0.3696743004936714,0.3512730772802508,0.2518141293659775,0.5298245820348032,0.2647928858632393,0.3140864999336457,0.25871020825341096,0.47171541073450957,0.3525296620039847,0.22461941158203166,0.35573369216946304,0.2428316655304851,0.39532219709449284,0.3154445810506627,0.4289307798823601,0.2921959356432282,0.2585017815488468,0.2628571350657649,0.3400245400941067,0.3486222178583044,0.2283393278456064,0.2435195651129756,0.29402350107875086,0.3092870229524192,0.2867018318827817,0.3882780153110593,0.33100891368856195,0.45484313289132766,0.425173937109103,0.42119645982714665,0.34630031835233743,0.45841181730464414,0.26578826787298016,0.29804076567979154,0.2264356192494431,0.5039720108349488,0.30801832670857354,0.2673346842058061,0.3538315474017096,0.3295158801328549,0.3380303817711438,0.4496479766292546,0.2591062234472281,0.39582282127661533,0.2827664697172213,0.3040276519402422,0.34248712716692487,0.39846880600841594,0.17252154818429816,0.38636264732459114,0.4281501880049685,0.5095012964530309,0.3298623183161152,0.4063520117859956,0.3921270504313965,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.24303054562313758,0.15961259605759415,0.31425906392843017,0.3134875873210397,0.3638637755848624,0.4464913046070835,0.2981737518305971,0.25852367586017516,0.3349518970985072,0.24979206876339527,0.3770405123303495,0.2972150585001723,0.36351650119956025,0.3589288856760555,0.4379894496471109,0.20134292974264928,0.29785999769248994,0.15224578695891622,0.4185208680322532,0.32489714408230574,0.2817718979373931,0.36506355887361147,0.3285742615691129,0.4698764906946241,0.2678107349633189,0.24689025547552818,0.235226652737609,0.49400232055439874,0.28206016365609077,0.3798839450365166,0.25577556343587055,0.3045886712226678,0.22839825968359326,0.342276923648664,0.31050866017472734,0.29773050135824397,0.355146643721062,0.5340327205508135,0.3887925873564686,0.4079532186984383,0.3043755790143917,0.3258848174954074,0.32889261380895035,0.22914520427913804,0.3606998472729733,0.32489037926748215,0.2516675056934466,0.5248989418991138,0.24527793860972974,0.2444190003168102,0.30179061695539344,0.3079178042108094,0.4350344283555722,0.39007802349260734,0.2634642973759822,0.23921902364863906,0.3246010964187804,0.22089277497707158,0.43564468574770915,0.49915974942071534,0.1889212893223355,0.594193132896572,0.40062559920610336,0.3874940566976717,0.2858007534823923,0.29212618988204414,0.3329284696021498,0.3896693114950507,0.31207145866195585,0.28372900433323517,0.23731181241378557,0.30938838449498435,0.3046708952434836,0.34012625163098015,0.46398944661749064,0.3501805107455904,0.25434761960404034,0.4184621002621719,0.28513266441270385,0.23843577286179987,0.47814990532294793,0.3071137739942001,0.26288801465654055,0.3548185121674795,0.36538937922150144,0.3368267158301406,0.3322119430942745,0.32532209501568704,0.22517286339220433,0.46804005437616275,0.27928328186866336,0.2765362972789839,0.22022248459387792,0.43351858781862485,0.2958904594065322,0.25068212381465466,0.31307943363450347,0.27994712180423914,0.35713607493447325,0.26608054863082115,0.44293491600789187,0.3102452138365857,0.360903463176222,0.19624012197987814,0.3282000905056373,0.3220345420159384,0.2407865986778836,0.18461505174406223,0.24067767089314596,0.3131206976656938,0.2949936273583733,0.2913027171486284,0.2871974031083475,0.42222346450591697,0.3971625290047345,0.3804098510880857,0.3496926780913311,0.46927607872987387,0.2786648046450907,0.31104753455271744,0.1977375706272258,0.35511474852426556,0.21529322007118337,0.3574911610650084,0.453726119770707,0.3454150117089148,0.3830142899375719,0.38977982429135843,0.2327811848502878,0.39809834756322715,0.2575047157436802,0.35775280269586296,0.29072309983467104,0.2979548004030627,0.22368240413991744,0.36031748272385666,0.4354469198916368,0.46199738120275613,0.3524115587189845,0.28315447198219057,0.40813853279593165,2,DET vs FullGradCam
5,model_2_cv3_act,0.2477816270350985,0.24262247442578339,0.3314105253738337,0.21690232719095923,0.43374599051249885,0.43361133133859225,0.3088377640421054,0.2825343571596394,0.3502848519849845,0.2770379962179639,0.30913008053883506,0.2680753102296747,0.33397921865755104,0.3437688479076946,0.44604669332666425,0.13752270543698283,0.35527760319455,0.16741797039043627,0.42719171410466106,0.2979752428434293,0.2925758732116826,0.45867846913381305,0.34192032999244104,0.5333017188002056,0.3328363955722609,0.19881360995819344,0.3081185133477608,0.5048447996490121,0.14659501972571243,0.342721430592568,0.2581258583951055,0.37913214286725827,0.21029701306105017,0.3151841680013486,0.32493373226153327,0.34570753677332244,0.3075050058718066,0.4839934036255956,0.3995562062533822,0.42131547656472473,0.31790634936900003,0.3571759790167679,0.4353977647753966,0.23675435747616977,0.3354079338282597,0.19317007915625678,0.2884929754817132,0.5470365777311883,0.2804649982280011,0.3212941960482627,0.2534832472939066,0.2329122085611427,0.4567502292193054,0.2603262072401173,0.30729626044718333,0.25264066721166006,0.3596389784011149,0.3641562985962808,0.5045850009689246,0.5229022476331334,0.16515505154999055,0.5575354193516202,0.39998694296546367,0.389334841275325,0.2531109919324127,0.27469376410455026,0.4066057739920746,0.4071527417965938,0.2812681403287918,0.31031939929912616,0.2655751175132026,0.2604151664694625,0.3178113244017809,0.3696939517086374,0.518031332327343,0.35346574884024506,0.24895020465840614,0.4027659225189181,0.2685133670559872,0.18125424034193066,0.4361867236572606,0.3288209498016446,0.23741560916566537,0.380409202405828,0.34806031998052783,0.3358768321397118,0.34572537507087586,0.29617171980642004,0.31334797630808425,0.44541930886114695,0.30407760834772213,0.22314506434544304,0.28820776840437473,0.36401429694774207,0.3016014478091661,0.19291454746203204,0.3599210792227921,0.25722181407540323,0.3713920268742248,0.316399060693828,0.44207481263986315,0.3434134777288234,0.30704059629112146,0.18092575999818483,0.4146975812431481,0.2543830094486606,0.2252571515347879,0.221691563780648,0.2503468951723395,0.3364386224333818,0.32014329385235113,0.2678111824695032,0.34724115577559905,0.40065743450785407,0.4356937272914006,0.4000261360239556,0.3782016302638159,0.4908586564021235,0.24883993665970253,0.40200797487621553,0.2317516858708704,0.24770144008137523,0.4383289397930622,0.3899887578170718,0.4120494087837771,0.41959303101314244,0.3205455290673716,0.3051663963667225,0.21253963882407562,0.38965420943165674,0.34759809626263455,0.3472890228458981,0.3226402921102161,0.3789113594713452,0.3289781396253048,0.39575532266498537,0.45265330708298246,0.47242469835525747,0.38714444864237624,0.33555263866766744,0.4409870087913688,2,DET vs FullGradCam
6,model_3_act,0.21965455071706222,0.22210218243491026,0.44096083084872917,0.2679158646518596,0.40676429906096717,0.40786633183725796,0.2341645293626593,0.2307028282471984,0.32210438556163207,0.32937381675414623,0.305462793289775,0.2757956101405142,0.3981486391461515,0.29919821939890434,0.3983566066347297,0.12812600395806434,0.41724849451453117,0.22287072688161508,0.44718557465767406,0.264662837974423,0.38893225260604963,0.35136643285289504,0.3270500202712451,0.48735154519922297,0.31549949928210314,0.26516245175082204,0.309058895341657,0.43955068288007143,0.25778955323751396,0.3567487617406453,0.3033076130647591,0.3419852261426279,0.143932851444691,0.2861846521387727,0.3407890326981865,0.4665896431311461,0.25884867131258454,0.4948661753426086,0.465540661693813,0.39970466868575383,0.32662074463838353,0.3805124870066836,0.3654744514806434,0.22484012273607465,0.30013342804925686,0.2186920897879692,0.38026711922643686,0.6357249126649835,0.269094060780044,0.3322717534238856,0.22717403701759936,0.2060759088521114,0.44631821764560986,0.3400540991197196,0.2831767138587467,0.1839343239925215,0.36841915946106973,0.2836340257012765,0.49199856116582774,0.4731006569374556,0.3090076573677106,0.5199174800023084,0.3820809508852815,0.49330395681674355,0.2714253202273544,0.38669975613851404,0.3691347857332062,0.4927785924460322,0.3316462239210411,0.2894102651117361,0.3091589462950772,0.3667879703345224,0.3071888032953881,0.472086373647065,0.47138968599207737,0.34122870942030264,0.18918532840908836,0.4243712958299251,0.34594119615217084,0.2391646868823874,0.628722689761446,0.3494514556658361,0.23602560788029783,0.42793268060719747,0.3756481930842242,0.4215539712027265,0.2635061523415891,0.3876026456296074,0.27042142292976756,0.5085272176200714,0.3523629988282423,0.321242353011667,0.39449711136013005,0.22075841023897755,0.2741146839041,0.15981267895219167,0.34930259401208735,0.21844383664215888,0.4448311225639464,0.2988652690139509,0.40689959427755507,0.3271414760159909,0.44888055424594125,0.19517648049212283,0.22461276262633442,0.3012741563856562,0.17066895346763855,0.20308273585562836,0.24261497693105225,0.30480495128902607,0.35909191596379847,0.22176678764330562,0.3313806187269513,0.5009742622522975,0.4667544328204256,0.39804710720282493,0.3308992678106906,0.43992620786920983,0.3194220782981879,0.3938418435827319,0.29629262706799786,0.33423151770926995,0.4022093680900242,0.4768984223175685,0.4786636872729098,0.3556361671286258,0.19762929066672347,0.4319538924929362,0.23347528115913146,0.47373864295170487,0.29867263888805046,0.4219685648527065,0.3810226600402133,0.3222333874182989,0.27779409658583387,0.4260784180952918,0.4611504867990118,0.36753550726158685,0.30592808325502135,0.32835960316189433,0.48559603069497975,2,DET vs FullGradCam
7,model_4_cv1_act,0.28657746083842495,0.21900436961683664,0.3381262212765378,0.24627698775886062,0.3086754068337788,0.4427140462278966,0.27196393382108436,0.2111485539475323,0.3929992604743749,0.2647813141855064,0.4424436076112069,0.31508388404067744,0.38967837964707835,0.3839346998267113,0.45781823761335383,0.09768905287834442,0.47236551939076893,0.22319449355377433,0.4446017110344145,0.3633308817866736,0.3959524680517454,0.4164695596984708,0.37878267978898156,0.4729822327289906,0.2769516707221819,0.21989202758195014,0.24488402569568085,0.45826083418300406,0.16201467078241297,0.3964951531697995,0.3195534177742056,0.32047937774092355,0.22996995939928122,0.34505920453524097,0.29310315410999066,0.27036689926224294,0.23140275828119672,0.4662471598187242,0.3886984826130536,0.4346677908284311,0.4581376808153022,0.1865002147760998,0.3988253285428547,0.18143213431622998,0.45753837707390377,0.14393444084120072,0.26352375563181735,0.5480015649621821,0.2513705755959598,0.33638637045858155,0.26207117681857645,0.29304055768425363,0.4694678648683086,0.3540323129206675,0.29119159133709543,0.17144388328936552,0.3317286036682985,0.2518967418275633,0.4488149423298252,0.5191002608907582,0.26529159479341585,0.5937900379578004,0.351100526405656,0.43260696575447405,0.3269127553384608,0.18790803300675243,0.30788229755230856,0.4338102054465747,0.2589164872149715,0.2340580669421903,0.216701050928483,0.3038418752660479,0.28335224777949813,0.4459235610503954,0.4984448826922646,0.40506976186284377,0.2495952301401703,0.4000662462074214,0.3044830378802003,0.22629811159055468,0.6626998209450362,0.32265539602151244,0.24526644759296817,0.3955395489909818,0.35845364919088674,0.37575566337239774,0.35501142966812865,0.2443119266331427,0.3170746048265425,0.6156793567386013,0.30149720634174554,0.25873353072969596,0.3048555376136721,0.43550072191215766,0.28152754679920994,0.27632024414969764,0.4217871816091208,0.23263886117550003,0.3679237731420203,0.2770844029417729,0.46552435650289264,0.30731229120022274,0.38191652180666186,0.25531432494532447,0.42155864498485895,0.2571140145604322,0.2684086213574306,0.28483447385218724,0.26017533875789134,0.3222084823019463,0.3365830170836636,0.2885583831265926,0.4369718954406012,0.4353415088552357,0.4470662680733959,0.36662127447465775,0.363965477436724,0.4333120879884285,0.21725775949564027,0.23806364527111612,0.1756079780864457,0.38398986303588617,0.2879307770810542,0.38577268149171,0.4063306537537595,0.3253684316546604,0.20348545132300275,0.3427886956991249,0.23685707156031982,0.4197065224443365,0.23564984506745948,0.3528753238055687,0.2654205952123694,0.413150819156148,0.40805639861595483,0.38457101960289003,0.4345374182719934,0.4886366608901079,0.35371510288850716,0.3850570681875854,0.431175507316345,2,DET vs FullGradCam
8,model_4_cv2_act,0.25040013394104776,0.24703281771885321,0.336679408284539,0.22964421611006458,0.3874348913297627,0.4060438128939781,0.29042436560046275,0.2669672464498589,0.3765826017353891,0.32817446028276465,0.3095062223495269,0.3151617050975574,0.4212577936555762,0.2297460216024896,0.42460325405116794,0.17324262439517063,0.2928996030531635,0.15911538311753748,0.36119120885387296,0.28866170985173756,0.29910238462541655,0.47348936401251673,0.38987677125593045,0.4430835791807487,0.4541559135871151,0.2765243831385423,0.38420026047889133,0.4739096678316459,0.22069342559262586,0.4788886787574205,0.2895002225578145,0.29154129329498135,0.22983631391968182,0.32261910758160656,0.36036054341639057,0.5049722709822092,0.2375750666747266,0.5219166918351543,0.4570304394893023,0.4345692046478928,0.2772345540438432,0.3239436648176958,0.4222983326736951,0.2516978950346976,0.27638603113503535,0.1624774974587564,0.28931218074246406,0.5969541356295016,0.23445192133872791,0.28359061362656074,0.2689503137204178,0.20708079723803857,0.4866596345887614,0.1827186704348383,0.2623773722609756,0.2918358598810665,0.34333718151554876,0.26694095217815134,0.46806926731938064,0.5056291415479139,0.2874614080918164,0.5764656086621145,0.29083998377557335,0.4963014783271136,0.34608303593790934,0.30388879555544324,0.4295643352539605,0.3782037215266061,0.29204586470076965,0.33896630511209647,0.2914423119835935,0.33011744690088707,0.31142147024416134,0.42654174741297696,0.4188093551378698,0.3212152958030781,0.14902865990101943,0.3777506738564139,0.3677125452997991,0.3129208032096249,0.5104774488786163,0.27595510270349655,0.25625763630274223,0.39759119081091093,0.3833901234411682,0.41435567158250913,0.31114652693006595,0.36278110253970963,0.26273813968342496,0.3990757686587306,0.3445907674537043,0.21952017935699525,0.3370225388323444,0.36325602113369077,0.3110873667014144,0.16459431787552384,0.3135066715380796,0.3450199969765207,0.43057411810698565,0.24226446047649564,0.4268501199639582,0.43430941627570857,0.41781631410484404,0.19645389421059373,0.27970103186572776,0.22760312000582258,0.22781678017277399,0.17323545149676414,0.28583614831016224,0.24016260512582793,0.31633655359741625,0.23398726028848169,0.1927726967303804,0.47716481132325494,0.44877372938599525,0.41452668166285406,0.32417641778732054,0.39019254998879427,0.3611403890923516,0.41065483549884113,0.2927032142222481,0.37936611542054255,0.5430110544344642,0.40387479528220693,0.43671830771483494,0.5032089540591311,0.41551529275642135,0.4935401181271698,0.24399418784835217,0.3925832330011918,0.3233186597178501,0.4277589694621689,0.36373405871873854,0.23872479539436195,0.17995101145785153,0.43303223443738775,0.4889392577609155,0.39979256979188355,0.18009217382518794,0.25352363470316114,0.4169394598739787,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.28548685583322275,0.23678728148112543,0.38218172384162113,0.28495168943900173,0.3479131089207604,0.4721546314097486,0.24929045023249782,0.37035094194985246,0.33802771397691056,0.30250544248320593,0.428327467016262,0.375481244242847,0.4179827223653616,0.3801490680084708,0.38737281045684346,0.13923640596874726,0.3730871216502989,0.18625260175771693,0.40150647462335187,0.28786930224345436,0.4174774474721632,0.32712757003178605,0.33053514435777614,0.5401971340641117,0.2618924195829133,0.20284783963582842,0.23299171356992462,0.3254085000536742,0.22324289482065685,0.3798749346555935,0.28062044671071834,0.336896298521693,0.18004637161724524,0.2746232671504541,0.3143648814646471,0.3713662089239156,0.26245202074065116,0.5268978553425956,0.476978309385413,0.4555414928561275,0.3317672919321369,0.2710885952669593,0.3417009370331483,0.16036151392531833,0.3843156917125323,0.23212383716065038,0.3003071321715999,0.6015599399960918,0.33903703199400004,0.2780932682926465,0.27687546894801945,0.31577691539566694,0.48192574668238697,0.4267676127745866,0.29446711015608373,0.14899625658183346,0.3802011457094232,0.36961676182850367,0.4857125998823902,0.4736627163740235,0.27874716636946045,0.5940316730587636,0.34089086923991985,0.34876056324826876,0.23515049917864084,0.4389080801747088,0.4191994866630722,0.45718709001567215,0.21991459741011718,0.32103784235660815,0.3146084988892802,0.2552342673651199,0.26831045618388155,0.4180373650896848,0.5027583486647872,0.436366392303178,0.24119802886195926,0.47516517512702905,0.22604967765839704,0.2801536859195685,0.5544649372268502,0.38265173347283254,0.29238733381683846,0.43920260174387526,0.3769634854691792,0.4293951322411688,0.3766892954989632,0.26711491403336535,0.32763803675870656,0.5694790732437511,0.3863388212673682,0.25737789363391045,0.4159949078451515,0.2663392913840272,0.2966929703536501,0.22054228988133798,0.4872621296524611,0.23113226598505343,0.37258122318682085,0.43510951907255946,0.49652907252870926,0.3270799705789269,0.38534741296127584,0.1763406761812701,0.37447617905161207,0.33973249662123944,0.20810301826510752,0.2506719084029774,0.30490794999760845,0.36138449010885504,0.3611837474320733,0.21245641889569253,0.3887820355112813,0.5214019123454686,0.46346786978993193,0.4280756164960484,0.319164103545117,0.45872778126603864,0.2556525782886706,0.2859126479852885,0.23329152399895872,0.30750627136906505,0.33530353177372507,0.370261546532224,0.3365047625114592,0.3967247771519898,0.22054612811056115,0.42331124260926184,0.2731261300658018,0.35198116397564866,0.30405231272490363,0.47221024212692125,0.294046979851996,0.3956324055218372,0.3305708856615057,0.4124144816599596,0.40023312157905844,0.46416743053993625,0.3382438673741195,0.380974635394299,0.4565443315275313,2,DET vs FullGradCam
