,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,0.36480793384966387,0.36566018831149655,0.3371248408625518,0.3483986225761833,0.39560178846198496,0.3293133141634508,0.4194335708198911,0.40096283469312743,0.36581766618897255,0.39679940828037463,0.37265129438116196,0.3698775909855567,0.3674309766348281,0.3446663872522133,0.30679069774169015,0.470808927090106,0.3769441826494074,0.40817736533712745,0.3065741111664178,0.3592577365002788,0.378017622721999,0.37021989295006913,0.40364478813923926,0.25178509657033915,0.41262548026337276,0.3705954829859206,0.4138385799195389,0.3394338415324164,0.38367523550281,0.349107181698478,0.38220106045451463,0.36153747999114916,0.43389394694297606,0.3970282447034245,0.3593451029612091,0.38147758494170064,0.3694104351231973,0.29913878984438586,0.21972872838044763,0.32730713573360537,0.41204104456489926,0.3772734007890965,0.3480355903076802,0.4184797558690088,0.3274559059077766,0.4544094535036654,0.39456698966200876,0.20716621377151762,0.4087825710709217,0.3730011111307852,0.378078792345499,0.3856435020114782,0.3478049364052751,0.45643609137682123,0.3701163287841123,0.44409194640307004,0.3583503287872679,0.3865538455398037,0.30206399999970884,0.28341635857601927,0.4212721964115789,0.19475176915789105,0.37076801869912374,0.3043416064367589,0.3752129355876298,0.3862935132376212,0.36680764840747565,0.3432243518640669,0.42626270836478286,0.37215608921347665,0.36843232286624034,0.39698630736958473,0.33562800664595754,0.33258935852398913,0.3077408967063707,0.36576327709449835,0.4236924629028594,0.29947957179656265,0.3443966386594623,0.45063065506097055,0.34578139213744374,0.39342869646669426,0.3903373435696865,0.27663772401639725,0.33219185361115644,0.33690396372071546,0.37515849618788216,0.35486280401857845,0.39392679431287664,0.2690004762273003,0.40436501043351414,0.3913154994181505,0.40277524602139514,0.3131142204450132,0.3779533130542862,0.3980932816374744,0.3268169899270192,0.3905887965370753,0.2996929724451786,0.4048193711291123,0.2823620326961901,0.40768145833020103,0.38000192921893955,0.36634828332200153,0.37399467811950593,0.4056325267782412,0.4383057592485887,0.4332599580265955,0.4042662529702679,0.3675276393931747,0.3639600755771989,0.43595981737130035,0.4070478320582025,0.290927402423326,0.2630387114095497,0.3185667405982164,0.32313375443446035,0.2824128799357694,0.36306463737583544,0.36606086405578125,0.41424149487601175,0.3702501616938733,0.4158799873785593,0.4073047680579112,0.33161863549003284,0.36552747953559583,0.34587131729117393,0.343641364513909,0.400389935619025,0.3863828902249547,0.4279985669816338,0.36508154761247447,0.3012166900365896,0.3935250130892771,0.4520126972424666,0.30568436449054576,0.33989574992265187,0.2586377459399997,0.370655152788266,0.36002667085375456,0.35186831550381775,2,DET vs FullGradCam
1,model_2_cv1_act,0.3685625440150837,0.3741852535050334,0.3452616121139405,0.3560073220644654,0.3836541242160157,0.3482670730620405,0.41241988546699043,0.3818707948148389,0.35752450724454937,0.38850602199467305,0.3508017152776761,0.391597905441587,0.3635965144027578,0.3414617708678864,0.2981653032798587,0.4652986616256777,0.3784248515060898,0.40164077143339355,0.3120716587231701,0.36453504588519214,0.37849367010800744,0.41410576834412943,0.4005355559699492,0.26466031779547294,0.4201252831381197,0.3855363051178446,0.4247057462431374,0.3177619530392628,0.42805984781849643,0.38000834821613005,0.4105004464236048,0.3669005103149193,0.4406282604195129,0.4331108300519633,0.34511430059155235,0.3844134742139437,0.3690009234995037,0.2909231497881285,0.20960494416656955,0.32607875264822994,0.44610249847518113,0.41196296544748046,0.34336108615169847,0.41777354817681,0.3153623934516425,0.4442124952525019,0.4095237768375443,0.2046837131484868,0.43024493066581065,0.39891025514210704,0.3552664402091514,0.410400894196937,0.3462453623478726,0.44912396268403665,0.37649926384358307,0.4646637386811014,0.3493821951983205,0.39768469510474147,0.29073040250017973,0.31750133443984874,0.42494190259948855,0.20723141290733893,0.34780071994867157,0.32185619839479424,0.3988718984047406,0.4130840146335539,0.3618109629070065,0.34645624624482296,0.44149826344156534,0.3809021425941823,0.37106275608339917,0.39199238010446774,0.3440038571431528,0.3435199481803628,0.3191459887902183,0.36274302663167474,0.4101418226431462,0.30980255626780673,0.3456974034615998,0.45497001862429964,0.35371526798854885,0.37586352943395945,0.36379233272967076,0.2727090710585719,0.33968004841809996,0.34443982109407495,0.34546980823810264,0.36082498116085215,0.39902514091000046,0.28666756110040675,0.38635518806797703,0.3949163066265399,0.38097213034179267,0.32802108954003806,0.3674630066233893,0.3841080673814319,0.34467384069935786,0.4248522062447648,0.2956224845696481,0.4260615398326949,0.2900361551552216,0.41745320019193805,0.3897067524388178,0.41064697219917845,0.37299750945478116,0.41669995674476734,0.44773016415939043,0.43681949884060045,0.4182137905152471,0.36947530936491585,0.3804543724949268,0.44245660568735334,0.41434114963665963,0.3137677470996964,0.2710969592541221,0.3306818346493675,0.31471780319157683,0.2841373618901519,0.3627914212120109,0.3770560472370393,0.4101856436655545,0.37738005713545275,0.4425846316473829,0.4174471048195747,0.30476765743610496,0.3626635379221075,0.33005387649761037,0.3462644586867654,0.4093797301574206,0.39431909446360286,0.4444376185457383,0.3826962141205347,0.311561221598208,0.35275469734115955,0.4250133812204972,0.31752199055784036,0.3642184801596048,0.2771259978157337,0.37372794243697444,0.3895831753303603,0.36408548115837486,2,DET vs FullGradCam
2,model_2_cv2_act,0.42001521918851287,0.3803418449031216,0.3958219884402606,0.35975116950389535,0.35983630576038966,0.3376405631012282,0.41213800512555065,0.3786849231479991,0.3956535504596884,0.4150960747198281,0.3996111529890447,0.41227660290625034,0.38187535124860217,0.3808661474101439,0.32555965619391974,0.4709240649683278,0.36086682264385045,0.4405313053953152,0.3196052251831761,0.39520188940722284,0.3657146884537238,0.4068457770257434,0.41836656209469214,0.23415510047592977,0.38596335856129094,0.39617071944707355,0.38003928269878473,0.32397732248840005,0.4111220492360967,0.3479724718130387,0.39745080786559794,0.34882042430888605,0.44639989686366643,0.44375125516179503,0.37012673318360795,0.39958637484198845,0.3654088805808543,0.2882167094937799,0.24275288464098024,0.3574167936211726,0.4336106811673094,0.423875784145703,0.37663129229525333,0.4343079373324448,0.37841067172717435,0.4729408229467838,0.41226564816142164,0.24725333176079545,0.381035177320628,0.3542492025240264,0.40870286274682277,0.408729433703749,0.3624712214398105,0.4670440524105794,0.3974177526130449,0.45208659392648515,0.3683242594299166,0.379989318058931,0.2913248882350057,0.3134135171810567,0.4509866034082136,0.2121155395868447,0.3564419866091704,0.3068215176030498,0.4109533130308089,0.38760278391139563,0.37646553149043005,0.3609691529721162,0.4496422241929168,0.36926334395174804,0.3870492309517573,0.4003849853998673,0.3502091962712462,0.33992196893030024,0.3104695835289169,0.40300606942805034,0.43561001170627606,0.33367764648756687,0.38386295083054583,0.46388148999748285,0.3668573589477823,0.3754381245799892,0.39474819669565225,0.31887456469688563,0.3317390548939699,0.34864617868228726,0.382403566560003,0.370665850486164,0.40878096906705064,0.3254138155754319,0.4068201972089405,0.43483313254012573,0.38915601193427746,0.3613796916308609,0.37043351689330317,0.4276742661588246,0.34750671649853765,0.4052988357333121,0.3410026765908983,0.43510494832188906,0.2903750925275234,0.3839888114257677,0.40918484653613857,0.3975283420886983,0.40314112803283286,0.4286784341158272,0.49268393400230487,0.4543518290755076,0.43501798201513936,0.401914875691685,0.35609687545433155,0.4543489512900562,0.45235262051520636,0.3561232484095713,0.2788609316442729,0.3323937827400536,0.3276232201769038,0.28806178197325844,0.3728804979512939,0.35029323616177716,0.4316605344214079,0.43754207021535896,0.3916645329169307,0.3939170298255122,0.3477548451525018,0.3735057128876129,0.3669517611841104,0.3662276957820159,0.4136359965863241,0.40971099838657543,0.4059466186882913,0.3538836059383863,0.3259444641977641,0.39109752247208934,0.4561444633972089,0.3253468786520835,0.32474596237916686,0.2874033679606213,0.42082402316894657,0.41661736919717296,0.3519789243581619,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.38675255200592196,0.3707525633928767,0.33851089959183317,0.33683584935165056,0.4088754596703487,0.34356306097828515,0.43594826602515374,0.37968921747453416,0.34500001330721813,0.37588406083325776,0.3559257898528693,0.3714347714367067,0.3989388153432668,0.30822603246492464,0.29739384108123146,0.4666450988572323,0.4112968203758199,0.4252962360462604,0.3246247913314441,0.33002316415160515,0.37253138175585565,0.3416590633832227,0.45576831346543767,0.27533828704081387,0.41564907332815304,0.38174330426761194,0.427631273827958,0.2970622188451127,0.4004040756222316,0.37641688094871606,0.35943814543569574,0.3833301904891158,0.4126532286730085,0.465591774567457,0.3409065470920941,0.3847444943732899,0.34876175091219214,0.3157909322847276,0.21076504837123616,0.32143683623741215,0.4291668033752497,0.3995082752511334,0.34124346889902724,0.4049475689345656,0.2970740197713402,0.4071042834781746,0.4045061931790341,0.18924820977803858,0.3931321664872778,0.3865463525020107,0.375325716075318,0.37817401229373876,0.3464172717081074,0.4725251196337575,0.37955819967353543,0.43689624369586166,0.3386246046766578,0.38823121904459734,0.3030752545440712,0.3026868537432368,0.40961236570896964,0.20293159572652034,0.3465891379932748,0.3145388921593905,0.4090361089162481,0.40712170057532654,0.35911673068594785,0.340803699948473,0.4435559022877967,0.4213107472324852,0.3704210675318211,0.3985941809701766,0.35158802588612137,0.30918399105786154,0.30389511125015967,0.3570119986127936,0.3926004088234967,0.30679743866951426,0.373212597745768,0.4852983393839188,0.3637255782441766,0.3686087527215382,0.36836652800357184,0.2748239037369539,0.32483470157739763,0.3307402100298329,0.31915837765525135,0.35538795558142,0.4060450324363803,0.25686025698319126,0.3918443145256012,0.3737863904745032,0.3744794072421243,0.3219971153099482,0.3617921841012714,0.39564169296223806,0.32428939941010504,0.43077409379114395,0.29625840356675087,0.4047931997039689,0.2926894630259158,0.4171679707833589,0.38660110150947236,0.36400656071774395,0.36624132802877124,0.3807033393920593,0.4503678675906828,0.4038393376329537,0.4015257059016191,0.3509876832112884,0.38734460911084073,0.41156787612302015,0.37764726933667836,0.29486814005039647,0.25354100399077767,0.3130025614130195,0.31175055754616676,0.27747908256707976,0.3639979691890076,0.41543518113431294,0.4226719235646573,0.3380963915366664,0.4254812715293788,0.44552338991800017,0.3356011268867145,0.35373293682884177,0.3419753084239079,0.32177072951551294,0.39318445178977984,0.3935978642213713,0.44175399853887215,0.3757213972928518,0.3192191509759643,0.33075754271614227,0.45243758202843,0.31563644970326915,0.3414959310552092,0.2513990603443188,0.37155290242589695,0.34401002190866586,0.35148780461709506,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.4029318128558277,0.4258590654674845,0.36394673136372246,0.3604325452683023,0.36888644916503693,0.34677077120619265,0.43057927951015124,0.38635900321681677,0.347936730774754,0.4094839793215627,0.3430406439926413,0.3916392732146967,0.3771020573893426,0.36633386616550945,0.2894072696689699,0.4595620322597245,0.39001683390009795,0.44988867576446534,0.31151148066778334,0.3592849676661566,0.3866602440179871,0.40694419472404686,0.41464101366602485,0.26328572219596436,0.4169078773845845,0.3995355632124768,0.40981239325123575,0.30321741339074143,0.40320504240050986,0.339676477850512,0.38805174725515124,0.3918443928514703,0.4345332327707574,0.399102874003918,0.38151271677451787,0.4050680710900395,0.3446249699793951,0.26648020305145276,0.23687174378427228,0.3231318916245845,0.4048046342880264,0.40904013962588265,0.3609108319314435,0.43597421396756714,0.34190307498583095,0.4382475628510018,0.4001051352202438,0.2143781221715684,0.4207704042286275,0.4165399648871406,0.3613754701031557,0.3733416326172216,0.3587193838433723,0.4325504752488649,0.3915088556427968,0.43915093768164387,0.3497134739944527,0.4197186405122621,0.29272120512124317,0.29997994217867585,0.45152072634082246,0.19318172146279153,0.3283647922366492,0.3240769142505036,0.39680123333844836,0.39012448047789383,0.35997947187549467,0.3473740311373202,0.43332113146159157,0.40383595999863653,0.38606116302149407,0.38837305494771407,0.3649698912167536,0.33840352444948557,0.3016840739693943,0.3707569644061677,0.39809742066522685,0.30575556511903634,0.36006148425099127,0.43899267886417,0.34221847824058405,0.3731029685798017,0.39374123516549103,0.29367619788708405,0.32279490745445955,0.3426288525856267,0.3540558337470343,0.3615496229747905,0.41946432852836507,0.28970799327286656,0.3867368167688454,0.41799270866870536,0.4110709396307194,0.33640344129487143,0.3831856948199249,0.3942721966971556,0.33625985395365104,0.4177515492147505,0.31424960825978077,0.4363300632983727,0.2832584898747151,0.4017609122900061,0.37273689885126077,0.4055635608466128,0.3778297838347263,0.3835280030456752,0.43723948110536176,0.43995877441655246,0.42883298739881676,0.3618301482153585,0.3866847183360248,0.45013801439534445,0.4113846210694123,0.30807246329157645,0.2687991881184659,0.341024269913807,0.3413176420040023,0.2865719173578688,0.37851725291764476,0.38616062766060777,0.44230435332941553,0.3960307255337324,0.45467283686797527,0.4147250869636771,0.31532721625906607,0.3471471855058515,0.3200374088831447,0.3633634057177682,0.42049906857089475,0.39260253468438816,0.4450013275487946,0.35943994545276875,0.35258133174155,0.37604276146910665,0.44325833233210027,0.34452765698854676,0.3279324126190505,0.25351936998925384,0.36276731579705884,0.406345766867821,0.3629630818748589,2,DET vs FullGradCam
5,model_2_cv3_act,0.41445827505767546,0.3650563553938241,0.3634293340233058,0.3995698986754725,0.33069527720475994,0.3470408963339058,0.44322798038116185,0.3911620162975758,0.3504504368057157,0.39279835803000146,0.37115826822392817,0.4106775742602428,0.3787419231343466,0.36167175912434146,0.29092315547151726,0.4855149992600336,0.3677373262659022,0.45081624108121804,0.3107490279641682,0.3904113211652826,0.36674276332785327,0.3643220234527757,0.3824059036877283,0.23459094399825428,0.3804157776871156,0.41805232633119144,0.37976315271593064,0.27609858289567624,0.444103223646964,0.33778709219858694,0.38530670229386743,0.348991993971171,0.43344020519331655,0.41466798053001425,0.36454782793029383,0.3884689414288201,0.3476228267211615,0.306776410316816,0.2366552279170531,0.2989004900038472,0.4000002827182486,0.39415022152621454,0.3256283493736169,0.42120160245743404,0.33928589246099167,0.48574516723001815,0.40049555784140706,0.19915488278298016,0.40767621843156,0.38348805245098117,0.38916369770915477,0.3889330204985117,0.35368242428276175,0.48697378343241227,0.37194322493587373,0.43395553556066196,0.3381418147365016,0.35243849265688276,0.2548980552145303,0.2778269790226634,0.45768817937127126,0.20752127234670598,0.31663239358211187,0.32520223123591946,0.4000927624787051,0.3931343748698952,0.34135580261925524,0.34722271344832084,0.45540812137570996,0.3948606925410138,0.3781426070519867,0.41288788972624524,0.37386262654105684,0.32385300667157246,0.29782779847970403,0.3734898711458374,0.39396829690611496,0.33952242074755723,0.37675036520983357,0.47236252607409734,0.33832010226356435,0.36965487045569095,0.3904022392505849,0.29346172392661635,0.3279041096924848,0.34826011116312816,0.3397392780878054,0.39414087124229374,0.39422928317299943,0.30159743198029165,0.3608332096651299,0.42405935701426495,0.3608617606391836,0.35480737370448806,0.3752716292077917,0.41114841451568607,0.3252485903601537,0.4239224974333926,0.31679213997879857,0.42767564505194927,0.2842900211957531,0.3816844901813346,0.3952247444633902,0.4081777442529689,0.35327068341886486,0.4148433526416094,0.4506287546273963,0.4184354778033609,0.41907588237180765,0.3550642953600799,0.35763615304647034,0.4609761508391456,0.3961480275776326,0.32468381710134686,0.2770608066967428,0.3375510218611447,0.3122874183667321,0.2647663380734907,0.3837146711601095,0.34237207197746505,0.410937101679,0.4361968833475995,0.37859435732369173,0.407601421298269,0.3177878143834724,0.3365537276321574,0.34707924725070377,0.4076322775918141,0.4415358346896375,0.39411926296253985,0.4199313036698716,0.3430776094591446,0.3469428549896852,0.3405742530738385,0.39162881249154713,0.3322563846160113,0.32758253748491695,0.25419562938875023,0.3304888635488591,0.39693332837834877,0.364152205453381,2,DET vs FullGradCam
6,model_3_act,0.43145922700740036,0.38353591129439474,0.31003891905202013,0.37198542409909685,0.3397086854732939,0.36461834135925936,0.46978921837638304,0.424499449697623,0.3595834354100152,0.3658382076380699,0.38174523856959613,0.4164362697879456,0.37558490081642043,0.3870180796039139,0.31248201503034984,0.49581388107660596,0.3842634446728977,0.43405930424102734,0.2962492727379429,0.41224444760827145,0.33567376761391005,0.4282965440507068,0.39046951329017926,0.25981314440295306,0.3998593365453594,0.38846170333216856,0.39836219175310716,0.3422031898188449,0.38784015700113933,0.3165755468926875,0.364126513166533,0.38616376292346904,0.4769734559775326,0.43771322188910883,0.3864972689811051,0.36670952680196817,0.36978145624104214,0.3003597431398027,0.2090089074463355,0.3375800527748089,0.42455062957273887,0.4247246962773925,0.36432562679730157,0.4606401775529256,0.39620717604923306,0.47944527127963005,0.35950502935290807,0.18024510928988072,0.40783657242752874,0.38122298642712316,0.42003405261457,0.42452925790703194,0.35723474244214515,0.46787582844391246,0.39039520408025624,0.46009137447313025,0.32154790241241293,0.40525967343458785,0.2672299964481839,0.31661534697531035,0.3967802373102605,0.227578060047322,0.34995626672826663,0.2698331675966355,0.3917226101965341,0.3885348017095475,0.3422240835928741,0.32215191214504213,0.4391461534222576,0.4124263894709422,0.3358836400087233,0.3575260776637737,0.3640471638278909,0.2817890213265458,0.32160158668713784,0.392182414711232,0.4206491156038206,0.3392433307712666,0.3358981169615115,0.4516900746074239,0.28071955879012667,0.3660758323919867,0.4091372941461838,0.2647577166387345,0.3330371480812664,0.30642560469143937,0.3947583496148394,0.34408644114007747,0.3974230402638883,0.29341994451335673,0.366470037458311,0.3792223678272418,0.31794109568360324,0.4070919514761004,0.399058696834924,0.43310460080806557,0.3065391857511232,0.445204037471535,0.2802470798919323,0.43199664263198195,0.29873440658647715,0.3961932327239353,0.3645513096915303,0.3990583263112636,0.43656850357671134,0.3841823214743837,0.46408192050377484,0.4320476771599861,0.4135489048026544,0.3988271691735297,0.34839836899017224,0.4921869892468253,0.42643512059143285,0.27585783964564675,0.2596724425741468,0.3432724594302195,0.34692028671531766,0.2960249882521075,0.34078281748091516,0.4103946327700542,0.39817008094933587,0.4025209768229892,0.37235612637179055,0.40067911025060926,0.31178615414945016,0.3422489989435351,0.42484412320698167,0.3385705854816085,0.42602204634976715,0.38535631507247087,0.4356368629858848,0.3278363379516361,0.3167213420370831,0.3709959332969185,0.4189651355005776,0.3298319809993294,0.3265878075770973,0.3059888989775768,0.4114734438683524,0.40877266545594465,0.32124086554798137,2,DET vs FullGradCam
7,model_4_cv1_act,0.38881678498183764,0.38640102623187284,0.34477637301481007,0.38527488558922995,0.3884106114723269,0.3368846686657243,0.46238161051034143,0.4147887761410611,0.32797471837103465,0.4016582987177233,0.3208882748320853,0.37615818110117744,0.3498655109598485,0.3438068899666549,0.274059024960476,0.5271035745199042,0.3372976029517181,0.42278957384567334,0.3045684398666394,0.34908199994625105,0.31990187447296187,0.38205854524918853,0.3782643282880498,0.27326440294443005,0.4047646037008618,0.40252116192228604,0.4185735838775033,0.30780240505066714,0.4389100483505332,0.30948640549164325,0.3730777392414627,0.38154155252590827,0.42655282975169145,0.4238138647340407,0.371442473305535,0.41363955058270013,0.40813156872819556,0.29671494206395543,0.2446291701033001,0.3038696747456986,0.36269185180246255,0.46334119696106546,0.33948775265190173,0.456438615361165,0.31628039034527466,0.5041705317213506,0.4022741731056298,0.19977998904206082,0.4167660390077348,0.39713782384559443,0.38864173932894897,0.3854889615311889,0.37668159494102155,0.4549613843660461,0.3726390349150267,0.4686325300181861,0.3544178988581983,0.4188498255974229,0.29698497382544115,0.2873505294090406,0.41451826876090064,0.19312643124290163,0.3434699220697488,0.3131192465389642,0.37423455653638504,0.4366934130141072,0.3651583846020164,0.3118300550668906,0.473705082087207,0.43660225015979864,0.3926296326069151,0.36499363358807885,0.38354129844129864,0.284504245360193,0.30223878775236696,0.3430017917860315,0.3856217556320372,0.30341851496148964,0.364009586075106,0.43992872401931077,0.2882960572724866,0.379351280440008,0.39922576945703,0.28060310076394557,0.3298528510101798,0.34012794103765653,0.33731339387824494,0.45021130860183234,0.3836654334138104,0.2422448956431351,0.3628635874082749,0.3979326519523837,0.3686960049439986,0.33666071397791814,0.38806540022142555,0.38268977905960494,0.2791314429269781,0.4545549534760113,0.3135835472261966,0.4180919091954333,0.2858994411420005,0.39453912431311833,0.36393384385070343,0.37313536915227424,0.3471612826682692,0.38561044909189024,0.432318352073639,0.3940157016306467,0.3940084403812279,0.35236412989830396,0.34158179139976197,0.47290285827640316,0.36218032068932104,0.29018127909299346,0.2733437812492692,0.3542193748567823,0.325818347785733,0.3168720534561627,0.3884258178980436,0.4372218374506703,0.44834532887130646,0.38245091420835814,0.45626460864306995,0.4201939824263272,0.32910666372841874,0.37071766064535205,0.40730968685779195,0.37757042233762855,0.4240746367076969,0.38778022994180034,0.4634228078419643,0.3575249999592194,0.36915176067606026,0.33306711400001426,0.34434742233592697,0.3216916687482919,0.3362338854003601,0.24915604797565524,0.3540455691146308,0.36085883508844535,0.3694005912303227,2,DET vs FullGradCam
8,model_4_cv2_act,0.4117251965701567,0.34897520930625475,0.3821044324524913,0.38308765084415036,0.3507805211610355,0.34662618202399587,0.44060778223818364,0.43521364953350905,0.3271133821121395,0.36079840703596483,0.38513289886083185,0.3871661965629716,0.3657095778770608,0.43199566446940074,0.31230071091125655,0.4652450391924498,0.4028519595034211,0.4364631948693954,0.3325236984211261,0.3996677804245395,0.3794261746742747,0.36880678337314987,0.35355017647709275,0.2582619696875487,0.3581251076370932,0.38155676050541293,0.35041702386480744,0.3199448756391269,0.4104144219692994,0.32552685478881815,0.38314720533208335,0.3936420800808955,0.40103249395673096,0.4074612538308214,0.36743485644883256,0.3305401113747663,0.3858130897775518,0.2817972365242465,0.20912294670727719,0.30848911694095477,0.3915025461238958,0.40745151992052175,0.3358406070540873,0.45177541586509745,0.41393105743725783,0.4911462635494076,0.40573170044731083,0.18763886018167028,0.41717367553894796,0.38735864087659716,0.3905193214750976,0.4308751884030734,0.3319206943198006,0.5194437379716103,0.3962354489099634,0.4334338763804369,0.35802633319527827,0.40918949367744634,0.29726915777831536,0.2715554554108542,0.3951952770453081,0.19771936064801854,0.3743818071233818,0.2700971824336267,0.36857395655893604,0.4077377646939229,0.3287764580284243,0.36694338345242905,0.4522689662260828,0.38821123302059124,0.3506407285842993,0.36007245738485516,0.37493797594825856,0.3020419959322848,0.33396592864463587,0.39554086316760456,0.4445881592151793,0.35372865883822935,0.34911330578915145,0.41099030163051176,0.33818411343545707,0.39222357614196557,0.384009711066171,0.27505959868078284,0.32090808944963206,0.3087739565570614,0.35702334766423666,0.3532542391475834,0.3890236148239213,0.35485950014183676,0.4003100187123895,0.4338668538381113,0.3492848326165534,0.3389983978088484,0.38661646649789716,0.41809946064456577,0.32963282952990197,0.3744212729510886,0.29014973023619633,0.45845365716094977,0.27686233292813217,0.34874815621352845,0.35030547503137144,0.4122330200591924,0.38368122771615615,0.442695866210839,0.45615627043773205,0.44765698344535587,0.4002637235288568,0.4003252720426884,0.38696678015004327,0.46696842133027583,0.44818748504655376,0.2891539044388124,0.2788299871127056,0.3224818300432209,0.34736726703111226,0.33119303892461427,0.3413045175226994,0.3894824359330628,0.3959868999030971,0.3951694017929632,0.3500669650393805,0.39097496118847597,0.32063518142759906,0.3369017155425588,0.3032645903480176,0.3160887143863782,0.41729800175555726,0.41037539413363816,0.40785268479242437,0.3193385936693697,0.3328174112643907,0.39347323138434553,0.44983583815169376,0.3259309629849074,0.30577772686367277,0.28273212708991596,0.4586704746114252,0.4397382601540267,0.3377266992375683,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.3877764424067644,0.3755891099316951,0.3291281685012897,0.36060998995848464,0.360943299327067,0.3495977338331293,0.4657186606874212,0.32049145103644383,0.3581968893930416,0.37903005572392284,0.33410308406776396,0.3498852096339246,0.3354701203194147,0.36613950841358023,0.3071097396688388,0.490701441463783,0.36970704939417615,0.43673888168346,0.31270290926361166,0.39715293983371336,0.32704326028517766,0.43159148215612175,0.39044545965958244,0.2378853163220677,0.41231364476875015,0.41051763949445447,0.426772631216966,0.3692029570515805,0.4139650556846197,0.3158458550901563,0.3823422073188575,0.38096543658150156,0.4599059865870775,0.4522215556796632,0.3664943798845112,0.39070860846201244,0.3779857039311481,0.28233945591409493,0.2129868822164224,0.29846815468489296,0.41856117107619534,0.4295708248270666,0.3683221538237618,0.4729841557290446,0.3364132324150525,0.4647060399777718,0.39043002611160665,0.18590836334536182,0.376641967895513,0.3982386883212668,0.39262127231682176,0.3858503446357644,0.35126954318393566,0.4252251989739029,0.3855742402755186,0.468419383290038,0.33304168020304725,0.3676917656055502,0.2651073435001779,0.30911535898265446,0.3985141917063875,0.19751339859460448,0.3463699515895317,0.33491274364823537,0.4084213190280104,0.3534401463438352,0.34625226896441386,0.31477008378219545,0.46641183943109976,0.39775474283987045,0.3373177919805683,0.4065195380191573,0.3893390648862774,0.2907743030559879,0.31413061782215707,0.33815654857008326,0.3767049918111104,0.30128237158464194,0.38726063782295067,0.43393983792215013,0.28126608504485623,0.3343521244011249,0.39037651786358274,0.252218805371734,0.3187432860408433,0.3150274406541038,0.3347941080880799,0.4202659041295367,0.37460954095103827,0.2680568256445922,0.325770936754683,0.3917749411550205,0.3081203009172783,0.38211329674260675,0.3743100016643714,0.39550441712093365,0.27249807573714324,0.4419669026479414,0.31594604187606723,0.38047857226699533,0.2746446870636078,0.3904369976133158,0.37901956023808325,0.4111144436254041,0.3696709785563003,0.34591477996497283,0.4410268885994428,0.4230389881161635,0.3826672070541071,0.3552789706468465,0.3524494229538076,0.48562094084066465,0.3948058334350108,0.27107941289384585,0.26615766611165387,0.32991348290952643,0.34549033683791747,0.2852111654239075,0.364225414155121,0.40186539933544074,0.4197069410497558,0.4087037578575536,0.41661490990772343,0.4075370673597315,0.36301824903261576,0.3433792138887643,0.41429193439864126,0.34565121227675205,0.40279981981007645,0.40536915257267386,0.4203941577999786,0.31852463180015467,0.34315269527785663,0.33187936021233727,0.384291505282587,0.3171442262356261,0.35291467663217685,0.2749569549900099,0.37824503489712397,0.36330317764660713,0.3439542155685399,2,DET vs FullGradCam
