,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,0.4231435536123712,0.26660898365708785,0.5179299210316651,0.4221327274992166,0.4400674596781203,0.6591617010756646,0.503783217769806,0.2893288409771464,0.4243530303657813,0.4281626002058286,0.5265851593481701,0.3160829604565109,0.44545349916622956,0.5955809972066544,0.562746131652714,0.198621283490902,0.5247670358255496,0.33297826720379825,0.6042292944066833,0.5070540412099755,0.3223643610589505,0.3617578937880089,0.4991898329599364,0.6166052373734774,0.39093846051068365,0.3676377404721224,0.3398355874257902,0.5411117804574506,0.40464736325562006,0.4130174617406285,0.4337887354047255,0.4969791013369947,0.20724322179939858,0.5444250134921625,0.4024944273410669,0.3719725802147684,0.3189144017339605,0.5527750028882079,0.4182612002329928,0.37469929692000015,0.35525202582986565,0.4457807533491287,0.45615066861588327,0.34420262686261854,0.5294547423469359,0.3148452968327075,0.37249644531459114,0.7284055802153153,0.36788860441090915,0.49248455609997405,0.44647587506554814,0.47558915464139784,0.4800528630609682,0.49405634302995094,0.3716091101290406,0.26452740538785885,0.5909722196403918,0.4554011923824702,0.5752026266653707,0.5741120582268644,0.26638968418201614,0.6407176565999573,0.48884067714466856,0.550141299743916,0.34733020430112893,0.4786997848916729,0.4277579965114008,0.5077732270972373,0.4104836203454787,0.38360897366993757,0.3829941984718453,0.3897557095469439,0.5422651185680223,0.5187837123791902,0.38805669231123613,0.41162169957926337,0.2545824944678711,0.5580497765014881,0.3617268705986503,0.20177533616798002,0.7292733078905078,0.40826140308833914,0.37601351569198765,0.5611857913438778,0.5153913207189083,0.5729288429568099,0.4203247172412387,0.4505627676787356,0.3733721350040486,0.7771344557681463,0.374951600983289,0.3834256056384076,0.20551244836555532,0.6058007690229783,0.4245657022222861,0.2514894365129504,0.4544975607262539,0.39561586270069216,0.556908091302042,0.44086401292128996,0.6027488734161933,0.4342311632931342,0.40909808953356974,0.2139612205576875,0.37377524676382035,0.4858069699133693,0.27529154820964485,0.29891843376386923,0.3511903594375688,0.416711628064921,0.471059822122169,0.43263835194162753,0.41516986022935903,0.6618836275275375,0.7378818100270615,0.5851161617619108,0.5850298898653129,0.44664998393927924,0.3480572877041319,0.5727990019116835,0.3865743135558797,0.46785838234950267,0.47317547974689156,0.5133950557849883,0.627706331614934,0.30246199242337973,0.4527462637773179,0.6008935165280499,0.2695622153113388,0.5817720995834215,0.38926610511620147,0.4851289653900809,0.46146190753588995,0.4796480780420241,0.39593574597767656,0.6732866469035617,0.5528230757013333,0.6711862174046626,0.5383151935351158,0.5731765928205377,0.6019841441412891,2,DET vs FullGradCam
1,model_2_cv1_act,0.48721948529654463,0.26633259106643525,0.5009604280426483,0.44293543216162085,0.4668066181099593,0.6580279436401062,0.48941674716531164,0.3511348308847191,0.40988006229005175,0.42992089522955323,0.611292340551073,0.31846419251305214,0.5869649008255139,0.6228635347141527,0.5787748395003072,0.22908179829848888,0.5196762929257428,0.3781448416910601,0.5460007069783271,0.46067257321540744,0.32168894613448595,0.391689571572421,0.5040896405179017,0.6490240281363368,0.3985226295043094,0.31053839468604005,0.34028156507711566,0.6074546822773776,0.24912757494725998,0.37389940599249605,0.33844511575507225,0.47962952924221397,0.1732500491919439,0.48335001286474066,0.43000438791348705,0.3874827469168101,0.3128773775172174,0.6008227186333165,0.4081340754610024,0.5244614341810357,0.39375930064942,0.3298940720835587,0.46385577623593677,0.3322133860899819,0.6123096747486971,0.3148335433872522,0.3196449883129951,0.7125989250860636,0.3547706374318383,0.3955051847806691,0.46527074546870106,0.43690246403149463,0.4813616597074307,0.48003582175464377,0.3523791341417145,0.26872368615636755,0.5711183898972162,0.4298736940547624,0.5755531508160424,0.5713045752864507,0.2615248741402787,0.5957111099248732,0.546281893732468,0.507379498978592,0.39642926049173544,0.40103370530876886,0.43214488428982223,0.4966329432782397,0.3351538639046664,0.5112740156980075,0.3733375797283019,0.4115005368647982,0.5085391077883624,0.4847392371446413,0.3811031170032319,0.4402828447072859,0.2490873633974664,0.5492964296640923,0.5168617530855841,0.24789781447480427,0.6625554981124132,0.4732402805934253,0.44872994529733107,0.5746899835123861,0.4324568025278467,0.5315301744374116,0.5197788569581383,0.42295757563688363,0.41801165414590025,0.7259562119638013,0.4277746810371873,0.3863304622441793,0.2690052500782021,0.6221147900472996,0.4568945635197885,0.3242572508535402,0.28461616862975425,0.37816869376058704,0.5630473655223783,0.39208533931035905,0.604363751854157,0.3706672950319059,0.3600037796299553,0.10703791295527153,0.37703632316865227,0.44861129346756407,0.2705442615408481,0.26299660150633236,0.32701494808030457,0.46935101603009505,0.3963128873994158,0.4556532480293653,0.3934553886546417,0.6589578401451304,0.718957264213049,0.591116353038005,0.6359723273616065,0.4544823544278613,0.3555968125172064,0.5786227598991365,0.3751536756711068,0.43412271721370116,0.4211318694206314,0.5117683355826987,0.6646346604486708,0.34940358122865944,0.4892765165839208,0.626617691502396,0.24974391173558042,0.5270284396516958,0.34935877737377097,0.4659369359844833,0.5201115752374148,0.5027254875157282,0.42605210145506295,0.6350773033914408,0.5723211520685884,0.6507642741229196,0.5375024426794628,0.46731507270106293,0.5865209026124967,2,DET vs FullGradCam
2,model_2_cv2_act,0.4811261656027596,0.40232853897063514,0.4074017006950657,0.4388560568939342,0.6120071379042115,0.6473621590292796,0.492412381784071,0.407725587169567,0.40498365310678436,0.40613575807295993,0.4546364898251802,0.3183775770038796,0.3691808772003367,0.5316820089370454,0.613177204857275,0.15556263499407505,0.3162265079248427,0.2522705038410042,0.6180343019705259,0.4047494124078845,0.4038667725194423,0.40200070115249487,0.48799981683321125,0.6171759968044952,0.42085910002414706,0.36402785649875946,0.41614691605761556,0.538234220972446,0.23204791672761754,0.4103163570609283,0.38617819785773744,0.542894029604015,0.20573392273107982,0.31347982310408856,0.4016817196488391,0.36012207918207534,0.28213609029907577,0.6149977542866422,0.3253526861852059,0.5193133787159864,0.3854035451286995,0.36728785194125585,0.3778310089917,0.3539970467401865,0.5270240248689108,0.2461897598449319,0.4027217479066353,0.6605872014044982,0.5092074019143779,0.5530755128920588,0.30366839943766927,0.4379408159061119,0.5159167022974821,0.4151964730142762,0.3411287571976076,0.3061872162189617,0.5352174264253782,0.5017759075468595,0.6008071584332314,0.6242280713225491,0.2836023879378364,0.5940782007645381,0.5179450329996272,0.563908740588284,0.3770695788246137,0.5040743402261131,0.4817771384382455,0.5419093581418473,0.4098160330839146,0.44697780873110676,0.3688166182452756,0.43443530161887994,0.5266668588710393,0.5176102812828157,0.7007412871547095,0.39415412839468045,0.25316510801981534,0.658023201535473,0.3020859051806916,0.2076628134545364,0.6630631561189753,0.5261580932893147,0.4122404109774617,0.5372869242870726,0.49429309112200787,0.5845856185181816,0.3026130181689704,0.5415123806200332,0.36222658774411237,0.693135334473279,0.41084339547898513,0.3737898893551878,0.26184907727722784,0.5488599806398118,0.4514176242850466,0.19377196272036581,0.4402270512281103,0.4551541275276344,0.48941539124139183,0.4108588896063861,0.6125351436986873,0.40288399926569585,0.3719448805220448,0.19694904435862115,0.4216996501545315,0.4682397634437987,0.2670346571855818,0.23570928149166476,0.32951673841377527,0.3891512496065936,0.49910119437483885,0.4790013688847274,0.3632975209524196,0.49741387742813686,0.7509638360766905,0.3817227146512565,0.6016373478439563,0.4605753977024491,0.3542415860530882,0.6097278101655992,0.34486831451494565,0.29236855648524773,0.4944275404173405,0.6523230311130762,0.5580421741254478,0.30822368900375086,0.3980456051674325,0.5666878033784203,0.3397784351170091,0.5328498520396697,0.36099772566787713,0.3093783011551859,0.5156690000580939,0.3604082318912844,0.40416417817513883,0.6620151186972736,0.4755556631934391,0.6258203214798637,0.47071720463205347,0.43428115312368554,0.6409683878162266,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.4105538315760647,0.22427946703052576,0.5817829679633911,0.5157595893147989,0.4321468402419724,0.6282412004587739,0.40161742191912864,0.2981538774632583,0.4514339533638874,0.447323764457606,0.5591498307509962,0.36461185080066466,0.46114429855122113,0.5987166568583084,0.5728194077727369,0.2312710021968615,0.4747273631015337,0.2874543829155454,0.5009254631304108,0.5343974877773008,0.32632414816533367,0.4264765619216698,0.39542889236009954,0.5770734374563367,0.37988150822271827,0.35911529886750504,0.31499705632531005,0.45730279155935377,0.372745889346648,0.4078211097310564,0.47861761511385387,0.4994792316794638,0.2348011956997923,0.3193937384027061,0.4012539309000368,0.3833346888885007,0.37475421500730177,0.5592727857732851,0.4647098619997862,0.37096344160463085,0.4258834621312605,0.33586717556493945,0.4577253049865515,0.3782434638475574,0.6593376337744734,0.4276661475514405,0.2785651888965126,0.7612431506417977,0.372760385163604,0.4313149945563126,0.48379113154338466,0.46964580662925914,0.4603105279652855,0.45178405694799256,0.3550222548340107,0.26427841336815544,0.5744345097506731,0.4694219698778851,0.5547624498379844,0.5966664835790825,0.20529470617912013,0.6031676014186521,0.5134572009731829,0.4840904521768645,0.38419514269465344,0.4034372735217735,0.3783080352121833,0.4747788417236117,0.3155081280220922,0.4676228305045994,0.3609813178023418,0.3623045619179704,0.5232386867825541,0.5062613339541079,0.3643084159759915,0.47791074386386645,0.2542919447003299,0.6957425961426563,0.44503806616241287,0.2359246735743188,0.6502454950892478,0.35281219691797977,0.4018308745833761,0.5169778791674312,0.535755840066267,0.5701205722773672,0.45805625496903474,0.4572120998203724,0.3982667620453843,0.7491505071652201,0.4004828850440658,0.4019595939695632,0.26191839727323135,0.6289847489957016,0.3544324143422149,0.2702668450026576,0.2992483759082106,0.39444327370982024,0.5277527110985181,0.4571551999809621,0.6084345932080255,0.37437846905850797,0.42013012830993174,0.22305523191348858,0.47992873910585154,0.47496233387808323,0.28615753731691396,0.32843213111570285,0.36242516864070873,0.4610508524602849,0.37655598425424575,0.5279141995803255,0.48590944233151956,0.42886804719657384,0.7622146760165881,0.39987956669039343,0.6295541393257194,0.453344611681143,0.337515162796793,0.4385315130339922,0.4055896122227527,0.5472226196242757,0.4489471385901805,0.3149030058681988,0.5900676221995955,0.3569639124588058,0.4588950843173158,0.6173614487546479,0.291361385052249,0.5747594425505518,0.1844775561721138,0.44577502332400504,0.41448300696090995,0.5517034150719915,0.41691828135075704,0.5918135991688127,0.5754720824970542,0.6706117836315704,0.5187958551720325,0.6046265653220629,0.5723771378472033,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.4457399083357234,0.3457268480718852,0.5400624896034757,0.5003585781755835,0.5151301358953987,0.7011415127644943,0.48070817128830107,0.30917401840437564,0.4557586061241833,0.37988637681105397,0.6118114116860288,0.33235500338432106,0.43848028034601316,0.46484931092371906,0.603293473273691,0.2522654450659878,0.5449748457939342,0.30925518000462976,0.5565766075821191,0.4736512331172273,0.32110172127553555,0.41408038604906094,0.4899716944476095,0.663976013847869,0.3958807587531864,0.33975315914662546,0.34418474582439673,0.6297529632986206,0.29171960095865357,0.5548677452717978,0.41173893340794715,0.41526519763450215,0.206181209187988,0.5389825429863973,0.40422237014974166,0.4435750551917509,0.4136088671479275,0.48526635392051226,0.32284971129072393,0.5774992541334302,0.3361602756907924,0.35376099209814404,0.4130632112823304,0.28436596016992377,0.580443212550133,0.3375474457395153,0.37228837146685534,0.5849177083435827,0.36886665327555945,0.3406157330125337,0.4355829099898321,0.4712383324133538,0.4700790943014691,0.5904857857251931,0.3928189270207432,0.26616865555338215,0.5849361575414215,0.3155101902237458,0.5933262558966107,0.6252480232335248,0.2640467566975617,0.6638044205699762,0.5658838149873598,0.5019096314858817,0.43264020331968134,0.461801641677211,0.408554423484382,0.5589197727552716,0.4118227654032289,0.4192791045389659,0.364237291744396,0.4122666863866166,0.472628116084922,0.5199184056435207,0.39887039517868333,0.5784129669922421,0.28200360974755284,0.730784102145518,0.40322357729009184,0.23503123003208912,0.7408589659514416,0.49894732817884646,0.46317938818166426,0.5370589680807213,0.46709207595728963,0.5134295463212266,0.5082386695082706,0.5010537295529484,0.3626322813899078,0.6659416128080587,0.47447365616304565,0.3642991053726619,0.2162423403854579,0.6053716880263641,0.39204344076506803,0.3016941664104809,0.2715986028389487,0.41058888624446843,0.5697867111293,0.4088554224452118,0.6088466409287284,0.4633776418553619,0.5284280337305072,0.2003193135834614,0.39164743467330976,0.4563620463027619,0.25801311187068693,0.2700440773980292,0.3111457243756622,0.4801403850084663,0.3994455336370184,0.4543301045496459,0.4297424977134528,0.6535934619974548,0.7992609336060268,0.5501747388784477,0.5654363054950764,0.45815893211743774,0.33492847810042553,0.49110542095293497,0.3192013340046688,0.3770598988969835,0.3870694915325242,0.5854965823090716,0.5807519016525662,0.3709012284673804,0.516868393200234,0.5673123404172496,0.2639151172932608,0.6243964324639031,0.3951035553571671,0.314259178958307,0.2882890334155626,0.41080629641194577,0.4324259474549413,0.576805326331868,0.49760169057451226,0.6333395189340588,0.5752389033765954,0.4091695098759486,0.5995755874710562,2,DET vs FullGradCam
5,model_2_cv3_act,0.4921377429838128,0.4270981012747854,0.5274331102233991,0.45797642855067067,0.6141407480347082,0.6463734347710378,0.4296611855967892,0.37567388432077486,0.4740812183869112,0.4233523398870087,0.5325555430253278,0.3480813766317933,0.5074147343884411,0.42975018425192296,0.537671906342631,0.08559405874232016,0.30649171698850336,0.2383392796353171,0.5608280598443106,0.440936311999439,0.34890954645797967,0.4067442214894029,0.5540520335374245,0.6809324838985565,0.4401760964735784,0.33429325043164315,0.44126749564245077,0.6316624496065866,0.11465849040465427,0.5339318678309622,0.3599889427006112,0.5256602163548728,0.1894941664049737,0.3062187613051162,0.4222434282319145,0.45912270223260215,0.3219078126390111,0.6357091247202638,0.28880944152103477,0.5818691111167814,0.28345602927173236,0.3913047189817549,0.4834566490480525,0.2849136021565941,0.5452151820104647,0.17414410666392513,0.3657896797570516,0.7602774886944154,0.37230985567558644,0.44761520442029046,0.3663833897144249,0.45088372090732914,0.45950263262533375,0.3128091523729126,0.3578892949388086,0.26869017005698376,0.4015509190783719,0.5653423586775815,0.6569447765501152,0.7354168772403462,0.2605971665718174,0.6233529434634056,0.573113831025538,0.5236573507656441,0.41969720281996065,0.4234727726274536,0.5788999280114507,0.5799350281107275,0.3261339520455771,0.4052841970843885,0.3676644458619332,0.3722946427057271,0.4580244339144627,0.47148508923676735,0.37738429829099585,0.43944635417169825,0.2543742292757356,0.5119912239408843,0.3703053059069361,0.23528842908007896,0.7550437496783974,0.4956251919888226,0.4002972513056447,0.5610266851737554,0.4925156162423073,0.5519639602452013,0.4337019801822595,0.3866209493025436,0.45410240432507865,0.7706605090628812,0.4762970733357043,0.2685892603705827,0.30036717994404755,0.5203095593217257,0.4518845862812051,0.2038138097192617,0.49621084210392613,0.3889878841134715,0.553752564261576,0.4841918744892802,0.6484637086393078,0.41053672382874346,0.48395311492241405,0.33732243479042956,0.4369697288570229,0.48116864214460575,0.2648486383238136,0.27833096741120983,0.30800187534042445,0.47418521798552576,0.4480072256692189,0.41883008707734437,0.4562242683761376,0.6170416753776081,0.7450563444962344,0.3801970257091026,0.5717294509818658,0.47647620489895964,0.3530806068101387,0.5810690582660533,0.40415089343222727,0.2735130711151049,0.5355172897612351,0.605656755293949,0.6365550176298492,0.47281041432931,0.43568150328897665,0.45479607821982665,0.2774803207749425,0.5743075855618979,0.23927007933933492,0.3125621797660182,0.3630915734501602,0.5227058505441744,0.5073398882885184,0.6113359686517258,0.6213129547108693,0.6510683589515114,0.6157155774837565,0.4283041980895608,0.6313905447345179,2,DET vs FullGradCam
6,model_3_act,0.481192001368994,0.3262555897639397,0.5703424583959712,0.40796802449207986,0.5448765579973573,0.5992300269529534,0.39315695558107977,0.21235005738988388,0.4462201621820487,0.4366204891795483,0.5009089148363406,0.32355155072605035,0.4123188327453039,0.4054006098474399,0.5791626953523327,0.14135228526333546,0.5420490463550965,0.30767236696683053,0.5350269165096818,0.3431613249728009,0.3424940693065128,0.3685979672755917,0.5078809570731697,0.5030938652571654,0.4065958256749269,0.35220575179308544,0.4006751322321297,0.5589413187251087,0.1766671786435251,0.357391884506801,0.45800985491955354,0.4614567608036422,0.09791958083862767,0.3484867085540208,0.44371434648905544,0.5563344886765123,0.23570182692039304,0.6106387172472992,0.35590063376670267,0.3866968482275019,0.2752831559392287,0.3347984048422197,0.41617794452787676,0.2814255405259991,0.4856057980724032,0.15115634393072452,0.4974947942466765,0.7710723801633906,0.3789322263311924,0.41518513841149113,0.31198664400028964,0.39982538311655524,0.468925613034217,0.5039020840683605,0.3753416340744625,0.26473640169198565,0.5470996690676618,0.4189502869533117,0.5939707486324681,0.5789902585775673,0.2631713609106741,0.4624698068456089,0.5321009587588869,0.5298359926318945,0.42790897384157833,0.3869441759390586,0.5039531356555075,0.5584637015225595,0.4360700268402587,0.4852434140456179,0.40102488164968003,0.48602385384725433,0.4251448170180695,0.5508225757712498,0.6072629742278465,0.40604897506924525,0.26212574259833343,0.5404713061783739,0.43585105013603104,0.25850974457667536,0.7515008323848192,0.4409538121976186,0.4168597329428376,0.42827882955907337,0.4543038929229224,0.6300134781735112,0.33985977523635946,0.5394518598744532,0.38762602541066027,0.4455384769155209,0.5100243771081222,0.38456285075068064,0.35719956741470343,0.34555394802050393,0.33616593493073305,0.18258799782462806,0.32040559667282076,0.2945708216670081,0.5394105423424861,0.37833383126501574,0.5309149365187997,0.5374553771416374,0.5754655837857602,0.15478062940273868,0.3761666360735823,0.513576191693845,0.28989623359097233,0.22085644927771558,0.31170087306989436,0.3825996164712921,0.47686890845189805,0.3420524716408652,0.4251641047917756,0.6720338458262233,0.5873287868109647,0.4935740522019086,0.5728548276034265,0.3130920581377979,0.3898537937090005,0.5470388061724106,0.3739525074681107,0.23479046134191345,0.5622004114565465,0.5766877977902368,0.6302767472182409,0.29436131019975376,0.2366847445914088,0.5470495858778656,0.2782214955672949,0.4025986450175173,0.18299678161927818,0.3242840606440085,0.40302198945365203,0.5543487108255937,0.41080151786430724,0.6498335284865581,0.5312293605082847,0.4474590533084799,0.429029907174059,0.48212063385985876,0.6255665831853224,2,DET vs FullGradCam
7,model_4_cv1_act,0.5134311406854045,0.26364225966944566,0.5275756596206307,0.44779284746233794,0.5086207951084115,0.7240477679088548,0.3990287239802278,0.26001560820048963,0.5088015991919217,0.43787082770576274,0.6895567400004163,0.34167346447413977,0.5481776913450117,0.47280889259840725,0.5700242107123311,0.06880607930800227,0.6473302653053126,0.3106835782174705,0.566772101913067,0.5167325355297032,0.34090648382159,0.49533337157433865,0.5220139819415882,0.6272244338835177,0.384563298150508,0.3376265901434146,0.33676485729614725,0.5782855479009794,0.0885584610198397,0.3975210872204237,0.45876370417067674,0.4623043586495625,0.16204373705463676,0.4829442814504686,0.4105266857454084,0.37544854383643894,0.26550256628058333,0.5853206733692037,0.31106656481061407,0.441639533621426,0.5550915594961764,0.12949135688177796,0.4603506249943548,0.15611509557392503,0.6014667121403161,0.0912090083617924,0.3415358359248048,0.7214631972759367,0.3948271597345295,0.4181280431333151,0.42800152567973004,0.4439990239774135,0.48577887707768824,0.446555040359646,0.3447049494584701,0.2693013352425048,0.5734100791295587,0.30368759065083695,0.5224980695157047,0.49656883996860685,0.2604647145984761,0.622994839771114,0.49561807722635176,0.5132809030941543,0.4720877905622396,0.4082902227297412,0.3979769995042356,0.5734141175942447,0.31483631924445604,0.44857634128192386,0.31841279516542353,0.4216529628949998,0.4133818663070806,0.5763351671114039,0.7312056034773189,0.6536957544387287,0.2652159306266181,0.5865900815609381,0.43060432484269157,0.2203136533373046,0.6940667900393116,0.48119797232346917,0.4209626881475752,0.547592529706385,0.5078833109611788,0.5233883271316303,0.46688551382991006,0.31118111743155624,0.43825764900263947,0.5278231219140285,0.4940303632641332,0.3852904481682996,0.25766581857538307,0.5717921367657245,0.4613226984117233,0.3533068612518725,0.6640493071186011,0.3007561232052667,0.5171549869323216,0.4169771732103519,0.6443313240415673,0.3984317438805861,0.5348064649059956,0.18220261686039171,0.5634371948615678,0.3932279894420787,0.255594400235263,0.3681973947341191,0.3571131447350026,0.43320851022090107,0.4310134073372411,0.3245077849027453,0.5200620541131701,0.6706642938720268,0.7359533585620153,0.4076857713717662,0.6307669651621852,0.29547954547486227,0.30668884122381523,0.4152719982138617,0.2928088475657771,0.2666786027748857,0.37271431803818617,0.31120856138671393,0.6251305685404799,0.28424956618882385,0.2781962493366028,0.5272115035469777,0.26088487769952684,0.5997509564196528,0.1919949421225914,0.305313639938834,0.4665907690561518,0.5688375366681272,0.58875522675291,0.5906084005766105,0.4940269795627507,0.669051195056436,0.5721619058544115,0.4906093790929,0.613950964101146,2,DET vs FullGradCam
8,model_4_cv2_act,0.43241161708119163,0.32615235588655156,0.43678902452485996,0.40208731294994066,0.6105754598936763,0.6115930557096395,0.456502403514195,0.2513695354149117,0.5355858486240289,0.4260803143835968,0.4915746380974618,0.33030146930733234,0.5784150176074803,0.4078087958193513,0.633389858205558,0.315500492164198,0.34124661494820413,0.30522472806081447,0.5444970119291527,0.38012378578722217,0.3445861773670989,0.40054750957138546,0.4295022957096,0.5806721817704851,0.4265553182694405,0.3440214254881991,0.46103044509599334,0.5516684925697892,0.1677809655328969,0.5776752472325754,0.40922467409463326,0.3362413215842428,0.17675287015840763,0.4355727827231893,0.4261128730919587,0.46107408448378046,0.2520104610123351,0.7186204491972185,0.396331050942187,0.5244803952180337,0.3799095325918149,0.3138336777206987,0.49842820421210376,0.35500530834599137,0.46758213946229676,0.0908088606315773,0.41108727643414855,0.5853242440129712,0.3782567467934328,0.40684059673693357,0.4516556224740017,0.3220487516298736,0.5370922921456524,0.31670044579527895,0.3521203280707262,0.28625488350199074,0.5665361722972598,0.45588000037542437,0.6055074505268823,0.6681779935453706,0.29038029050781716,0.6069851317890932,0.4579122008886685,0.5374300370878566,0.4084099232265735,0.42610879126089435,0.6063494559791828,0.5208524253950276,0.38823060640255347,0.4858557632250688,0.37120352224361525,0.4325818414776485,0.43279167618906217,0.5749127999237279,0.36772973422566113,0.5515060868304938,0.24849171636922554,0.6447020906213841,0.37419069085883816,0.23205888576262837,0.7189664033431779,0.42035687937008587,0.40740275903845374,0.47236173249448227,0.5577700296580111,0.6360234332122895,0.3974633100922427,0.4687806156584482,0.38004008863801786,0.481707396560819,0.4624153392294139,0.3059611104797678,0.29846225532218484,0.4890068893855129,0.42472593025907635,0.23129260254754178,0.28473683471207023,0.4850635244019392,0.511099405064895,0.38043786840736227,0.6100783984811767,0.6545199177259368,0.5443257675326829,0.3044877604436127,0.43846498516383486,0.4333141626361598,0.2860241214467118,0.2629815226152498,0.34266653202310376,0.39596209300064716,0.46371337723236344,0.3895888755333401,0.3829258847014098,0.6995009988485584,0.63923529061498,0.5262247401741431,0.575581794236433,0.278838646754803,0.41434460289008335,0.5950416089532856,0.4853285935967016,0.407861356468513,0.5637832601356827,0.38551115379002915,0.5370478275890959,0.4359402897940893,0.47602407093694005,0.5810813259779609,0.292674378708521,0.4393805883152918,0.17937166557720044,0.30789543665153857,0.3433440218672003,0.43063731889982915,0.41536926488084974,0.6771721997147825,0.5526389820164661,0.4879050650155449,0.2709787812736254,0.4136571256127004,0.6218187390795195,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.4762400550673049,0.42062693024236475,0.5121137797760944,0.4673688195532433,0.5008485735883154,0.6719378445041869,0.43269440825088873,0.3972943330665155,0.45442777486354685,0.3959944164408745,0.6623477330094515,0.3299550283540369,0.4177413799849592,0.5321370330283357,0.5738759917527329,0.11024306503737516,0.5601890671304206,0.30008978469323183,0.5218876282246975,0.3885570800653316,0.34253279221091476,0.3470601467065441,0.5228667744560455,0.6625439385127905,0.3578249052314482,0.3326823103000363,0.27097586773975024,0.4937383670572293,0.15254530685347095,0.4916932685360276,0.36516572777865774,0.5509918922618428,0.12634157506761087,0.43215665359215505,0.40286133348362074,0.4343492814240759,0.2850862713377808,0.6763810445889447,0.3576817819620263,0.5339184579607296,0.35333917454932107,0.21766601540623545,0.37525796848372406,0.15899754441591787,0.5423653727669082,0.16621515882100119,0.3746507675994823,0.7782172754085102,0.5156344743723871,0.4047211918968676,0.3760103186862,0.4084680393065653,0.485586807379287,0.5467216161558535,0.384636930334565,0.26336197827996555,0.4074276455038653,0.5076041291498615,0.5562477911050635,0.6119420640125817,0.4055907084261885,0.6304667200765298,0.5143102717092777,0.40176900471863336,0.376188629798057,0.5168372486126432,0.37886045675535773,0.5744125644049635,0.3319169483733642,0.48015390852394885,0.3978475714800387,0.34967157688943057,0.42971901051857586,0.53021649554707,0.41736096993441557,0.45940135431414053,0.27461511930067933,0.6620947872894194,0.4075254516412816,0.3121297455565991,0.7065393336587933,0.5527617687109512,0.43537914209235057,0.5616229043501061,0.49037110513213616,0.6189389819966731,0.5202125779918886,0.2959478586360759,0.4371181968960547,0.4580623032696815,0.5528165286712519,0.3880018446433701,0.3819865214036752,0.4991822951418347,0.35178820709724384,0.29895005653902984,0.2998006929130809,0.3283330263661735,0.5123138710327365,0.5503328204267542,0.6197923653629226,0.5105987326734096,0.5205157330986151,0.10435484080222455,0.37962084647580513,0.48705243627414996,0.25897196730197414,0.31140475652134003,0.35414683471383834,0.5013170060181183,0.42549617120039407,0.3123663814763545,0.47861737848474295,0.6935958006892827,0.7766392720332406,0.4148454571340756,0.5545000108830467,0.32640506274972114,0.3671296566510176,0.48382415654548705,0.4062861821167618,0.2151711288550676,0.4713122558213986,0.5379885024906643,0.5556575853066218,0.3992956673401342,0.3566311985823555,0.5684246495569723,0.347352485027606,0.4520681048156276,0.1879571394194908,0.3014905915972238,0.4182075342193388,0.5235865226935089,0.4258355921399233,0.6254911104462859,0.39986230750516466,0.6179655044098243,0.5139435665328108,0.5738620108922555,0.6026400378615839,2,DET vs FullGradCam
