,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,0.5152273070975516,0.363048639021824,0.567683203926793,0.47888680542985096,0.47525562639904306,0.6699354938987644,0.4843281452975005,0.3564460728834104,0.5250253127216854,0.43639510326873143,0.536815688510969,0.38759711088711335,0.4854073238973705,0.6384314345170018,0.6122318222732848,0.3018819344644093,0.5306759785662818,0.3809678702726471,0.6631734921432402,0.5657064526083917,0.45808507863436365,0.368344083864503,0.5076687771087349,0.6487309607077225,0.42866053200179083,0.46592209590500394,0.38151090627882267,0.5492402028931435,0.42853294017595284,0.4461581224640683,0.4570473822733567,0.542549125432837,0.27514152173388007,0.5451013493837672,0.3808647577224996,0.44233157325560596,0.405561756909124,0.5615919162503851,0.6576397508781601,0.4540124627465798,0.39365604161425355,0.46418109040385297,0.5077825366312112,0.41216482403788396,0.554990736355605,0.3468521753255003,0.4249491015713765,0.7744042132025336,0.3639326174374057,0.507331657075157,0.5099002766738159,0.48561144450693383,0.4494274469270722,0.46592834383145204,0.4881073881259749,0.3261009059503818,0.59299552697219,0.47313588684951363,0.6504220714788267,0.5907862773559615,0.36900331731499303,0.7681168408456739,0.5468058992220692,0.5997806674030115,0.38779046663046596,0.503646986431472,0.5161485369761404,0.5865039432660948,0.43035952885374157,0.3709088184179432,0.4674110755543887,0.4562747347606468,0.5793713465362849,0.5684302398273677,0.4655683515055456,0.41713286122050924,0.34620056397862176,0.6016763172187274,0.4128726494731017,0.27117859299988456,0.6627054496841218,0.48527824313787904,0.4337065010890152,0.621372222080713,0.5750519363147475,0.5987190500039634,0.46484076850401657,0.4667486205860012,0.41150323603387345,0.763111567913797,0.450383782693163,0.4722209991481779,0.27462621513203955,0.6458847100787883,0.5132546839593157,0.32537056416517035,0.5166735323552226,0.39380921950712766,0.6184774299596274,0.45872683637403255,0.6640671784375072,0.40882745877398646,0.42833542365764316,0.3273440559231623,0.3813899246273668,0.47303472491059245,0.3444502509427766,0.40858080079803305,0.415811775742397,0.4741809962063716,0.5309048334196222,0.433895290108427,0.45215925688719955,0.6781178852454078,0.7866899807591423,0.6490582809647591,0.6345372875440021,0.5199528549966249,0.4748024875474502,0.5865716736778744,0.4410678517248381,0.4943017410112319,0.46811003686187963,0.5156846297118132,0.6513849531594565,0.3449130172739847,0.5234960270390202,0.6376105960734736,0.3922601683254599,0.5721236761996057,0.4603808746954754,0.5380949405182494,0.5588696765201748,0.572653598774835,0.3885488658437982,0.6899017504821365,0.5724328824944869,0.7151509653983611,0.5779845872608119,0.5649132603694655,0.6059704104591724,2,DET vs FullGradCam
1,model_2_cv1_act,0.5296368473836071,0.36032256372674626,0.5508116965918658,0.5062724323148402,0.49524121198637905,0.6613580555143035,0.46830214846882967,0.4133686263836049,0.5107675981204418,0.4513840548561505,0.6030802827199733,0.3920634468814825,0.609237325106924,0.6616749456286315,0.628752487676549,0.32279934930546506,0.5064218056972289,0.4187600689247771,0.6194689065145657,0.5289887656987391,0.4569038922861156,0.39677091812089293,0.5033477257737848,0.6481766192755023,0.42368475977609843,0.41883374417184405,0.3814595142003803,0.6148765690740295,0.2924831095091459,0.41825923819616584,0.3927337346891114,0.5273256689372795,0.2484517758155887,0.47492155931360636,0.41325001624151264,0.45525304863463,0.3980263514825666,0.61376003924444,0.6531250341053083,0.5863454885690035,0.4297869390115974,0.35876667855567523,0.5156720281203289,0.40298091213186615,0.6111231096563781,0.34718367161978647,0.38645185435000673,0.7371022036019007,0.35613889670957066,0.4398838038601085,0.5112365932032653,0.45340931971165216,0.4553557291811559,0.4582336408132844,0.4730678860042895,0.332446485485442,0.5685817160482345,0.45083684995524664,0.6511870615703652,0.589834120844068,0.3657123877376363,0.7417417771053016,0.594610043725146,0.5641938143075005,0.4585399141858427,0.43538152083537823,0.5188712617383311,0.5779277103580466,0.35653679411034633,0.5402558694658022,0.4608901467394204,0.4726436476182499,0.55288102473159,0.5420795910620306,0.4616880077265676,0.44235270755699885,0.34276235782298287,0.595055675424679,0.5431671740624524,0.30556361950988,0.5976647756305928,0.5374305851808674,0.4969488290929055,0.6319153890548311,0.441805309437763,0.5703402933706926,0.5546754376931391,0.4268919370833248,0.4420511806178307,0.712334197120305,0.47952886999008787,0.4737512158187015,0.3384769612413684,0.6587372979928847,0.5391010965834219,0.4144920484620209,0.3831491122091946,0.3941287594634154,0.6245588844976374,0.4190772927610597,0.6639243854493865,0.34949400523998825,0.3854073298583582,0.24296475395858874,0.3865285050253314,0.43760767516055016,0.3407993319972437,0.3807293792042327,0.39799622917889305,0.47616477480834196,0.4739934037529836,0.46111499429430464,0.4392802523203798,0.671516943240507,0.7720612641358753,0.6520755118268524,0.6676942612419084,0.5302002040941862,0.47851864528959476,0.5877625090837725,0.43616163930236546,0.4603000267266577,0.40734905513448694,0.5007897122399714,0.6888318333092378,0.3922213279112094,0.5445640308757239,0.6617686320344346,0.3800911933851127,0.5254749990514263,0.42711630229425174,0.5225078236907394,0.5908942006572675,0.5903924814592546,0.41236579770515996,0.6478406015678935,0.5939759173301737,0.685147891804213,0.5672466495836129,0.48911805782474227,0.5942406458469509,2,DET vs FullGradCam
2,model_2_cv2_act,0.49128748666495103,0.47530303065841384,0.47716468675608836,0.4989540757671579,0.600061651036151,0.6731392175858287,0.46553349992301046,0.45867474335024766,0.5122288155454144,0.40639107973023453,0.4962067911110638,0.3903043107389546,0.4118512186573667,0.5816038254826155,0.6565434693112571,0.2632515693981022,0.29761799313266246,0.31369021303845007,0.6755623243684107,0.4866314184584003,0.508821736593304,0.40405815510973864,0.5118301578856911,0.6147005418567959,0.4550796704284817,0.4686676322016253,0.44724227469541056,0.5422663848195277,0.2757619489904834,0.4445026810116586,0.43524219078093807,0.5829611630128936,0.2654120174301957,0.2985815956663987,0.38105492823871684,0.43503021591474234,0.3568372055188318,0.5938339882057398,0.6198270574245831,0.5823107796646286,0.42130406280373717,0.39268642717904695,0.4456965880554585,0.4143493565718572,0.5413436935881917,0.28354001813015217,0.4371445864811365,0.6787512201850967,0.5311752489721274,0.5428230322251509,0.3897286407805029,0.4572318113857249,0.4884196694890923,0.40578556394830845,0.45768644629463173,0.3621889040750442,0.548402863516575,0.5212797321475513,0.6700349964021313,0.644906873798512,0.37807561932996553,0.7421073970550695,0.5729656614747308,0.6099647202262644,0.4549119649603093,0.5260489217872,0.5505137901665692,0.6120039525414457,0.42779227126119157,0.4383971124126739,0.4534466176929577,0.489492937964729,0.5664778654189068,0.5654511577320871,0.7313480128983344,0.4091914986322815,0.3502606009248327,0.6875857380376047,0.3663818433601265,0.27521417306017915,0.6292276607289894,0.5807682849379416,0.469840930039508,0.6004015731767903,0.5678942628657873,0.6097392777616158,0.3504631385470145,0.5656983347269152,0.40159084587830873,0.6930592345574725,0.4772835514833259,0.45899267432177554,0.3199026979691943,0.5978440782871584,0.5350536755289025,0.2717429312910337,0.5109698319705352,0.4748803692693626,0.5691858792750928,0.4145590321774314,0.6704198346058337,0.3760441872502976,0.39262949622880616,0.3087468338489632,0.42276196866886845,0.45464017711562454,0.33820337109827614,0.3648409416844066,0.3939422953171479,0.45059390339722705,0.5531620850317829,0.47330992643665876,0.410727762235457,0.5299308513497658,0.7959553266975242,0.46208032002995897,0.6387290093836134,0.5301688066989847,0.4790919737317924,0.6185900643946283,0.41611284555770317,0.3266781378851141,0.4824672025693117,0.5925601457452861,0.6107908378978505,0.350473412010068,0.4789069574249017,0.608624568531228,0.4527100574552979,0.546268801709314,0.43924972971330384,0.37835540946342033,0.5722661049050365,0.4669439981824174,0.4002339094861999,0.6890362921584663,0.49611185926557094,0.6749236837771235,0.5258425366963165,0.45238564021527233,0.6402543324574662,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.5003010495986684,0.3227139849776203,0.5969890484868049,0.5761906716616304,0.46696554672656393,0.6406203977588657,0.380474022411563,0.3668790368795565,0.5449868263728906,0.4720521992477121,0.5668387549721783,0.43419342750994355,0.500367268396425,0.6409163158088268,0.6253741166389573,0.32463404129814416,0.4876880496354263,0.3432726076002995,0.5851011686751931,0.5833199058399995,0.4526761397044332,0.4270837774591078,0.44020687456179314,0.5563064719648754,0.4240048203894045,0.4644440796945357,0.35881252719661755,0.4661665503355307,0.40024333996477257,0.44907931295476633,0.4937852905918502,0.5454088986752518,0.29379831595344735,0.3104601774589903,0.38064616289007874,0.4517189053806556,0.4595789787410695,0.5447486010343529,0.6739008629222577,0.452888460194727,0.4584610021834615,0.36408022261117984,0.5080220061121632,0.43797454733539976,0.659418987758927,0.4470104790691556,0.3608313869984501,0.7962250869591531,0.3661753113744511,0.45886535449496874,0.5355309879428644,0.475102810856456,0.4372274329998839,0.4207264677688806,0.4833400711189939,0.3279040263217693,0.5781285373962479,0.4839430768111541,0.6353792764012389,0.614296994157882,0.2894535414374989,0.7456869949004609,0.5680154194790137,0.5454418885996505,0.4537581301514182,0.43548979357505974,0.47845321542164015,0.5604813264111148,0.338983467828644,0.47254685184574396,0.4506704992250805,0.43683695985503473,0.5617619628719734,0.5619237304016589,0.4433135096791841,0.4801320956752527,0.3495003168061123,0.7150939195369185,0.4805002556947112,0.29627729296511207,0.5919420090163113,0.42058790754951,0.45832545555941545,0.58591199306796,0.5656379879424508,0.6011202298917698,0.49741607892879064,0.518760009401592,0.4319103088446742,0.7325354923872414,0.461106614106992,0.4867340057027034,0.33123408329899073,0.6640762057603721,0.4609919968762727,0.34649700522834515,0.40235397885753366,0.4037917713630531,0.5922898529400025,0.4711657308940357,0.6664509393430418,0.3512902237803659,0.4272633588639934,0.3386590033204215,0.4778605943357282,0.4625370575633727,0.35244678451091627,0.4288430207147485,0.42680147575599525,0.4943768413527988,0.45861660741179405,0.5141413586319159,0.5103176862546197,0.4103277873873696,0.8063336780115055,0.4769525976707941,0.6712225038238343,0.5277975663667968,0.4742664948709512,0.44872838491665107,0.41790552667563385,0.5662903821890244,0.4416412562373571,0.30725863724061947,0.6153616264061595,0.4007179045256486,0.5247516600299931,0.6545282397912721,0.4125678113340454,0.5638341972016868,0.32070721317551215,0.5060143414252088,0.5263639801942748,0.6256728308513557,0.403177734744435,0.6275633059589895,0.5887854604638169,0.6999606537143254,0.5603430842271173,0.6070806228244013,0.5845278273685859,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.5043555842062207,0.4317898406484439,0.5764533214146784,0.556698008221843,0.5239231163255588,0.7088496234536966,0.45895415353352814,0.374407712495997,0.5481737661371076,0.37564111875545225,0.6028434993660193,0.40096910118157825,0.4785057763416494,0.5243717674955812,0.6476130168708324,0.3391976326651355,0.5460819506003466,0.36062305464070704,0.6216930660184656,0.5390743411088941,0.45790911995066613,0.41467879238847427,0.5138243712240187,0.6693581780328111,0.43229102412188336,0.4479347945405114,0.3847865359058458,0.6366248394816071,0.3285163391198668,0.579439975749333,0.4519235364102779,0.4730542068767356,0.2722898881801502,0.5353248152456139,0.38442030250527953,0.5026344372045017,0.4836891444703533,0.46751159565393346,0.6174898751520072,0.6300776199972331,0.37684974624082557,0.3803540937069149,0.47406161290747667,0.3670990675869716,0.5943167536901309,0.3674512169507707,0.4251379221433055,0.6812866435264359,0.36325333773452123,0.35384187461851274,0.5010543866974019,0.4846144539753123,0.44354564374883104,0.5522356781298496,0.5210108266038914,0.3272619368481782,0.590322549574463,0.30764248543667533,0.6662125938963309,0.6415499621661697,0.3648302834108652,0.7795193595557787,0.612288808038334,0.5603669466148253,0.48599245223123033,0.4898133878024382,0.48416087986875966,0.626241400948544,0.4333252900409434,0.39927125074874653,0.44882974615573834,0.47425020590348305,0.5258011067408481,0.5688140217827159,0.471217407964603,0.5892609748262565,0.36449945467298217,0.7393942217842591,0.44934775630992013,0.29544500515969874,0.6708627330209744,0.5577887487246647,0.5133257292460676,0.600589970360345,0.4734540649722908,0.5598305800245496,0.5443712655706766,0.5185885071355347,0.3989790178620488,0.6514527006498598,0.5142853876485227,0.45817025957176033,0.285190095054801,0.6458651602723499,0.4890849014566688,0.3674146392995384,0.3792162788631283,0.42246569770676756,0.6262277575207594,0.427796154859552,0.6679137671075497,0.496655602641873,0.5149862546758783,0.31438244565509366,0.3916999384767994,0.4509090323393457,0.33124794688849307,0.3872932746007664,0.3839250110454331,0.5161775815425674,0.4762845662952249,0.4524360481524398,0.4679601709430221,0.6654842665266353,0.8357322086574788,0.61968492806973,0.5887505938360772,0.5227979271164404,0.466019967560314,0.513689880588035,0.3936625997821652,0.40843505721272055,0.3967916012936509,0.5355602956507075,0.5949748741273891,0.4086334259893185,0.5673554560841824,0.6070210535784891,0.39403816670497893,0.5936775330768082,0.4654873910777891,0.3863222082603744,0.4535865411366962,0.5034672896012814,0.42582729461879815,0.6183509616704788,0.515081217938513,0.6879459855095446,0.598614371246851,0.46024819379588716,0.6109376054289658,2,DET vs FullGradCam
5,model_2_cv3_act,0.5053523185847373,0.4821883344505879,0.569044354996844,0.5223184475229357,0.6107421366480099,0.6712705843080451,0.40566498326748657,0.43330058660939386,0.5589793919984305,0.44184628918576463,0.547640467893495,0.4155320838209058,0.5396842680718464,0.49730415808930845,0.5872957605228303,0.21009451448222455,0.28701875729974907,0.303912649291715,0.6306802291992075,0.5073104720811416,0.4782374769678703,0.4051287883941436,0.5507692312624012,0.6930125461080177,0.4752754730885722,0.4500752179903906,0.47066355706468654,0.642795331582982,0.17075082007355405,0.5624162597434692,0.42065029595486514,0.5669616087205328,0.25192441083773415,0.2911462667535973,0.4056340789674531,0.5126845982975885,0.4118316833461736,0.6207851892724487,0.606456555584522,0.6337883036921758,0.3304395413475085,0.4144589179841987,0.5326710355786484,0.36753179067985187,0.5585237539613096,0.22133057809982326,0.42558217243700247,0.7919120893379125,0.36597956866532005,0.465483228369971,0.4415418109390235,0.4726577223564036,0.4306223644792909,0.29176649312282144,0.4617671528468997,0.32889210977394856,0.3839382090933312,0.5650908734803571,0.7153845348941119,0.7474818798757197,0.3651975811613554,0.7585039135164038,0.6193214859282592,0.5761890354877687,0.47346592695520917,0.45509671987257216,0.6345260305140982,0.6422826926930766,0.34845959428957574,0.38560067047632995,0.4558172064006386,0.444595174745609,0.511870189100604,0.5333774234621351,0.45740532410277196,0.4385268557616684,0.34853186696248456,0.5643404652097257,0.4219821090071555,0.29553769332961605,0.6936438637421425,0.5556017311662736,0.45900594821529506,0.619238015664624,0.5658243760384469,0.5692410805102611,0.47485584112453233,0.4640938311786554,0.47154972938161444,0.7640617512942672,0.5264706978343223,0.3973966741037214,0.3611661027909092,0.5738414428853552,0.5347754918413893,0.2829009493847434,0.5486272757169186,0.42058260451048585,0.6186650925006945,0.48249570864221647,0.6956116254041643,0.38552895936160336,0.4781624207847537,0.4263807954716195,0.4332303826292607,0.4720670196502049,0.3365618212667602,0.39087642055892113,0.37652006680815026,0.4884593374248183,0.5120028947779295,0.4301634722566769,0.481937982599776,0.627007593600237,0.7927678654915067,0.462281407211588,0.6000724252375044,0.5394155185207221,0.4821313425767962,0.5753544550500626,0.44897753035150206,0.3107106094855431,0.5094211144079396,0.567575598640726,0.6630496200074892,0.5026496534539342,0.5003950946187102,0.5140931131178176,0.398690013024162,0.5783824275603171,0.3540399684881257,0.38114428350644824,0.4957026196824576,0.6032829208680149,0.5254887408086414,0.64580574006781,0.6421579507144958,0.69686496562549,0.64458381982217,0.4602001469754729,0.6230852448261963,2,DET vs FullGradCam
6,model_3_act,0.46902589014179447,0.4159419374856467,0.5854600546900525,0.4654167356418249,0.5282997009206232,0.6221996901019752,0.37850037982324447,0.2894056001664175,0.5403166217269325,0.4363834794601872,0.5278100100824334,0.3941511578842582,0.44336278238104676,0.4726049754712051,0.6361003276050916,0.2623134879158535,0.5177430546812654,0.35991367509770494,0.6065533146264306,0.44141218070974775,0.4652871747644998,0.3756688641473355,0.5337398905178569,0.606031404966813,0.4447774471006223,0.4624193855447679,0.43089494735438366,0.5549257507746262,0.21931517698268382,0.3826254389451767,0.4775280253757102,0.5123701585801685,0.14898188067469736,0.3347640099238159,0.4316934399483005,0.5975600527648778,0.3357678486427698,0.6036526197574517,0.6311378482164222,0.46968282378111287,0.32574139576856753,0.36151225633028733,0.475670453069324,0.36357585833182987,0.48701233289416906,0.19437164051951875,0.520404931477164,0.7830024403549807,0.3650115766535692,0.44594903697024674,0.40200479145492046,0.4184089021418512,0.448190983391896,0.4553239130589173,0.5107631847289879,0.3258977107553251,0.5505771181779221,0.43960182196241315,0.6665826155468824,0.6022429041122394,0.3672355761172189,0.6466231594644457,0.5822417171771886,0.5797308241301757,0.4881143581457859,0.42131197181155894,0.5744515227254613,0.6161337677878108,0.4562811006498216,0.48288504303953017,0.48367202162248835,0.5335343469627626,0.4888278015570137,0.5886715872827051,0.6484453746632441,0.4088763958083295,0.34863085194978316,0.5882727779386798,0.456781530767171,0.3135281140434983,0.6987986697062237,0.5097602423937957,0.4736669972028387,0.5185839390973034,0.4546526138720508,0.6419341791675394,0.3963101980797263,0.5819174871337105,0.4212073378999291,0.4177566813115133,0.5118372877112065,0.46912212705302925,0.40909877294530594,0.428051451529288,0.44630956602231925,0.2458512238822522,0.3952335196120551,0.35913433053805466,0.6033822225928498,0.38262152267084976,0.6073079188069387,0.5089325481882641,0.579109559630213,0.27896252966869517,0.3782933721299613,0.5191826853551937,0.3554785751287834,0.346195326598237,0.3795852739518209,0.42614396077200717,0.5360774790188974,0.36325056739117506,0.46288636743863787,0.690224088445359,0.6302022347506401,0.5766900164086851,0.6155577880547757,0.3903661886335027,0.5081939842764096,0.54560438184085,0.43542223701574295,0.26455194092724377,0.5374747609138404,0.5038854923383358,0.6381931897116854,0.32422326756880177,0.3735007688627615,0.5887885388539105,0.4071102330187889,0.3875885878940697,0.32562068986420917,0.3937747688560124,0.5204569981282213,0.6184141106848334,0.39475617627430737,0.6468273889374434,0.5532086116407207,0.5671679773236892,0.4969417070153241,0.47592386844018214,0.6230863043951176,2,DET vs FullGradCam
7,model_4_cv1_act,0.5161339061564362,0.3522245621499953,0.544772900000218,0.5174395429042283,0.5149151669962327,0.7261388923005726,0.3813954808083894,0.336674673588052,0.5883344974610415,0.46621462542528364,0.6748103399379415,0.40333678553128294,0.5748468222564399,0.5341150983121329,0.6208168681106849,0.21702725523212524,0.6224078279306337,0.362440924612994,0.6312429785768987,0.5685377480058686,0.45396221496129113,0.4906398520358589,0.5204719464178021,0.6450366823952852,0.4206481909245813,0.45197812243216295,0.3788595921917096,0.5911347041018932,0.14155473171995261,0.42625477994388256,0.47464116517576216,0.513802771439234,0.21315082556124884,0.4574275674543212,0.39595062462846975,0.4447790474251607,0.36537363274191315,0.5756698063214458,0.6154498665332242,0.5185587222174661,0.5761829327482919,0.16483160757454754,0.5114742848658524,0.2712824135310209,0.6095672963821285,0.13162785910205904,0.40169257452234747,0.773536914505861,0.39035094217687305,0.43052826368114716,0.49505377836593545,0.4666534759712607,0.45416779619146264,0.38771642422547065,0.46347076388354563,0.33371815348961653,0.5736019527440024,0.30189834088353,0.612592571787078,0.5217237392550454,0.3653470133437387,0.756383610821665,0.555429133612931,0.5697314276647316,0.5175560100438084,0.44186815270726054,0.4695094232445905,0.6351645017452748,0.3462684309442026,0.44505009893040254,0.41170298280832535,0.4824150057906707,0.48189505401866134,0.6204460261484344,0.7529756210788432,0.6517945708807289,0.35025007163269184,0.6268495529821437,0.45431559951003253,0.28467068089923114,0.6445603759503179,0.5437044838341708,0.4793546985945194,0.6043951823199707,0.5701896569892573,0.5677326046377402,0.503954652948519,0.40867944371308673,0.4680148763721882,0.502100854941909,0.5204009256855039,0.46305307834703097,0.31638848438979233,0.6123301855113601,0.5421341052282549,0.44047811692816774,0.6922350929956794,0.3534075807373898,0.5799424419813083,0.4406138804396505,0.6902052900958231,0.3723238374976421,0.527735652960131,0.29195703997025324,0.5207116221327134,0.40011176116352093,0.3294409221122926,0.45625523741389584,0.4224653076405301,0.48782438622841845,0.49946079469778154,0.3627159928310612,0.5549326093205814,0.6835666165678446,0.7853077506235456,0.48614694249140933,0.6668262159292955,0.3769648042224265,0.44808166595166943,0.4431314269872245,0.37556914328181024,0.28690157910690467,0.37844682793867646,0.30326162644278026,0.6531312393642656,0.3216192288676885,0.39872996147156203,0.5701439159974847,0.3824768107363688,0.6039553765491308,0.3242572733443441,0.37903320324935125,0.5232625379138357,0.6317229192543092,0.5973806484389937,0.6258635436329889,0.5116281739772826,0.7065045261622673,0.59578492549178,0.5444528928235906,0.5999999746174566,2,DET vs FullGradCam
8,model_4_cv2_act,0.5032700610692207,0.41409171158340147,0.4964279054956656,0.4850294798089548,0.6114122044920038,0.6406004744070544,0.43339485244457293,0.312271294279349,0.5983902024585932,0.4313424223826454,0.5106412763189573,0.3955204233574394,0.6041035856924248,0.4243300957505536,0.6799174714825295,0.38307945537739607,0.32083411412623103,0.356082193087997,0.6029171539562393,0.4191901674415733,0.4680638874138527,0.39109912010284953,0.42356832385297094,0.6390624274651444,0.4565426020501156,0.4458087947112619,0.48759250752009436,0.5505776089769858,0.20254906524023045,0.6021623105833114,0.4577384848610705,0.39686620686208707,0.21950647807681753,0.41928849573645116,0.40872355773988467,0.5169497913520956,0.3587521618435656,0.7183286345268988,0.6483057005729712,0.5861680733568413,0.41492854334384044,0.33913552994800783,0.5454033657697208,0.4091323746300714,0.4810394707116045,0.13711971075054383,0.45927640120175856,0.6070374228798907,0.37127613482376487,0.44828876671023116,0.5136176416440232,0.35934334180778515,0.5105182071091633,0.30135593481407746,0.4817171991588559,0.34350432275064596,0.5738339894936711,0.47390705203749295,0.675399551718633,0.6874495124610747,0.3830288426715677,0.7468836572267632,0.5232950896458137,0.5889984910049505,0.44857382507288845,0.45776364093691224,0.6572069211085765,0.5905579113334322,0.42184724732873763,0.48181915543198417,0.4493603581874638,0.4930372479433215,0.4951669916609098,0.6140592414536352,0.4558388069850362,0.5627635877902459,0.3470305649587448,0.6712392303270678,0.42515353208525836,0.29287105862712715,0.6643351872362906,0.49368096774495357,0.46406324003973126,0.5517954685360121,0.6092315838529268,0.6441482147355178,0.43760238025195625,0.5292632302740803,0.41945394884186066,0.45175097700283084,0.49775168473466697,0.4240362269203597,0.35561261314611625,0.5456409451202361,0.5150656379261902,0.3090446170642904,0.38366691382024065,0.4924933771919504,0.578426652842708,0.38860885239325893,0.6685386140146958,0.6582208515898688,0.5476880126596967,0.4034665470459902,0.4460165280929058,0.44023029207660697,0.3526696645160527,0.3852635749950434,0.4081107823558729,0.4369443095636649,0.5237526703121591,0.4010507124872202,0.4215856905071303,0.7090811399019019,0.6855667135601443,0.6021248139985818,0.6255700138360474,0.3561510874378801,0.5233043565284505,0.5895921103136593,0.5189060462780087,0.43309187516791353,0.5208237810808861,0.3664065620567736,0.5442780321742261,0.4635542270632567,0.5222766725123092,0.618473861397385,0.43310497410391274,0.4284817051257923,0.32663814616445075,0.3809648993207306,0.4832462112042494,0.5382269610038376,0.4050895915783326,0.6912162025796109,0.5713566306290955,0.5949855400106578,0.39341988138425427,0.4353251343590075,0.6273751890491645,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.46972132567916935,0.4746383439484926,0.562346259825975,0.5322128785474675,0.5027245364677282,0.68855755275538,0.4203181294803366,0.4462337017604161,0.5476169175654355,0.39298220788201615,0.6562163522053169,0.39727288311754566,0.4578608627648868,0.5834958244953673,0.6316139532446267,0.23685373120200615,0.5504178202357084,0.35366172647819755,0.5995675700162391,0.4706135391237669,0.4523230027911723,0.36094988316100857,0.5248266412464457,0.6734962173737158,0.4051156051896233,0.44699756382061256,0.32054756966828984,0.49640000561859554,0.20018976131252128,0.5213168238887961,0.41403662735762753,0.588177708821358,0.17601583458538902,0.4216321060268851,0.38804201102093777,0.4951106413046126,0.37947570919142637,0.6614750880985456,0.632196557308587,0.5943964136750103,0.3931823221841068,0.25039137803814404,0.4426653897346506,0.276708245460972,0.552970726345828,0.2039430066605933,0.42838318296611694,0.8111856249998646,0.5191374079485029,0.44321123520916744,0.4539620887476338,0.42363685998714984,0.46024247600102464,0.5188418609656107,0.5186278532675701,0.32526851177384325,0.3924230317201504,0.5064573650577859,0.6370825357010199,0.6350743246895119,0.4630210964771426,0.7625616044915245,0.5660545528919483,0.47961108653556506,0.45042123573131154,0.5387669029885365,0.45251173463572836,0.6377268819824545,0.3577134297846762,0.4713110426276385,0.4798679380409177,0.42721572935049146,0.48607243384401966,0.5806171981705873,0.49449043608135235,0.44949995247071844,0.3602551761192692,0.682943700119942,0.4369084210916418,0.35785935620898407,0.6671879770548639,0.6028084922043259,0.4939347617512765,0.6129018237404592,0.4966063012341928,0.6376988619039119,0.5550739141027298,0.39513058990398214,0.4613236481995284,0.4297634929755788,0.5580451279812843,0.4625161761416669,0.42515484816868226,0.553159270557567,0.45903938238831243,0.4394517618548513,0.40400855855300055,0.37347291799971183,0.5831835503091465,0.536892402936814,0.6710586854502756,0.4899846575078916,0.5150613632295116,0.2155487053190854,0.378339341198604,0.47954653971913036,0.33203409387812677,0.4171420387031691,0.4087557550183801,0.526504164330214,0.49586532454856885,0.35885174478431797,0.5141836826729499,0.7023366090026548,0.8172539327851774,0.4947660592229807,0.6079028824398144,0.4061139808949527,0.49112142964227207,0.4975522092713685,0.45237944480725756,0.24457362096193905,0.45450525534432246,0.49749808350969943,0.5899368215551669,0.4181544210566327,0.40922500027705766,0.6052834854497674,0.46498720993505704,0.48423702632117865,0.3279336498471711,0.3760218993699306,0.5109380278831928,0.606250330399324,0.403273277350893,0.632392126370586,0.414412009385779,0.67504587252533,0.4976032282217562,0.582287591971097,0.5936426588736095,2,DET vs FullGradCam
