,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,0.27979011675936644,0.2685195305677846,0.2353860592390719,0.30966683077419943,0.30374427725726094,0.2393308439388338,0.3648231548921637,0.3123265267119553,0.24868501058269582,0.3466896681916338,0.2931200116266874,0.3764228952985706,0.3054010872490585,0.23616144600012234,0.22526872263022665,0.41062234324523766,0.3033038957083284,0.33185760364606026,0.20032251720529098,0.24308928969133575,0.2954999699067713,0.42748072804033116,0.3476633958707825,0.182681300939549,0.34282942307972525,0.2753883511199942,0.33586137563167484,0.30828124602546825,0.3452294171897333,0.2774100859285413,0.29396608342563546,0.2704444679976635,0.3957806870543106,0.323378761554113,0.4279888158624398,0.33214390803644106,0.2819069588490153,0.2974764484982948,0.12867004299615772,0.31787702190181305,0.39051241436639705,0.336584597698917,0.29823728608552363,0.34335651928482647,0.23998434020975273,0.42615192682566694,0.31725686642220285,0.12926746481790874,0.38814881031526,0.2991610719825568,0.28059484262016376,0.3233470037906484,0.3627013041476314,0.4091000643444832,0.276753769650952,0.4155443089147088,0.250398576621966,0.3004303329829877,0.22114094264829787,0.24469134551001973,0.3261317332277694,0.13382454695446655,0.2712218392710402,0.21351114293825726,0.3702374572134846,0.3178017273966872,0.2759714730754707,0.23302377851267395,0.3709456109972887,0.43076084609594956,0.30029913992688906,0.30926470617089735,0.2741292867011053,0.2356550493567452,0.308086031717704,0.36907871683358573,0.33396053205978043,0.20975485227510526,0.29002852415602354,0.41005427498640556,0.26537550619679634,0.29726548852278195,0.2815908196798516,0.14822860951944697,0.24430247809488895,0.24682351599761118,0.27506073246114127,0.3378358450487055,0.3178197068329869,0.17512116697772195,0.30915076309129463,0.27441581133782683,0.3388250473025008,0.22357281618598943,0.2704379876297019,0.31500535594534573,0.2493324850252074,0.39104972440347335,0.1848948119712312,0.33665667014992556,0.1710863929004706,0.4039281964394364,0.3092650009599946,0.3294178797642175,0.33996092041469117,0.33305056380438747,0.3665624363025283,0.3256201864669034,0.324801031056069,0.2728195135208601,0.27887190006188267,0.3984972372223931,0.33349032065718237,0.17957100849403393,0.11448612882148575,0.2208155906319457,0.20192115561766402,0.2468774534730566,0.25049180923872316,0.276191773906485,0.32097562642386385,0.3267901803960911,0.35604954025061314,0.33449039068526204,0.21748500822324715,0.3169928287725699,0.24634765094697392,0.24966854501037852,0.3174921886178538,0.3106475547703326,0.35145506968662776,0.27117231093337035,0.21675157559886654,0.2484042991682508,0.40150961602290886,0.19729387795549655,0.28601817488345505,0.16883661856719398,0.26189781318211414,0.2771969599880241,0.2734750837984641,2,DET vs FullGradCam
1,model_2_cv1_act,0.28742060127527486,0.28779539242189256,0.25625693794743354,0.2856579493219105,0.30414200093410765,0.2583520896247401,0.3721809825747382,0.2964203581580187,0.24257076053821314,0.33023207312430514,0.2706069965169649,0.3730358862411566,0.2758770320600665,0.2405799921770109,0.20980545667324008,0.40420354086729543,0.3427499076388188,0.32602572955550113,0.21992502583438045,0.26419301209183327,0.2959731515393011,0.4129190544272822,0.3530436638314791,0.1943206430238675,0.357693483092374,0.29091270693224325,0.3465281849450369,0.26529842716172,0.39368412622976157,0.31694920115887315,0.3232085625921977,0.27417723570528796,0.4055428130615508,0.3699480363420045,0.40963030847023774,0.3265208862628971,0.3044012131623987,0.2646201694531253,0.1311531664348973,0.236821721755756,0.38744120780325175,0.3748649635517062,0.2861919660656423,0.34024488388638946,0.23636672094344127,0.41457940067398746,0.33010278070215643,0.1577423771065147,0.3918305396836019,0.31992908657867286,0.3096013372686748,0.3419295775520403,0.35777941830230503,0.413473477404146,0.28746521006174136,0.4113327485465233,0.2653119084304233,0.3119444394112753,0.2204929187713895,0.24368444253574428,0.327781526252403,0.14832145020846438,0.250068238454698,0.2349898886489042,0.3204125895840757,0.3435547278959787,0.27566171113742816,0.23838977741288364,0.4166085674094834,0.297198345474643,0.3034394691411599,0.3106164467911498,0.28117412131654107,0.24766063634194346,0.31024530525570615,0.3552488302073938,0.3371169228324999,0.2198014512320758,0.24056537999081817,0.40271975936883553,0.28796837483662163,0.28183915118484487,0.27009537075326223,0.14607758526841472,0.3430072332283806,0.2491836471612056,0.2495122865861329,0.36370441447399465,0.32462953330552724,0.19521625317433566,0.3027097967975286,0.2742832440178064,0.3139032802971597,0.22215168439240476,0.2656070969160848,0.28660450215876887,0.3397331229280352,0.3860456343272424,0.18191475129268278,0.357960054017444,0.18073129041669173,0.43514694145892896,0.31733389862065997,0.3622093725078303,0.3373353190047327,0.3505381277524298,0.3674980150462811,0.3412007868952667,0.33547443752015027,0.27934655425785243,0.30504674679592597,0.38124627296133295,0.33722331984480786,0.1953807691254608,0.11821886546954007,0.22879634252550463,0.21675828029391753,0.2508066700580945,0.2509058760990128,0.29202789473366386,0.32291544600914507,0.3352505422333165,0.39513903421021307,0.34487229862648733,0.20309879295334582,0.3163540279151795,0.24398147795794164,0.2360767361128748,0.32820907153131224,0.3216394249963412,0.3653444652168392,0.2826766187300165,0.22365471753566935,0.23754955719154353,0.3890931698653518,0.22261805221019537,0.28620267680174144,0.19543103881370183,0.2764844327911409,0.3086279123980211,0.2846555712206531,2,DET vs FullGradCam
2,model_2_cv2_act,0.3163747686944434,0.24408384716959372,0.2808080060508925,0.29266908289616633,0.2673992529156277,0.22987393435032086,0.37555112848455574,0.28000781708852157,0.2594345297346877,0.3685691963766056,0.2974721436627427,0.3744275095751251,0.31762291288706457,0.24415792138903708,0.19624585670598965,0.41097711402650455,0.462584270827106,0.3458515317638752,0.19274365028577958,0.2838845271489265,0.25658585012173857,0.40931248541948023,0.33428927031661904,0.2121576461706311,0.3259303958156656,0.2741010274146649,0.3123369797244249,0.31305211243925934,0.37574190979238237,0.274773800605682,0.28850257886993785,0.2598596056584281,0.41090882291437125,0.47108060935603596,0.42760451908543945,0.33655527427089177,0.30400677650420277,0.28575915948317804,0.14277223580929085,0.2405621203485552,0.37781564932256434,0.3868075250730502,0.3285326715662005,0.34458900921639446,0.2576018934536925,0.4523976298643167,0.3183654299259682,0.1911280037984936,0.29301036944013775,0.283150619296566,0.3054420244669481,0.31982535544790525,0.3419262630896214,0.42907839000061165,0.29331739728265077,0.39419983526170654,0.26221605761198047,0.2731066222164117,0.19455502356445348,0.21759624243713874,0.3218910058774486,0.14390067581172303,0.25004831045833664,0.2134059737780528,0.2997901956430884,0.31794330823139577,0.26230501406517953,0.2263108441905391,0.37101164570549816,0.391373767740785,0.30824636809391504,0.29777286981698875,0.2760938806597406,0.24088016509980298,0.19928702452042457,0.3725134900481984,0.3505554365921069,0.20999055420001114,0.30300345123619254,0.4114642172190616,0.26459116259819826,0.2664059989467157,0.28085377772665043,0.15639785766368938,0.24386068237044228,0.23456795961051574,0.3021077315117545,0.27309884746423474,0.32587928973017766,0.1989202181125815,0.2927754011434162,0.2823766195195544,0.32892956613781205,0.23222253270071827,0.2739989105957089,0.3320852497468931,0.24575886726227594,0.3211129412587529,0.2017093488154998,0.38170088431939964,0.18135927814445238,0.42093819150327,0.3186508830524,0.3369158170477468,0.3193001435679594,0.34109159781719645,0.37059190135325026,0.34069544124185025,0.33133837999147825,0.2878397879115087,0.2667563606132986,0.37995329580598386,0.3615028289033467,0.24158962385195565,0.11562518448161505,0.33034043081987785,0.22767452318900896,0.2549187181572542,0.2471571898379705,0.2585631368616057,0.3307673004208524,0.3939551568285751,0.35347930051391696,0.3262026460791658,0.2252623628044426,0.3332176565102682,0.2687641663855045,0.2608923148153864,0.3060290300236298,0.3087792063346708,0.35154263820667386,0.3511311730459297,0.223103393438036,0.2689476917130321,0.39421068690757594,0.19583213216181902,0.3253154299893659,0.1936324219624467,0.2799682209453943,0.33053457910938794,0.2635406469556399,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,0.2916280099521584,0.2971316636100003,0.2639144777302247,0.2336944970087115,0.3089797883534094,0.2553754308043419,0.41798406684088263,0.31446332904905205,0.24348294814061996,0.31302479288610585,0.2800268372007445,0.34432407465248377,0.31548271922635823,0.22606701298266177,0.21146149945181508,0.40899020815456655,0.3185115930294652,0.3460624241005735,0.2164836519155846,0.24234622556509527,0.297900665117273,0.39752150395350827,0.37531500814286606,0.24481896293354125,0.3408103925703876,0.2841012915872581,0.3445655828609388,0.35839172877789366,0.3639576236810879,0.31468791298601617,0.27281617982173617,0.2889882603020376,0.3730609217851961,0.46403358760936,0.4280826091376572,0.32820842507416553,0.25013774743507794,0.3116024630047756,0.12594763318015723,0.31811322870224074,0.3706773949497455,0.36145577839914533,0.30170771225936704,0.3274036598168261,0.2204638272646697,0.38103165751513063,0.334634219294673,0.1196784085510952,0.3868678013352784,0.3185537115324125,0.28228405433680653,0.336689192833737,0.36598017946893635,0.4338927262636469,0.2743729006465991,0.4140116060062488,0.25892033327046565,0.30218590885459196,0.2251394780595731,0.23195526010821724,0.34937634398196454,0.14813198748127288,0.248711830537418,0.23960922631971027,0.31990277004101636,0.34584794080207953,0.27477042369698235,0.24482289637293297,0.42759532143182616,0.3668967721795591,0.30894729860457076,0.3159091541461164,0.27735390069143384,0.22506504703678176,0.31844474902804987,0.3338838695895376,0.3414137541558171,0.2034598128485046,0.27217267493450226,0.4082580620415316,0.28888659963344254,0.3380579251690594,0.2829406960217429,0.15735050705466877,0.2643477981858906,0.2364825720732992,0.25161766358568255,0.27384892282401685,0.3142945764812454,0.18674566316830787,0.3087612763062553,0.26735150444414674,0.31577176012300556,0.2330260209100171,0.3005512954163625,0.3209327424083688,0.31931254339366927,0.3813668219164322,0.19470845339640708,0.34294910327411476,0.18783675709087588,0.4340466619667578,0.30650535948204,0.32067914316125684,0.29541003216251344,0.33915481315439794,0.36624038458814606,0.3165438729193122,0.32715953478033083,0.262151230664415,0.31629900244085524,0.36774395740248667,0.3084189165352671,0.34099690389949244,0.10974002076223556,0.3224905053821535,0.19447482571283414,0.24097056881529022,0.23876280596647054,0.36531751789243255,0.34313037160263493,0.301191355828243,0.3759914738011567,0.43062312815150044,0.23202235581975655,0.30681276460357737,0.25748740200145104,0.2297845237259445,0.31481554832303643,0.3225645634656558,0.38877401399069256,0.2877595854633143,0.24225872650206035,0.22562379430728693,0.3939442818699091,0.2124258390055166,0.2806196204010094,0.18759528231926664,0.2719853553821359,0.25955482197684376,0.27749194482987544,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,0.2980374911233868,0.2513745061574381,0.25645127142492813,0.25060073417701056,0.2933258661857289,0.2346492856260546,0.37805811055334454,0.306256675517771,0.2368401699875877,0.38886556020515267,0.26692325509045445,0.36798519689448067,0.3152554348420552,0.2780035731070631,0.20262077210002016,0.39761828766525836,0.30042032301712934,0.34668275519320746,0.21849413652270125,0.26088169294340885,0.29543533462359,0.40381483790768086,0.3402989345966309,0.1833933058702919,0.3415682917596368,0.2866734417538513,0.32417230061976315,0.2551179565829148,0.3666188907669366,0.2569507270720297,0.2923969407795465,0.30193489109005217,0.399060995795519,0.332528992291378,0.4257598890496739,0.3062045367370431,0.26961779318315865,0.3535496981316198,0.14495268689563928,0.21853650864256838,0.39690983572639593,0.3707867392696068,0.30560261723644605,0.3500827052263486,0.23672524969149913,0.4145176775131712,0.31352390022137544,0.14764645322900083,0.3889713208335227,0.37811155578981454,0.27583028822367706,0.3076310985874614,0.3642590415794946,0.38954565090639237,0.2571480481376838,0.4150144835104245,0.2514563777312641,0.4025267055566031,0.2009929945407116,0.22580779972138246,0.3269456433795829,0.13111605664222223,0.23589316768846105,0.2303617216789441,0.3080972316525065,0.32095369356753783,0.3006782936030067,0.22962217537840374,0.37148214720028977,0.41577724261051346,0.3111882015497369,0.3058386984761655,0.2831060501278403,0.23939424434353718,0.3051054380187408,0.27467334179450364,0.31963641805963977,0.1931655592652543,0.27160115110424693,0.4056847523388162,0.2650799888475894,0.26668773005600516,0.2723808424381466,0.1558455056074676,0.3250605553393463,0.23733727413573652,0.25297147541733095,0.304622622300792,0.32998058506734546,0.22351799339037387,0.28629921219471294,0.2815090132215927,0.34615962123515376,0.2327060530428866,0.28993198935076664,0.31550759668427103,0.3395949425152425,0.36997369731241797,0.17618847501099616,0.3593292698257111,0.17732473856454734,0.3182260096384107,0.288651276134585,0.32976876545145073,0.33466659397384696,0.3444309633069015,0.37492112506977954,0.33243788870437024,0.332502239313346,0.2591147821644914,0.301708526144034,0.39236049093598635,0.32847656444859885,0.19957540650454655,0.1046546335557653,0.23701217606804229,0.26514569360192736,0.25456781797609457,0.25120688588459544,0.3014916587370748,0.34086828360453186,0.357736076222035,0.39051185574045,0.34629429008917856,0.2454882972033842,0.3027846590190758,0.2316855468442729,0.2688614942071435,0.32620858390794544,0.2971666765146242,0.3512913914043238,0.3463544849739979,0.2642441577214484,0.2624572992705112,0.37987782298953227,0.22028859310246535,0.31521569595469484,0.17797493103033724,0.26084699298923764,0.3121630511629454,0.27902855804069726,2,DET vs FullGradCam
5,model_2_cv3_act,0.306642299924549,0.23378885609720892,0.25623719175319093,0.2669822048435882,0.2613537230194876,0.24393969126523107,0.4052539174534463,0.2940409078579323,0.23484773498589387,0.3380382584192379,0.2823278014170622,0.3583688608798733,0.2942803786958308,0.27914297743326333,0.24349909502897285,0.4358924686081031,0.46842834487918145,0.360006457024401,0.21487830293661148,0.28305473800272163,0.28645014971904204,0.4090934167070693,0.3268637173415331,0.16903404383741116,0.31041959103527944,0.27638498482080476,0.2967135507991108,0.24562697728772737,0.4122731969483279,0.24365179614111893,0.2979246795964393,0.27254811584706523,0.39990943609533774,0.4750557523540028,0.4138256691145511,0.305660617885325,0.28660974049346943,0.27075098997332236,0.14741357624065052,0.20646483249667097,0.4207311649448211,0.3584459624041194,0.2763278406557751,0.35226754808902155,0.23975685883713596,0.46497422751730855,0.3198187281207156,0.12244796933432166,0.3874507100789081,0.3144572222716112,0.2803503144025694,0.29917779681192735,0.3725174285608311,0.49897203734559104,0.2888140025963334,0.41432769073398257,0.3720774599822375,0.2694237753733635,0.1737512271044496,0.18270960893926094,0.3292016918053739,0.13898240998100111,0.22249448194069318,0.21788695549113415,0.3113369681860984,0.31946434662824075,0.23314290851506494,0.22464064027188455,0.4217222269127378,0.42310526303859536,0.2599466995707243,0.3146086769064877,0.295362664353408,0.24120288078693128,0.31211361377447566,0.3575930735602818,0.3673730724916531,0.25902249718684317,0.28552493954823444,0.40693797628580003,0.2527913971849321,0.26711307818189767,0.28002899925104663,0.15548002071556438,0.2392144536805374,0.2688170449597849,0.26064320183895234,0.298860610518651,0.3108125485001725,0.1789182776664729,0.2661480180343336,0.3071746205973232,0.30644843736496935,0.24551858730271206,0.27532819562158134,0.33504214482296296,0.23660153480479382,0.3587706510310664,0.18658430953835034,0.3523472817885514,0.17474213888364842,0.41592511330824,0.30189084749050715,0.28055514787574864,0.3130943059704197,0.3324930319133478,0.3715317566908297,0.32593896609515677,0.3285990595436798,0.27101690973098536,0.283508006150298,0.398421703805945,0.33314733761374565,0.22160212229321785,0.12272397072823246,0.3301465827974635,0.25682021055917487,0.2362256739713137,0.23832507478563808,0.2995250600216217,0.31738426019426214,0.390247108157245,0.349324005478157,0.33803266291174655,0.20702743854203662,0.2914839808213314,0.2626033010326159,0.30248493356962003,0.32514691722903494,0.30462740026366,0.37646547147458964,0.34942778170135336,0.25807011943226016,0.23641107581729032,0.32046993900817106,0.21385972387389965,0.2504970453688998,0.17965487650227024,0.2260145812852205,0.3192535816003849,0.2892672398947608,2,DET vs FullGradCam
6,model_3_act,0.33023358686353516,0.27116257304801766,0.27254757486686687,0.3194426554174068,0.30271887913679524,0.27026280904631045,0.41884212833953804,0.35675726031968596,0.23789029424485258,0.35108349844670966,0.29498976507808683,0.37227108567191664,0.3669783330328907,0.2872311734997947,0.19542541340959388,0.42171442421679056,0.3470369513973457,0.3550245137514427,0.2248897748361833,0.3065053694508754,0.2921271985062932,0.4235853369961826,0.3226541353010471,0.21114047738167308,0.330983770302966,0.28340102427314307,0.3314183086187823,0.30848387662396726,0.4079849245124599,0.2949833717122927,0.28122422224469,0.30446912352693195,0.4815780992734617,0.4514001243795293,0.39817683357891465,0.2965687761811552,0.3030983492162298,0.27716746569962897,0.13771559692647808,0.3074558857359304,0.42453200157355353,0.4280310453486941,0.31284220470741253,0.36563385201656895,0.28413094121540716,0.4944841635221484,0.29048707231349835,0.13825713691491745,0.38791658705011445,0.3231213900881364,0.31454251141051653,0.35211341243945776,0.3591230198096767,0.4355294627825355,0.27957066385798085,0.4158185857683507,0.26826077523633063,0.3210026173524448,0.19897220573047833,0.24352201577999172,0.32984770189233953,0.19759229416724808,0.25517369542275414,0.21195064350722845,0.299683875846058,0.36296234566822017,0.23908819018349323,0.23376032095217586,0.3636571110029523,0.36346506287200936,0.2451595724005013,0.28031049983802037,0.29694246115395867,0.23469194054472092,0.2329345646458335,0.3738449965797909,0.32286125971610186,0.2562638263650581,0.28679261911596055,0.40131852301941634,0.237364797246055,0.28003025726035913,0.28921509372582005,0.1941219162803664,0.33612211046746027,0.22942632355002163,0.3102681755980924,0.2556224093160701,0.3166248534023322,0.35470356843881257,0.30231628971939145,0.2762741502201059,0.29705689582804895,0.2829436157993905,0.3045561077517055,0.3588464198131463,0.2675906701477055,0.381632769164085,0.19234563513823957,0.40057693728824745,0.20548683566644058,0.3492594255526058,0.2825514978760882,0.35016264448739337,0.3431527453267859,0.3047278209407601,0.363061385459,0.3413815476165976,0.3276092810667916,0.29989706682846967,0.26717142734616656,0.4329619830036232,0.3415195955360128,0.18376504075853523,0.17596030150012798,0.2490191511062936,0.24327217694840034,0.31826656754405186,0.23106718830634929,0.32360229508606314,0.32055459235877354,0.43019045374233805,0.3314197417181286,0.36595126899904007,0.22440226755718537,0.3707352253306274,0.32146571973347515,0.26910979795432327,0.3256384471705772,0.37717715783585337,0.38005839414868114,0.3420937231885402,0.2474929651829668,0.23191755621934704,0.39896750092664063,0.22854692445688332,0.29222369306162727,0.214059428346866,0.29988126230102735,0.3217826238142193,0.2739400570793289,2,DET vs FullGradCam
7,model_4_cv1_act,0.30213446216584156,0.2979867819656804,0.2941210877689365,0.2652324627628527,0.30058699953335577,0.22467377203711886,0.4173312767443133,0.32222653266756857,0.2216423824218662,0.313031914073561,0.23555924602972328,0.3678978929302238,0.28226847799129245,0.2703001136905158,0.21672479829256405,0.4545947395724648,0.2948812132046745,0.33872087501694853,0.21374948294235419,0.24465277008703806,0.2977696461717584,0.3636403244120467,0.34386843962895147,0.1962197838628503,0.34651621594966836,0.2786451328394987,0.3317341854323036,0.2787256318663579,0.45544515863811286,0.2832022684121115,0.29142774435510066,0.2929470286724003,0.4399930395242371,0.39184064784486333,0.4191102322763664,0.3309844521476049,0.3073368562066882,0.2937999587114033,0.144658556762334,0.2751423614077368,0.3164271826738177,0.4775109192920491,0.3027936799473734,0.3920070294602006,0.22715328049355515,0.5168222559281856,0.32313038679100564,0.12295992087230717,0.3742970070959757,0.3350862557239308,0.28133025829579145,0.30688241404703753,0.36166238266669154,0.4589028049366813,0.28154816355238227,0.41109525218977444,0.25623545211971055,0.40377996535200117,0.22699024976391127,0.27793117874881557,0.3298369224932417,0.1421913727360117,0.2316178675576852,0.22676971032500362,0.28991660974289857,0.34761430265755605,0.3105869226273552,0.2174748520823453,0.4213535764169748,0.38628811598301144,0.270666654519838,0.285964987762065,0.295466104709637,0.21217870300287384,0.1926618819666296,0.2480241908921274,0.32007145846865187,0.20555807304522442,0.288986655974625,0.4078014443174537,0.26101598808001686,0.2676662878616509,0.2815678806299144,0.16023984239138095,0.2477440217124038,0.2458890607793045,0.24746610798448138,0.33948940808102546,0.30531888862463796,0.30868962991586707,0.28505068837506986,0.28184624386558355,0.3473769210170833,0.24888050221957056,0.2730530514120517,0.2869651759404605,0.1770827217610446,0.4006944568215314,0.2025267108372043,0.342514579335667,0.1843191290198766,0.4233355043827007,0.28610303837512563,0.33288504359127696,0.2835642043060862,0.3695459179188873,0.37593493282853047,0.30925691972198943,0.3215230639510881,0.26440251181492236,0.2942029926988133,0.42810146861396353,0.30057501052433017,0.18884025278660926,0.12537985724159453,0.3177149893140422,0.2104411983698057,0.341254146229715,0.249810781131624,0.3475273925043544,0.3481684162516131,0.4224386483146384,0.4054650003809251,0.4327937941961419,0.21184045225552792,0.3858181333694141,0.3060365617259992,0.27719371843428403,0.326893003714715,0.29429009653612376,0.3880898756139289,0.3507506403062077,0.2525410228003601,0.22658362422280057,0.28014868432574835,0.21671176376377213,0.3168325670377707,0.17890593215682,0.25460293972416526,0.2809461412331301,0.2999592234856127,2,DET vs FullGradCam
8,model_4_cv2_act,0.2968137004370912,0.24215078791117906,0.2998725108275171,0.2484018387165025,0.2504893040899297,0.23323294033163702,0.39091512570774806,0.3690575599520695,0.2172541042642145,0.3501680742532594,0.3038716606418056,0.37234155767903704,0.2840322665199603,0.35625346474697556,0.17971061533405477,0.37056783362106854,0.450320523528766,0.3491464826713657,0.225987445852305,0.3449215796907057,0.290797485630064,0.41674263334690004,0.3973101955870339,0.1823186207207853,0.3333868921032247,0.2812332942758418,0.2951023864034989,0.30920363045294225,0.43004656616403525,0.2639411181437618,0.2843688438174345,0.3156179563231483,0.41266170675353625,0.4050019601567376,0.41232279725162685,0.3051036889763866,0.29007845782587977,0.21046003789543924,0.13053804464170002,0.23628997063647944,0.38482065492930445,0.4051545681034352,0.2749936336651736,0.3487173449644884,0.28656190544723287,0.5048567045243901,0.30155410156326373,0.22786351204932098,0.3847016979148707,0.3060696852728823,0.28575428214146004,0.34431727777072746,0.33018346587009584,0.4926282491896468,0.26724887890246196,0.40546953913283074,0.2520029495938339,0.3087389992894946,0.20731725101517304,0.18779041078273806,0.32107898472566815,0.1431511790074872,0.25654665448181574,0.21196753515334976,0.3351884970938043,0.34178147386624563,0.22368467806339584,0.2364373122399238,0.371281674922374,0.3636219248726031,0.3123751878191759,0.2772689880936498,0.2919808342867261,0.21658408799867648,0.3124796451580027,0.2856372237550298,0.35156683601084726,0.2266181570916058,0.29432670422505497,0.40310138913946264,0.2531385872307891,0.2844768301540722,0.28046126213089057,0.1771236211594016,0.23339770813669072,0.23031055265305286,0.2696553178556254,0.26555818767677936,0.3034427807532,0.33650951649601085,0.30136297192864403,0.29446031527748645,0.3287915745731078,0.23585417274512394,0.2793619311721997,0.31434077843943,0.3392904980140326,0.3252612173126929,0.20442766598729017,0.3932675112767606,0.17851085177220902,0.2563080859659469,0.27254021994460403,0.3047844553734012,0.30950494598495826,0.34457021666604054,0.3626810428875843,0.3356320618116256,0.3252517492630581,0.291894683432257,0.2850935296605835,0.4142535687885211,0.3546085144204676,0.17719849210280528,0.15595608716716508,0.22668116581397468,0.21707707450218744,0.3479944436786863,0.2311446436273183,0.29927708373784034,0.2837605796674167,0.35169090836110833,0.3489181750203127,0.400963956505289,0.2720695366352767,0.36285694203926044,0.2544069789387935,0.2527568208916736,0.3001897459355142,0.3560909076000603,0.3750054276184054,0.34975902165955153,0.2755496578077306,0.24446122021384653,0.3927609500224547,0.20252937523407005,0.2784310579539037,0.20137068132387828,0.3403417519348337,0.3354327928477876,0.25369820616978395,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,0.3300264628274388,0.24020627033940006,0.24336182202992826,0.25708947031186047,0.3091419291506795,0.2521500591641757,0.39722212050777544,0.2667796553728794,0.23907879901037077,0.37926569695209117,0.24161352956698862,0.3708014102560748,0.3122874490880289,0.26355511480814175,0.194182228955071,0.4330413730886227,0.3190278087253898,0.35102073825632124,0.2278875012489531,0.2947526452250387,0.298410819840939,0.43082093245404185,0.3386888056512188,0.18684770332102424,0.34281505351279823,0.28217458903822773,0.3554834625954555,0.3416069108014417,0.4303807209564358,0.24514723086383428,0.30781101830300633,0.268435510541824,0.4696998939994513,0.40438845171558707,0.4235274088110438,0.31711686008860335,0.290242397252818,0.24691265729575493,0.13948170947046776,0.22842773226090857,0.3944315934374896,0.44021977237906446,0.3367715383059026,0.3874189512457767,0.24767724404839733,0.47877696619171367,0.31533766275398073,0.11553720475206707,0.3032739096278848,0.3175049704272203,0.29215935602284687,0.350518267102426,0.3546273557169041,0.4011671251594751,0.27018822396940817,0.4159885914168661,0.36602256828881646,0.30034356327614203,0.20589526490200113,0.2230673258972516,0.2859282037244056,0.13884578752607712,0.2545894905794965,0.25764888169872735,0.3100333570309247,0.31445360313978005,0.3211974381820538,0.22313205693633434,0.414936611771465,0.3729023332318696,0.2554966058151768,0.3099691415142584,0.307596772673718,0.22875759518212518,0.2953050366128276,0.35259806695564294,0.3189600994766992,0.21110092442677977,0.2959468599476476,0.38445442262781176,0.2428270319870826,0.24442743476043857,0.2780154463055333,0.1513316321481554,0.31165776872296114,0.23458375223903122,0.2512104397850704,0.33840514690875756,0.3070541957477824,0.3482678097240236,0.2726909913877635,0.28246310195118024,0.28958784723629755,0.2534871224094379,0.298934980101707,0.27162468797639766,0.3166931316343098,0.3883594357633464,0.19554367932921324,0.32418977720150444,0.195195959279068,0.35755715277351413,0.29501759249201565,0.37223020973769355,0.34270303702051597,0.32827076326691834,0.37352129666047296,0.3259447271599495,0.31003276318087625,0.2665899450070176,0.29416688959357357,0.417616575374481,0.31873392972307035,0.1849220844768656,0.11832229793990827,0.3130300364008765,0.23010770879001932,0.30958322592037996,0.23404954471420855,0.32308694330149706,0.3210896452535955,0.4410550965748909,0.3721911765247538,0.3615751533811748,0.2392206883781723,0.3522431222145417,0.3299121056078645,0.26244108262679966,0.2996249712943962,0.32835295378620083,0.37917755857448093,0.35254866663004686,0.24723683810172856,0.2282381418135642,0.3951693438416145,0.2318890369404809,0.3748138911212466,0.19104561045030705,0.3286599310979444,0.26643340364977763,0.29606982326111936,2,DET vs FullGradCam
