,Layer,sandwich_465430,bed_491757,bird_100489,bottle_460929,refrigerator_536947,remote_476810,bear_521231,cow_545958,dining table_480122,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,clock_164363,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,vase_376478,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,giraffe_287545,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,model_1_act,57.37853622035389,48.72401995356281,42.91622725964956,69.2368579273776,67.68237138285467,46.198538752996946,81.38646643279384,62.529066181595965,69.7419942307701,90.17086121549914,54.28952658295755,75.37447263969972,55.6923193516682,37.52764368213705,33.79586290772243,105.13235736966695,52.97350177088032,135.90172968248072,44.290114546017534,47.43415831121829,60.17875001379926,103.65801404188764,89.51653054938501,42.40304963130802,69.565969247504,84.78637754244332,94.183600319579,75.39932364314535,108.08895588641877,51.765513812427194,69.1641692249778,56.19349535060152,152.29183348839075,65.59172319129489,115.36491875613558,84.51501397616114,71.5211026414064,61.207926884440525,26.85420938315824,78.41341099236922,106.04311951376259,79.6355123062929,82.80710698432661,79.05174795508297,40.50548460431883,115.55277563476591,53.418421905359175,27.548299568924413,97.75842522512363,59.12608113837519,66.6960365772177,80.8637369416148,87.92929001105415,179.05370504613566,69.05604926324953,95.75260752946274,44.19168805075316,51.54329069357391,38.8348126497202,37.70423141894241,84.0100229316814,34.713467735786665,55.03659399451482,58.68887477541479,96.58516072041434,93.44444931042747,51.47821174489303,36.53470954698683,83.75438067060553,126.06305322993639,52.911522080594125,60.1536837527274,71.69784571569475,54.76131229097126,61.67395315450191,92.1985214996746,100.61589143880367,39.13313036135386,60.714222893510446,132.32971937853733,59.032625411322456,54.64094410176602,101.2990211991517,30.772031847601905,45.85544148060573,41.962528845024906,51.479545922852864,79.45333779520288,89.36226638146513,33.54369085188112,69.14202544133667,54.31612338065405,87.77557214067883,50.08266896307793,50.553714956207045,132.88225367047679,48.06026719327942,109.90892825085152,25.13447214013517,69.73665468504447,29.905060110780823,94.24537738790482,69.41608090361527,92.80562784454449,77.25433776297376,70.83298052089769,97.3109252314554,65.93106791771888,77.38513970710254,67.92885862631297,52.66599154867836,100.76848378148674,69.72959349397169,26.6203121978277,17.863257087014887,40.21427297775077,36.35457393537287,71.13408081440386,66.77172035777116,59.10285811476901,67.81089879032439,159.9818880367489,70.2037650498692,75.6080139447664,42.308695197601224,67.68669424145153,54.02253436426002,48.365362023371716,91.54661662567278,58.81965919422892,196.9896738276915,53.14372084327596,44.41122411491718,50.56065825518353,100.88094169561856,33.4871248982043,60.110981677765984,33.35477059508489,47.325762606124975,52.33442799591233,58.42331169095542,2,DET vs FullGradCam
1,model_2_cv1_act,61.98544296030627,54.24614529599566,49.79414496694955,60.69232508479207,67.63306705075608,54.522926623142965,82.34038179288626,62.244320583343566,65.36968783899684,81.41086085599738,49.77856195108674,73.94353842999,54.254950277513245,39.95680545638318,29.908138689046247,104.83459404768662,64.04170332525285,134.40324128965716,52.71169717928966,53.876426122591596,59.97599127180435,97.41886206559246,92.62032269495201,46.28905752752267,76.34349819038536,81.4509415426414,93.35641186862912,60.993811083834736,121.9013970176295,67.92223461383976,75.35736903359404,54.71024013853402,159.049781809632,74.6117719027491,105.09616623319259,84.98451411639847,84.52163038053916,52.31213814876553,27.117676667456923,66.36244181848988,124.96439438851498,91.3915377191948,81.50715459717273,76.75507122070516,40.820886229750556,113.19875775265484,57.33761932900667,29.783689257791316,99.4364748231359,62.05164295339028,72.60040135204913,89.11606100626254,84.76170150287352,181.2885384924051,72.15041921705418,93.2274668958401,49.09977084496381,56.07383992068893,39.89354186821487,38.018965327793566,84.74142616010685,39.38676693239042,50.25464307667475,62.60741004830616,78.79668536647037,107.25948858065955,51.69577928329165,38.108983544257626,108.08046482666697,67.68055692559159,53.89060192772366,63.370482176266336,73.08114930045085,59.83119777080282,62.867932304075566,86.35390485853658,101.7411576647455,42.91111321911974,53.051786268747165,147.00093763300947,64.17656255879956,51.00334973839065,103.87643757487112,33.81912438865814,79.49246555983416,40.16777887264311,49.08524156238839,90.19336397124165,98.35396878471879,38.25604399389317,66.75848059361468,53.675672816317274,80.52147831047466,47.09981743111028,50.478591328587946,120.42785702975615,65.20607142188348,109.75618577712585,25.651679627021164,75.22766252490283,32.955085200783905,108.0840380546895,69.66746427115712,110.57692396211566,76.19390605220764,76.58485602999433,97.03603473109578,72.69652949834156,76.37726136013995,69.16293794476225,59.12919808932321,98.17976795464224,72.84230513837213,30.85135135357409,18.89409715715834,42.337923571295775,40.705898687186505,85.4105848773506,67.60298394446473,64.40312086522945,67.90735576692343,153.17056799249022,84.41516642790282,82.089572001666,38.54211814898379,67.81890789081984,61.122660302674525,46.80331891426471,92.04998205295703,63.08943503710393,205.61534879808286,56.21476699237611,48.452917092158984,46.14400753067207,94.61814862302592,39.446013406759484,63.79120217818232,38.13005104076057,50.04913417900399,57.71761092096018,61.6636332164894,2,DET vs FullGradCam
2,model_2_cv2_act,74.05975159053293,46.471144359079666,57.53502748061097,62.32991336385128,61.039262017749515,41.64102165066631,85.45982401741986,53.664720856623646,71.63879801365535,102.75760814655743,52.471039126109986,74.60557541004601,51.88648660833401,37.09401668441686,28.32519929373472,98.1536523312611,109.57989824063591,127.32550897215712,44.25406667848904,58.93442862300881,65.12276446435379,96.28571536122561,80.85511059488647,48.303736965064104,63.79377868366108,75.68997262124451,80.39238838498213,77.7769158095775,109.89158002747988,53.39831440490701,64.65512612459341,47.61680480969815,138.9970961893889,98.70521474838603,115.30672197108555,90.33921460150117,64.63329540804783,57.494617657913444,28.4051681941307,70.40669232914847,104.38525552835966,98.74021586713874,93.15550324371348,74.92243315159733,44.98817366056299,123.2346247078279,55.36284563388566,38.97279486277564,63.909742047186604,56.54777877760882,70.5545838017656,76.40324918263775,79.5388603533018,190.23465699182853,75.48495779586072,82.91488811666835,44.98742267038089,48.87566119266873,39.30724126520356,34.79505976635434,91.3537989192134,38.188042731755544,51.211088367371694,57.841514544861795,67.28385722035095,98.10287671222194,44.283211111198995,37.497579663808224,84.22582286026011,107.5007978478219,55.19146564900727,56.816596841993686,69.32538520047193,59.665938552457355,51.04009027076712,93.5974044329061,96.84830883830762,44.042091590063116,64.66253300411525,138.36328539194787,54.65032034370468,49.600178453557916,94.72642357322309,32.342890888977266,44.550781664110914,38.111539915063865,46.056538173814076,59.02882287211367,87.14218934679164,37.153759906913514,61.24311667020238,56.64294079766982,73.5610544836514,46.92394272322305,50.91073363976826,131.41338634239645,50.85695330621395,93.12979340956426,28.052238218174907,85.5139609717463,34.6228375532228,101.5656843363879,73.12582600205234,106.43047585210584,67.4556294784995,72.83531186278486,97.78828722083617,71.29889448916856,72.54829313160857,73.05587689843216,48.78307753167988,97.56752025502273,78.45188718616492,40.60891944168115,17.52516051449015,73.5800048973862,42.96535075540028,81.98455847770309,67.94680027369203,57.07805922160827,69.72185267465728,160.0882072015052,70.83167032167057,76.21096784122747,42.463471851212915,70.16876991559155,61.14832755057918,52.127920677602845,90.92663070610391,55.25870324499332,183.33505609166644,72.42395704123926,49.053053217986275,47.38576705422633,98.18792396955764,32.34004774369963,70.55704104641396,35.92879556693357,50.68963426814448,61.896434579553,55.63548988646145,2,DET vs FullGradCam
3,model_2_m_0_cv1_act,60.60390029398261,56.052613711259575,46.24379008694815,48.831378422814936,68.53927079660637,50.303191693018334,100.19323885655913,65.9810440538757,70.43077573136503,73.90683854196685,51.96084891817396,64.69266583479691,61.38251391291152,33.50838516374974,30.73246558401322,104.952826881824,55.51091402592265,131.48797724073586,51.86790605843403,49.57008766102892,58.980166327027625,90.65790513148767,97.65617575856432,58.683825903734565,71.18618370380601,84.00047840285423,101.49703487598654,97.64543841643959,113.48772497440899,65.35938747283906,60.996167037862776,63.65852276218756,136.80302791397355,96.47687136293744,115.18083539970883,84.13497623572474,57.86591883442283,65.17047396448902,24.929062927240402,78.80839325785001,115.53712613501044,83.5661774062639,83.823006410186,74.35478786998301,39.23534076167274,110.8046246881975,55.005116352164684,23.281072140094693,97.14238356674726,63.36297012949396,67.26383297177179,87.82499916170994,88.42119692678318,194.6019554895291,70.5822403384471,95.0143781191409,46.129274860792314,54.82010039505648,39.422700699863306,35.8159619740308,120.45443880707087,39.1184303655457,45.45444155090347,60.30527919787359,77.56553289139096,99.22330149512271,48.57215620688143,39.68483908057743,115.11298731488074,97.54277632763626,55.55584804173729,61.50616129299058,69.61612516501572,50.64430565074579,66.22002559120443,78.9462870613117,98.53478896423127,46.38702985220203,67.04929638292066,148.44440438911158,63.398083197069816,69.13030759303493,102.79632676218642,32.32823055967016,51.17440472960406,37.562683705708935,43.58434824118238,58.49772357122954,95.46754410658122,36.66826720991679,65.90956689044663,51.618710013341854,76.08892640372638,47.51317050510559,49.74641890274529,134.18527709326884,62.912256365914665,107.36050888839324,25.315756036019163,72.6320611379205,35.65229715604442,107.40580754516964,70.51458540261717,93.01489745222237,63.36774464362801,72.81712451866721,106.07378671324524,62.88340152461919,73.98080569704499,64.32318949797767,62.66131975118681,94.9912853467981,65.45008420347358,77.86630938146511,18.191124999818918,69.09818911796972,34.689142732454386,87.38219753540832,55.46761779896706,84.26716599130258,80.59795760863264,170.88369445951867,77.37755385354276,99.00812199512895,45.65288607732313,64.46468290029658,60.540374140132926,42.69296220405724,89.98489719123077,63.10780208579064,164.5892905873809,58.4408977741199,50.039813575161325,44.43381351513031,97.11125906363644,34.965980248054294,58.804730061123564,36.265934282279446,47.77806282826721,52.1168105573547,60.67475849987489,2,DET vs FullGradCam
4,model_2_m_0_cv2_act,65.28202227613937,55.216601291454886,48.29633674135992,52.193647331714274,64.04372682437764,48.39570112286354,85.9346771375364,59.7650214167675,63.884975099866125,114.25755711625325,49.93676452009719,71.98388470392268,61.700575528484876,42.46273951818946,29.04552698539676,104.52197451588971,50.533012562920995,129.2976032326642,48.6210330242759,52.38566248324062,60.49769577995533,93.5366673646333,85.55615413563038,43.88479588327703,70.95382747307623,85.30987769045973,90.46245480930827,58.290043405555586,114.113695857984,55.87932049249142,67.72641158843834,60.568071248209264,137.43338963009725,68.41917948208692,114.0997584043177,80.30832620825808,71.02815661136157,79.23165366672103,30.52600465170766,66.67443624903521,107.38980125997406,92.43627004088144,83.36282340807968,73.16111217074399,39.40292740856633,115.57338189884867,52.900253112307716,25.3324163287806,98.33951524454145,87.45118008870018,65.85042256507828,73.07888057968123,87.95833778132896,180.62339358384804,62.866946263550986,95.1992298929087,43.840507117021986,93.34851843572433,35.56955439841734,35.30208293972201,89.46526463404547,34.257696362156736,46.030208979008584,54.32857743926493,72.39687014044173,101.58452770356291,55.414597116953715,40.08380880350498,85.40464595083898,117.58333839218004,56.27096755335805,61.27743560374326,71.07482602689645,58.11552107407212,60.557492257186404,67.68331906815439,103.88495601006,41.313999932628136,63.5898758802199,144.5606615079172,58.99030961592497,48.345625856628644,99.79953659653438,35.02338920343987,71.32998393503716,35.9692975091544,48.14134073153514,66.38135915745121,96.73279955075161,43.914394888083365,61.49717543985278,56.91043758926254,88.92111889382147,48.71617989505518,47.484767869536036,133.1891503288532,65.94947953222982,105.86392026293578,21.71324997862478,75.72643389098499,31.981671725186736,63.81521485249262,70.11507401612346,95.74047982673062,73.54149133485963,74.40451588154886,96.4671214133094,66.08847200030544,78.30346972028404,64.21608759526578,56.29690016502947,104.50529274901064,69.12956044966944,32.3624370115062,16.96186325504956,42.36813288533718,52.64597087729201,88.29092952472237,65.63304581885617,61.56324598197988,73.64006170886708,158.11741132658966,78.807703565958,85.90397237312608,50.161024515067936,64.70298249848628,51.01738893718927,55.502665126133195,89.07635687216077,59.133637749131665,202.5526691190426,70.49697402757886,56.01080306116632,48.573505715731095,91.20687259878666,37.33649660732679,67.24599833995197,35.430369973687576,47.09136788138491,59.14050562026015,61.05728155963226,2,DET vs FullGradCam
5,model_2_cv3_act,69.21049791233183,50.91488226658463,48.5979972194545,54.29751975759413,56.76480304037627,48.25016032341996,94.69856737989363,60.45844102569659,60.69911231476321,85.40483403121107,50.3925956811276,68.369989871746,59.60013021477053,44.14235404546159,38.08866179034876,103.26565343299073,112.72488279232341,131.9539169049238,48.970084868237365,58.79234786707316,59.936297008821235,95.8871184810036,83.63557310339417,38.44747159597479,60.89041476296285,70.69945481027696,79.02581789683069,54.016515362106645,124.01907529873078,51.49522904021069,67.0436831045373,52.31075651623892,133.73616218906488,100.14197000440092,107.14336439251382,77.29740060012264,61.193188604245364,52.472310553689994,31.120337597323434,62.62799289347589,118.86304991594017,91.97985358252038,82.19534917054682,73.99472419309274,40.81731663628716,133.9412398682754,51.238569659568235,23.347135816741122,97.43670895572279,61.858587539915206,62.46455605912973,70.96784172089374,91.23622524014675,214.22478374587098,71.61117090641434,94.24822264421557,91.45801695242079,49.22536557331779,35.22086540931246,30.292017143692554,85.80588920649595,36.08264464279428,42.918478067745156,55.71364138101181,72.29267349840009,91.47266123462654,42.21531910655027,37.53908685897375,111.14105888696267,121.33539767830018,52.97047173486148,63.25081677329915,71.78641492557439,55.49003459932277,63.494881693413035,87.37577244345269,96.96256371341119,54.069272960501124,68.56169872681446,146.98306221570616,54.903422114963284,48.90796825354904,98.68183083609448,38.87286446698195,42.83448238003024,48.035016096681886,42.412520271109656,61.653109133297974,85.90678832750831,33.68086166325624,52.3304840053395,65.50147008324501,74.76199269481276,45.887605627378925,48.495555711944746,134.57395559002347,49.34688556505584,103.56215434817419,24.941026573855726,77.29510036882215,30.882079914335733,99.34993834508677,75.11593839773138,81.9679761208586,64.77387850688545,71.10836454220225,98.38950899639394,62.75477220979238,78.74276720565702,65.54787481153909,52.609186196730505,106.1354162058888,71.59735804662809,36.737586222118544,19.250081330861853,73.68113817645542,50.88457425902491,72.90649958218276,59.46785579256809,68.12647667531292,67.03435436245681,162.8357078811985,72.3192365896037,82.20864212585131,39.66461118478082,59.70742019852068,59.90632756098507,60.547052645265865,92.74203720544838,59.11301507299736,167.42463896570501,71.79353568890868,56.12807930953085,45.5404677016061,68.25116449181542,35.02596912078905,49.570259840942356,35.498915956578564,40.01428686919743,59.52871437354491,69.3354257757349,2,DET vs FullGradCam
6,model_3_act,78.80353062226693,51.738194708709685,47.774954913273675,73.83118009636331,67.9494238693612,50.47770639635979,102.02535397270637,64.797979563306,62.85885635215626,91.98258913669551,54.321141894548205,73.54088602405868,78.8573988199457,47.695392726991535,27.728355184411484,101.6630483630934,68.36577871998824,130.02141132254994,50.22771036682878,64.30928436552352,58.44858831765034,102.02362549814995,78.4849479907508,49.223234047828754,67.11727789560732,81.54445355821647,88.10875517787646,76.94599498780646,114.83796826518801,45.52649177420523,60.75835558405382,55.49867083909321,150.38498191201828,92.19428524226952,99.29044202548405,88.00322358351447,71.09513331336478,54.2985400776017,29.38685296037391,77.05125851756279,122.7716943098737,106.6592874471791,91.60397390844513,80.08358096319205,54.18512770285744,140.11486305402144,48.032964469573685,26.14583781715865,97.57883013602046,67.1333112421838,70.26588638362573,89.05730667097524,84.98013430537603,192.33577983008138,70.46986981457646,95.85127670689252,49.53792595122165,57.27030142436566,40.117734277387314,41.48507831806553,85.73063855474518,54.109325072364925,51.142415152971495,54.891055876384726,67.54242241866763,113.32810752416884,39.430390872324686,42.62752175892813,85.25464351179494,95.44773593345447,47.92995146632481,53.25892095703927,70.61129030971853,55.65182442081928,49.48142939620737,93.77312459281008,94.56517309417288,59.52593060753362,72.0375748436537,151.8417734248731,50.14999483167507,50.328213728223076,98.84690854125942,28.841029847843703,75.93723415061646,37.42195872482436,54.62094397396976,52.10978545980581,84.9789409550805,88.49579913859864,63.23868232075361,54.88515106215112,61.715364375337394,50.82231210100115,50.18463779359418,142.95499127071002,59.5938168498788,110.9147302155821,26.93550263307427,91.17639155543127,42.43322851576218,76.75149680189858,61.85455776670195,110.87223379472601,76.63742039698437,62.37773773392014,104.80217989923338,68.02518204533801,68.40549752954722,75.56364812975043,46.66630301201451,113.51277390572407,74.73448473601502,27.860110758376216,32.98399591156614,44.10050935144332,47.431876682881494,113.7025240062431,58.59860062448697,74.77229503391024,67.63156013834914,164.37079456229552,65.21476081814858,92.96272267014751,45.36103063470344,64.52023971549269,70.14038510980352,53.09114354993288,98.02011402744188,81.71533619624945,143.5110851060737,68.34643653984637,54.175168277792906,40.60262119053585,98.93869374253576,40.751229300160844,60.165685318033944,42.33427888555015,56.38804971645766,57.16406278981358,59.53914877182032,2,DET vs FullGradCam
7,model_4_cv1_act,67.14756275841414,54.95879841604189,54.806363314308264,55.431853110696075,67.92652016088053,44.957084614609805,100.43240543598714,55.0991104418935,60.49406128324458,70.48672702283815,42.7515285644275,71.97220966521922,58.545052095337894,44.14758900374553,31.54901063357765,114.11067545245268,55.62613334210184,136.32405133370207,46.489572233722434,46.14901575444671,58.11787298290678,77.31237925328242,89.86347386311559,47.459373269844704,74.47201716795355,75.12071965746387,77.10923995227117,66.1043216817489,129.92659976394629,49.16336208074249,64.19678900981478,56.80900795693076,133.7359169624891,81.53903989907839,109.84155399024291,82.66799597356146,77.83567579479569,58.94946445881477,29.783624842945386,73.24887468629245,104.57910959183576,110.79818745269735,83.76737054670582,84.27450479065456,39.68883680158031,131.57037944936906,53.82063523001919,22.35722305767544,91.42461407198198,67.61987651477673,64.80792107112896,70.63214942054549,88.74943477562795,194.47823084557535,69.61898342027018,92.37257634346207,47.31216188589982,94.26604517778162,35.88722907379521,46.41903269197471,85.48287382064416,37.06800598939846,38.87326870142127,54.608273075406935,69.33208372152241,114.96646030680313,59.563597555949436,38.99766196478113,109.25607740992753,105.30485581977887,49.91244412864492,53.02956608619626,72.57327000839712,54.652348012563806,43.37011267394719,58.75899356061256,99.70582172964892,39.956699614118165,73.30218858808213,137.28197189902318,56.27272838406482,48.59878065682882,97.70656571838435,46.19283984904423,47.39422376244348,38.5434627601072,38.820013639841534,76.08296235772717,83.2371728020756,70.76547485529997,60.86922000654767,56.305030320626656,82.95181884497018,49.917965938692056,50.264073701843124,124.56196494063877,43.880293070348614,118.67364994750035,26.421162307955207,71.58930048699955,34.954476165437384,102.71380161473837,68.57813095257671,111.69568638830066,57.674519356456706,83.7217185432284,97.08957396514484,64.6068584059315,72.89558192577587,63.55355395219203,56.35517517471257,114.33388423280405,64.26553872280687,30.32981407726727,17.991867790189502,68.23401322934365,38.49986240120728,110.1806091024676,57.51887298463322,75.3967252310833,75.62692665720033,164.87463765134697,85.10375845726674,100.45907939771712,43.226484223840785,72.605471374925,74.87682426558314,53.52402276921811,95.00211368048764,54.277693535058035,167.91049209299237,72.11959524023005,55.7490001393209,41.6568219113874,58.91483341279323,36.29956600243548,67.5759721852603,35.04089678156474,44.32744037976832,57.929066942631195,73.19583935855619,2,DET vs FullGradCam
8,model_4_cv2_act,63.03154836638855,41.76010041162971,68.96137764412308,49.91160226370908,47.64484099685965,44.97326432309098,88.63842340720734,64.38960021393109,53.757198499474946,93.10177753791154,57.70483489285438,73.63360076882233,58.113399601383264,77.9238008076959,24.430264048146075,89.26175484119915,103.80134463673414,118.72850059255983,48.11767255553333,81.08812790017973,58.05928639813074,98.44360308718441,111.87958396171025,40.39587755151529,64.64261924180249,83.13982177603205,70.65739752306229,76.57013945842094,120.2237272477654,48.10629862113352,57.07761913385134,50.415505200796744,105.10472222411413,77.54026316995156,106.45897278267444,87.13902748012936,72.20770307200848,41.422026652205005,28.870366287692793,64.65265537523541,108.09549252436992,88.27919255736148,80.23833640587839,74.66370496325966,55.93966243955639,135.962395258593,50.97760154017661,49.89943537611916,96.13519217229992,58.21923733269581,69.58249062932092,80.56915721014408,75.64261219930592,211.07570371822652,66.42597749990651,87.89592983305002,43.954960705694134,52.911981042697036,38.30031712666562,27.762658880290264,92.21296049537958,38.456482875258374,52.07924650944638,53.95223262008437,81.35238606381847,96.06727027373371,40.37284431164649,42.70385200502323,84.9994320735978,97.39765238613803,56.76076062491791,48.58075677328247,68.98825238852108,48.525396764991044,64.50578292232598,64.83656958608921,97.32374768430196,51.491434211538134,68.92913454028736,140.68846212049493,53.38504488887078,51.30936718295921,98.62374950560749,27.852446907169664,46.87708240959704,38.14846866756775,39.13654284160912,53.853805384506856,78.8177202735007,81.63062454644145,70.12805126258836,63.27513484751125,77.4845481005192,47.26664239302044,49.004986917453635,127.04860793544222,65.195326699992,93.91171894762635,27.81760343637741,84.87892887215637,32.635712780673344,53.238652945004844,60.153470178689396,82.7749838591167,61.51226990255,75.65993074314895,98.8797705763973,69.46674098428865,73.536842800947,70.7085019309867,52.88066181054475,110.26082973704487,77.59362690131043,24.853918546760077,27.99704740268185,41.91524001152942,41.26984864259041,172.50016204295028,59.556170396817436,71.9649122838807,56.00442691203695,169.76832890306702,73.47521492434825,86.69565760159448,58.21263066343627,75.89411493850531,53.35247522329587,46.59884831213431,75.29362708630337,74.66206803188513,130.88449172178142,71.29647727517929,62.27720858807631,45.952835231443224,97.08010753110025,31.904569390086085,52.7373362721999,40.820220465392794,62.87491812425835,59.413437144142506,58.6709552269303,2,DET vs FullGradCam
9,model_4_m_0_cv1_act,78.94345326449317,53.078811948125036,43.33195671997695,53.19301668511528,69.31467125481598,49.18912482899179,94.27303305493008,53.575562469967416,64.02466859335843,107.06942127197473,41.920561662125856,73.26912656539167,55.635933551731526,42.98633940738387,25.87151642984301,103.1129398220651,58.98811264524482,140.51189322147468,52.248308629920594,62.88500383928619,58.37699860397007,105.82697588794065,86.44061468176062,44.97849843584603,72.42422079287076,77.31226713436408,91.4839772999029,90.11251253636675,115.03725488298554,48.7029393874616,68.44726003980331,48.63315610017229,140.7157045100248,81.56934026562669,111.89691991052013,89.07688208182388,73.9505761447702,47.804439327601685,27.982983726308873,69.76266446886487,112.56743344702852,104.32452504511153,97.24711998993095,82.22430388793411,43.21136026801463,120.053411550304,55.014305148400396,21.710917413573313,66.33048451055313,63.131440928803386,64.54861797094297,88.17495958152792,83.63244398440968,175.05651777221573,66.07149258747027,95.99795090955311,88.79532214956288,54.38447079828628,38.3487713432936,36.225676177182976,113.91492870064985,38.02780227728983,49.862313886643115,57.394969260032994,70.48776517047202,102.76428152563422,65.31785462500912,38.90396998819864,105.84176240923978,98.03280399119251,53.17365215696378,57.575264123633005,76.70535600484521,55.99000599862644,58.314854628423674,84.85384189880749,96.75693919649473,47.38615809308749,75.86969163674607,155.15442646372767,49.30330214642401,47.55942916364948,81.31141187281308,40.45275142143584,66.11907163034257,38.2307808188249,43.20073864655686,69.87018058483432,80.96167389440409,85.85087553515683,54.29064747757104,56.35532228271436,60.89436558577607,46.000230744828414,47.89744351814238,83.91208208567929,63.802399002794644,114.69539447928099,25.444596682669726,70.26454775249536,39.657304498009054,76.42818386626531,71.75991710541987,125.05452085106852,76.72103582804789,68.98704473552648,95.9608738019374,70.04577059217473,74.99094831866817,67.56442969429938,58.8909796895205,108.01116391853103,69.2118617082441,31.156444938387615,19.269763356532998,66.16189242225917,41.577859914571775,113.57236920708772,57.03277421833808,68.07092479058645,69.43268455109485,167.31446966535856,75.10224103557088,90.98510597501081,47.82228334877888,62.10194517107321,83.1504996971912,51.7175510404241,84.30051578535759,57.01656432334634,144.9830759214878,72.76488966177908,52.26330461827147,40.84149928189321,96.02641580264356,41.349972518533974,93.03478795587651,35.071787254263754,64.7359010398497,49.94036666153475,67.0152071767255,2,DET vs FullGradCam
