,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,0.40799280037544233
1,model_2_cv1_act,1,DET vs FullGradCam,68,0.3262571899074365
2,model_2_cv2_act,1,DET vs FullGradCam,68,0.37002637411207473
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,0.38870328791766934
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,0.3515133332617885
5,model_2_cv3_act,1,DET vs FullGradCam,68,0.2627410926504946
6,model_3_act,1,DET vs FullGradCam,68,0.36618397789674556
7,model_4_cv1_act,1,DET vs FullGradCam,68,0.2144230971041443
8,model_4_cv2_act,1,DET vs FullGradCam,68,0.31951071254849156
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,0.40431954190118624
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,0.3507204389681619
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,0.26326754991467727
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,0.2817515997975077
13,model_4_cv3_act,1,DET vs FullGradCam,68,0.2749648544073756
14,model_5_act,1,DET vs FullGradCam,68,0.21952507819731143
15,model_6_cv1_act,1,DET vs FullGradCam,68,0.35183241627749623
16,model_6_cv2_act,1,DET vs FullGradCam,68,0.059910868011450784
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,0.3128891051438264
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,0.2690830916813849
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,0.38466120396307973
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,0.3461692577947376
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,0.4617738287591745
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,0.47455872705022173
23,model_6_cv3_act,1,DET vs FullGradCam,68,0.21555657349083876
24,model_7_act,2,DET vs FullGradCam,68,0.2865263591774841
25,model_8_cv1_act,2,DET vs FullGradCam,68,0.3049502286605547
26,model_8_cv2_act,2,DET vs FullGradCam,68,0.31330338308290795
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,68,0.37258636135148054
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,68,0.5486738360199567
29,model_8_cv3_act,2,DET vs FullGradCam,68,0.3035109083343058
30,model_9_cv1_act,2,DET vs FullGradCam,68,0.2563329717458423
