,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,0.4578359458910039
1,model_2_cv1_act,1,DET vs FullGradCam,68,0.3917796070652407
2,model_2_cv2_act,1,DET vs FullGradCam,68,0.42453021644252137
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,0.4372418414524406
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,0.41223878219362864
5,model_2_cv3_act,1,DET vs FullGradCam,68,0.33435636297102583
6,model_3_act,1,DET vs FullGradCam,68,0.42417724713984345
7,model_4_cv1_act,1,DET vs FullGradCam,68,0.30220681600760346
8,model_4_cv2_act,1,DET vs FullGradCam,68,0.38175479623237396
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,0.45580750724297076
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,0.410675243683579
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,0.34065797215801386
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,0.3520194428957305
13,model_4_cv3_act,1,DET vs FullGradCam,68,0.3474081196961802
14,model_5_act,1,DET vs FullGradCam,68,0.3028011436035429
15,model_6_cv1_act,1,DET vs FullGradCam,68,0.4110284925646995
16,model_6_cv2_act,1,DET vs FullGradCam,68,0.17691490875037807
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,0.38158396052977966
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,0.3474148917783869
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,0.43938581016970374
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,0.4078770678151756
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,0.5041550107526712
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,0.5123610306755471
23,model_6_cv3_act,1,DET vs FullGradCam,68,0.29781515140386927
24,model_7_act,2,DET vs FullGradCam,68,0.3603033241973425
25,model_8_cv1_act,2,DET vs FullGradCam,68,0.37007215758378337
26,model_8_cv2_act,2,DET vs FullGradCam,68,0.3378932310664371
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,68,0.4289960342416714
28,model_8_m_0_cv2_act,1,DET vs FullGradCam,68,0.5766391295038594
29,model_8_cv3_act,2,DET vs FullGradCam,68,0.3743963173114234
30,model_9_cv1_act,2,DET vs FullGradCam,68,0.3388154939780287
31,model_9_cv2_act,2,DET vs FullGradCam,68,0.09161766412529192
32,model_10_act,2,DET vs FullGradCam,68,0.1863381290022993
33,model_13_cv1_act,2,DET vs FullGradCam,68,0.14423567553659483
34,model_13_cv2_act,2,DET vs FullGradCam,68,0.24590572741582878
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,68,0.27535674539978716
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,68,0.260830726747921
37,model_13_cv3_act,2,DET vs FullGradCam,68,0.3113734095503497
38,model_14_act,1,DET vs FullGradCam,68,0.26015769908915054
39,model_17_cv1_act,1,DET vs FullGradCam,68,0.2939479734506354
40,model_17_cv2_act,1,DET vs FullGradCam,68,0.27125628489966597
41,model_17_m_0_cv1_act,1,DET vs FullGradCam,68,0.29201421964944896
42,model_17_m_0_cv2_act,1,DET vs FullGradCam,68,0.2735791300702307
43,model_17_cv3_act,1,DET vs FullGradCam,68,0.2986821754458997
44,model_1_act,1,DET vs FullGradCam,241,0.45761718070713564
45,model_2_cv1_act,1,DET vs FullGradCam,241,0.5110359272733839
46,model_2_cv2_act,1,DET vs FullGradCam,241,0.6321646668978715
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,241,0.4863242817907269
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,241,0.5774782776083837
49,model_2_cv3_act,1,DET vs FullGradCam,241,0.5322534051810215
50,model_3_act,1,DET vs FullGradCam,241,0.5676757464741569
51,model_4_cv1_act,1,DET vs FullGradCam,241,0.5293264032928404
52,model_4_cv2_act,1,DET vs FullGradCam,241,0.5760033609120623
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,241,0.5193448897682934
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,241,0.4986396483842864
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,241,0.4733696176005206
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,241,0.4647770755289603
57,model_4_cv3_act,1,DET vs FullGradCam,241,0.5445077672965989
58,model_5_act,1,DET vs FullGradCam,241,0.590079267758123
59,model_6_cv1_act,1,DET vs FullGradCam,241,0.5691153756815291
60,model_6_cv2_act,1,DET vs FullGradCam,241,0.46037708674489414
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,241,0.5312893672820485
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,241,0.5172253910684228
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,241,0.5547374426633337
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,241,0.5274208712543681
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,241,0.5047330299172719
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,241,0.48386990532554214
67,model_6_cv3_act,1,DET vs FullGradCam,241,0.5107524948525038
68,model_7_act,2,DET vs FullGradCam,241,0.5252400205912708
69,model_8_cv1_act,2,DET vs FullGradCam,241,0.4397948627140381
70,model_8_cv2_act,2,DET vs FullGradCam,241,0.45561190081707886
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,241,0.427292177935128
72,model_8_m_0_cv2_act,1,DET vs FullGradCam,241,0.4875524111334137
73,model_8_cv3_act,2,DET vs FullGradCam,241,0.6364846440311724
74,model_9_cv1_act,2,DET vs FullGradCam,241,0.5637916523182613
75,model_9_cv2_act,2,DET vs FullGradCam,241,0.38771120053435476
76,model_10_act,2,DET vs FullGradCam,241,0.44025605711415633
77,model_13_cv1_act,2,DET vs FullGradCam,241,0.3840559875970705
78,model_13_cv2_act,2,DET vs FullGradCam,241,0.34796611988801207
79,model_13_m_0_cv1_act,2,DET vs FullGradCam,241,0.4660347940296744
80,model_13_m_0_cv2_act,2,DET vs FullGradCam,241,0.48599194134463924
81,model_13_cv3_act,2,DET vs FullGradCam,241,0.5668709331303685
82,model_14_act,1,DET vs FullGradCam,241,0.5060164004165529
83,model_17_cv1_act,1,DET vs FullGradCam,241,0.5039327248842769
84,model_17_cv2_act,1,DET vs FullGradCam,241,0.40111088205847195
85,model_17_m_0_cv1_act,1,DET vs FullGradCam,241,0.4962741021463215
86,model_17_m_0_cv2_act,1,DET vs FullGradCam,241,0.4938887874571706
87,model_17_cv3_act,1,DET vs FullGradCam,241,0.5409211063820158
88,model_1_act,1,DET vs FullGradCam,344,0.6482716885478218
89,model_2_cv1_act,1,DET vs FullGradCam,344,0.6351060473096808
90,model_2_cv2_act,1,DET vs FullGradCam,344,0.6730730063013287
91,model_2_m_0_cv1_act,1,DET vs FullGradCam,344,0.6228780997174205
92,model_2_m_0_cv2_act,1,DET vs FullGradCam,344,0.6786471478922244
93,model_2_cv3_act,1,DET vs FullGradCam,344,0.6709908924610799
94,model_3_act,1,DET vs FullGradCam,344,0.6047282681071885
95,model_4_cv1_act,1,DET vs FullGradCam,344,0.5215096391866255
96,model_4_cv2_act,1,DET vs FullGradCam,344,0.5793194485366577
97,model_4_m_0_cv1_act,1,DET vs FullGradCam,344,0.6123588933697685
98,model_4_m_0_cv2_act,1,DET vs FullGradCam,344,0.6066583491451488
99,model_4_m_1_cv1_act,1,DET vs FullGradCam,344,0.6448237369582897
100,model_4_m_1_cv2_act,1,DET vs FullGradCam,344,0.6338901778738585
101,model_4_cv3_act,1,DET vs FullGradCam,344,0.5602832324585105
102,model_5_act,1,DET vs FullGradCam,344,0.5860706657736818
103,model_6_cv1_act,1,DET vs FullGradCam,344,0.5032782171994108
104,model_6_cv2_act,1,DET vs FullGradCam,344,0.5609672057354218
105,model_6_m_0_cv1_act,1,DET vs FullGradCam,344,0.6050449591658981
106,model_6_m_0_cv2_act,1,DET vs FullGradCam,344,0.5859187684634833
107,model_6_m_1_cv1_act,1,DET vs FullGradCam,344,0.6137861477315683
108,model_6_m_1_cv2_act,1,DET vs FullGradCam,344,0.6205580146367473
109,model_6_m_2_cv1_act,1,DET vs FullGradCam,344,0.6352763254864177
110,model_6_m_2_cv2_act,1,DET vs FullGradCam,344,0.6050488716054342
111,model_6_cv3_act,1,DET vs FullGradCam,344,0.5329571976618612
112,model_7_act,2,DET vs FullGradCam,344,0.5840297924341303
113,model_8_cv1_act,2,DET vs FullGradCam,344,0.5547773580024256
114,model_8_cv2_act,2,DET vs FullGradCam,344,0.5192770423460532
115,model_8_m_0_cv1_act,2,DET vs FullGradCam,344,0.5495569301663215
116,model_8_m_0_cv2_act,1,DET vs FullGradCam,344,0.570159488393377
117,model_8_cv3_act,2,DET vs FullGradCam,344,0.5858420893213574
118,model_9_cv1_act,2,DET vs FullGradCam,344,0.5820895046975648
119,model_9_cv2_act,2,DET vs FullGradCam,344,0.3829345470677729
120,model_10_act,2,DET vs FullGradCam,344,0.562305749350949
121,model_13_cv1_act,2,DET vs FullGradCam,344,0.3628724507057014
122,model_13_cv2_act,2,DET vs FullGradCam,344,0.4791665291981041
123,model_13_m_0_cv1_act,2,DET vs FullGradCam,344,0.4923687287866284
124,model_13_m_0_cv2_act,2,DET vs FullGradCam,344,0.500167038459255
125,model_13_cv3_act,2,DET vs FullGradCam,344,0.4824669242601282
126,model_14_act,1,DET vs FullGradCam,344,0.4671121528315051
127,model_17_cv1_act,1,DET vs FullGradCam,344,0.5375941035190592
128,model_17_cv2_act,1,DET vs FullGradCam,344,0.4428729799596208
129,model_17_m_0_cv1_act,1,DET vs FullGradCam,344,0.43816855576304437
130,model_17_m_0_cv2_act,1,DET vs FullGradCam,344,0.5023401020521073
131,model_17_cv3_act,1,DET vs FullGradCam,344,0.49580746423848227
132,model_1_act,1,DET vs FullGradCam,180,0.4972800626797087
133,model_2_cv1_act,1,DET vs FullGradCam,180,0.4958574700048605
134,model_2_cv2_act,1,DET vs FullGradCam,180,0.48269221884003793
135,model_2_m_0_cv1_act,1,DET vs FullGradCam,180,0.48813898200711026
136,model_2_m_0_cv2_act,1,DET vs FullGradCam,180,0.4980253052942165
137,model_2_cv3_act,1,DET vs FullGradCam,180,0.4862988835502689
138,model_3_act,1,DET vs FullGradCam,180,0.4579429815905183
139,model_4_cv1_act,1,DET vs FullGradCam,180,0.3761291653458555
140,model_4_cv2_act,1,DET vs FullGradCam,180,0.4419576191828211
141,model_4_m_0_cv1_act,1,DET vs FullGradCam,180,0.50551053996732
142,model_4_m_0_cv2_act,1,DET vs FullGradCam,180,0.48138326967785366
143,model_4_m_1_cv1_act,1,DET vs FullGradCam,180,0.4758503990695436
144,model_4_m_1_cv2_act,1,DET vs FullGradCam,180,0.5218637560685616
145,model_4_cv3_act,1,DET vs FullGradCam,180,0.4446482584598641
146,model_5_act,1,DET vs FullGradCam,180,0.4425799221902583
147,model_6_cv1_act,1,DET vs FullGradCam,180,0.3555593865180853
148,model_6_cv2_act,1,DET vs FullGradCam,180,0.4407233495329838
149,model_6_m_0_cv1_act,1,DET vs FullGradCam,180,0.5099456602075428
150,model_6_m_0_cv2_act,1,DET vs FullGradCam,180,0.4737063457369555
151,model_6_m_1_cv1_act,1,DET vs FullGradCam,180,0.4693734126091671
152,model_6_m_1_cv2_act,1,DET vs FullGradCam,180,0.26399386739954006
153,model_6_m_2_cv1_act,1,DET vs FullGradCam,180,0.39152603032698713
154,model_6_m_2_cv2_act,1,DET vs FullGradCam,180,0.46754593395634564
155,model_6_cv3_act,1,DET vs FullGradCam,180,0.4308581277126893
156,model_7_act,2,DET vs FullGradCam,180,0.4591176619037755
157,model_8_cv1_act,2,DET vs FullGradCam,180,0.46515015784483743
158,model_8_cv2_act,2,DET vs FullGradCam,180,0.524920082177258
