,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,0.3057130341619656
1,model_2_cv1_act,1,DET vs FullGradCam,68,0.3235617029069204
2,model_2_cv2_act,1,DET vs FullGradCam,68,0.3163302736299002
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,0.30904860536099993
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,0.31153672046462116
5,model_2_cv3_act,1,DET vs FullGradCam,68,0.3460608648185624
6,model_3_act,1,DET vs FullGradCam,68,0.3220115383458981
7,model_4_cv1_act,1,DET vs FullGradCam,68,0.3445855283956381
8,model_4_cv2_act,1,DET vs FullGradCam,68,0.32967842109373524
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,0.3035757456271649
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,0.30808419751999433
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,0.3276629582429149
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,0.32819944601487927
13,model_4_cv3_act,1,DET vs FullGradCam,68,0.35036809679569214
14,model_5_act,1,DET vs FullGradCam,68,0.38776152660659235
15,model_6_cv1_act,1,DET vs FullGradCam,68,0.34614709372172137
16,model_6_cv2_act,1,DET vs FullGradCam,68,0.42398185223926493
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,0.3298360961176012
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,0.3501175153375867
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,0.29990923817147275
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,0.31655854555832696
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,0.24800291814465128
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,0.25727887166721064
23,model_6_cv3_act,1,DET vs FullGradCam,68,0.35674819662324164
24,model_7_act,3,DET vs FullGradCam,68,0.34173255728891705
25,model_8_cv1_act,3,DET vs FullGradCam,68,0.3180830060600077
26,model_8_cv2_act,3,DET vs FullGradCam,68,0.37330787953994565
27,model_8_m_0_cv1_act,3,DET vs FullGradCam,68,0.2991368871120528
28,model_8_m_0_cv2_act,3,DET vs FullGradCam,68,0.24224257353785236
29,model_8_cv3_act,3,DET vs FullGradCam,68,0.3503283485323766
30,model_9_cv1_act,3,DET vs FullGradCam,68,0.36302175455987495
31,model_9_cv2_act,2,DET vs FullGradCam,68,0.5131362158195621
32,model_10_act,2,DET vs FullGradCam,68,0.3754080593842929
33,model_13_cv1_act,2,DET vs FullGradCam,68,0.47106631780211217
34,model_13_cv2_act,2,DET vs FullGradCam,68,0.38970517278293554
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,68,0.3448232554455198
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,68,0.3439141620786856
37,model_13_cv3_act,2,DET vs FullGradCam,68,0.32275744146472907
38,model_14_act,2,DET vs FullGradCam,68,0.4046399312552785
39,model_17_cv1_act,2,DET vs FullGradCam,68,0.36032457205246754
40,model_17_cv2_act,2,DET vs FullGradCam,68,0.36008370905829495
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,68,0.3655805741671328
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,68,0.35458489313794994
43,model_17_cv3_act,2,DET vs FullGradCam,68,0.3414727816645692
44,model_1_act,1,DET vs FullGradCam,241,0.32655326521885464
45,model_2_cv1_act,1,DET vs FullGradCam,241,0.3142663530397164
46,model_2_cv2_act,1,DET vs FullGradCam,241,0.28198005190360637
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,241,0.31123538673925405
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,241,0.29616742628481807
49,model_2_cv3_act,1,DET vs FullGradCam,241,0.31494029548592267
50,model_3_act,1,DET vs FullGradCam,241,0.2955077946152365
51,model_4_cv1_act,1,DET vs FullGradCam,241,0.3155100800943582
52,model_4_cv2_act,1,DET vs FullGradCam,241,0.27074084548194627
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,241,0.3132340121269545
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,241,0.3143751922569445
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,241,0.3173496880913188
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,241,0.317215018085113
57,model_4_cv3_act,1,DET vs FullGradCam,241,0.2899990631466412
58,model_5_act,1,DET vs FullGradCam,241,0.26869474728205783
59,model_6_cv1_act,1,DET vs FullGradCam,241,0.2912476103732419
60,model_6_cv2_act,1,DET vs FullGradCam,241,0.3201820682576951
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,241,0.29800648226998644
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,241,0.30484642605811374
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,241,0.29027911364119824
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,241,0.2986170394429684
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,241,0.3139430564146474
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,241,0.3189027146833085
67,model_6_cv3_act,1,DET vs FullGradCam,241,0.27966528683074404
68,model_7_act,3,DET vs FullGradCam,241,0.29834332249059564
69,model_8_cv1_act,3,DET vs FullGradCam,241,0.3387684893877026
70,model_8_cv2_act,3,DET vs FullGradCam,241,0.34046621751012446
71,model_8_m_0_cv1_act,3,DET vs FullGradCam,241,0.3392621523369777
72,model_8_m_0_cv2_act,3,DET vs FullGradCam,241,0.31541219086760447
73,model_8_cv3_act,3,DET vs FullGradCam,241,0.27333334535259246
74,model_9_cv1_act,3,DET vs FullGradCam,241,0.3004458536002648
75,model_9_cv2_act,2,DET vs FullGradCam,241,0.32136785951290275
76,model_10_act,2,DET vs FullGradCam,241,0.29577861363890795
77,model_13_cv1_act,2,DET vs FullGradCam,241,0.32591368068176857
78,model_13_cv2_act,2,DET vs FullGradCam,241,0.3269080156715826
79,model_13_m_0_cv1_act,2,DET vs FullGradCam,241,0.3094927834342549
80,model_13_m_0_cv2_act,2,DET vs FullGradCam,241,0.3125837699312658
81,model_13_cv3_act,2,DET vs FullGradCam,241,0.2625933815585926
82,model_14_act,2,DET vs FullGradCam,241,0.2607502491992576
83,model_17_cv1_act,2,DET vs FullGradCam,241,0.30063661061695834
84,model_17_cv2_act,2,DET vs FullGradCam,241,0.29999464751511656
85,model_17_m_0_cv1_act,2,DET vs FullGradCam,241,0.25554617786288464
86,model_17_m_0_cv2_act,2,DET vs FullGradCam,241,0.2595303188964845
87,model_17_cv3_act,2,DET vs FullGradCam,241,0.2851455511047716
88,model_1_act,1,DET vs FullGradCam,344,0.24618062826656062
89,model_2_cv1_act,1,DET vs FullGradCam,344,0.2548511090283384
90,model_2_cv2_act,1,DET vs FullGradCam,344,0.23754566782461756
