,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,68,85.78929512159226
1,model_2_cv1_act,1,DET vs FullGradCam,68,97.3880212479767
2,model_2_cv2_act,1,DET vs FullGradCam,68,81.67355684671745
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,68,85.17055871249511
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,68,91.83698474992387
5,model_2_cv3_act,1,DET vs FullGradCam,68,96.03607788356209
6,model_3_act,1,DET vs FullGradCam,68,77.83418809469791
7,model_4_cv1_act,1,DET vs FullGradCam,68,93.72780103846567
8,model_4_cv2_act,1,DET vs FullGradCam,68,85.82176700550325
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,68,90.3377672750704
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,68,85.1150492883029
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,68,89.19851771008993
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,68,87.92035391919939
13,model_4_cv3_act,1,DET vs FullGradCam,68,98.26718364739529
14,model_5_act,1,DET vs FullGradCam,68,90.2488769338713
15,model_6_cv1_act,1,DET vs FullGradCam,68,82.4612259700545
16,model_6_cv2_act,1,DET vs FullGradCam,68,94.11376909020558
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,68,81.16801375563298
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,68,83.53568120835938
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,68,65.16046833402095
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,68,77.0312262322812
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,68,58.240503331751235
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,68,58.357154394817755
23,model_6_cv3_act,1,DET vs FullGradCam,68,96.78955173315225
24,model_7_act,1,DET vs FullGradCam,68,88.53592841410307
25,model_8_cv1_act,1,DET vs FullGradCam,68,76.04148336279935
26,model_8_cv2_act,1,DET vs FullGradCam,68,98.76551401186123
27,model_8_m_0_cv1_act,1,DET vs FullGradCam,68,64.8116551291873
28,model_8_m_0_cv2_act,1,DET vs FullGradCam,68,65.27208161727106
29,model_8_cv3_act,1,DET vs FullGradCam,68,88.77609748563401
30,model_9_cv1_act,1,DET vs FullGradCam,68,92.36240553040173
31,model_9_cv2_act,2,DET vs FullGradCam,68,101.48441512553391
32,model_10_act,2,DET vs FullGradCam,68,78.70577602348384
33,model_13_cv1_act,2,DET vs FullGradCam,68,109.31113687990967
34,model_13_cv2_act,2,DET vs FullGradCam,68,100.05583908363829
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,68,82.44018360573388
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,68,81.43906591031975
37,model_13_cv3_act,2,DET vs FullGradCam,68,77.21968794275587
38,model_14_act,2,DET vs FullGradCam,68,83.17775751296588
39,model_17_cv1_act,2,DET vs FullGradCam,68,100.07209146867095
40,model_17_cv2_act,2,DET vs FullGradCam,68,82.61408690368333
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,68,88.83744432585496
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,68,90.1720428410558
43,model_17_cv3_act,2,DET vs FullGradCam,68,83.30724377276279
44,model_1_act,1,DET vs FullGradCam,241,87.8033197079205
45,model_2_cv1_act,1,DET vs FullGradCam,241,85.6156792577722
46,model_2_cv2_act,1,DET vs FullGradCam,241,76.61678201066937
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,241,84.76574350268122
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,241,81.50631325910618
49,model_2_cv3_act,1,DET vs FullGradCam,241,98.07816582327243
50,model_3_act,1,DET vs FullGradCam,241,79.28880664534105
51,model_4_cv1_act,1,DET vs FullGradCam,241,83.65940086859288
52,model_4_cv2_act,1,DET vs FullGradCam,241,71.97170925276005
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,241,90.99431347932668
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,241,86.3911662552624
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,241,84.85784450154875
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,241,92.59675678300997
57,model_4_cv3_act,1,DET vs FullGradCam,241,79.49151461156445
58,model_5_act,1,DET vs FullGradCam,241,72.3984705681861
59,model_6_cv1_act,1,DET vs FullGradCam,241,75.26416575607419
60,model_6_cv2_act,1,DET vs FullGradCam,241,83.35771975971143
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,241,87.42609996236177
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,241,81.10461743739845
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,241,81.96170409268893
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,241,74.9655452521244
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,241,79.35993967658983
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,241,80.73081143473485
67,model_6_cv3_act,1,DET vs FullGradCam,241,81.57419727995995
68,model_7_act,1,DET vs FullGradCam,241,76.82013308652594
69,model_8_cv1_act,1,DET vs FullGradCam,241,89.72430295002593
70,model_8_cv2_act,1,DET vs FullGradCam,241,87.97224476052781
71,model_8_m_0_cv1_act,1,DET vs FullGradCam,241,89.99217480322577
72,model_8_m_0_cv2_act,1,DET vs FullGradCam,241,84.73795136921913
73,model_8_cv3_act,1,DET vs FullGradCam,241,73.39422844288347
74,model_9_cv1_act,1,DET vs FullGradCam,241,76.06723632522122
75,model_9_cv2_act,2,DET vs FullGradCam,241,78.05895771646391
76,model_10_act,2,DET vs FullGradCam,241,76.94574221455554
77,model_13_cv1_act,2,DET vs FullGradCam,241,79.57830893103463
78,model_13_cv2_act,2,DET vs FullGradCam,241,78.90866960536184
79,model_13_m_0_cv1_act,2,DET vs FullGradCam,241,73.82915848400654
80,model_13_m_0_cv2_act,2,DET vs FullGradCam,241,81.89910560957202
81,model_13_cv3_act,2,DET vs FullGradCam,241,69.65750978255424
82,model_14_act,2,DET vs FullGradCam,241,68.76410461990436
83,model_17_cv1_act,2,DET vs FullGradCam,241,77.74381789613159
84,model_17_cv2_act,2,DET vs FullGradCam,241,76.93977723384745
85,model_17_m_0_cv1_act,2,DET vs FullGradCam,241,74.86028018354011
86,model_17_m_0_cv2_act,2,DET vs FullGradCam,241,75.66252521780311
87,model_17_cv3_act,2,DET vs FullGradCam,241,76.74394937254056
88,model_1_act,1,DET vs FullGradCam,344,67.66719119145986
89,model_2_cv1_act,1,DET vs FullGradCam,344,73.13291543370136
90,model_2_cv2_act,1,DET vs FullGradCam,344,66.78031997865699
91,model_2_m_0_cv1_act,1,DET vs FullGradCam,344,74.55826743286167
92,model_2_m_0_cv2_act,1,DET vs FullGradCam,344,65.9312766200299
93,model_2_cv3_act,1,DET vs FullGradCam,344,66.15294846448083
94,model_3_act,1,DET vs FullGradCam,344,81.56912595951127
95,model_4_cv1_act,1,DET vs FullGradCam,344,92.8247417181445
96,model_4_cv2_act,1,DET vs FullGradCam,344,78.65480182965709
97,model_4_m_0_cv1_act,1,DET vs FullGradCam,344,77.22366137327438
98,model_4_m_0_cv2_act,1,DET vs FullGradCam,344,72.52778203948493
99,model_4_m_1_cv1_act,1,DET vs FullGradCam,344,82.30221100932243
100,model_4_m_1_cv2_act,1,DET vs FullGradCam,344,74.41134912585262
101,model_4_cv3_act,1,DET vs FullGradCam,344,79.59960287059249
102,model_5_act,1,DET vs FullGradCam,344,81.18833560604264
103,model_6_cv1_act,1,DET vs FullGradCam,344,100.35277537573002
104,model_6_cv2_act,1,DET vs FullGradCam,344,80.64213540784161
105,model_6_m_0_cv1_act,1,DET vs FullGradCam,344,88.47217081966929
106,model_6_m_0_cv2_act,1,DET vs FullGradCam,344,85.54518281712393
107,model_6_m_1_cv1_act,1,DET vs FullGradCam,344,86.04572832468881
108,model_6_m_1_cv2_act,1,DET vs FullGradCam,344,76.88098694866906
109,model_6_m_2_cv1_act,1,DET vs FullGradCam,344,82.99396005817167
110,model_6_m_2_cv2_act,1,DET vs FullGradCam,344,79.20273852938917
111,model_6_cv3_act,1,DET vs FullGradCam,344,88.69910670629878
112,model_7_act,1,DET vs FullGradCam,344,65.22243735916791
113,model_8_cv1_act,1,DET vs FullGradCam,344,80.69893111516535
114,model_8_cv2_act,1,DET vs FullGradCam,344,68.4195456780248
