,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,760,0.289425483781216
1,model_2_cv1_act,1,DET vs FullGradCam,760,0.31179393469753697
2,model_2_cv2_act,1,DET vs FullGradCam,760,0.34122178975009704
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,760,0.3053053382174087
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,760,0.30876696403306964
5,model_2_cv3_act,1,DET vs FullGradCam,760,0.3135081093897841
6,model_3_act,1,DET vs FullGradCam,760,0.3023563054081622
7,model_4_cv1_act,1,DET vs FullGradCam,760,0.32237449814660285
8,model_4_cv2_act,1,DET vs FullGradCam,760,0.32780132013561225
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,760,0.31194810095952386
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,760,0.3232866575215179
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,760,0.3114738524159016
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,760,0.31336260371638897
13,model_4_cv3_act,1,DET vs FullGradCam,760,0.3344039269569995
14,model_5_act,2,DET vs FullGradCam,760,0.33292219202852674
15,model_6_cv1_act,2,DET vs FullGradCam,760,0.30780432829470705
16,model_6_cv2_act,2,DET vs FullGradCam,760,0.3448957908142269
17,model_6_m_0_cv1_act,2,DET vs FullGradCam,760,0.31948798092259556
18,model_6_m_0_cv2_act,2,DET vs FullGradCam,760,0.31120261415376826
19,model_6_m_1_cv1_act,2,DET vs FullGradCam,760,0.3395493743146039
20,model_6_m_1_cv2_act,2,DET vs FullGradCam,760,0.33031648089412335
21,model_6_m_2_cv1_act,2,DET vs FullGradCam,760,0.3333718225527282
22,model_6_m_2_cv2_act,2,DET vs FullGradCam,760,0.3202148643449834
23,model_6_cv3_act,2,DET vs FullGradCam,760,0.29874324132539826
24,model_7_act,2,DET vs FullGradCam,760,0.3438796733183633
25,model_8_cv1_act,2,DET vs FullGradCam,760,0.3395034764071803
26,model_8_cv2_act,2,DET vs FullGradCam,760,0.3437134158788727
27,model_8_m_0_cv1_act,2,DET vs FullGradCam,760,0.34925157526382083
28,model_8_m_0_cv2_act,2,DET vs FullGradCam,760,0.3480802087350215
29,model_8_cv3_act,2,DET vs FullGradCam,760,0.3413437954793408
30,model_9_cv1_act,2,DET vs FullGradCam,760,0.3419112571124929
31,model_9_cv2_act,2,DET vs FullGradCam,760,0.37261735636259596
32,model_10_act,2,DET vs FullGradCam,760,0.34308651494808934
33,model_13_cv1_act,2,DET vs FullGradCam,760,0.34399841878687476
34,model_13_cv2_act,2,DET vs FullGradCam,760,0.33864900277470905
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,760,0.33817268390190086
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,760,0.36503949723127926
37,model_13_cv3_act,2,DET vs FullGradCam,760,0.35212952247466206
38,model_14_act,2,DET vs FullGradCam,760,0.38961901695265205
39,model_17_cv1_act,2,DET vs FullGradCam,760,0.42176901055904714
40,model_17_cv2_act,2,DET vs FullGradCam,760,0.3859428501731995
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,760,0.3430259699360534
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,760,0.3739825434957544
43,model_17_cv3_act,2,DET vs FullGradCam,760,0.3302552527765367
44,model_1_act,1,DET vs FullGradCam,2252,0.2523762049151236
45,model_2_cv1_act,1,DET vs FullGradCam,2252,0.25662837254103277
46,model_2_cv2_act,1,DET vs FullGradCam,2252,0.27192711342210785
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,2252,0.2673569934090575
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,2252,0.26576963550983274
49,model_2_cv3_act,1,DET vs FullGradCam,2252,0.265181326346258
50,model_3_act,1,DET vs FullGradCam,2252,0.30478852220046415
51,model_4_cv1_act,1,DET vs FullGradCam,2252,0.26038777726534784
52,model_4_cv2_act,1,DET vs FullGradCam,2252,0.25348703957228846
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,2252,0.28488926805523224
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,2252,0.23985869195641943
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,2252,0.26207946968038415
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,2252,0.24018831403826196
57,model_4_cv3_act,1,DET vs FullGradCam,2252,0.2526006320014425
58,model_5_act,2,DET vs FullGradCam,2252,0.28665667331317374
59,model_6_cv1_act,2,DET vs FullGradCam,2252,0.25925967872635375
60,model_6_cv2_act,2,DET vs FullGradCam,2252,0.2533825507670328
61,model_6_m_0_cv1_act,2,DET vs FullGradCam,2252,0.2838412070830035
62,model_6_m_0_cv2_act,2,DET vs FullGradCam,2252,0.25614445299753197
63,model_6_m_1_cv1_act,2,DET vs FullGradCam,2252,0.2576146693184538
64,model_6_m_1_cv2_act,2,DET vs FullGradCam,2252,0.24406534061965185
65,model_6_m_2_cv1_act,2,DET vs FullGradCam,2252,0.27599053998441586
66,model_6_m_2_cv2_act,2,DET vs FullGradCam,2252,0.2540789083736683
67,model_6_cv3_act,2,DET vs FullGradCam,2252,0.29662167825423963
68,model_7_act,2,DET vs FullGradCam,2252,0.27048140129756776
69,model_8_cv1_act,2,DET vs FullGradCam,2252,0.2725900552935716
70,model_8_cv2_act,2,DET vs FullGradCam,2252,0.24963746409284085
71,model_8_m_0_cv1_act,2,DET vs FullGradCam,2252,0.3027307312585871
72,model_8_m_0_cv2_act,2,DET vs FullGradCam,2252,0.30533838728379636
73,model_8_cv3_act,2,DET vs FullGradCam,2252,0.31309868366190524
74,model_9_cv1_act,2,DET vs FullGradCam,2252,0.28791450808097463
75,model_9_cv2_act,2,DET vs FullGradCam,2252,0.25045000609469975
76,model_10_act,2,DET vs FullGradCam,2252,0.28463123840907945
77,model_13_cv1_act,2,DET vs FullGradCam,2252,0.20838206041507906
78,model_13_cv2_act,2,DET vs FullGradCam,2252,0.2960673185091195
79,model_13_m_0_cv1_act,2,DET vs FullGradCam,2252,0.2260700432143956
80,model_13_m_0_cv2_act,2,DET vs FullGradCam,2252,0.2170591011422617
81,model_13_cv3_act,2,DET vs FullGradCam,2252,0.24291008696010058
82,model_14_act,2,DET vs FullGradCam,2252,0.28133155990349606
83,model_17_cv1_act,2,DET vs FullGradCam,2252,0.23349017494283986
84,model_17_cv2_act,2,DET vs FullGradCam,2252,0.22091767299684634
85,model_17_m_0_cv1_act,2,DET vs FullGradCam,2252,0.2269162566365045
86,model_17_m_0_cv2_act,2,DET vs FullGradCam,2252,0.22046339095770923
87,model_17_cv3_act,2,DET vs FullGradCam,2252,0.23175245344658257
88,model_1_act,1,DET vs FullGradCam,1084,0.3465085317699547
89,model_2_cv1_act,1,DET vs FullGradCam,1084,0.3476728109760716
90,model_2_cv2_act,1,DET vs FullGradCam,1084,0.3450842296822367
91,model_2_m_0_cv1_act,1,DET vs FullGradCam,1084,0.3748841670260774
92,model_2_m_0_cv2_act,1,DET vs FullGradCam,1084,0.33618946746704353
93,model_2_cv3_act,1,DET vs FullGradCam,1084,0.3376523422958503
94,model_3_act,1,DET vs FullGradCam,1084,0.35203369993936323
95,model_4_cv1_act,1,DET vs FullGradCam,1084,0.33481971955533707
96,model_4_cv2_act,1,DET vs FullGradCam,1084,0.31487478495579435
97,model_4_m_0_cv1_act,1,DET vs FullGradCam,1084,0.35546381607584915
98,model_4_m_0_cv2_act,1,DET vs FullGradCam,1084,0.3508763556139155
99,model_4_m_1_cv1_act,1,DET vs FullGradCam,1084,0.34338968594491504
100,model_4_m_1_cv2_act,1,DET vs FullGradCam,1084,0.34674604548864885
101,model_4_cv3_act,1,DET vs FullGradCam,1084,0.34463496957555917
102,model_5_act,2,DET vs FullGradCam,1084,0.362098442075601
103,model_6_cv1_act,2,DET vs FullGradCam,1084,0.38889249204446763
104,model_6_cv2_act,2,DET vs FullGradCam,1084,0.3645034555594849
105,model_6_m_0_cv1_act,2,DET vs FullGradCam,1084,0.3828274878222429
106,model_6_m_0_cv2_act,2,DET vs FullGradCam,1084,0.3541460107964395
107,model_6_m_1_cv1_act,2,DET vs FullGradCam,1084,0.37086133689830114
108,model_6_m_1_cv2_act,2,DET vs FullGradCam,1084,0.36949438922317374
109,model_6_m_2_cv1_act,2,DET vs FullGradCam,1084,0.38121087236066786
110,model_6_m_2_cv2_act,2,DET vs FullGradCam,1084,0.34275424918991715
111,model_6_cv3_act,2,DET vs FullGradCam,1084,0.35740630348404406
112,model_7_act,2,DET vs FullGradCam,1084,0.3765061211326645
113,model_8_cv1_act,2,DET vs FullGradCam,1084,0.3934227781149833
114,model_8_cv2_act,2,DET vs FullGradCam,1084,0.40744083636592177
115,model_8_m_0_cv1_act,2,DET vs FullGradCam,1084,0.34516164799016075
116,model_8_m_0_cv2_act,2,DET vs FullGradCam,1084,0.39485531077127195
117,model_8_cv3_act,2,DET vs FullGradCam,1084,0.44435303781774377
118,model_9_cv1_act,2,DET vs FullGradCam,1084,0.43195073019121216
119,model_9_cv2_act,2,DET vs FullGradCam,1084,0.46662941970671656
120,model_10_act,2,DET vs FullGradCam,1084,0.48786053662735096
121,model_13_cv1_act,2,DET vs FullGradCam,1084,0.38160331969373573
122,model_13_cv2_act,2,DET vs FullGradCam,1084,0.40171048190642844
123,model_13_m_0_cv1_act,2,DET vs FullGradCam,1084,0.4276589393521147
124,model_13_m_0_cv2_act,2,DET vs FullGradCam,1084,0.4205263454384451
125,model_13_cv3_act,2,DET vs FullGradCam,1084,0.40880165553338627
126,model_14_act,2,DET vs FullGradCam,1084,0.42785222327954103
127,model_17_cv1_act,2,DET vs FullGradCam,1084,0.4414483609460344
128,model_17_cv2_act,2,DET vs FullGradCam,1084,0.39540503392733006
129,model_17_m_0_cv1_act,2,DET vs FullGradCam,1084,0.4266660075561497
130,model_17_m_0_cv2_act,2,DET vs FullGradCam,1084,0.4363812422206547
131,model_17_cv3_act,2,DET vs FullGradCam,1084,0.4286710972744149
132,model_1_act,1,DET vs FullGradCam,865,0.25500759290401565
133,model_2_cv1_act,1,DET vs FullGradCam,865,0.24577232502219878
134,model_2_cv2_act,1,DET vs FullGradCam,865,0.2885976426640099
135,model_2_m_0_cv1_act,1,DET vs FullGradCam,865,0.23559768965170877
136,model_2_m_0_cv2_act,1,DET vs FullGradCam,865,0.21501466034523256
137,model_2_cv3_act,1,DET vs FullGradCam,865,0.2376326962773202
138,model_3_act,1,DET vs FullGradCam,865,0.26363150266629987
139,model_4_cv1_act,1,DET vs FullGradCam,865,0.26198917615115547
140,model_4_cv2_act,1,DET vs FullGradCam,865,0.30190837422203015
141,model_4_m_0_cv1_act,1,DET vs FullGradCam,865,0.2285313921378429
