,Layer,Cluster,Task,Image,Similarity
0,model_1_act,1,DET vs FullGradCam,760,172.5504970699479
1,model_2_cv1_act,1,DET vs FullGradCam,760,176.33039360980897
2,model_2_cv2_act,1,DET vs FullGradCam,760,158.30948592474473
3,model_2_m_0_cv1_act,1,DET vs FullGradCam,760,183.7011271214838
4,model_2_m_0_cv2_act,1,DET vs FullGradCam,760,167.1138970718652
5,model_2_cv3_act,1,DET vs FullGradCam,760,165.6712410379198
6,model_3_act,1,DET vs FullGradCam,760,169.80736954705276
7,model_4_cv1_act,1,DET vs FullGradCam,760,177.55751311881073
8,model_4_cv2_act,1,DET vs FullGradCam,760,160.48374297081835
9,model_4_m_0_cv1_act,1,DET vs FullGradCam,760,171.40105020790074
10,model_4_m_0_cv2_act,1,DET vs FullGradCam,760,182.57818452973723
11,model_4_m_1_cv1_act,1,DET vs FullGradCam,760,188.3930050965135
12,model_4_m_1_cv2_act,1,DET vs FullGradCam,760,175.01718084582254
13,model_4_cv3_act,1,DET vs FullGradCam,760,166.36263753481597
14,model_5_act,1,DET vs FullGradCam,760,173.55519714150319
15,model_6_cv1_act,1,DET vs FullGradCam,760,177.72257303787083
16,model_6_cv2_act,1,DET vs FullGradCam,760,150.9614188669616
17,model_6_m_0_cv1_act,1,DET vs FullGradCam,760,168.31972489315368
18,model_6_m_0_cv2_act,1,DET vs FullGradCam,760,179.04075007959943
19,model_6_m_1_cv1_act,1,DET vs FullGradCam,760,175.75615604687036
20,model_6_m_1_cv2_act,1,DET vs FullGradCam,760,166.9111538407776
21,model_6_m_2_cv1_act,1,DET vs FullGradCam,760,169.1583763492511
22,model_6_m_2_cv2_act,1,DET vs FullGradCam,760,175.46218672473168
23,model_6_cv3_act,1,DET vs FullGradCam,760,199.8278026140269
24,model_7_act,1,DET vs FullGradCam,760,141.4406073078447
25,model_8_cv1_act,1,DET vs FullGradCam,760,129.13332269017275
26,model_8_cv2_act,1,DET vs FullGradCam,760,144.70224234293693
27,model_8_m_0_cv1_act,1,DET vs FullGradCam,760,128.0353588906495
28,model_8_m_0_cv2_act,1,DET vs FullGradCam,760,120.10330650635045
29,model_8_cv3_act,1,DET vs FullGradCam,760,139.91975102525754
30,model_9_cv1_act,1,DET vs FullGradCam,760,139.41967829920782
31,model_9_cv2_act,2,DET vs FullGradCam,760,216.63467348301324
32,model_10_act,2,DET vs FullGradCam,760,187.1588992646555
33,model_13_cv1_act,2,DET vs FullGradCam,760,210.71826205735474
34,model_13_cv2_act,2,DET vs FullGradCam,760,187.56249651322705
35,model_13_m_0_cv1_act,2,DET vs FullGradCam,760,210.45967631438992
36,model_13_m_0_cv2_act,2,DET vs FullGradCam,760,229.1986806380818
37,model_13_cv3_act,2,DET vs FullGradCam,760,206.887835299518
38,model_14_act,2,DET vs FullGradCam,760,238.34803846571106
39,model_17_cv1_act,2,DET vs FullGradCam,760,253.71340343839339
40,model_17_cv2_act,2,DET vs FullGradCam,760,248.57303725367274
41,model_17_m_0_cv1_act,2,DET vs FullGradCam,760,220.48698951615108
42,model_17_m_0_cv2_act,2,DET vs FullGradCam,760,242.04134217981127
43,model_17_cv3_act,2,DET vs FullGradCam,760,213.40260271608926
44,model_1_act,1,DET vs FullGradCam,2252,164.1111965019718
45,model_2_cv1_act,1,DET vs FullGradCam,2252,165.70263468161585
46,model_2_cv2_act,1,DET vs FullGradCam,2252,163.31446870307093
47,model_2_m_0_cv1_act,1,DET vs FullGradCam,2252,167.18091271784522
48,model_2_m_0_cv2_act,1,DET vs FullGradCam,2252,157.3279837244909
49,model_2_cv3_act,1,DET vs FullGradCam,2252,165.7346293619461
50,model_3_act,1,DET vs FullGradCam,2252,141.80480387188513
51,model_4_cv1_act,1,DET vs FullGradCam,2252,158.89641466984196
52,model_4_cv2_act,1,DET vs FullGradCam,2252,153.01984522694838
53,model_4_m_0_cv1_act,1,DET vs FullGradCam,2252,167.97213981777355
54,model_4_m_0_cv2_act,1,DET vs FullGradCam,2252,166.36646711673382
55,model_4_m_1_cv1_act,1,DET vs FullGradCam,2252,151.70271175388527
56,model_4_m_1_cv2_act,1,DET vs FullGradCam,2252,155.1735089365308
57,model_4_cv3_act,1,DET vs FullGradCam,2252,153.2678017978999
58,model_5_act,1,DET vs FullGradCam,2252,145.74690181639792
59,model_6_cv1_act,1,DET vs FullGradCam,2252,167.81793779224557
60,model_6_cv2_act,1,DET vs FullGradCam,2252,146.36893814536893
61,model_6_m_0_cv1_act,1,DET vs FullGradCam,2252,162.07135180496283
62,model_6_m_0_cv2_act,1,DET vs FullGradCam,2252,156.42355760759983
63,model_6_m_1_cv1_act,1,DET vs FullGradCam,2252,164.2311888030796
64,model_6_m_1_cv2_act,1,DET vs FullGradCam,2252,142.47289266187218
65,model_6_m_2_cv1_act,1,DET vs FullGradCam,2252,160.5003104296373
66,model_6_m_2_cv2_act,1,DET vs FullGradCam,2252,146.03434330211232
67,model_6_cv3_act,1,DET vs FullGradCam,2252,145.204007491663
68,model_7_act,1,DET vs FullGradCam,2252,150.3034073684887
69,model_8_cv1_act,1,DET vs FullGradCam,2252,146.24299709930963
70,model_8_cv2_act,1,DET vs FullGradCam,2252,152.84495312190472
71,model_8_m_0_cv1_act,1,DET vs FullGradCam,2252,163.22346896852216
72,model_8_m_0_cv2_act,1,DET vs FullGradCam,2252,153.91563455625501
73,model_8_cv3_act,1,DET vs FullGradCam,2252,132.14480185201677
74,model_9_cv1_act,1,DET vs FullGradCam,2252,142.60474381888412
75,model_9_cv2_act,2,DET vs FullGradCam,2252,202.53310372936298
76,model_10_act,2,DET vs FullGradCam,2252,200.82311309281167
77,model_13_cv1_act,2,DET vs FullGradCam,2252,209.75075830428707
78,model_13_cv2_act,2,DET vs FullGradCam,2252,151.72501148120438
79,model_13_m_0_cv1_act,2,DET vs FullGradCam,2252,206.44098478858712
80,model_13_m_0_cv2_act,2,DET vs FullGradCam,2252,207.48186357538896
81,model_13_cv3_act,2,DET vs FullGradCam,2252,196.5193216983754
82,model_14_act,2,DET vs FullGradCam,2252,193.087303257327
83,model_17_cv1_act,2,DET vs FullGradCam,2252,211.92832071831128
84,model_17_cv2_act,2,DET vs FullGradCam,2252,219.972598142677
85,model_17_m_0_cv1_act,2,DET vs FullGradCam,2252,211.62490967435636
86,model_17_m_0_cv2_act,2,DET vs FullGradCam,2252,208.20907792630538
87,model_17_cv3_act,2,DET vs FullGradCam,2252,202.10657306024294
88,model_1_act,1,DET vs FullGradCam,1084,240.35091853963252
89,model_2_cv1_act,1,DET vs FullGradCam,1084,241.17000802959103
90,model_2_cv2_act,1,DET vs FullGradCam,1084,231.79985157821477
91,model_2_m_0_cv1_act,1,DET vs FullGradCam,1084,243.06747936943893
92,model_2_m_0_cv2_act,1,DET vs FullGradCam,1084,243.852461357636
93,model_2_cv3_act,1,DET vs FullGradCam,1084,236.50941222715272
94,model_3_act,1,DET vs FullGradCam,1084,248.2716292045028
95,model_4_cv1_act,1,DET vs FullGradCam,1084,249.57669144429818
96,model_4_cv2_act,1,DET vs FullGradCam,1084,231.91642565141967
97,model_4_m_0_cv1_act,1,DET vs FullGradCam,1084,237.5661204963845
98,model_4_m_0_cv2_act,1,DET vs FullGradCam,1084,225.47515883993682
99,model_4_m_1_cv1_act,1,DET vs FullGradCam,1084,241.13890764026513
100,model_4_m_1_cv2_act,1,DET vs FullGradCam,1084,230.47025002906707
101,model_4_cv3_act,1,DET vs FullGradCam,1084,224.2810677553725
102,model_5_act,1,DET vs FullGradCam,1084,221.08835354685192
103,model_6_cv1_act,1,DET vs FullGradCam,1084,240.11833912735756
104,model_6_cv2_act,1,DET vs FullGradCam,1084,209.95485809284196
105,model_6_m_0_cv1_act,1,DET vs FullGradCam,1084,248.88678752880105
106,model_6_m_0_cv2_act,1,DET vs FullGradCam,1084,235.85581607981106
107,model_6_m_1_cv1_act,1,DET vs FullGradCam,1084,248.7651021575054
108,model_6_m_1_cv2_act,1,DET vs FullGradCam,1084,240.45751843403292
109,model_6_m_2_cv1_act,1,DET vs FullGradCam,1084,241.83594230626534
110,model_6_m_2_cv2_act,1,DET vs FullGradCam,1084,230.57035637913563
111,model_6_cv3_act,1,DET vs FullGradCam,1084,214.74783210047354
112,model_7_act,1,DET vs FullGradCam,1084,191.7572216680992
