,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
0,1,1,2,he is walking with legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,411.jpg,1,human,person,,
1,1,2,2,slim with legs and hand,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,608.jpg,2,human,person,,
2,1,3,2,human face,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,480.jpg,3,human,person,,
3,1,4,2,human cloth with hat,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,85.jpg,4,human,person,,
4,1,5,2,human back with t shirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,703.jpg,5,human,person,,
5,1,6,2,human legs and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,760.jpg,6,human,person,,
6,1,7,2,human shape.small human head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,452.jpg,7,human,person,,
7,1,8,2,"head arms, hands and legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,865.jpg,8,human,person,,
8,1,9,2,red clothesand arm on the back ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,845.jpg,9,human,person,,
9,1,10,2,standing human with arms and legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,422.jpg,10,human,person,,
10,1,11,2,white clothes and black jeans,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,59.jpg,11,human,person,,
11,1,12,2,human head and wide shoulders,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,232.jpg,12,human,person,,
12,1,13,2,human face,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,470.jpg,13,human,person,,
13,1,14,2,human clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,380.jpg,14,human,person,,
14,1,15,2,the ratio of the wide of head and shoulders,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,173.jpg,15,human,person,,
15,1,16,2,head and white cloth,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,250.jpg,16,human,person,,
16,1,17,2,long human clothes and human head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,601.jpg,17,human,person,,
17,1,18,2,human ledgs under white clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,186.jpg,18,human,person,,
18,1,19,2,human head with white hair ,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,425.jpg,19,human,person,,
19,1,20,2,head and shoulders ratio,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,97.jpg,20,human,person,,
20,1,21,2,white lothes and black hair,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,362.jpg,21,human,person,,
21,1,22,2,legs and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,421.jpg,22,human,person,,
22,1,23,2,cannot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,11.jpg,23,human,person,,
23,1,24,2,legs and body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,218.jpg,24,human,person,,
24,1,25,2,cannot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,47.jpg,25,human,person,,
25,1,26,2,arms and legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,808.jpg,26,human,person,,
26,1,27,2,body and legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,488.jpg,27,human,person,,
27,1,28,2,bright cothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,805.jpg,28,human,person,,
28,1,29,2,head and shouldrs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,875.jpg,29,human,person,,
29,1,30,2,cannot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,348.jpg,30,human,person,,
30,1,31,2,arms and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,99.jpg,31,human,person,,
31,1,32,2,body and leg,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,324.jpg,32,human,person,,
32,1,33,2,red clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,129.jpg,33,human,person,,
33,1,34,2,cannot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,231.jpg,34,human,person,,
34,1,35,2,body and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,286.jpg,35,human,person,,
35,1,36,2,green cloth and face,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,389.jpg,36,human,person,,
36,1,37,2,legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,775.jpg,37,human,person,,
37,1,38,2,legs and body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,388.jpg,38,human,person,,
38,1,39,2,cannot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,415.jpg,39,human,person,,
39,1,40,2,clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,558.jpg,40,human,person,,
40,1,41,2,clothes and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,670.jpg,41,human,person,,
41,1,42,2,clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,829.jpg,42,human,person,,
42,1,43,2,clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,270.jpg,43,human,person,,
43,1,44,2,legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,683.jpg,44,human,person,,
44,1,45,2,face,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,282.jpg,45,human,person,,
45,1,46,2,cloth,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,631.jpg,46,human,person,,
46,1,47,2,legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,34.jpg,47,human,person,,
47,1,48,2,cannot identify,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,748.jpg,48,human,person,,
48,1,49,2,head and arm,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,757.jpg,49,human,person,,
0,2,1,2,blue jacket and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,425.jpg,1,human,person,,
1,2,2,2,higher than the bench,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,231.jpg,2,human,person,,
2,2,3,2,different from the fense and white car,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,97.jpg,3,human,person,,
3,2,4,2,"different color from the background, a bit lighter in the top and darker in his leg",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,34.jpg,4,human,person,,
4,2,5,2,black coat,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,601.jpg,5,human,person,,
5,2,6,2,"in black, contrast to the white car",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,422.jpg,6,human,person,,
6,2,7,2,a black head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,11.jpg,7,human,person,,
7,2,8,2,"wirth hat, a bit lighter",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,683.jpg,8,human,person,,
8,2,9,2,white tshirt with darker jacket,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,380.jpg,9,human,person,,
9,2,10,2,in black,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,218.jpg,10,human,person,,
10,2,11,2,can't really tell,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,452.jpg,11,human,person,,
11,2,12,2,human shape in black,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,488.jpg,12,human,person,,
12,2,13,2,"a head, but cant really tell",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,173.jpg,13,human,person,,
13,2,14,2,"brown jacket, human shape from the surroundings",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,670.jpg,14,human,person,,
14,2,15,2,blue outfit,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,270.jpg,15,human,person,,
15,2,16,2,"grey tshirt, can see his face",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,282.jpg,16,human,person,,
16,2,17,2,"cutting the line, see his head, hands and shoes",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,388.jpg,17,human,person,,
17,2,18,2,black head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,875.jpg,18,human,person,,
18,2,19,2,white plastic bag,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,348.jpg,19,human,person,,
19,2,20,2,black head and body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,232.jpg,20,human,person,,
20,2,21,2,"human shape, cant really tell",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,129.jpg,21,human,person,,
21,2,22,2,i cant tell,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,415.jpg,22,human,person,,
22,2,23,2,"didnt pay attentions, this blurs a lot",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,47.jpg,23,human,person,,
23,2,24,2,can see his head arms everything,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,808.jpg,24,human,person,,
24,2,25,2,black head and upper body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,99.jpg,25,human,person,,
25,2,26,2,"white tshirt, bblack head",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,250.jpg,26,human,person,,
26,2,27,2,lighter than surroundings,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,631.jpg,27,human,person,,
27,2,28,2,"clearly human, can see her body",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,865.jpg,28,human,person,,
28,2,29,2,can see legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,186.jpg,29,human,person,,
29,2,30,2,see the legs walking,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,421.jpg,30,human,person,,
