,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
0,10,1,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,758.jpg,1,vehicle,car,,
1,10,2,3,red light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,505.jpg,2,vehicle,car,,
2,10,3,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,804.jpg,3,vehicle,car,,
3,10,4,3,light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,796.jpg,4,vehicle,car,,
4,10,5,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,797.jpg,5,vehicle,car,,
5,10,6,3,wheel and window,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,822.jpg,6,vehicle,car,,
6,10,7,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,634.jpg,7,vehicle,car,,
7,10,8,3,white color,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,670.jpg,8,vehicle,car,,
8,10,9,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,441.jpg,9,vehicle,car,,
9,10,10,3,wheel,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,692.jpg,10,vehicle,car,,
10,10,11,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,930.jpg,11,vehicle,car,,
11,10,12,3,window,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,856.jpg,12,vehicle,car,,
12,10,13,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,648.jpg,13,vehicle,car,,
13,10,14,3,blue color and light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,514.jpg,14,vehicle,car,,
14,10,15,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,447.jpg,15,vehicle,car,,
15,10,16,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,668.jpg,16,vehicle,car,,
16,10,17,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,740.jpg,17,vehicle,car,,
17,10,18,3,wheel,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,711.jpg,18,vehicle,car,,
18,10,19,3,light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,764.jpg,19,vehicle,car,,
19,10,20,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,896.jpg,20,vehicle,car,,
20,10,21,3,wheel and light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,803.jpg,21,vehicle,car,,
21,10,22,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,902.jpg,22,vehicle,car,,
22,10,23,3,light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,437.jpg,23,vehicle,car,,
23,10,24,3,balck shadow,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,867.jpg,24,vehicle,car,,
24,10,25,3,white color,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,585.jpg,25,vehicle,car,,
25,10,26,3,light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,848.jpg,26,vehicle,car,,
26,10,27,3,red light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,478.jpg,27,vehicle,car,,
27,10,28,3,wheel,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,570.jpg,28,vehicle,car,,
28,10,29,3,flashing lighr,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,611.jpg,29,vehicle,car,,
29,10,30,3,"yellow color, wheel, reflection",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,699.jpg,30,vehicle,car,,
30,10,31,3,red light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,629.jpg,31,vehicle,car,,
31,10,32,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,698.jpg,32,vehicle,car,,
32,10,33,3,yellow color,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,485.jpg,33,vehicle,car,,
33,10,34,3,light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,838.jpg,34,vehicle,car,,
34,10,35,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,842.jpg,35,vehicle,car,,
35,10,36,3,can't ientify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,617.jpg,36,vehicle,car,,
36,10,37,3,light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,542.jpg,37,vehicle,car,,
37,10,38,3,light and car plate,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,727.jpg,38,vehicle,car,,
38,10,39,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,452.jpg,39,vehicle,car,,
39,10,40,3,yellow color,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,610.jpg,40,vehicle,car,,
40,10,41,3,window,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,857.jpg,41,vehicle,car,,
41,10,42,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,777.jpg,42,vehicle,car,,
42,10,43,3,flashing light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,503.jpg,43,vehicle,car,,
43,10,44,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,784.jpg,44,vehicle,car,,
44,10,45,3,black object. light,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,859.jpg,45,vehicle,car,,
45,10,46,3,shadow object on the road,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,843.jpg,46,vehicle,car,,
46,10,47,3,wheel window handle,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,600.jpg,47,vehicle,car,,
47,10,48,3,can't identiy,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,715.jpg,48,vehicle,car,,
48,10,49,3,can't identify,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/0010ET2,899.jpg,49,vehicle,car,,
0,1,1,2, window,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,406.jpg,1,vehicle,car,,
