,category,task,layer,img,pred_idx,pcc,rmse
0,vehicle,DET,1,100,0,0.714221477599858,0.041998278521201665
1,vehicle,DET,2,100,0,0.718902649789069,0.04174039822166774
2,vehicle,DET,3,100,0,0.5890872382502963,0.04708115502588197
3,vehicle,DET,4,100,0,0.7483474654212379,0.041068542303830564
4,vehicle,DET,5,100,0,0.9220722105216476,0.025985150166796964
5,vehicle,DET,6,100,0,0.8199739897258639,0.0321110753379455
6,vehicle,DET,7,100,0,0.25677977741623326,0.12459075604123233
7,vehicle,DET,8,100,0,0.7712731496249006,0.046539931555591364
8,vehicle,DET,9,100,0,0.6418619709423351,0.046735706187500115
9,vehicle,DET,10,100,0,0.6103968794285058,0.04751600027668098
10,vehicle,DET,11,100,0,0.8693214172154188,0.032746510462397196
11,vehicle,DET,12,100,0,0.7272040196804385,0.04094855959237684
12,vehicle,DET,13,100,0,0.656658920092391,0.044293283497443166
13,vehicle,DET,1,1023,0,0.43701702335806497,0.06164530989175176
14,vehicle,DET,2,1023,0,0.4629211304648154,0.060699912510763454
15,vehicle,DET,3,1023,0,0.3695382082448337,0.0656446854517784
16,vehicle,DET,4,1023,0,0.4035515578840678,0.06314349555799185
17,vehicle,DET,5,1023,0,0.5110228219732571,0.0638191023354216
18,vehicle,DET,6,1023,0,0.8099107567260716,0.04152616493291769
19,vehicle,DET,7,1023,0,0.7088939528666958,0.05110912126411482
20,vehicle,DET,8,1023,0,0.5332940752063514,0.06169640561358121
21,vehicle,DET,9,1023,0,0.7459174446827834,0.04603047949278019
22,vehicle,DET,10,1023,0,0.8034949353990752,0.04123501333584082
23,vehicle,DET,11,1023,0,0.6533554023134687,0.054017765462883206
24,vehicle,DET,12,1023,0,0.6814606388018254,0.05163739453887115
25,vehicle,DET,13,1023,0,0.3767915291506263,0.06425664604910229
26,vehicle,DET,1,1031,0,0.33957460451028254,0.10269021495267998
27,vehicle,DET,2,1031,0,0.28062041057324943,0.10991579707849593
28,vehicle,DET,3,1031,0,0.3189183136032061,0.10358641142815775
29,vehicle,DET,4,1031,0,0.38486384642339566,0.1009043805847379
30,vehicle,DET,5,1031,0,0.39580340958786553,0.11453029688631863
31,vehicle,DET,6,1031,0,0.40549260896714767,0.09971415001372323
32,vehicle,DET,7,1031,0,0.3853844866179777,0.10203599532342743
33,vehicle,DET,8,1031,0,0.48290278560873795,0.09705004862848322
34,vehicle,DET,9,1031,0,0.35790204346440374,0.10535811034448403
35,vehicle,DET,10,1031,0,0.39248224494874323,0.10411176295134855
36,vehicle,DET,11,1031,0,0.23447499862096638,0.10898118184951351
37,vehicle,DET,12,1031,0,0.2694308797279688,0.10827561566127968
