,category,task,head,layer,img,pcc,rmse
0,vehicle,DET,0,1,1099,0.6760530532186885,0.04930460799657446
1,vehicle,DET,0,2,1099,0.746473909389665,0.048397079704928986
2,vehicle,DET,0,3,1099,0.7180897067602489,0.04456104369483288
3,vehicle,DET,0,4,1099,0.7100146783588033,0.04829311057402583
4,vehicle,DET,0,5,1099,0.7219391151877986,0.0405308352753001
5,vehicle,DET,0,6,1099,0.5097657167776164,0.05113135542405365
6,vehicle,DET,0,7,1099,0.6038047150649016,0.06486178050408335
7,vehicle,DET,0,8,1099,0.8732617855858097,0.028196707698088637
8,vehicle,DET,0,9,1099,0.9081848544549059,0.024395596751601436
9,vehicle,DET,0,10,1099,0.9045396525421935,0.02464415606530158
10,vehicle,DET,0,11,1099,0.7795065232106086,0.04135148320875139
11,vehicle,DET,0,12,1099,0.7800232011553012,0.03782284654195664
12,vehicle,DET,0,13,1099,0.5194497296896226,0.05305416862067065
13,vehicle,DET,0,1,117,0.5110953632935222,0.06067934051590139
14,vehicle,DET,0,2,117,0.5090704406198837,0.06164733009676495
15,vehicle,DET,0,3,117,0.569580826356052,0.05786994959552487
16,vehicle,DET,0,4,117,0.6029524319643766,0.05807740214217193
17,vehicle,DET,0,5,117,0.5276859391440611,0.062379572968186976
18,vehicle,DET,0,6,117,0.6125662805373826,0.05501621343106366
19,vehicle,DET,0,7,117,0.38287992705118123,0.08079701528504983
20,vehicle,DET,0,8,117,0.480569467978553,0.0696160116817784
21,vehicle,DET,0,9,117,0.6850378852204394,0.05108354464390781
22,vehicle,DET,0,10,117,0.5487087698511547,0.0580712058317918
23,vehicle,DET,0,11,117,0.5718381296196842,0.061368352260724596
24,vehicle,DET,0,12,117,0.5936162457845467,0.06024091463754868
25,vehicle,DET,0,13,117,0.34805998043560316,0.06749004620235009
26,vehicle,DET,0,1,1183,0.6896976405480318,0.04328782232061266
27,vehicle,DET,0,2,1183,0.6552041404617978,0.043933918639928696
28,vehicle,DET,0,3,1183,0.6483761445617391,0.04327777853542331
29,vehicle,DET,0,4,1183,0.6720023747904553,0.041810599629017405
30,vehicle,DET,0,5,1183,0.0980144755155129,0.07983632923270065
31,vehicle,DET,0,6,1183,0.14897311817181608,0.06771249096235683
32,vehicle,DET,0,7,1183,0.2894078227927902,0.11104007529694865
33,vehicle,DET,0,8,1183,0.8444371959995466,0.031191473197021362
34,vehicle,DET,0,9,1183,0.8454967675603111,0.035442413573151414
35,vehicle,DET,0,10,1183,0.8240436281494583,0.0425072542731394
36,vehicle,DET,0,11,1183,0.648836623183245,0.039956217631795396
37,vehicle,DET,0,12,1183,0.8753925197232661,0.030880844713794795
38,vehicle,DET,0,13,1183,0.4474295985039511,0.047546243115894386
39,vehicle,DET,0,1,1226,0.5690064896221069,0.0747802318341973
40,vehicle,DET,0,2,1226,0.6413895135312832,0.07350089824904976
41,vehicle,DET,0,3,1226,0.5652752669215768,0.07184546961977177
42,vehicle,DET,0,4,1226,0.663198875508183,0.07343372969357331
